adv:place	voilà
pro:subj	on
v:mdl	aller
pro:subj	je
pro:subj	vous
v	enregistrer
conj	alors
v:exist	c'est
det&SING	le/la
n	histoire
prep	de
det&FEM&SING	une
adj	petit
n	fille
PCT	.
pro:int	qui
pro:refl	se
v	poser
adv	beaucoup
prep:art	de
n	question
co	hein
PCT	?
prep:art	au
PCT	.
co	hum
co	ben
PCT	.
n	début
pro:subj&FEM	elle
v	commencer
prep	par
v-INF	parler
det&PL	des
n	prénom
conj	et
det&PL	des
n	nom
co	hein
PCT	?
adv:yn	oui
PCT	.
pro:subj&FEM	elle
pro:subj	nous
v	donner
det&PL	les
pro:subj&FEM	elle
v:aux	avoir
v-PP	dire
conj	qu'
pro:subj&FEM	elle
v:aux&IMPF	avoir
v-PP	donner
det&MASC&SING	le
pro&MASC	sien
PCT	.
conj	si
pro:subj	vous
pro&SING	lui
v	donner
det&MASC&SING	le
?	,
det&PL	les
n	vôtre
co	bon
pro:subj	vous
?	est–ce
conj	que
pro:subj	vous
v	connaître
PCT	.
prep:art	de
adj-MASC	autre^adj|autre
adj	petit
n	fille
pro:rel	qui
pro:refl	se
v	appeler
prep	comme
pro:subj	vous
PCT	?
PCT	.
adv:yn	non
pro&SING	moi
pro:subj	je
v	connaître
pro&SING	moi
pro:subj	je
v	connaître
det:poss&SING	ma
adj	grand
n	cousin
pro:subj&FEM	elle
pro:refl	se
v	appeler
prep	comme
n:prop	Anaïs
PCT	.
conj	et
pro&SING	toi
PCT	?
pro:subj	tu
pro:obj&FEM&SING	la
v	connaître
PCT	?
adv:yn	non
PCT	.
adv:yn	non
pro:subj	tu
v	connaître
n	personne
pro:rel	qui
pro:refl	se
v	appeler
n:prop	Anaïs
PCT	?
adv:yn	non
PCT	?
adv:yn	non
PCT	.
conj	et
pro&SING	toi
pro:subj	tu
v	connaître
pro	quelqu'un
pro:rel	qui
pro:refl	se
v	appeler
prep	comme
pro&SING	toi
PCT	?
adv:yn	non
PCT	.
adv:yn	non
PCT	?
?	***
PCT	.
pro:y	il+y+en
v:poss	avoir
co	hum
prep	à
det:poss&MASC&SING	mon
n	avis
pro:dem	ça
v:mdl	devoir
v:exist&INF	être
prep	en
n:prop	Egypte
PCT	.
conj	parce+que
det:poss&SING	ma
n-FEM	me
pro:subj&FEM	elle
v:aux	avoir
v-PP	dire
conj	que
pro:subj	je
v:aux&IMPF	avoir
conj	que
pro&SING	moi
pro:subj	je
v:poss&IMPF	avoir
det&MASC&SING	un
n	nom
?	egyptien
PCT	.
adv:yn	oui
v:exist	c'est
adj	vrai
v:exist	c'est
det&MASC&SING	un
n	nom
?	egyptien
PCT	.
co	hum
PCT	.
conj	et
?	est–ce
conj	que
pro:subj	tu
v	croire
conj	qu'
pro:y	en
n:prop	France
v:exist	il+y+a
det&FEM&SING	une
adj	autre
?	p–
PCT	.
co	oh
co	ben
pro:subj	tu
v-PASS	dire^v|dire
pro:y	il+y+en
v:poss	avoir
det&FEM&SING	une
pro:subj	tu
v-PASS	dire^v|dire
pro:refl	se
v	appeler
n:prop	Anaïs
PCT	.
conj	mais
pro&SING	toi
pro:subj	tu
pro:obj&FEM&SING	la
v	connaître
adv:neg	pas
PCT	?
adv:yn	oui
PCT	.
?	est–ce
conj	que
pro:subj	tu
v	croire
conj	qu'
pro:subj&FEM	elle
v:exist	être
prep	comme
pro&SING	toi
PCT	?
PCT	.
adv:yn	non
PCT	.
conj	parce+que
pro:subj&FEM	elle
v:poss	avoir
det&MASC&SING	le
adj	même
n	prénom
adv:yn	non
PCT	?
pro:rel	qu'
?	est–ce
pro:rel	qui
v:exist	être
adj	différent
PCT	?
PCT	.
pro:subj&FEM	elle
