enregistrement	NOM	enregistrement
d'	PRP	un
Eliott	NOM	<unknown>
par	PRP	par
Aude	NAM	<unknown>
¤P¤	NAM	¤P¤
le	DET:def	le
vingt-neuf	NUM	<unknown>
septembre	NOM	septembre
deux	NUM	@card@
mille	NUM	@card@
douze	NUM	@card@
alors	ADV	alors
.	VER:simp	<unknown>
dauphins	NOM	dauphin
et	KON	et
baleines	NOM	baleine
.	NAM	<unknown>
de	PRP	de
drôles	NOM	drôle
d'	PRP	un
animaux	NOM	animal
dans	PRP	dans
les	DET:def	le
mers	NOM	mer
et	KON	et
les	DET:def	le
océans	NOM	océan
vivent	VER:pres	vivre
des	DET:ind	un
animaux	NOM	animal
fascinants	ADJ	fascinant
qui	PRO:rel	qui
nous	PRO:clo	nous
ressemblent	VER:pres	ressembler
un	DET:ind	un
peu	NOM	peu
rien	PRO:ind	rien
à	PRP	à
voir	VER:infi	voir
avec	PRP	avec
des	DET:ind	un
poissons	NOM	poisson
ils	PRO:cls	il
respirent	VER:pres	respirer
l'	DET:def	le
air	NOM	air
à	PRP	à
la	DET:def	le
surface	NOM	surface
et	KON	et
vivent	VER:pres	vivre
longtemps	ADV	longtemps
avec	PRP	avec
leur	DET:pos	leur
maman	NOM	maman
les	DET:def	le
dauphins	NOM	dauphin
-ils	NAM	<unknown>
sont	VER:pres	être
des	DET:ind	un
poissons	NOM	poisson
.	NAM	<unknown>
non	FNO	non
pourquoi	PRO:int	pourquoi
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
des	DET:ind	un
poissons	NOM	poisson
.	VER:impe	<unknown>
parce-que	VER:impe	<unknown>
parce-que	VER:impe	<unknown>
ce	PRO:cls	ce
sont	VER:pres	être
d'	DET:ind	un
autres	ADJ	autre
animaux	NOM	animal
d'	PRP	un
accord	NOM	accord
qui	PRO:rel	qui
est	VER:pres	être
le	DET:def	le
plus	ADV	plus
grand	ADJ	grand
animal	NOM	animal
du	PRP:det	du
monde	NOM	monde
.	NAM	<unknown>
euh	INT	euh
le	DET:def	le
requin	NOM	requin
et	KON	et
la	DET:def	le
baleine	NOM	baleine
d'	PRP	un
accord	NOM	accord
alors	ADV	alors
peut-être	ADV	peut-être
on	PRO:cls	on
va	VER:pres	aller
apprendre	VER:infi	apprendre
plus	ADV	plus
de	PRP	de
choses	NOM	chose
dans	PRP	dans
le	DET:def	le
livre	NOM	livre
des	PRP:det	du
mammifères	NOM	mammifère
en	PRP	en
mer	NOM	mer
dauphins	NOM	dauphin
et	KON	et
baleines	NOM	baleine
sont	VER:pres	être
des	DET:ind	un
mammifères	NOM	mammifère
marins	ADJ	marin
on	PRO:cls	on
les	PRO:clo	le
appelle	VER:pres	appeler
des	DET:ind	un
cétacés	NOM	cétacé
comme	KON	comme
chez	PRP	chez
les	DET:def	le
humains	ADJ	humain
les	DET:def	le
petits	ADJ	petit
naissent	VER:pres	naître
tous	PRO:ind	tout
formés	VER:pper	former
et	KON	et
boivent	VER:pres	boire
le	DET:def	le
lait	NOM	lait
de	PRP	de
leur	DET:pos	leur
maman	NOM	maman
alors	ADV	alors
à	PRP	à
qui	PRO:rel	qui
sont	VER:pres	être
ces	DET:dem	ce
silhouettes	NOM	silhouette
?	NAM	<unknown>
qui	PRO:rel	qui
est	VER:pres	être
ce	DET:dem	ce
géant	NOM	géant
.	NAM	<unknown>
la	DET:def	le
baleine	NOM	baleine
bien	ADV	bien
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
baleine	NOM	baleine
bleue	ADJ	bleu
on	PRO:cls	on
peut	VER:pres	pouvoir
aussi	ADV	aussi
l'	PRO:clo	le
appeler	VER:infi	appeler
le	DET:def	le
ro-	NOM	<unknown>
rorqual	NOM	rorqual
bleu	ADJ	bleu
c'	PRO:cls	ce
est	VER:pres	être
difficile	ADJ	difficile
comme	KON	comme
mot	NOM	mot
hum	FNO	hum
alors	ADV	alors
la	DET:def	le
baleine	NOM	baleine
bleue	ADJ	bleu
elle	PRO:cls	elle
a	AUX:pres	avoir
.	VER:pper	<unknown>
pardon	FNO	pardon
xxx	NOM	<unknown>
alors	ADV	alors
qui	PRO:rel	qui
est	VER:pres	être
ce	DET:dem	ce
terrible	ADJ	terrible
chasseur	NOM	chasseur
.	NAM	<unknown>
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
tu	PRO:cls	tu
sais	VER:pres	savoir
pas	ADV	pas
l'	DET:def	le
orque	NOM	orque
l'	DET:def	le
orque	NOM	orque
on	PRO:cls	on
le	PRO:clo	le
reconnait	VER:impf	<unknown>
bien	ADV	bien
aux	PRP:det	au
dessins	NOM	dessin
que	PRO:rel	que
forment	VER:pres	former
ses	DET:pos	son
tâches	NOM	tâche
blanches	ADJ	blanc
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
comment	PRO:int	comment
il	PRO:cls	il
est	VER:pres	être
.	NAM	<unknown>
non	FNO	non
non	FNO	non
non	FNO	non
tu	PRO:cls	tu
as	AUX:pres	avoir
pas	ADV	pas
fini	VER:pper	finir
tu	PRO:cls	tu
veux	VER:pres	vouloir
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
celui-là	PRO:dem	celui-là
.	VER:subp	<unknown>
hum	FNO	hum
qui	PRO:rel	qui
est	VER:pres	être
cette	DET:dem	ce
sorte	NOM	sorte
de	PRP	de
dauphin	NOM	dauphin
blanc	ADJ	blanc
.	NAM	<unknown>
un	DET:ind	un
dauphin	NOM	dauphin
oui	FNO	oui
ça	PRO:cls	ça
s'	PRO:clo	se
appelle	VER:pres	appeler
le	DET:def	le
béluga	NOM	béluga
c'	PRO:cls	ce
