aujourd'hui	ADV	aujourd'hui
vingt-deux	NUM	@card@
octobre	NOM	octobre
dix-sept	NUM	@card@
heures	NOM	heure
enregistrement	NOM	enregistrement
avec	PRP	avec
Mathilde	NOM	<unknown>
dans	PRP	dans
sa	DET:pos	son
chambre	NOM	chambre
donc	ADV	donc
euh	INT	euh
tu	PRO:cls	tu
veux	VER:pres	vouloir
prendre	VER:infi	prendre
un	DET:ind	un
livre	NOM	livre
comme	KON	comme
support	NOM	support
Mathilde	NOM	<unknown>
.	NAM	<unknown>
hum	FNO	hum
qui	PRO:rel	qui
parle	VER:pres	parler
de	PRP	de
quoi	INT	quoi
?	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
le	DET:def	le
titre	NOM	titre
.	NAM	<unknown>
les	DET:def	le
dinosaures	NOM	dinosaure
les	DET:def	le
dinosaures	NOM	dinosaure
ça	PRO:cls	ça
t'	PRO:clo	te
intéresse	VER:pres	intéresser
les	DET:def	le
dinosaures	NOM	dinosaure
.	NAM	<unknown>
oui	FNO	oui
et	KON	et
xxx	NOM	<unknown>
par	PRP	par
exemple	NOM	exemple
si	KON	si
on	PRO:cls	on
prend	VER:pres	prendre
la	DET:def	le
l'	DET:def	le
image	NOM	image
là	ADV	là
tu	PRO:cls	tu
pourrais	VER:cond	pouvoir
me	PRO:clo	me
la	PRO:clo	le
décrire	VER:infi	décrire
.	VER:infi	<unknown>
tout	DET:pre	tout
ça	PRO:ton	ça
.	NAM	<unknown>
ouais	FNO	ouais
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
tu	PRO:cls	tu
vois	VER:pres	voir
sur	PRP	sur
l'	DET:def	le
image	NOM	image
là	ADV	là
.	VER:simp	<unknown>
alors	ADV	alors
un	DET:ind	un
grand	ADJ	grand
dinosaure	NOM	dinosaure
un	DET:ind	un
carnivore	ADJ	carnivore
avec	PRP	avec
de	DET:ind	un
grandes	ADJ	grand
dents	NOM	dent
ouais	FNO	ouais
qui	PRO:rel	qui
est	VER:pres	être
près	ADV	près
d'	PRP	un
un	DET:ind	un
lac	NOM	lac
à	PRP	à
côté	NOM	côté
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
grands	ADJ	grand
palmiers	NOM	palmier
avec	PRP	avec
un	DET:ind	un
diplodocus	NOM	diplodocus
qui	PRO:rel	qui
est	VER:pres	être
en	PRP	en
train	NOM	train
de	PRP	de
manger	VER:infi	manger
les	DET:def	le
feuilles	NOM	feuille
dis	VER:pres	dire
donc	ADV	donc
tu	PRO:cls	tu
connais	VER:pres	connaître
bien	ADV	bien
les	DET:def	le
noms	NOM	nom
hein	INT	hein
.	NAM	<unknown>
tu	PRO:cls	tu
as	AUX:pres	avoir
appris	VER:pper	apprendre
tout	DET:pre	tout
ça	PRO:ton	ça
où	PRO:rel	où
.	NAM	<unknown>
ben	INT	ben
dans	PRP	dans
mon	DET:pos	mon
xxx	NOM	<unknown>
avant	ADV	avant
que	KON	que
j'	PRO:cls	je
ai	VER:pres	avoir
-ci	ADV	-ci
celui	PRO:dem	celui
parce	TRC	parce
que	KON	que
-ci	ADV	-ci
celui	PRO:dem	celui
je	PRO:cls	je
l'	PRO:clo	le
ai	AUX:pres	avoir
reçu	VER:pper	recevoir
que	KON	que
hier	ADV	hier
hum	FNO	hum
hum	FNO	hum
je	PRO:cls	je
les	DET:def	le
commandé	ADJ	commandé
à	PRP	à
la	DET:def	le
bibliothèque	NOM	bibliothèque
ouais	FNO	ouais
et	KON	et
tu	PRO:cls	tu
as	VER:pres	avoir
xxx	NOM	<unknown>
déjà	ADV	déjà
un	DET:ind	un
peu	NOM	peu
regardé	VER:pper	regarder
le	DET:def	le
livre	NOM	livre
.	NAM	<unknown>
hum	FNO	hum
tu	PRO:cls	tu
as	AUX:pres	avoir
appris	VER:pper	apprendre
des	DET:ind	un
choses	NOM	chose
à	PRP	à
côté	NOM	côté
du	PRP:det	du
grand	ADJ	grand
dinosaure	NOM	dinosaure
eh	INT	eh
bien	ADV	bien
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
un	DET:ind	un
très	ADV	très
très	ADV	très
grand	ADJ	grand
dinosaure	NOM	dinosaure
en	PRP	en
xxx	NOM	<unknown>
voit	VER:pres	voir
que	KON	que
la	DET:def	le
tête	NOM	tête
oui	FNO	oui
qui	PRO:rel	qui
a	VER:pres	avoir
des	DET:ind	un
grandes	ADJ	grand
griffes	NOM	griffe
une	DET:ind	un
longue	ADJ	long
langue	NOM	langue
rose	ADJ	rose
hum	FNO	hum
et	KON	et
hum	FNO	hum
des	DET:ind	un
grosses	ADJ	gros
dents	NOM	dent
pointues	ADJ	pointu
acérées	VER:pper	acérer
ouais	FNO	ouais
ça	PRO:cls	ça
va	VER:pres	aller
ils	PRO:cls	il
font	VER:pres	faire
pas	ADV	pas
trop	ADV	trop
peur	NOM	peur
hein	INT	hein
sur	PRP	sur
la	DET:def	le
photo	NOM:trc	photographie
hein	INT	hein
.	NAM	<unknown>
non	FNO	non
hein	INT	hein
?	NAM	<unknown>
ils	PRO:cls	il
sont	VER:pres	être
grands	ADJ	grand
quand	KON	quand
même	ADV	même
ils	PRO:cls	il
ont	VER:pres	avoir
l'	DET:def	le
air	NOM	air
très	ADV	très
grand	ADJ	grand
par	PRP	par
rapport	NOM	rapport
à	PRP	à
aux	PRP:det	au
petits	ADJ	petit
là	ADV	là
qu'	KON	que
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
tu	PRO:cls	tu
vois	VER:pres	voir
.	NAM	<unknown>
on	PRO:cls	on
regarde	VER:pres	regarder
d'	DET:ind	un
autres	ADJ	autre
images	NOM	image
.	VER:impe	<unknown>
-y	PRO:clo	y
vas	VER:impe	aller
prends	VER:impe	prendre
celles	PRO:dem	celui
que	PRO:rel	que
tu	PRO:cls	tu
veux	VER:pres	vouloir
prendre	VER:infi	prendre
quelque	ADJ	<unknown>
chose	NOM	chose
qui	PRO:rel	qui
est	VER:pres	être
euh	INT	euh
ça	PRO:ton	ça
ça	PRO:ton	ça
alors	ADV	alors
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
elle	PRO:cls	elle
te	PRO:clo	te
dit	VER:pres	dire
cette	DET:dem	ce
image	NOM	image
.	NAM	<unknown>
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
un	DET:ind	un
dinosaure	NOM	dinosaure
qui	PRO:rel	qui
est	VER:pres	être
petit	ADJ	petit
de	PRP	de
petite	ADJ	petit
taille	NOM	taille
mais	KON	mais
qui	PRO:rel	qui
a	VER:pres	avoir
des	DET:ind	un
gros	ADJ	gros
crocs	NOM	croc
crocs	NOM	croc
qui	PRO:rel	qui
est	VER:pres	être
carnivore	ADJ	carnivore
qui	PRO:rel	qui
est	VER:pres	être
en	PRP	en
train	NOM	train
de	PRP	de
chasser	VER:infi	chasser
un	DET:ind	un
petit	ADJ	petit
animal	NOM	animal
ouais	FNO	ouais
petit	ADJ	petit
dinosaure	NOM	dinosaure
ouais	FNO	ouais
et	KON	et
là	ADV	là
pour	PRP	pour
euh	INT	euh
xxx	NOM	<unknown>
il	PRO:cls	il
a	VER:pres	avoir
un	DET:ind	un
énorme	ADJ	énorme
pouce	NOM	pouce
avec	PRP	avec
une	DET:ind	un
très	ADV	très
grosse	ADJ	gros
griffe	NOM	griffe
sa	DET:pos	son
patte	NOM	patte
meurtrière	ADJ	meurtrier
ouais	FNO	ouais
à	PRP	à
sa	DET:pos	son
patte	NOM	patte
hum	FNO	hum
et	KON	et
tu	PRO:cls	tu
arrives	VER:pres	arriver
euh	INT	euh
par	PRP	par
exemple	NOM	exemple
lire	VER:infi	lire
euh	INT	euh
le	DET:def	le
le	DET:def	le
mot	NOM	mot
.	NAM	<unknown>
le	DET:def	le
nom	NOM	nom
d-	TRC	d-
de	PRP	de
ce	DET:dem	ce
dinosaure	NOM	dinosaure
là	ADV	là
.	VER:simp	<unknown>
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
difficile	ADJ	difficile
quand	KON	quand
même	ADV	même
hein	INT	hein
.	NAM	<unknown>
xxx	NOM	<unknown>
ouais	FNO	ouais
.	NAM	<unknown>
xxx	NOM	<unknown>
oui	FNO	oui
xxx	NOM	<unknown>
ouais	FNO	ouais
xxx	NOM	<unknown>
xxx	NOM	<unknown>
tyranosaure	NOM	<unknown>
tyranosaure	NOM	<unknown>
ben	INT	ben
dis	VER:pres	dire
donc	ADV	donc
tu	PRO:cls	tu
sais	VER:pres	savoir
bien	ADV	bien
lire	VER:infi	lire
pour	PRP	pour
ton	DET:pos	ton
âge	NOM	âge
et	KON	et
ils	PRO:cls	il
sont	VER:pres	être
combien	PRO:int	combien
là	ADV	là
?	NAM	<unknown>
sur	PRP	sur
cette	DET:dem	ce
page	NOM	page
.	NOM:sig	<unknown>
tous	PRO:ind	tout
euh	INT	euh
les	DET:def	le
tous	PRO:ind	tout
.	NOM:sig	<unknown>
ouais	FNO	ouais
ils	PRO:cls	il
sont	VER:pres	être
combien	PRO:int	combien
.	NOM:sig	<unknown>
un	NUM	@card@
deux	NUM	@card@
trois	NUM	@card@
quatre	NUM	@card@
cinq	NUM	@card@
six	NUM	@card@
six	NUM	@card@
ouais	FNO	ouais
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
on	PRO:cls	on
dirait	VER:cond	dire
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
lui	PRO:ton	lui
le	DET:def	le
chef	NOM	chef
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
il	PRO:cls	il
est	VER:pres	être
il	PRO:cls	il
est	VER:pres	être
au-dessus	ADV	au-dessus
il	PRO:cls	il
est	VER:pres	être
plus	ADV	plus
euh	INT	euh
tu	PRO:cls	tu
vois	VER:pres	voir
ce	PRO:dem	ce
que	PRO:rel	que
je	PRO:cls	je
veux	VER:pres	vouloir
hum	FNO	hum
dire	VER:infi	dire
.	NAM	<unknown>
il	PRO:cls	il
est	VER:pres	être
au-dessus	ADV	au-dessus
sur	PRP	sur
la	DET:def	le
colline	NOM	colline
on	PRO:cls	on
dirait	VER:cond	dire
que	KON	que
il	PRO:cls	il
regarde	VER:pres	regarder
tous	DET:pre	tout
les	DET:def	le
autres	ADJ	autre
tu	PRO:cls	tu
es	VER:pres	être
d'	PRP	un
accord	NOM	accord
.	NAM	<unknown>
ouais	FNO	ouais
on	PRO:cls	on
a	VER:pres	avoir
l'	DET:def	le
impression	NOM	impression
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
pas	ADV	pas
vraiment	ADV	vraiment
de	PRP	de
chef	NOM	chef
après	ADV	après
je	PRO:cls	je
quand	KON	quand
je	PRO:cls	je
trouverai	VER:futu	trouver
une	DET:ind	un
autre	ADJ	autre
page	NOM	page
hum	FNO	hum
et	KON	et
ben	INT	ben
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
.	NOM:sig	<unknown>
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
dinosaures	NOM	dinosaure
qui	PRO:rel	qui
ont	VER:pres	avoir
un	DET:ind	un
truc	NOM	truc
des	PRP:det	du
cornes	NOM	corne
enfin	ADV	enfin
un	DET:ind	un
crâne	NOM	crâne
ouais	FNO	ouais
un	DET:ind	un
gros	ADJ	gros
crâne	NOM	crâne
qui	PRO:rel	qui
protège	VER:pres	protéger
leur	DET:pos	leur
cerveau	NOM	cerveau
et	KON	et
ils	PRO:cls	il
se	PRO:clo	se
battent	VER:pres	battre
tête	NOM	tête
contre	PRP	contre
tête	NOM	tête
pour	PRP	pour
être	VER:infi	être
le	DET:def	le
maître	NOM	maître
du	PRP:det	du
troupeau	NOM	troupeau
ah	INT	ah
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
tu	PRO:cls	tu
peux	VER:pres	pouvoir
me	PRO:clo	me
montrer	VER:infi	montrer
une	DET:ind	un
page	NOM	page
par	PRP	par
exemple	NOM	exemple
qui	PRO:rel	qui
qui	PRO:rel	qui
