interview	NOM	interview
d'	PRP	un
un	DET:ind	un
pompier	ADJ	pompier
professionnel	NOM	professionnel
alors	ADV	alors
-tu	PRO:cls	tu
peux	VER:pres	pouvoir
me	PRO:clo	me
dire	VER:infi	dire
en	PRP	en
quoi	PRO:int	quoi
consiste	VER:pres	consister
ton	DET:pos	ton
travail	NOM	travail
alors	ADV	alors
mon	DET:pos	mon
travail	NOM	travail
ben	INT	ben
je	PRO:cls	je
suis	VER:pres	être
pompier	ADJ	pompier
je	PRO:cls	je
suis	VER:pres	être
pompier	ADJ	pompier
c'	PRO:cls	ce
est-à-dire	VER:cond	<unknown>
euh	INT	euh
ben	INT	ben
tout	DET:pre	tout
ce	PRO:dem	ce
qui	PRO:rel	qui
se	PRO:clo	se
rattache	VER:pres	rattacher
au	PRP:det	au
terme	NOM	terme
de	PRP	de
pompier	NOM	pompier
les	DET:def	le
porter	NOM	porter
secours	NOM	secours
assister	VER:infi	assister
les	DET:def	le
personnes	NOM	personne
en	PRP	en
danger	NOM	danger
intervenir	VER:infi	intervenir
sur	PRP	sur
les	DET:def	le
différents	ADJ	différent
feux	NOM	feu
feux	ADJ	feu
urbains	ADJ	urbain
feux	NOM	feu
de	PRP	de
forêts	NOM	forêt
surtout	ADV	surtout
ici	ADV	ici
dans	PRP	dans
le	DET:def	le
Midi	NOM	midi
hum	FNO	hum
hum	FNO	hum
et	KON	et
puis	KON	puis
tout	DET:pre	tout
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
appelle	VER:pres	appeler
nous	PRO:ton	nous
les	DET:def	le
opérations	NOM	opération
diverses	ADJ	divers
c'	PRO:cls	ce
est-à-dire	VER:cond	<unknown>
fuite	NOM	fuite
d'	PRP	un
eau	NOM	eau
le	DET:def	le
chat	NOM	chat
qui	PRO:rel	qui
est	VER:pres	être
sur	PRP	sur
l'	DET:def	le
arbre	NOM	arbre
qui	PRO:rel	qui
arrive	VER:pres	arriver
plus	ADV	plus
à	PRP	à
descendre	VER:infi	descendre
le	DET:def	le
nid	NOM	nid
de	PRP	de
frelons	NOM	frelon
et	KON	et
caetera	VER:futu	<unknown>
et	KON	et
caetera	VER:futu	<unknown>
quoi	INT	quoi
c'	PRO:cls	ce
est	AUX:pres	être
assez	ADV	assez
étendu	VER:pper	étendre
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
travail	NOM	travail
très	ADV	très
varié	VER:pper	varier
quoi	INT	quoi
ouais	FNO	ouais
c'	PRO:cls	ce
est	AUX:pres	être
varié	VER:pper	varier
euh	INT	euh
ouais	FNO	ouais
parce	TRC	parce
que	KON	que
chaque	DET:ind	chaque
intervention	NOM	intervention
est	VER:pres	être
différente	ADJ	différent
quoi	INT	quoi
tu	PRO:cls	tu
tomberas	VER:futu	tomber
jamais	ADV	jamais
sur	PRP	sur
sur	PRP	sur
le	DET:def	le
même	ADJ	même
accident	NOM	accident
tu	PRO:cls	tu
verras	VER:futu	voir
jamais	ADV	jamais
le	DET:def	le
même	ADJ	même
feu	NOM	feu
tu	PRO:cls	tu
hum	FNO	hum
hum	FNO	hum
enfin	ADV	enfin
tu	PRO:cls	tu
dois	VER:pres	devoir
faire	VER:infi	faire
face	ADV	face
à	PRP	à
certaines	DET:ind	certains
situations	NOM	situation
qui	PRO:rel	qui
qui	PRO:rel	qui
se	PRO:clo	se
ressemblent	VER:pres	ressembler
pas	ADV	pas
quoi	INT	quoi
d'	PRP	un
accord	NOM	accord
et	KON	et
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
tu	PRO:cls	tu
peux	VER:pres	pouvoir
me	PRO:clo	me
raconter	VER:infi	raconter
un	DET:ind	un
souvenir	NOM	souvenir
marquant	ADJ	marquant
dans	PRP	dans
ta	DET:pos	ton
carrière	NOM	carrière
de	PRP	de
pompier	NOM	pompier
un	DET:ind	un
souvenir	NOM	souvenir
marquant	ADJ	marquant
oui	FNO	oui
quelque	ADJ	<unknown>
chose	NOM	chose
qui	PRO:rel	qui
t'	PRO:clo	te
a	VER:pres	avoir
oh	INT	oh
ben	INT	ben
impressionné	VER:pper	impressionner
hum	FNO	hum
ou	KON	ou
pour	PRP	pour
moi	PRO:ton	moi
ben	INT	ben
jusqu'	PRP	jusque
à	PRP	à
maintenant	ADV	maintenant
ça	PRO:cls	ça
a	AUX:pres	avoir
été	VER:pper	être
le	DET:def	le
tremblement	NOM	tremblement
de	PRP	de
terre	NOM	terre
à	PRP	à
Mexico	NOM	<unknown>
qui	PRO:rel	qui
a	AUX:pres	avoir
eu	VER:pper	avoir
