,sent_id,sentence,flesch_reading_ease,smog_index,flesch_kincaid_grade,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,text_standard
0,0,"oui .
donc voilà une maison avec des personnages des animaux et d'autres objets .
donc j'aimerais que vous jouiez ensemble en iimaginant une histoire donc vous avez environs vingt minutes .",50.5,0.0,13.4,14.28,19.1,9.98,9,21.0,18.5,9th and 10th grade
1,1,vous vous inquiétez pas pour le temps .,89.75,0.0,2.5,5.75,3.6,6.24,1,3.0,2.8,2nd and 3rd grade
2,2,"je vous avertiriai quelques minutes avant la fin .
voilà vous pouvez commencer !",67.76,0.0,6.8,13.73,11.3,9.5,4,7.0,8.13,6th and 7th grade
3,3,on va commencer à mettre les les pièces ouais ?,87.72,0.0,3.3,4.78,2.9,7.59,2,4.0,3.6,3rd and 4th grade
4,4,ça c'est quoi à ton avis ?,99.23,0.0,0.9,-3.44,-2.8,0.3,0,2.5,2.4,0th and 1st grade
5,5,ah ça sera sur ce lit .,99.23,0.0,0.9,-5.36,-5.2,0.3,0,2.5,2.4,0th and 1st grade
6,6,"Nnh@o .
nan xxx !",93.81,0.0,0.9,-4.29,2.1,0.15,0,1.5,1.2,0th and 1st grade
7,7,soit sur le grand lit ou là ?,106.67,0.0,0.1,-2.55,-3.2,0.35,0,3.0,2.8,-1th and 0th grade
8,8,"euh .
la table à langer .
ah là y a encore regarde .",77.23,0.0,5.2,1.55,1.6,7.05,2,6.0,4.4,1st and 2nd grade
9,9,si ça va avec .,92.8,0.0,1.3,-8.71,-6.6,0.2,0,1.5,1.6,1st and 2nd grade
10,10,ça c'est la couette comme ça le bonhomme il va là .,85.69,0.0,4.0,1.55,1.2,7.05,2,5.0,4.4,3rd and 4th grade
11,11,"c'est ici .
ensuite .
vas-y met .
un petit lit .",80.28,0.0,4.1,5.0,6.1,7.98,2,5.0,3.2,4th and 5th grade
12,12,"Le bébé on va le mettre où ?
bah dans son berceau .",94.15,0.0,2.9,1.55,1.2,5.62,1,5.5,4.4,5th and 6th grade
13,13,ici ?,36.62,0.0,8.4,-28.01,-2.2,0.05,0,0.0,0.4,-1th and 0th grade
14,14,il est dans son berceau là .,99.23,0.0,0.9,-0.54,-1.2,0.3,0,2.5,2.4,-1th and 0th grade
15,15,"Eh bah on va mettre la table à langer là alors .
bébé où es-tu ?",82.65,0.0,5.2,1.62,2.4,5.46,1,7.0,5.6,5th and 6th grade
16,16,ah nan y en a deux en plus !,105.66,0.0,0.5,-5.85,-5.8,0.4,0,3.5,3.2,0th and 1st grade
17,17,"oh c'est chaud ça .
oups .",100.24,0.0,0.5,-0.85,0.9,0.25,0,2.5,2.0,0th and 1st grade
18,18,deux bébés euh un dodo .,83.32,0.0,2.9,-0.85,-1.1,7.04,1,2.0,2.0,1st and 2nd grade
19,19,"tiens là il y a encore une couette pour un lit on met ça là comme ça ..?
encore un petit lit .",84.0,0.0,6.8,1.8,5.5,6.93,3,11.5,8.4,6th and 7th grade
20,20,encrore un lit !,59.97,0.0,5.6,-2.38,0.5,9.05,1,1.0,1.2,0th and 1st grade
21,21,y en a pleins des lits !,99.23,0.0,0.9,-4.43,-4.4,0.3,0,2.5,2.4,0th and 1st grade
22,22,"c'est des jumelles là .
ah oui .",99.23,0.0,0.9,1.38,2.0,0.3,0,3.0,2.4,0th and 1st grade
23,23,"Elles ont xxx .
alors on a un landau pour mettre un bébé ...
ah tiens regarde il y a la poussette pour mettre bébé .
ah oui .",79.94,0.0,8.3,4.82,9.9,7.4,4,14.5,10.0,9th and 10th grade
