adj:num	deuxième
n	essai
n:prop	Romy
n:prop	Julie
PCT	.
prep	sur
?	"Les
num	cent
num	un
?	dalmatiens"
n	collection
n:prop	Panini
?	***
?	
PCT	.
adv	bon
adv	alors
n:prop	Romy
pro:subj	tu
pro:refl	me
v	expliquer
PCT	.
pro:int	ce+que
pro:subj&MASC	il
v:exist	il+y+a^v:exist|y+a
prep	dans
det&MASC&SING	le
n	livre
PCT	.
pro:int	ce+que
pro:subj	tu
v	voir
prep	sur
det&PL	les
PCT	.
n	image
PCT	.
pro:refl	te
v	étouffer
adv:neg	pas
PCT	.
v:exist	c'est
n:prop	Pongo
conj	et
n:prop	Dingo
PCT	.
v:exist	c'est
n:prop	Pongo
conj	et
n:prop	Dingo
PCT	?
adv:yn	non
co	eh
adv:yn	oui
v:exist	c'est
n:prop	Pongo
conj	et
pro:subj&FEM	elle
v:exist	c'est
n:prop	Perdita
PCT	.
n:prop	Perdita
conj	et
adv:place	là
v:exist	c'est
pro:int	qui
PCT	?
conj	et
co	ben
v:exist	c'est
n:prop	Pongo
conj	et
PCT	.
?	dis–donc
adv	mais
?	***
det&PL	les
?	***
PCT	.
n:prop	Perdita
PCT	.
det&PL	les
adj	humain
conj	aussi
pro:subj&MASC	ils
pro:refl	se
v	appeler
PCT	.
n:prop	Pongo
conj	et
n:prop	Perdita
PCT	?
adv:yn	non
pro:subj&MASC	ils
pro:refl	se
v	appeler
co	euh
co	hum
n:prop	Roger
v:exist	c'est
det&MASC&SING	le
n	garçon
PCT	.
adv:yn	oui
PCT	.
conj	et
co	euh
?	*
co	euh
pro:subj	je
v:mdl	savoir
adv:neg	plus
PCT	.
adv:int	comment
pro:subj&FEM	elle
pro:refl	se
v	appeler
det&FEM&SING	la
n	fille
PCT	.
v:exist	c'est
n	pas
n	grave
conj	alors
adv:place	là
co	ben
v:exist	c'est
n:prop	Pongo
PCT	.
co	ben
PCT	.
?	***
PCT	.
adv:place	là
v:exist	c'est
PCT	.
n:prop	Pongo
prep	avec
n:prop	Roger
conj	et+puis
pro&SING	lui
v:exist	c'est
det&MASC&SING	le
n	méchant
PCT	.
conj	et
n:prop	Pongo
conj	et
n:prop	Roger
v:exist	être
prep:art	au
n	parc
PCT	.
adv:yn	oui
conj	et
pro:subj&FEM	elle
adv	aussi
pro:subj&FEM	elle
v:exist	être
adj	méchant
PCT	.
adv:yn	ouais
v:exist	c'est
n:prop	Cruella
PCT	.
conj	ou
pro:subj&FEM	elle
v:exist	être
adj	gentil^adj|gentille
PCT	?
co	ah
adv:yn	ouais
pro:subj&FEM	elle
v:exist	être
adv:neg	pas
n&FEM	belle
co	hein
PCT	?
adv:yn	ouais
adv:neg	pas
det&MASC&SING	du
?	***
n&FEM	belle
conj	et
pro:subj&FEM	elle
v:mdl	vouloir
v-INF	prendre
PCT	.
pro:subj&FEM	elle
v:mdl	vouloir
v-INF	tuer
det&PL	les
n-MASC	chien
conj	pour
co	euh
v:mdllex-INF	faire
prep	de
det&MASC&SING	un
n	manteau
PCT	.
det&MASC&SING	un
n	manteau
prep:art	de
n	fourrure
PCT	.
adv:yn	ouais
PCT	.
v:exist	c'est
adj	moche
co	hein
PCT	?
?	beurk
