"filename" "sentence" "value"
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Julie_5.85.txt.13" "chi_Julie_5.85.txt" "hum peut être que si parce que Ulysse a rangé tout ceux qu'il voulait pas qu'on ait." 5
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_4.15.txt.44" "chi_Madeleine_4.15.txt" "c'est toi  peut être on pourrait dire que y avait deux princesses!" 5
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_2.87.txt.133" "chi_Adrien_2.87.txt" "non c'est papa c'est papa!
va papa va papa!
ici papa!
oh x@pm pas là papa!
allez papa!
allez papa!
ah x@pm pas bon!
x@pm pas là papa!
x@pm pas là papa!
yyy yyy yyy yyy." 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.37.txt.48" "chi_Adrien_3.37.txt" "c'est tout sale!
as vu là?
x@pm les veux!
et elle non!
si si yyy yyy yyy x@pm va pas casser le stylo!
et moi?
assis papa!
comme ça!
enlève la yyy enlève ça papa!
enlève ça papa!
enlève ça ici!" 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.45.txt.142" "chi_Adrien_3.45.txt" "vais x@pm vais casser!
oh ça casse!
ça casse pas!
a cassé elle!
x@pm veux la casser!" 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.68.txt.54" "chi_Adrien_3.68.txt" "je suis caché!
viens viens!
attends veux voir Naomi!
fais comme ça!
j'arrive pas le faire!" 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.68.txt.109" "chi_Adrien_3.68.txt" "c'est papa!
attends veux voir papa!
papa t'as vu hé regarde!" 4
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.95.txt.198" "chi_Adrien_3.95.txt" "Naomi tu t'endors pas!
moi je dors pas!
t'en as fait un comme moi?
non attends attends!
tu le mets où?
le mets où?
