merci	FNO	merci
alors	ADV	alors
le	DET:def	le
début	NOM	début
on	PRO:cls	on
a	AUX:pres	avoir
dit	VER:pper	dire
.	NAM	<unknown>
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
ben	INT	ben
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
.	ADJ	<unknown>
choupi	NOM	<unknown>
et	KON	et
.	NAM	<unknown>
.	NAM	<unknown>
choupi	NOM	<unknown>
et	KON	et
Doudou	NOM	doudou
et	KON	et
Doudou	NOM	doudou
.	NAM	<unknown>
oui	FNO	oui
et	KON	et
Doudou	NOM	doudou
moi	PRO:ton	moi
j'	PRO:cls	je
aime	VER:pres	aimer
les	DET:def	le
.	ADJ	<unknown>
choupi	NOM	<unknown>
alors	ADV	alors
là	ADV	là
tu	PRO:cls	tu
me	PRO:clo	me
dis	VER:pres	dire
les	DET:def	le
choses	NOM	chose
tu	PRO:cls	tu
vois	VER:pres	voir
tu	PRO:cls	tu
as	AUX:pres	avoir
loupé	VER:pper	louper
une	DET:ind	un
page	NOM	page
ah	INT	ah
oui	FNO	oui
oh	INT	oh
regarde	VER:impe	regarder
oh	INT	oh
son	DET:pos	son
dou-	NOM	<unknown>
dou	NOM	<unknown>
ah	INT	ah
ben	INT	ben
non	FNO	non
il	PRO:cls	il
faut	VER:pres	falloir
que	KON	que
tu	PRO:cls	tu
me	PRO:clo	me
racontes	VER:pres	raconter
ben	INT	ben
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
le	PRO:clo	le
raconter	VER:infi	raconter
mais	KON	mais
si	KON	si
hein	INT	hein
mais	KON	mais
non	FNO	non
là	ADV	là
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
tu	PRO:cls	tu
as	AUX:pres	avoir
pas	ADV	pas
lu	VER:pper	lire
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
?	NOM:sig	<unknown>
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
quand	PRO:int	quand
?	NOM:sig	<unknown>
à	PRP	à
ton	DET:pos	ton
avis	NOM	avis
.	NAM	<unknown>
très	ADV	très
longtemps	ADV	longtemps
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
très	ADV	très
longtemps	ADV	longtemps
.	VER:simp	<unknown>
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
petit	ADJ	petit
déjeuner	NOM	déjeuner
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
moment	NOM	moment
qu'	KON	que
on	PRO:cls	on
mange	VER:pres	manger
voilà	FNO	voilà
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
moment	NOM	moment
où	PRO:rel	où
l'	PRO:clo	le
on	PRO:cls	on
mange	VER:pres	manger
et	KON	et
l-	TRC	l-
le	DET:def	le
lait	NOM	lait
le	DET:def	le
lait	NOM	lait
tu	PRO:cls	tu
manges	VER:pres	manger
quoi	PRO:int	quoi
le	DET:def	le
matin	NOM	matin
.	NAM	<unknown>
le	DET:def	le
l-	TRC	l-
le	DET:def	le
bifteck	NOM	bifteck
tu	PRO:cls	tu
manges	VER:pres	manger
du	DET:par	du
bifteck	NOM	bifteck
le	DET:def	le
matin	NOM	matin
.	NAM	<unknown>
non	FNO	non
non	FNO	non
le	DET:def	le
lait	NOM	lait
voilà	FNO	voilà
tu	PRO:cls	tu
bois	VER:pres	boire
que	KON	que
du	PRP:det	du
lait	NOM	lait
le	DET:def	le
matin	NOM	matin
.	NAM	<unknown>
oui	FNO	oui
avec	PRP	avec
des	DET:ind	un
céréales	NOM	céréale
d'	PRP	un
accord	NOM	accord
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
oui	FNO	oui
d'	PRP	un
accord	NOM	accord
maman	NOM	maman
elle	PRO:cls	elle
m'	PRO:clo	me
en	PRO:clo	en
