voilà	FNO	voilà
alors	ADV	alors
tu	PRO:cls	tu
as	AUX:pres	avoir
bien	ADV	bien
aimé	VER:pper	aimer
l'	DET:def	le
histoire	NOM	histoire
.	NAM	<unknown>
hum	FNO	hum
oui	FNO	oui
tu	PRO:cls	tu
me	PRO:clo	me
dis	VER:pres	dire
ce	PRO:dem	ce
que	PRO:rel	que
tu	PRO:cls	tu
as	AUX:pres	avoir
compris	VER:pper	comprendre
.	NAM	<unknown>
comment	PRO:int	comment
tu	PRO:cls	tu
me	PRO:clo	me
la	PRO:clo	le
racontes	VER:pres	raconter
l'	DET:def	le
histoire	NOM	histoire
maintenant	ADV	maintenant
toi	PRO:ton	toi
.	VER:futu	<unknown>
maintenant	ADV	maintenant
hum	FNO	hum
que	KON	que
je	PRO:cls	je
te	PRO:clo	te
l'	PRO:clo	le
ai	AUX:pres	avoir
racontée	VER:pper	raconter
?	NAM	<unknown>
tu	PRO:cls	tu
veux	VER:pres	vouloir
bien	ADV	bien
.	NOM:sig	<unknown>
hum	FNO	hum
là	ADV	là
je	PRO:cls	je
sais	VER:pres	savoir
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
bus	NOM	bus
hum	FNO	hum
hum	FNO	hum
et	KON	et
là	ADV	là
il	PRO:clsi	il
se	PRO:clo	se
passe	VER:pres	passer
quoi	INT	quoi
alors	ADV	alors
.	VER:simp	<unknown>
il	PRO:cls	il
monte	VER:pres	monter
dans	PRP	dans
le	DET:def	le
bus	NOM	bus
là	ADV	là
c'	PRO:cls	ce
était	VER:impf	être
quand	KON	quand
.	NAM	<unknown>
il	PRO:cls	il
hum	FNO	hum
il	PRO:clsi	il
se	PRO:clo	se
réveille	VER:pres	réveiller
oui	FNO	oui
il	PRO:cls	il
met	VER:pres	mettre
il	PRO:cls	il
fait	VER:pres	faire
quoi	INT	quoi
là	ADV	là
.	VER:simp	<unknown>
il	PRO:cls	il
met	VER:pres	mettre
tous	DET:pre	tout
les	DET:def	le
crayons	NOM	crayon
dans	PRP	dans
une	DET:ind	un
trousse	NOM	trousse
parce	TRC	parce
que	KON	que
moi	PRO:ton	moi
j'	PRO:cls	je
ai	VER:pres	avoir
une	DET:ind	un
trousse	NOM	trousse
aussi	ADV	aussi
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
.	NAM	<unknown>
hum	FNO	hum
et	KON	et
puis	KON	puis
tu	PRO:cls	tu
as	VER:pres	avoir
plein	ADV	plein
de	PRP	de
crayons	NOM	crayon
dedans	ADV	dedans
.	VER:simp	<unknown>
hum	FNO	hum
j'	PRO:cls	je
ai	VER:pres	avoir
aussi	ADV	aussi
des	DET:ind	un
feutres	NOM	feutre
ah	INT	ah
ouais	FNO	ouais
et	KON	et
tu	PRO:cls	tu
hum	FNO	hum
fais	VER:pres	faire
