ouh	INT	ouh
tu	PRO:cls	tu
es	VER:pres	être
malade	ADJ	malade
hum	FNO	hum
oui	FNO	oui
.	NAM	<unknown>
alors	ADV	alors
de	PRP	de
quoi	INT	quoi
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
ça	PRO:cls	ça
parle	VER:pres	parler
là	ADV	là
.	VER:infi	<unknown>
le	DET:def	le
début	NOM	début
de	PRP	de
l'	DET:def	le
histoire	NOM	histoire
.	NAM	<unknown>
ça	PRO:cls	ça
parle	VER:pres	parler
de	PRP	de
qui	PRO:rel	qui
?	NAM	<unknown>
hein	INT	hein
.	NAM	<unknown>
d'	PRP	un
une	DET:ind	un
petite	ADJ	petit
fille	NOM	fille
qui	PRO:rel	qui
s'	PRO:clo	se
appelle	VER:pres	appeler
comment	PRO:int	comment
.	NAM	<unknown>
vous	PRO:cls	vous
vous	PRO:clo	vous
rappelez	VER:pres	rappeler
.	VER:impe	<unknown>
Elfie	VER:impe	<unknown>
Elfie	VER:impe	<unknown>
oui	FNO	oui
super	ADV	super
Elfie	NOM	<unknown>
et	KON	et
alors	ADV	alors
.	VER:simp	<unknown>
elle	PRO:cls	elle
a	AUX:pres	avoir
donné	VER:pper	donner
son	DET:pos	son
nom	NOM	nom
tout	ADV	tout
à	PRP	à
l'	DET:def	le
heure	NOM	heure
vous	PRO:cls	vous
m'	PRO:clo	me
avez	AUX:pres	avoir
donné	VER:pper	donner
votre	DET:pos	votre
nom	NOM	nom
oui	FNO	oui
oui	FNO	oui
et	KON	et
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
vous	PRO:cls	vous
avez	VER:pres	avoir
le	DET:def	le
même	ADJ	même
nom	NOM	nom
?	NAM	<unknown>
non	FNO	non
non	FNO	non
et	KON	et
le	DET:def	le
même	ADJ	même
prénom	NOM	prénom
.	NAM	<unknown>
non	FNO	non
non	FNO	non
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
vous	PRO:cls	vous
connaissez	VER:pres	connaître
quelqu'un	PRO:ind	quelqu'un
qui	PRO:rel	qui
a	VER:pres	avoir
le	DET:def	le
même	ADJ	même
euh	INT	euh
prénom	NOM	prénom
que	KON	que
vous	PRO:cls	vous
.	VER:cond	<unknown>
oui	FNO	oui
moi	PRO:ton	moi
tu	PRO:cls	tu
connais	VER:pres	connaître
quelqu'un	PRO:ind	quelqu'un
.	NOM:sig	<unknown>
oui	FNO	oui
qui	PRO:rel	qui
c'	PRO:cls	ce
est	VER:pres	être
.	NAM	<unknown>
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
une	DET:ind	un
fille	NOM	fille
euh	INT	euh
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
copine	NOM	copine
à	PRP	à
ma	DET:pos	mon
mamie	NOM	mamie
ouais	FNO	ouais
et	KON	et
toi	PRO:ton	toi
tu	PRO:cls	tu
connais	VER:pres	connaître
quelqu'un	PRO:ind	quelqu'un
qui	PRO:rel	qui
a	VER:pres	avoir
le	DET:def	le
même	ADJ	même
prénom	NOM	prénom
que	KON	que
toi	PRO:ton	toi
.	NAM	<unknown>
non	FNO	non
et	KON	et
cette	DET:dem	ce
fille	NOM	fille
elle	PRO:cls	elle
est	VER:pres	être
la	DET:def	le
même	ADJ	même
fi-	TRC	fi-
elle	PRO:cls	elle
est	VER:pres	être
comme	KON	comme
toi	PRO:ton	toi
.	NAM	<unknown>
non	FNO	non
mais	KON	mais
elle	PRO:cls	elle
a	VER:pres	avoir
le	DET:def	le
même	ADJ	même
prénom	NOM	prénom
.	NAM	<unknown>
oui	FNO	oui
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
vous	PRO:cls	vous
croyez	VER:pres	croire
que	KON	que
dans	PRP	dans
le	DET:def	le
monde	NOM	monde
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
une	DET:ind	un
petite	ADJ	petit
fille	NOM	fille
qui	PRO:rel	qui
s'	PRO:clo	se
appelle	VER:pres	appeler
comme	KON	comme
toi	PRO:ton	toi
.	NAM	<unknown>
ah	INT	ah
si	KON	si
j'	PRO:cls	je
en	PRO:clo	en
connais	VER:pres	connaître
une	DET:ind	un
tu	PRO:cls	tu
en	PRO:clo	en
connais	VER:pres	connaître
une	DET:ind	un
.	NOM:sig	<unknown>
une	DET:ind	un
grande	ADJ	grand
qui	PRO:rel	qui
fait	VER:pres	faire
de	PRP	de
la	DET:def	le
danse	NOM	danse
une	DET:ind	un
grande	ADJ	grand
qui	PRO:rel	qui
fait	VER:pres	faire
de	PRP	de
la	DET:def	le
danse	NOM	danse
/c'est/	MLT	<unknown>
une	DET:ind	un
maman	NOM	maman
elle	PRO:cls	elle
s'	PRO:clo	se
est	AUX:pres	être
cassée	VER:pper	casser
le	DET:def	le
bras	NOM	bras
en	PRP	en
faisant	VER:ppre	faire
de	PRP	de
la	DET:def	le
danse	NOM	danse
.	NAM	<unknown>
non	FNO	non
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
comment	PRO:int	comment
parce	TRC	parce
que	KON	que
moi	PRO:ton	moi
je	PRO:cls	je
fais	VER:pres	faire
pas	ADV	pas
de	PRP	de
la	DET:def	le
danse	NOM	danse
je	PRO:cls	je
fais	VER:pres	faire
de	PRP	de
la	DET:def	le
gym	NOM	<unknown>
d'	PRP	un
accord	NOM	accord
et	KON	et
où	PRO:int	où
tu	PRO:cls	tu
l'	PRO:clo	le
as	AUX:pres	avoir
vue	VER:pper	voir
cette	DET:dem	ce
dame	NOM	dame
.	NAM	<unknown>
ben	INT	ben
c'	PRO:cls	ce
est	VER:pres	être
Eva	NOM	<unknown>
qui	PRO:rel	qui
me	PRO:clo	me
l'	PRO:clo	le
a	AUX:pres	avoir
dit	VER:pper	dire
d'	PRP	un
accord	NOM	accord
mais	KON	mais
donc	ADV	donc
ça	PRO:cls	ça
veut	VER:pres	vouloir
dire	VER:infi	dire
que	KON	que
tout	DET:pre	tout
le	DET:def	le
monde	NOM	monde
a	VER:pres	avoir
un	DET:ind	un
prénom	NOM	prénom
et	KON	et
un	DET:ind	un
nom	NOM	nom
c'	PRO:cls	ce
est	VER:pres	être
ce	PRO:dem	ce
que	PRO:rel	que
dit	VER:pres	dire
Elfie	NOM	<unknown>
hein	INT	hein
.	NAM	<unknown>
oui	FNO	oui
ouais	FNO	ouais
et	KON	et
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
vous	PRO:cls	vous
seriez	VER:cond	être
quelqu'un	PRO:ind	quelqu'un
d'	PRP	un
autre	ADJ	autre
si	KON	si
vous	PRO:cls	vous
aviez	VER:impf	avoir
un	DET:ind	un
autre	ADJ	autre
prénom	NOM	prénom
.	NAM	<unknown>
ah	INT	ah
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
première	ADJ	premier
grande	ADJ	grand
question	NOM	question
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
tu	PRO:cls	tu
serais	VER:cond	être
quelqu'un	PRO:ind	quelqu'un
d'	PRP	un
autre	ADJ	autre
si	KON	si
tu	PRO:cls	tu
ne	ADV	ne
t'	PRO:clo	te
appelais	VER:impf	appeler
pas	ADV	pas
comme	KON	comme
tu	PRO:cls	tu
t'	PRO:clo	te
appelles	VER:pres	appeler
.	NAM	<unknown>
non	FNO	non
non	FNO	non
.	NAM	<unknown>
à	PRP	à
ton	DET:pos	ton
avis	NOM	avis
et	KON	et
