fichier	dossier	loc	utt	token	age	annee	FUT	CONJ	SUBJ	IMPF	prorel	conj	comme	PPRE	prep+inf	n+conj+det	n+adj	n+prep+n	cest+++que	ya+++qu	v+inf	dit+qu	plus+qu	proobj	x
./ttg_perceo_clan/TDL_GP5_NOAH_JS.tei_corpo_ttg.tei_corpo.cha	 ./ttg_perceo_clan/TDL_GP5_NOAH_JS.tei_corpo_ttg.tei_corpo.cha 	 TRANS 	 CHI 	341	1397	5;03.17	5.25	4	8	0	8	11	74	5	0	4	0	7	2	5	0	33	1	0	74	x
./ttg_perceo_clan/TDL_GP5_VICTOR_JS.tei_corpo_ttg.tei_corpo.cha	 ./ttg_perceo_clan/TDL_GP5_VICTOR_JS.tei_corpo_ttg.tei_corpo.cha 	 TRANS 	 CHI 	325	961	5;02.12	5.16667	4	1	0	0	0	45	1	0	5	2	6	3	0	0	13	0	0	16	x
./ttg_perceo_clan/TDL_GP6_ADAM_JS.tei_corpo_ttg.tei_corpo.cha	 ./ttg_perceo_clan/TDL_GP6_ADAM_JS.tei_corpo_ttg.tei_corpo.cha 	 TRANS 	 CHI 	238	467	5;09.17	5.75	1	2	0	0	1	18	1	0	0	0	13	0	1	0	5	0	0	6	x
./ttg_perceo_clan/TDL_GP6_CEDRIC_JS.tei_corpo_ttg.tei_corpo.cha	 ./ttg_perceo_clan/TDL_GP6_CEDRIC_JS.tei_corpo_ttg.tei_corpo.cha 	 TRANS 	 CHI 	330	1068	5;10.23	5.83333	1	9	0	2	6	60	11	0	5	0	2	4	8	0	9	0	0	37	x
./ttg_perceo_clan/TDL_GP6_DAVID_JS.tei_corpo_ttg.tei_corpo.cha	 ./ttg_perceo_clan/TDL_GP6_DAVID_JS.tei_corpo_ttg.tei_corpo.cha 	 TRANS 	 CHI 	314	950	5;07.05	5.58333	4	8	0	5	0	31	1	0	3	2	14	3	1	0	14	2	0	10	x
./ttg_perceo_clan/TDL_GP8_ANTOINE_JS.tei_corpo_ttg.tei_corpo.cha	 ./ttg_perceo_clan/TDL_GP8_ANTOINE_JS.tei_corpo_ttg.tei_corpo.cha 	 TRANS 	 CHI 	348	1340	8;02.11	8.16667	4	11	3	7	11	63	6	0	4	0	8	3	8	0	25	1	0	43	x
./ttg_perceo_clan/TDL_GP8_EMMA_JS.tei_corpo_ttg.tei_corpo.cha	 ./ttg_perceo_clan/TDL_GP8_EMMA_JS.tei_corpo_ttg.tei_corpo.cha 	 TRANS 	 CHI 	316	1262	7;08.11	7.66667	2	4	2	3	15	46	2	0	7	0	7	6	6	0	24	0	0	55	x
./ttg_perceo_clan/TDL_GP8_MANON_JS.tei_corpo_ttg.tei_corpo.cha	 ./ttg_perceo_clan/TDL_GP8_MANON_JS.tei_corpo_ttg.tei_corpo.cha 	 TRANS 	 CHI 	387	1915	8;04.24	8.33333	9	10	3	5	9	129	5	0	5	0	16	11	8	0	38	2	1	88	x
./ttg_perceo_clan/TV_GP5_ALBAN_JS_nonrevu.tei_corpo_ttg.tei_corpo.cha	 ./ttg_perceo_clan/TV_GP5_ALBAN_JS_nonrevu.tei_corpo_ttg.tei_corpo.cha 	 TRANS 	 CHI 	136	644	5;01.05	5.08333	1	4	0	5	10	30	0	0	7	0	3	1	7	0	9	0	0	34	x
./ttg_perceo_clan/TV_GP5_FRANCOIS_JS.tei_corpo_ttg.tei_corpo.cha	 ./ttg_perceo_clan/TV_GP5_FRANCOIS_JS.tei_corpo_ttg.tei_corpo.cha 	 TRANS 	 CHI 	225	1424	40;	40	2	8	1	5	11	65	9	0	7	0	2	7	8	0	20	2	0	68	x
./ttg_perceo_clan/TV_GP5_GAELLE_JS_nonrevu.tei_corpo_ttg.tei_corpo.cha	 ./ttg_perceo_clan/TV_GP5_GAELLE_JS_nonrevu.tei_corpo_ttg.tei_corpo.cha 	 TRANS 	 CHI 	351	1637	5;	5	10	5	2	16	23	102	8	0	8	8	4	16	7	0	43	4	0	69	x
./ttg_perceo_clan/TV_GP5_HUBERT_JS.tei_corpo_ttg.tei_corpo.cha	 ./ttg_perceo_clan/TV_GP5_HUBERT_JS.tei_corpo_ttg.tei_corpo.cha 	 TRANS 	 CHI 	199	588	5;04.24	5.33333	0	6	0	1	10	19	1	0	4	0	2	2	2	0	4	0	0	14	x
./ttg_perceo_clan/TV_GP5_JEREMY_JS_nonrevu.tei_corpo_ttg.tei_corpo.cha	 ./ttg_perceo_clan/TV_GP5_JEREMY_JS_nonrevu.tei_corpo_ttg.tei_corpo.cha 	 TRANS 	 CHI 	247	1164	4;08.11	4.66667	2	4	0	10	10	48	6	0	4	2	7	5	7	0	19	0	0	75	x
./ttg_perceo_clan/TV_GP5_JULIEN_JS_nonrevu.tei_corpo_ttg.tei_corpo.cha	 ./ttg_perceo_clan/TV_GP5_JULIEN_JS_nonrevu.tei_corpo_ttg.tei_corpo.cha 	 TRANS 	 CHI 	211	760	4;05.30	4.41667	2	16	1	3	5	36	3	0	5	0	2	6	4	0	16	1	0	25	x
