dimanche	NOM	dimanche
¤D¤	NAM	<unknown>
enregistrement	NOM	enregistrement
d'	PRP	un
une	DET:ind	un
conversation	NOM	conversation
entre	PRP	entre
Eugénie	NOM	eugénie
¤N¤	NAM	¤N¤
et	KON	et
Thibaud	NAM	<unknown>
¤N¤	NAM	¤N¤
né	VER:pper	naître
le	DET:def	le
¤D¤	NAM	<unknown>
xxx	NOM	<unknown>
faut	VER:pres	falloir
pas	ADV	pas
les	PRO:clo	le
manger	VER:infi	manger
faut	VER:pres	falloir
pas	ADV	pas
les	PRO:clo	le
manger	VER:infi	manger
les	DET:def	le
champignons	NOM	champignon
là	ADV	là
.	VER:simp	<unknown>
pourquoi	PRO:int	pourquoi
.	NOM:sig	<unknown>
parce	TRC	parce
que	KON	que
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
petits	ADJ	petit
points	NOM	point
blancs	ADJ	blanc
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
points	NOM	point
blancs	ADJ	blanc
sur	PRP	sur
les	DET:def	le
champignons	NOM	champignon
faut	VER:pres	falloir
pas	ADV	pas
les	PRO:clo	le
manger	VER:infi	manger
alors	ADV	alors
quand	KON	quand
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
/desles/	MLT	<unknown>
points	NOM	point
blancs	ADJ	blanc
.	NOM:sig	<unknown>
ou-	TRC	ou-
les	DET:def	le
morilles	NOM	morille
oui	FNO	oui
les	DET:def	le
morilles	NOM	morille
.	NAM	<unknown>
mais	KON	mais
tu	PRO:cls	tu
connais	VER:pres	connaître
tous	DET:pre	tout
les	DET:def	le
champignons	NOM	champignon
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
.	NAM	<unknown>
oui	FNO	oui
et	KON	et
tu	PRO:cls	tu
les	PRO:clo	le
vois	VER:pres	voir
où	PRO:int	où
les	DET:def	le
champignons	NOM	champignon
.	NAM	<unknown>
dans	PRP	dans
/leles/	MLT	<unknown>
bois	NOM	bois
dans	PRP	dans
les	DET:def	le
bois	NOM	bois
ah	INT	ah
ouais	FNO	ouais
super	ADV	super
.	VER:simp	<unknown>
bah	INT	bah
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
toi	PRO:ton	toi
et	KON	et
euh	INT	euh
mm	NOM	<unknown>
alors	ADV	alors
viens	VER:impe	venir
on	PRO:cls	on
regarde	VER:pres	regarder
alors	ADV	alors
le	DET:def	le
livre	NOM	livre
oh	INT	oh
ah	INT	ah
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
Babar	NOM	<unknown>
tu	PRO:cls	tu
le	PRO:clo	le
connais	VER:pres	connaître
bien	ADV	bien
Babar	ADJ	<unknown>
toi	PRO:ton	toi
hein	INT	hein
.	NAM	<unknown>
alors	ADV	alors
les	DET:def	le
champignons	NOM	champignon
là	ADV	là
on	PRO:cls	on
pourrait	VER:cond	pouvoir
les	PRO:clo	le
manger	VER:infi	manger
.	VER:infi	<unknown>
eh	INT	eh
ouais	FNO	ouais
et	KON	et
là	ADV	là
.	VER:simp	<unknown>
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
qu'	PRO:rel	que
est	VER:pres	être
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:cls	il
a	VER:pres	avoir
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
qui	PRO:int	qui
lui	PRO:ton	lui
comment	PRO:int	comment
il	PRO:clsi	il
s'	PRO:clo	se
appelle	VER:pres	appeler
lui	PRO:ton	lui
.	NAM	<unknown>
hum	FNO	hum
euh	INT	euh
Alexandre	NOM	<unknown>
non	FNO	non
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
lui	PRO:ton	lui
Alexandre	NOM	<unknown>
.	NAM	<unknown>
ouais	FNO	ouais
et	KON	et
qui	PRO:rel	qui
c'	PRO:cls	ce
est	VER:pres	être
qui	PRO:rel	qui
s'	PRO:clo	se
appelle	VER:pres	appeler
Alexandre	NOM	<unknown>
aussi	ADV	aussi
.	VER:simp	<unknown>
non	FNO	non
mais	KON	mais
ton	DET:pos	ton
papa	NOM	papa
.	NAM	<unknown>
il	PRO:clsi	il
s'	PRO:clo	se
appelle	VER:pres	appeler
Alexandre	NOM	<unknown>
ton	DET:pos	ton
papa	NOM	papa
et	KON	et
qu'	PRO:rel	que
est	VER:pres	être
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:cls	il
a	VER:pres	avoir
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
dans	PRP	dans
sa	DET:pos	son
trompe	NOM	trompe
