interaction	NOM	interaction
avec	PRP	avec
Constant	VER:ppre	conster
alors	ADV	alors
Constant	ADJ	constant
tu	PRO:cls	tu
veux	VER:pres	vouloir
bien	ADV	bien
ce	DET:dem	ce
livre	NOM	livre
ou	KON	ou
pas	ADV	pas
.	VER:simp	<unknown>
oui	FNO	oui
alors	ADV	alors
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
ballon	NOM	ballon
de	PRP	de
Jonathan	NAM	<unknown>
je	PRO:cls	je
te	PRO:clo	te
lis	VER:pres	lire
l'	DET:def	le
histoire	NOM	histoire
puis	KON	puis
après	ADV	après
tu	PRO:cls	tu
me	PRO:clo	me
la	PRO:clo	le
raconteras	VER:futu	raconter
par	PRP	par
toi-même	PRO:ton	toi-même
.	NAM	<unknown>
d'	PRP	un
accord	NOM	accord
.	NAM	<unknown>
oui	FNO	oui
d'	PRP	un
accord	NOM	accord
Bob	NOM	bob
a	AUX:pres	avoir
donné	VER:pper	donner
un	DET:ind	un
ballon	NOM	ballon
rouge	ADJ	rouge
à	PRP	à
Constant	VER:ppre	conster
à	PRP	à
Jo-	TRC	<unknown>
à	PRP	à
Jonathan	NAM	<unknown>
Jonathan	NAM	<unknown>
embrasse	NOM	embrasse
Bob	NOM	bob
pour	PRP	pour
lui	PRO:clo	lui
dire	VER:infi	dire
merci	FNO	merci
Jonathan	NAM	<unknown>
tient	VER:pres	tenir
la	DET:def	le
ficelle	NOM	ficelle
du	PRP:det	du
ballon	NOM	ballon
rouge	ADJ	rouge
dans	PRP	dans
sa	DET:pos	son
main	NOM	main
il	PRO:cls	il
dit	VER:pres	dire
à	PRP	à
Bob	NOM	bob
viens	VER:impe	venir
chez	PRP	chez
moi	PRO:ton	moi
on	PRO:cls	on
va	VER:pres	aller
jouer	VER:infi	jouer
au	PRP:det	au
ballon	NOM	ballon
ensemble	ADV	ensemble
Jonathan	NAM	<unknown>
et	KON	et
Bob	NOM	bob
jouent	VER:pres	jouer
à	PRP	à
lancer	VER:infi	lancer
le	DET:def	le
ballon	NOM	ballon
rouge	ADJ	rouge
le	DET:def	le
chat	NOM	chat
regarde	VER:pres	regarder
avec	PRP	avec
son	DET:pos	son
pied	NOM	pied
Bob	NOM	bob
a	AUX:pres	avoir
envoyé	VER:pper	envoyer
le	DET:def	le
ballon	NOM	ballon
rouge	ADJ	rouge
très	ADV	très
haut	ADJ	haut
très	ADV	très
haut	ADJ	haut
très	ADV	très
haut	ADV	haut
le	DET:def	le
ballon	NOM	ballon
rouge	ADJ	rouge
s'	PRO:clo	se
est	AUX:pres	être
envolé	VER:pper	envoler
tout	PRO:ind	tout
en	PRP	en
haut	NOM	haut
sur	PRP	sur
l'	DET:def	le
armoire	NOM	armoire
eh	INT	eh
ben	INT	ben
oui	FNO	oui
Jonathan	NAM	<unknown>
est	AUX:pres	être
monté	VER:pper	monter
sur	PRP	sur
sa	DET:pos	son
chaise	NOM	chaise
il	PRO:cls	il
attrape	VER:pres	attraper
la	DET:def	le
ficelle	NOM	ficelle
du	PRP:det	du
ballon	NOM	ballon
tout	ADV	tout
en	PRP	en
haut	NOM	haut
sur	PRP	sur
l'	DET:def	le
armoire	NOM	armoire
le	DET:def	le
chat	NOM	chat
aussi	ADV	aussi
veut	VER:pres	vouloir
jouer	VER:infi	jouer
au	PRP:det	au
ballon	NOM	ballon
avec	PRP	avec
sa	DET:pos	son
patte	NOM	patte
le	DET:def	le
chat	NOM	chat
griffe	VER:pres	griffer
le	DET:def	le
ballon	NOM	ballon
rouge	ADJ	rouge
clac	NOM	<unknown>
il	PRO:cls	il
/a	MLT	<unknown>
l'	DET:def	le
a/	MLT	<unknown>
cassé	VER:pper	casser
le	DET:def	le
ballon	NOM	ballon
a	AUX:pres	avoir
claqué	VER:pper	claquer
Jonathan	NAM	<unknown>
pleure	VER:pres	pleurer
parce	TRC	parce
qu'	KON	que
il	PRO:cls	il
n'	ADV	ne
a	VER:pres	avoir
plus	ADV	plus
de	PRP	de
ballon	NOM	ballon
et	KON	et
voilà	FNO	voilà
c'	PRO:cls	ce
est	AUX:pres	être
fini	VER:pper	finir
ouais	FNO	ouais
tu	PRO:cls	tu
me	PRO:clo	me
racontes	VER:pres	raconter
l'	DET:def	le
histoire	NOM	histoire
.	NAM	<unknown>
ouais	FNO	ouais
alors	ADV	alors
qu'	PRO:rel	que
est	VER:pres	être
ce	PRO:dem	ce
que	PRO:rel	que
tu	PRO:cls	tu
vois	VER:pres	voir
sur	PRP	sur
la	DET:def	le
première	ADJ	premier
page	NOM	page
.	NAM	<unknown>
ben	INT	ben
c'	PRO:cls	ce
est	VER:pres	être
tu	PRO:cls	tu
