bon	INT	bon
allez	VER:impe	aller
-y	PRO:clo	y
vas	VER:impe	aller
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
tu	PRO:cls	tu
fais	VER:pres	faire
alors	ADV	alors
dans	PRP	dans
la	DET:def	le
vie	NOM	vie
raconte	VER:impe	raconter
moi	PRO:ton	moi
un	DET:ind	un
peu	NOM	peu
tu	PRO:cls	tu
veux	VER:pres	vouloir
savoir	VER:infi	savoir
quoi	INT	quoi
euh	INT	euh
quand	KON	quand
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
j'	PRO:cls	je
ai	AUX:pres	avoir
fait	VER:pper	faire
avant	ADV	avant
euh	INT	euh
avant	ADV	avant
la	DET:def	le
banque	NOM	banque
ou	KON	ou
bah	INT	bah
-y	PRO:clo	y
vas	VER:impe	aller
dis	VER:pres	dire
moi	PRO:ton	moi
ce	PRO:dem	ce
que	PRO:rel	que
tu	PRO:cls	tu
fais	VER:pres	faire
à	PRP	à
la	DET:def	le
banque	NOM	banque
d'	PRP	un
accord	NOM	accord
et	KON	et
ben	INT	ben
écoute	VER:impe	écouter
je	PRO:cls	je
j'	PRO:cls	je
ai	AUX:pres	avoir
intégré	VER:pper	intégrer
la	DET:def	le
banque	NOM	banque
en	PRP	en
juillet	NOM	juillet
le	DET:def	le
deux	NUM	@card@
juillet	NOM	juillet
j'	PRO:cls	je
ai	AUX:pres	avoir
commencé	VER:pper	commencer
en	PRP	en
tant	ADV	tant
que	KON	que
guichetier	NOM	guichetier
après	ADV	après
mon	DET:pos	mon
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
et	KON	et
donc	ADV	donc
tu	PRO:cls	tu
faisais	VER:impf	faire
quoi	PRO:int	quoi
en	PRO:clo	en
fait	VER:pres	faire
euh	INT	euh
en	PRP	en
faisant	VER:ppre	faire
guichetier	NOM	guichetier
et	KON	et
ben	INT	ben
en	PRP	en
fait	NOM	fait
pour	PRP	pour
t'	PRO:clo	te
expliquer	VER:infi	expliquer
un	DET:ind	un
peu	NOM	peu
mieux	ADV	mieux
je	PRO:cls	je
fais	VER:pres	faire
un	DET:ind	un
euh	INT	euh
formation	NOM	formation
un	DET:ind	un
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
je	PRO:cls	je
suis	VER:pres	être
en	PRP	en
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
là	ADV	là
de	PRP	de
seize	NUM	@card@
mois	NOM	mois
ouais	FNO	ouais
j'	PRO:cls	je
ai	AUX:pres	avoir
commencé	VER:pper	commencer
donc	ADV	donc
comme	KON	comme
je	PRO:cls	je
t'	PRO:clo	te
ai	AUX:pres	avoir
dit	VER:pper	dire
au	PRP:det	au
guichet	NOM	guichet
en	PRP	en
juillet	NOM	juillet
et	KON	et
puis	KON	puis
pendant	PRP	pendant
deux	NUM	@card@
mois	NOM	mois
donc	ADV	donc
pendant	PRP	pendant
ces	DET:dem	ce
deux	NUM	@card@
mois	NOM	mois
on	PRO:cls	on
a	AUX:pres	avoir
appris	VER:pper	apprendre
à	PRP	à
la	DET:def	le
banque	NOM	banque
ce	PRO:dem	ce
que	PRO:rel	que
c'	PRO:cls	ce
était	VER:impf	être
euh	INT	euh
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
devait	VER:impf	devoir
faire	VER:infi	faire
les	DET:def	le
opérations	NOM	opération
au	PRP:det	au
guichet	NOM	guichet
l'	DET:def	le
outil	NOM	outil
informatique	ADJ	informatique
donc	ADV	donc
moi	PRO:ton	moi
j'	PRO:cls	je
avais	VER:impf	avoir
le	DET:def	le
rôle	NOM	rôle
d'	PRP	un
un	DET:ind	un
guichetier	NOM	guichetier
je	PRO:cls	je
remettais	VER:impf	remettre
de	PRP	de
l'	DET:def	le
argent	NOM	argent
des	PRP:det	du
chèques	NOM	chèque
et	KON	et
en	PRP	en
même	ADJ	même
temps	NOM	temps
on	PRO:cls	on
devait	VER:impf	devoir
vendre	VER:infi	vendre
des	DET:ind	un
produits	NOM	produit
ouais	FNO	ouais
et	KON	et
vous	PRO:cls	vous
devez	VER:pres	devoir
vous	PRO:cls	vous
deviez	VER:impf	devoir
v-	TRC	v-
vendre	VER:infi	vendre
quoi	INT	quoi
comme	KON	comme
produits	NOM	produit
ben	INT	ben
écoute	VER:impe	écouter
au	PRP:det	au
début	NOM	début
on	PRO:cls	on
a	VER:pres	avoir
une	DET:ind	un
a	VER:pres	avoir
les	DET:def	le
deux	NUM	@card@
premiers	ADJ	premier
mois	NOM	mois
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
période	NOM	période
neutre	ADJ	neutre
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
appelle	VER:pres	appeler
on	PRO:cls	on
était	VER:impf	être
pas	ADV	pas
forcément	ADV	forcément
obligé	VER:pper	obliger
de	PRP	de
vendre	VER:infi	vendre
mais	KON	mais
surtout	ADV	surtout
de	PRP	de
se	PRO:clo	se
former	VER:infi	former
ouais	FNO	ouais
sur	PRP	sur
tous	DET:pre	tout
les	DET:def	le
produits	NOM	produit
de	PRP	de
la	DET:def	le
banque	NOM	banque
la	DET:def	le
la	DET:def	le
base	NOM	base
quoi	INT	quoi
les	DET:def	le
les	DET:def	le
produits	NOM	produit
au	PRP:det	au
début	NOM	début
comme	KON	comme
euh	INT	euh
les	DET:def	le
cartes	NOM	carte
les	DET:def	le
les	DET:def	le
formules	NOM	formule
de	PRP	de
compte	NOM	compte
fin	NOM	fin
tous	DET:pre	tout
les	DET:def	le
t-	TRC	t-
tous	DET:pre	tout
les	DET:def	le
choses	NOM	chose
comme	KON	comme
ça	PRO:ton	ça
et	KON	et
puis	KON	puis
après	ADV	après
donc	ADV	donc
euh	INT	euh
pendant	PRP	pendant
ces	DET:dem	ce
deux	NUM	@card@
mois	NOM	mois
j'	PRO:cls	je
ai	AUX:pres	avoir
vendu	VER:pper	vendre
donc	ADV	donc
des	DET:ind	un
cartes	NOM	carte
des	PRP:det	du
accès	NOM	accès
internet	NOM	Internet
et	KON	et
tous	DET:pre	tout
les	DET:def	le
éléments	NOM	élément
basiques	ADJ	basique
de	PRP	de
ce	PRO:dem	ce
qu'	KON	que
un	DET:ind	un
guichetier	NOM	guichetier
peut	VER:pres	pouvoir
faire	VER:infi	faire
dans	PRP	dans
une	DET:ind	un
banque	NOM	banque
ouais	FNO	ouais
voilà	FNO	voilà
ben	INT	ben
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
pour	PRP	pour
t'	PRO:clo	te
expliquer	VER:infi	expliquer
ouais	FNO	ouais
ça	PRO:cls	ça
va	VER:pres	aller
c'	PRO:cls	ce
était	VER:impf	être
top	ADJ	top
ça	PRO:cls	ça
t'	PRO:clo	te
intéresse	VER:pres	intéresser
alors	ADV	alors
ça	PRO:cls	ça
m'	PRO:clo	me
intéresse	VER:pres	intéresser
ouais	FNO	ouais
/danssur/	MLT	<unknown>
la	DET:def	le
mesure	NOM	mesure
où	PRO:rel	où
aussi	ADV	aussi
tous	DET:pre	tout
les	DET:def	le
mois	NOM	mois
on	PRO:cls	on
va	VER:pres	aller
en	PRP	en
formation	NOM	formation
dans	PRP	dans
un	DET:ind	un
centre	NOM	centre
euh	INT	euh
du	PRP:det	du
¤S¤	NAM	<unknown>
près	ADV	près
de	PRP	de
¤T¤	NAM	¤T¤
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
vraiment	ADV	vraiment
top	ADJ	top
ouais	FNO	ouais
donc	ADV	donc
en	PRO:clo	en
fait	VER:pres	faire
c'	PRO:cls	ce
est	VER:pres	être
comme	KON	comme
une	DET:ind	un
alternance	NOM	alternance
au	PRP:det	au
même	ADJ	même
titre	NOM	titre
que	KON	que
je	PRO:cls	je
suis	VER:pres	être
euh	INT	euh
salarié	VER:pper	salarier
actuellement	ADV	actuellement
tu	PRO:cls	tu
vois	VER:pres	voir
euh	INT	euh
ouais	FNO	ouais
j'	PRO:cls	je
ai	VER:pres	avoir
tous	DET:pre	tout
les	DET:def	le
avantages	NOM	avantage
de	PRP	de
la	DET:def	le
banque	NOM	banque
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
ça	PRO:ton	ça
ouais	FNO	ouais
bah	INT	bah
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
vraiment	ADV	vraiment
de	PRP	de
l'	DET:def	le
alternance	NOM	alternance
mais	KON	mais
ça	PRO:cls	ça
y	PRO:clo	y
ressemble	VER:pres	ressembler
quoi	INT	quoi
tous	DET:pre	tout
les	DET:def	le
mois	NOM	mois
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
même	ADJ	même
chose	NOM	chose
on	PRO:cls	on
va	VER:pres	aller
on	PRO:cls	on
va	VER:pres	aller
à	PRP	à
¤T¤	NAM	¤T¤
et	KON	et
on	PRO:cls	on
fait	VER:pres	faire
nos	DET:pos	notre
formations	NOM	formation
pour	PRP	pour
justement	ADV	justement
apprendre	VER:infi	apprendre
les	DET:def	le
produits	NOM	produit
de	PRP	de
la	DET:def	le
banque	NOM	banque
maintenant	ADV	maintenant
d'	PRP	un
accord	NOM	accord
on	PRO:cls	on
va	VER:pres	aller
travailler	VER:infi	travailler
les	DET:def	le
crédits	NOM	crédit
par	PRP	par
exemple	NOM	exemple
tu	PRO:cls	tu
vois	VER:pres	voir
on	PRO:cls	on
évolue	VER:pres	évoluer
plus	ADV	plus
on	PRO:cls	on
avance	VER:pres	avancer
plus	ADV	plus
on	PRO:cls	on
apprend	VER:pres	apprendre
les	DET:def	le
produits	NOM	produit
un	DET:ind	un
peu	NOM	peu
plus	ADV	plus
euh	INT	euh
un	DET:ind	un
peu	NOM	peu
plus	ADV	plus
compliqué	VER:pper	compliquer
à	PRP	à
vendre	VER:infi	vendre
quoi	INT	quoi
hum	FNO	hum
et	KON	et
et	KON	et
tu	PRO:cls	tu
parles	VER:pres	parler
de	PRP	de
de	PRP	de
te	PRO:clo	te
faire	VER:infi	faire
ta	DET:pos	ton
formation	NOM	formation
toi-même	PRO:ton	toi-même
donc	ADV	donc
en	PRO:clo	en
fait	VER:pres	faire
tu	PRO:cls	tu
te	PRO:clo	te
fais	VER:pres	faire
une	DET:ind	un
formation	NOM	formation
toi	PRO:ton	toi
même	ADV	même
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
non	FNO	non
en	PRO:clo	en
fait	VER:pres	faire
on	PRO:cls	on
doit	VER:pres	devoir
s'	PRO:clo	se
autoformer	VER:infi	<unknown>
on	PRO:cls	on
a	VER:pres	avoir
des	DET:ind	un
obligations	NOM	obligation
tu	PRO:cls	tu
vois	VER:pres	voir
ouais	FNO	ouais
tous	DET:pre	tout
les	DET:def	le
ben	INT	ben
tous	DET:pre	tout
les	DET:def	le
jours	NOM	jour
on	PRO:cls	on
a	VER:pres	avoir
on	PRO:cls	on
doit	VER:pres	devoir
on	PRO:cls	on
est	AUX:pres	être
obligé	VER:pper	obliger
de	PRP	de
se	PRO:clo	se
former	VER:infi	former
on	PRO:cls	on
a	VER:pres	avoir
des	DET:ind	un
outils	NOM	outil
en	PRP	en
interne	NOM	interne
qui	PRO:rel	qui
font	VER:pres	faire
qu'	KON	que
on	PRO:cls	on
peut	VER:pres	pouvoir
se	PRO:clo	se
former	VER:infi	former
par	PRP	par
exemple	NOM	exemple
on	PRO:cls	on
on	PRO:cls	on
a	VER:pres	avoir
une	DET:ind	un
bible	NOM	bible
entre	PRP	entre
guillemets	NOM	guillemet
qui	PRO:rel	qui
nous	PRO:clo	nous
permet	VER:pres	permettre
de	PRP	de
de	PRP	de
pouvoir	VER:infi	pouvoir
apprendre	VER:infi	apprendre
tout	PRO:ind	tout
sur	PRP	sur
les	DET:def	le
produits	NOM	produit
de	PRP	de
la	DET:def	le
banque	NOM	banque
dès	PRP	dès
qu'	KON	que
on	PRO:cls	on
a	VER:pres	avoir
une	DET:ind	un
question	NOM	question
on	PRO:cls	on
peut	VER:pres	pouvoir
aller	VER:infi	aller
se	PRO:clo	se
chercher	VER:infi	chercher
et	KON	et
nous	PRO:ton	nous
même	ADV	même
en	PRP	en
interne	NOM	interne
ensuite	ADV	ensuite
tous	DET:pre	tout
les	DET:def	le
mois	NOM	mois
quand	KON	quand
je	PRO:cls	je
vais	VER:pres	aller
en	PRP	en
formation	NOM	formation
on	PRO:cls	on
part	VER:pres	partir
euh	INT	euh
j'	PRO:cls	je
y	PRO:clo	y
v-	TRC	v-
j'	PRO:cls	je
y	PRO:clo	y
vais	VER:pres	aller
dans	PRP	dans
les	DET:def	le
