quatrième	ADJ	quatrième
corpus	NOM	corpus
pas	ADV	pas
de	PRP	de
lecture	NOM	lecture
il	PRO:cls	il
est	VER:pres	être
dix-sept	NUM	@card@
heures	NOM	heure
quarante-cinq	NUM	@card@
.	NOM	<unknown>
xxx	NOM	<unknown>
la	DET:def	le
cassette	NOM	cassette
?	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
enregistrer	VER:infi	enregistrer
mais	KON	mais
pourquoi	PRO:int	pourquoi
tu	PRO:cls	tu
as	AUX:pres	avoir
parlé	VER:pper	parler
là	ADV	là
.	VER:simp	<unknown>
ah	INT	ah
j'	PRO:cls	je
ai	AUX:pres	avoir
parlé	VER:pper	parler
dans	PRP	dans
le	DET:def	le
micro	NOM	micro
pour	PRP	pour
dire	VER:infi	dire
la	DET:def	le
date	NOM	date
d'	PRP	un
aujourd'hui	ADV	aujourd'hui
pour	PRP	pour
me	PRO:clo	me
souvenir	VER:infi	souvenir
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
aujourd'hui	ADV	aujourd'hui
qu'	KON	que
on	PRO:cls	on
a	AUX:pres	avoir
fait	VER:pper	faire
l'	DET:def	le
enregistrement	NOM	enregistrement
tu	PRO:cls	tu
vois	VER:pres	voir
alors	ADV	alors
Anaïs	NAM	<unknown>
se	PRO:clo	se
réveille	VER:pres	réveiller
la	DET:def	le
première	ADJ	premier
il	PRO:cls	il
regarde	VER:pres	regarder
le	DET:def	le
soleil	NOM	soleil
oui	FNO	oui
passer	VER:infi	passer
sur	PRP	sur
/le	MLT	<unknown>
les/	MLT	<unknown>
rideaux	NOM	rideau
oui	FNO	oui
Anaïs	NAM	<unknown>
s'	PRO:clo	se
est	AUX:pres	être
réveillée	VER:pper	réveiller
et	KON	et
elle	PRO:cls	elle
regarde	VER:pres	regarder
le	DET:def	le
soleil	NOM	soleil
sur	PRP	sur
le	DET:def	le
rideau	NOM	rideau
bleu	ADJ	bleu
mais	KON	mais
je	PRO:cls	je
lis	VER:pres	lire
pas	ADV	pas
hein	INT	hein
ah	INT	ah
non	FNO	non
non	FNO	non
mais	KON	mais
tu	PRO:cls	tu
sais	VER:pres	savoir
pas	ADV	pas
lire	VER:infi	lire
on	PRO:cls	on
on	PRO:cls	on
raconte	VER:pres	raconter
Ludovic	NAM	<unknown>
Ludovic	NAM	<unknown>
-toi	PRO:clo	toi
réveille	VER:pres	réveiller
Ludovic	NAM	<unknown>
oui	FNO	oui
Anaïs	NAM	<unknown>
crie	VER:pres	crier
très	ADV	très
fort	ADJ	fort
Ludo	ADV	<unknown>
arrête	VER:impe	arrêter
de	PRP	de
faire	VER:infi	faire
dodo	NOM	dodo
Ludovic	NAM	<unknown>
Ludovic	NAM	<unknown>
-toi	PRO:clo	toi
réveille	VER:pres	réveiller
vite	ADV	vite
après	ADV	après
Ludovic	NAM	<unknown>
saute	VER:subp	sauter
sur	PRP	sur
le	DET:def	le
lit	NOM	lit
d'	PRP	un
Ana-	TRC	<unknown>
d'	PRP	un
Anaïs	NAM	<unknown>
il	PRO:clsi	il
lui	PRO:clo	lui
chatouille	VER:pres	chatouiller
les	DET:def	le
doigts	NOM	doigt
de	PRP	de
pieds	NOM	pied
bien	ADV	bien
arrête	VER:impe	arrêter
il	PRO:cls	il
saute	VER:subp	sauter
arrête	VER:impe	arrêter
Anaïs	NAM	<unknown>
dit	VER:pres	dire
arrête	VER:impe	arrêter
arrête	VER:impe	arrêter
elle	PRO:cls	elle
rigole	VER:pres	rigoler
parce	TRC	parce
que	KON	que
ça	PRO:ton	ça
la	DET:def	le
chatouille	NOM	chatouille
Anaïs	NAM	<unknown>
met	VER:pres	mettre
sa	DET:pos	son
culotte	NOM	culotte
oui	FNO	oui
Ludovic	NAM	<unknown>
essaie	VER:pres	essayer
de	PRP	de
prendre	VER:infi	prendre
des	DET:ind	un
chaussettes	NOM	chaussette
propres	ADJ	propre
oui	FNO	oui
eux	PRO:ton	eux
ils	PRO:cls	il
vont	VER:pres	aller
comment	PRO:int	comment
on	PRO:cls	on
a	AUX:pres	avoir
dessiné	VER:pper	dessiner
ça	PRO:ton	ça
comme	KON	comme
ça	PRO:ton	ça
ben	INT	ben
il	PRO:cls	il
a	VER:pres	avoir
un	DET:ind	un
slip	NOM	slip
rayé	VER:pper	rayer
en	PRP	en
vert	NOM	vert
il	PRO:cls	il
a	VER:pres	avoir
un	DET:ind	un
beau	ADJ	beau
slip	NOM	slip
rayé	ADJ	rayé
vert	NOM	vert
et	KON	et
maintenant	ADV	maintenant
il	PRO:cls	il
