voilà	FNO	voilà
alors	ADV	alors
attends	VER:impe	attendre
je	PRO:cls	je
veux	VER:pres	vouloir
juste	ADV	juste
regarder	VER:infi	regarder
comment	PRO:int	comment
il	PRO:clsi	il
s'	PRO:clo	se
appelle	VER:pres	appeler
le	DET:def	le
livre	NOM	livre
l'	DET:def	le
imagerie	NOM	imagerie
du	PRP:det	du
corps	NOM	corps
humain	ADJ	humain
hum	FNO	hum
.	NAM	<unknown>
toi	PRO:ton	toi
tu	PRO:cls	tu
aimes	VER:pres	aimer
savoir	VER:infi	savoir
tout	DET:pre	tout
ce	PRO:dem	ce
qui	PRO:rel	qui
se	PRO:clo	se
passe	VER:pres	passer
dans	PRP	dans
ton	DET:pos	ton
corps	NOM	corps
ah	INT	ah
oui	FNO	oui
tu	PRO:cls	tu
aimes	VER:pres	aimer
savoir	VER:infi	savoir
comment	PRO:int	comment
marche	VER:pres	marcher
ton	DET:pos	ton
petit	ADJ	petit
bras	NOM	bras
ah	INT	ah
ouais	FNO	ouais
alors	ADV	alors
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
il	PRO:clsi	il
se	PRO:clo	se
passe	VER:pres	passer
.	NAM	<unknown>
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
on	PRO:cls	on
voit	VER:pres	voir
ici	ADV	ici
.	NOM:sig	<unknown>
là	ADV	là
on	PRO:cls	on
voit	VER:pres	voir
une	DET:ind	un
fille	NOM	fille
et	KON	et
un	DET:ind	un
garçon	NOM	garçon
alors	ADV	alors
on	PRO:cls	on
voit	VER:pres	voir
une	DET:ind	un
fille	NOM	fille
et	KON	et
un	DET:ind	un
garçon	NOM	garçon
qui	PRO:rel	qui
sont	VER:pres	être
tout	ADV	tout
nus	ADJ	nu
hum	FNO	hum
et	KON	et
tu	PRO:cls	tu
sais	VER:pres	savoir
pourquoi	PRO:int	pourquoi
on	PRO:cls	on
voit	VER:pres	voir
ce	DET:dem	ce
cette	DET:dem	ce
fille	NOM	fille
et	KON	et
ce	DET:dem	ce
garçon	NOM	garçon
tout	ADV	tout
nus	ADJ	nu
.	NAM	<unknown>
non	FNO	non
parce	TRC	parce
que	KON	que
comme	KON	comme
ça	PRO:ton	ça
on	PRO:cls	on
voit	VER:pres	voir
les	DET:def	le
différences	NOM	différence
qui	PRO:rel	qui
existent	VER:pres	exister
entre	PRP	entre
les	DET:def	le
petits	ADJ	petit
garçons	NOM	garçon
et	KON	et
les	DET:def	le
petites	ADJ	petit
filles	NOM	fille
hum	FNO	hum
alors	ADV	alors
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
on	PRO:cls	on
voit	VER:pres	voir
