"filename" "sentence" "value"
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Julie_5.3.txt.152" "chi_Julie_5.3.txt" "un deux trois quatre cinq six sept huit neuf dix onze douze treize quatorze quinze seize dix sept dix huit dix neuf vingt vingt et un vingt deux vingt trois vingt quatre vingt cinq vingt six vingt sept trente trente et un ." 37
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Antoine_4.02.txt.202" "chi_Antoine_4.02.txt" "un deux trois quatre cinq six sept huit neuf dix onze douze treize quatorze quinze seize dix sept dix huit dix neuf vingt vingt et un vingt deux vingt trois vingt six." 29
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Antoine_2.79.txt.165" "chi_Antoine_2.79.txt" "un deux trois quatre cinq six sept huit neuf dix onze douze treize quatorze quinze dix sept dix huit dix neuf vingt!" 21
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Antoine_2.79.txt.276" "chi_Antoine_2.79.txt" "un deux trois cinq six sept huit neuf dix onze douze treize quatorze quinze dix sept dix huit dix neuf vingt!" 20
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Antoine_2.79.txt.170" "chi_Antoine_2.79.txt" "un deux trois quatre cinq six sept huit neuf dix onze douze treize quatorze quinze dix sept dix huit dix!" 19
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Anaé_3.47.txt.61" "chi_Anaé_3.47.txt" "hum ça est quoi?
n@fs ananas!
les couverts!
les couverts!
hum des raisins!
des bananes!
des cerises!
hum des pommes!
hum des citrons!
hum des oranges!
des fraises!" 18
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Theophile_5.82.txt.158" "chi_Theophile_5.82.txt" "un deux trois quatre cinq six sept huit neuf dix onze douze treize quatorze quinze seize dix sept." 17
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.87.txt.41" "chi_Adrien_3.87.txt" "mets les deux j'ai une idée celle-là on les met les deux on les met comme ça!
tout ça on les met comme ça!
toutes les bleues on les met comme ça!
toutes les on les met comme ça!
je les met comme ça!
les rouges yyy yyy yyy." 16
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Antoine_2.79.txt.208" "chi_Antoine_2.79.txt" "ah non les bonbons ça fait mal aux dents!
les crevettes les crevettes.
et des crabes.
et des bonbons.
et puis là les cerises les cerises!
une chèvre." 16
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Anaé_2.67.txt.148" "chi_Anaé_2.67.txt" "quand il est pas content il mange.
des ânes?
yyy yy.
on a vu des xx.
des nânes@c.
des nânes@c.
des nânes@c.
des nânes@c.
des nânes@c.
non des nânes@c." 15
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_4.04.txt.133" "chi_Adrien_4.04.txt" "et moi et maman!
je ne sais pas!
le courrier!
le le yyy le petit bonhomme il donne le courrier à les petits papas et à les petits mamans!
et à les petits Adrien!
à la petit et à les petits mamans!
aux Adrien!
on a oublié." 14
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Antoine_2.4.txt.40" "chi_Antoine_2.4.txt" "deux trois quatre cinq six sept huit neuf dix onze douze treize quatorze quinze!" 14
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Théophile_4.55.txt.353" "chi_Théophile_4.55.txt" "un deux trois quatre cinq six sept huit neuf dix onze douze treize quatoze quinze." 14
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Anae_3.57.txt.209" "chi_Anae_3.57.txt" "regarde ils sont tous petits mais requins ça a des dents toutes petites!
et.
mais non regarde ils sont tous petits yyy il il peut pas me manger!" 13
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Julie_4.74.txt.11" "chi_Julie_4.74.txt" "voilà les chats du fermier ils vont dormir avec les souris qui sont qui se sont échappées de leur cage hein?
y a des souris xxx dessinées.
et le sac.
euh l'enclos tu peux le mettre juste devant la maison." 13
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Julie_5.3.txt.311" "chi_Julie_5.3.txt" "mais maman tous les fils qui sont tirés c'est à cause de mes copines elles elles arrachent xx.
des des paillettes." 13
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_2.97.txt.108" "chi_Madeleine_2.97.txt" "moi j'en ai un deux trois quatre cinq six huit huit neuf onze douze treize quatorze quinze!" 13
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_3.2.txt.44" "chi_Adrien_3.2.txt" "non c'est cassé!
non non!
donne les mains!
donne les mains!
donne les mains donne les mains!
donne les mains!
donne les mains!
non papa!
non non non!
yyy yyy yyy yyy yyy yyy yyy yyy." 12
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Adrien_4.32.txt.166" "chi_Adrien_4.32.txt" "y'en a encore plus que ça y'en a je vais compter les voitures qu'est-ce que y'en a!
y'en une deux trois quatre cinq six sept huit neuf onze douze!" 12
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Anae_3.57.txt.90" "chi_Anae_3.57.txt" "un deux trois quatre cinq six sept huit neuf onze douze treize quatorze!" 12
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Anae_3.69.txt.106" "chi_Anae_3.69.txt" "elles sent bon!
toutes les fleurs elles toutes les fleurs elles sent bon.
et ça aussi ça sent bon!
et les fleurs violettes là aussi ça sent bon." 12
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Julie_4.74.txt.133" "chi_Julie_4.74.txt" "après quand ils veulent prendre un livre ils ils la laissent là et le lendemain matin ils vont la remettre là.
on a //.
ceux qui ceux qui étaient déjà filmé ils ont pas bien rangé la ferme hein." 12
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Julie_5.3.txt.72" "chi_Julie_5.3.txt" "elle elle a des bottes brunes et elle elle a des bottes xx.
et elle elle a des bras verts et et elle elle a des bras blancs." 12
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_4.15.txt.388" "chi_Madeleine_4.15.txt" "et puis la il va pas rester tout petit toute sa vie!
et regarde moi je vois des petites têtes qu'ils!
et .
oui celle qui violoncelle .
et elle disait ça .
et on!
c'était c'était nos têtes qu'elle voyait!
y avait tous les y avait les cp.
les grandes sections." 12
"X.Users.cp.brainstorm.evalang.evalang.public.colaje.rawtextchi.chi_Madeleine_4.59.txt.270" "chi_Madeleine_4.59.txt" "euh peut être que les petites euh les petites elles sont pour les petits bébés mais y en a pas beaucoup des petites en fait." 12
