det&SING	le/la
n-SING	oral
v:exist	c'est
adv:neg	plus
v-PP	centrer
PCT	.
v:exist	c'est
adv:neg	plus
prep	sur
det:poss	notre
n	profession
prep	sur
pro:int	ce+que
pro:subj	on
v:mdllex	faire
co	euh
det:gen&MASC	tous
det&PL	les
?	intervenants
conj	et
det&PL	les
det&PL	les
n	tenant
conj	et
det&PL	les
n	aboutissants
prep	de
prep	de
pro:int	ce+que
pro:subj	on
v:mdllex	faire
pro:int	quoi
PCT	.
co	hum
PCT	.
conj	et
conj	donc
pro:subj	on
v:mdl	devoir
pro&MASC	tout
n	savoir
det&MASC&SING	du
n	ministère
co	euh
prep	de
det&FEM&SING	la
n:prop	DRAF
co	euh
prep	de
det&FEM&SING	la
n	direction
adj-FEM	régional
conj	et+puis
prep	de
?	l–
det&FEM&SING	la
n	direction
co	euh
prep:art	au
n	niveau
adj-MASC	local
PCT	.
co	hum
co	hum
v:exist	c'est
adv	bien
n	compliqué
pro&MASC	tout
pro:dem	ça
PCT	.
co	ben
adv:yn	non
v:exist	c'est
det&FEM&SING	une
?	struct–
det&FEM&SING	la
n	structure
prep	de
det&MASC&SING	un
n	ministère
v:exist	c'est
prep	comme
pro:dem	ça
PCT	.
adv:yn	ouais
v:exist	c'est
det:poss&MASC&SING	ton
n	domaine
pro:int	quoi
PCT	.
v:exist	c'est
det&PL	des
v:aux	c'est
det:gen&MASC	tous
det&PL	les
n	ministère
v:aux	c'est
adv	à
adv	peu^adv|peu+
adv:place	près
adv	comme
v-PASS	celer
v:exist	c'est
det&FEM&SING	la
pro	même
co	euh
n	structure
adj	hiérarchique
PCT	.
pro:subj	je
v&IMPF^v|croître-IMPF	croire
conj	que
pro:subj	tu
v:mdl&IMPF	vouloir
adv:neg	plus
prep	en
v-INF	passer
det&PL	des
n	concours
PCT	.
co	ben
adv:yn	ouais
conj	mais
pro:subj	je
v:mdl	pouvoir
adv:neg	pas
pro:refl	me
v-INF	permettre
prep	de
prep	de
prep	de
v-INF	refuser
conj	parce+que
adv:place	là
v:exist	c'est
adv	quand+même
PCT	.
conj	parce+que
v:exist	c'est
v:exist	c'est
v:exist	c'est
pro&MASC&PL	eux
pro:int	qui
pro:refl	te
v:aux	avoir
v-PP	appeler
PCT	.
adv:yn	non
adv:yn	non
conj	mais
v:exist	c'est
det:dem&MASC&SING	ce
v:exist	être
det&PL	des
n	programme
prep	de
co	euh
n	comment
prep	de
prep:art	de
?	requalification
v:exist	c'est
prep	pour
v-INF	essayer
prep	de
v-INF	remonter
det&FEM&SING	la
n	pyramide
det&PL	des
PCT	.
co	ah
adv:yn	oui
v:exist	il+y+en+a
pro:int	qui
v:aux	être
v-PP	partir
prep	à
det&FEM&SING	la
n	retrait
adv	et+puis
PCT	.
adv:place	voilà
v:exist	il+y+a
adv	beaucoup
prep:art	de
n	gens
pro:rel	qui
v:exist	être
v-PP	partir
prep:art	en
n	retrait
conj	et
pro:subj&MASC	ils
v:mdl&COND	vouloir
adv	bien
v-INF	recruter
conj	parce+que
adv	maintenant
pro:subj	on
v:mdl&FUT	pouvoir
v-INF	recruter
prep	sans
n	concours
adv	mais
prep	pour
v:mdllex&INF	pouvoir
v-INF	recruter
prep	sans
n	concours
pro:subj&MASC	il
v:mdl	falloir
conj	que
det&PL	les
n	gens
pro:rel	qui
v:exist	être
prep	dans
det&PL	les
n	poste
prep	de
adj-FEM	bas
v	libérer
det&FEM&SING	la
n	place
PCT	.
adv:yn	ouais
conj	donc
pro:subj&MASC	il
v:mdl	falloir
conj	qu'
pro:subj&MASC	ils
v	monter
PCT	.
conj	donc
pro:subj&MASC	ils
v:mdllex	aller
prep	en
v:mdllex-INF	faire
v-INF	monter
co	euh
prep	sur
n	trois
n	an
prep	pendant
adv	et+puis
adv	bon
pro:subj&MASC	ils
v:mdllex	aller
prep	en
v-INF	nommer
conj	aussi
prep:art	au
n	choix
det&PL	des
adj-FEM	ancien
pro&MASC	tout
pro:dem	ça
conj	pour+que
det&FEM&SING	la
n	pyramide
v	remonter
adv	un+peu
pro:rel	quoi
PCT	.
co	hum
PCT	.
conj	et+puis
adv	bon
v:exist	c'est
adv	quand+même
det&FEM&SING	une
n	chance
prep	de
v:mdllex&INF	pouvoir
adv	un+peu
v-INF	grimper
det&PL	les
n	échelon
pro:int	quoi
PCT	.
co	ben
v:exist	c'est
adj	clair
PCT	.
adv:place	voilà
PCT	.
pro:dem	ça
v	changer
PCT	.
co	hum
v:exist	c'est
det&FEM&SING	une
n	possibilité
prep	de
PCT	.
conj	alors
pro:subj	tu
v:exist	être
pro:subj	tu
v:exist	être
v-PP	obliger
prep	de
v-INF	passer
det&MASC&SING	un
n	concours
prep	pour
v-INF	monter
PCT	.
co	ah
co	ben
adv:yn	oui
PCT	.
conj	parce
conj	que
conj	si
pro:subj&MASC	ils
v:mdl	vouloir
v-INF	pousser
PCT	.
adv:yn	non
adv:yn	non
adv:yn	non
co	ben
pro:subj	tu
v:mdl	pouvoir
v:aux&INF	être
v-PP	nommer
prep:art	au
n	choix
conj	mais
co	euh
pro:subj	on
v:aux	avoir
pro:subj	on
?	m–
pro&SING	moi
pro:subj	on
pro:refl	me
v:aux	avoir
v-PP	dire
conj	que
pro:subj	je
v:aux&IMPF	être
adv	bien
adv	trop
adj	jeune
pro:rel	quoi
pro:subj&MASC	il
v:mdl	falloir
pro:subj&MASC	il
v:mdl	falloir
adv	vraiment
PCT	.
adv:yn	ouais
v:exist	c'est
det&PL	les
PCT	.
v:aux&INF	être
adv	en
adj	fin
n	fin
prep	de
n-FEM	carrier
prep	pour
v-INF	réussir
prep	à
prep	à
v:aux&INF	être
v-PP	nommer
prep:art	au
n	choix
conj	et
conj	et
adv	encore
co	euh
prep	sur
det&MASC&SING	le
n	nombre
co	euh
v:exist	il+y+en+a
adv:neg	pas
adv	beaucoup
pro:rel	qui
v:aux	être
v-PP	nommer
PCT	.
co	hum
PCT	.
v:mdl	falloir
co	euh
v:mdl	falloir
v:aux&INF	être
v-PP	recommander
prep	par
det:poss&MASC&SING	son
det:poss&MASC&SING	son
n	directeur
pro:subj&MASC	il
v:mdl	falloir
adv	vraiment
v:exist&INF	être
det&MASC&SING	un
n	agent
co	euh
PCT	.
adv:yn	ouais
v:mdl	falloir
v:exist&INF	être
adv	bien
v&PP-MASC	voir
PCT	.
adv:yn	ouais
v:mdl	falloir
v:exist&INF	être
adv	bien
v&PP-MASC	voir
PCT	.
adv:place	là
det:dem&SING	cette
n	année
pro:subj&MASC	ils
pro:y	en
v:aux	avoir
v-PP	nommer
det&FEM&SING	une
v:exist	c'est
det&FEM&SING	une
n	collègue
conj	et
pro:subj	je
v:exist	être
adv	très
adj	content
adv	pour
pro:subj&FEM	elle
conj	parce+que
pro:subj&FEM	elle
det&MASC&SING	le
n	mérite
pro:rel	quoi
v:exist	c'est
det&FEM&SING	une
n	fille
pro:rel	qui
v:aux	avoir
pro:int	qui
pro:rel	qui
pro:refl	se
v	donner
adv	vraiment
adv	à+fond
prep	dans
det:poss&MASC&SING	son
n	boulot
co	euh
pro:subj&FEM	elle
v:aux	avoir
pro:subj&FEM	elle
pro:subj&FEM	elle
pro:refl	se
v	donner
prep	sans
v-INF	compter
pro:int	quoi
PCT	.
adv:yn	ouais
PCT	.
conj	et
adv	bon
adv	ben
PCT	.
adv:yn	ouais
pro:subj&FEM	elle
v&PASS	vivre^v|voir
conj	que
prep	pour
pro:dem	ça
PCT	.
adv:yn	non
pro:subj&FEM	elle
adv:neg	ne
v&PASS	vivre^v|voir
adv:neg	pas
conj	que
prep	pour
pro:dem	ça
conj	mais
pro:subj&FEM	elle
v:aux	avoir
pro:subj&FEM	elle
v:poss	avoir
det&FEM&SING	une
adj	grand
n	conscience
adj-FEM	professionnel
conj	et
conj	et
co	euh
conj	et+puis
co	ben
pro:subj&FEM	elle
co	euh
pro:subj&FEM	elle
v:mdllex	faire
pro:subj&FEM	elle
v:mdllex	faire
pro:subj&FEM	elle
v:mdllex	faire
adv	beaucoup
prep	de
prep	de
prep:art	de
n	sacrifice
conj	pour+que
n	tout
conj	soit
adv	bien
pro:int	quoi
PCT	.
co	hum
PCT	.
v:exist	il+y+en+a
adv:neg	plus
adv	beaucoup
det&PL	des
n	gens
prep	comme
pro:dem	ça
PCT	.
adv:yn	ouais
pro:int	qui
v	vivre
adv	pour
pro	leur
adj	boulot
PCT	.
co	ben
pro&SING	moi
pro:subj	je
v-COND	dire
adv:neg	pas
conj	qu'
pro:subj&FEM	elle
v&PASS	vivre^v|voir
prep	pour
det:poss&MASC&SING	son
n	boulot
conj	mais
pro:subj&FEM	elle
pro:refl	se
v-PASS	épanouir
prep	dans
det:poss&MASC&SING	son
n	travail
pro:subj&FEM	elle
v	aimer
pro:rel	ce+que
pro:subj&FEM	elle
v:mdllex	faire
conj	donc
co	euh
co	euh
pro:dem	ça
adj	fait
adj	parti
prep	de
det:poss&FEM&SING	sa
n	vie
PCT	.
pro:subj	tu
v	voir
v:exist	c'est
adv:neg	pas
v:exist	c'est
adv:neg	pas
prep	comme
adv	si
adj-MASC	bon
adv	ben
pro:subj&FEM	elle
v:mdllex	venir
prep:art	au
n	boulot
det&MASC&SING	le
n	matin
co	hein
co	hein
pro:subj&FEM	elle
v:mdllex	faire
det:poss&MASC&SING	son
n	boulot
conj	puis
det&MASC&SING	le
n	soir
co	euh
pro:subj&FEM	elle
pro:subj&FEM	elle
v:aux	avoir
conj	qu'
det&FEM&SING	une
n	hâte
v:exist	c'est
prep	de
v-INF	rentrer
prep	chez
pro:subj&FEM	elle
conj	et+puis
pro:subj&FEM	elle
v	oublier
pro:int	ce+que
pro:subj&FEM	elle
v:aux	avoir
v:mdllex-PP	faire
prep:art	au
n	boulot
PCT	.
adv:yn	ouais
pro:subj&FEM	elle
v:mdl	faire
adv:neg	pas
det:poss&MASC&SING	son
n	boulot
conj	que
prep	pour
det&FEM&SING	la
n	paie
PCT	.
adv:place	voilà
pro:subj&FEM	elle
v:mdl	faire
adv:neg	pas
det:poss&MASC&SING	son
n	boulot
conj	que
prep	pour
det&FEM&SING	la
n	paie
pro:subj&FEM	elle
v:mdllex	faire
det:poss&MASC&SING	son
n	boulot
co	euh
pro:subj&FEM	elle
v	aimer
pro:int	ce+que
pro:subj&FEM	elle
v:mdllex	faire
pro:subj&FEM	elle
v	soigner
pro:int	ce+que
pro:subj&FEM	elle
v:mdl	faire
PCT	.
conj	et+puis
pro:subj&FEM	elle
v:aux	être
v-PPRE	rendre
prep:art	de
n	service
pro:subj&FEM	elle
v:exist	être
adv	toujours
v	prêter
prep	à
conj	si
pro:subj	on
pro&SING	lui
pro:y	en
v	rajouter
co	eh
co	ben
pro:subj&FEM	elle
v:mdllex	faire
det&MASC&SING	un
n	effort
prep	pour
pro:obj&MASC&SING	le
v-INF	prendre
pro:subj	tu
v	voir
pro:subj&FEM	elle
v:exist	être
PCT	.
adv:yn	ouais
conj	mais
v:mdl	falloir
adv:neg	pas
conj	qu'
pro:subj&FEM	elle
v:aux	être
adj-FEM	bon
n	poire
adv:yn	non
adv:neg	plus
PCT	.
co	ben
pro:subj&FEM	elle
v:aux	avoir
v:exist&PP	être
adj-FEM	bon
n	poire
prep	pendant
pro	plusieurs
n	année
conj	parce+que
pro:subj&FEM	elle
v:aux	avoir
pro:subj&FEM	elle
pro:refl	se
v:aux	être
v-PP	occuper
prep	de
det&FEM&SING	la
n	chasse
prep	de
det&PL	les
n	plan
prep:art	de
n	chasse
conj	alors
v:exist	c'est
adv	très
v-PP	compliquer
v:exist	c'est
adv	très
?	conflictuel
conj	parce+que
v:exist	c'est
det&FEM&SING	la
n	chasse
n	personne
adv:neg	ne
v:mdl	vouloir
pro:refl	se
pro:y	en
v-INF	occuper
PCT	.
co	hum
PCT	.
conj	parce+que
v:exist	c'est
co	euh
v:exist	c'est
adv	assez
n	politique
conj	si
pro:subj	tu
v:mdl	vouloir
v:exist	il+y+a
det&PL	des
n	pression
PCT	.
co	hum
PCT	.
conj	et
co	euh
conj	donc
pro:subj&FEM	elle
pro:subj&FEM	elle
pro:refl	se
pro:y	en
v:aux	être
v-PP	occuper
adj	pendant
on	pff
adv	plus
adv	de
n	dix
n	an
pro:subj	je
v	penser
pro:subj&FEM	elle
v:mdllex&IMPF	aller
prep	à
det&PL	des
n	réunion
prep	à
det&FEM&SING	la
n	préfecture
det&MASC&SING	le
n	soir
adv	tard
co	euh
pro:subj&FEM	elle
?	j–
?	c–
v:exist&IMPF	c'est
adv:neg	pas
pro:subj&FEM	elle
v:aux&IMPF	avoir
adv:neg	pas
prep:art	de
n	dédommagement
adv	rien+du+tout
PCT	.
conj	et
co	euh
det&MASC&SING	le
det&PL	les
adj	plan
prep:art	de
n	chasse
pro:dem	ça
v	représenter
det&PL	des
n	pile
conj	et
det&PL	des
n	pile
co	euh
conj	parce+que
v:exist	c'est
adv	énormément
prep	de
prep:art	de
adj&MASC^adj|chasseur-MASC	chasseur
PCT	.
co	ben
adv:yn	oui
adv	surtout
prep	dans
det&PL	les
n:prop	Vosges
PCT	.
adv:place	voilà
adv	surtout
prep	dans
det&PL	les
n:prop	Vosges
PCT	.
conj	et
conj	donc
pro:subj&FEM	elle
pro:subj&FEM	elle
v:mdl&IMPF	devoir
v:mdllex-INF	faire
det&PL	des
n	tas
prep	de
prep	de
v-PP	arrêter
det&PL	des
n	tas
prep	de
det&FEM&SING	la
n	paperasserie
adv	enfin
prep:art	en
?	veux–tu
pro:y	en
v-PASS	voiler
pro:int	quoi
v:exist	c'est
adv	très
v-PP	compliquer
conj	et
co	euh
pro:subj&FEM	elle
v:aux	avoir
v:mdllex-PP	faire
pro:dem	ça
adj	pendant
det&PL	des
n	année
det:gen&FEM	toute
adj	seul
PCT	.
co	hum
PCT	.
conj	et
adv	maintenant
pro:subj&FEM	elle
v:exist	être
?	par–
pro:subj&FEM	elle
v:aux	être
v-PP	partir
prep	de
det:dem&MASC&SING	ce
n	service
pro:subj&FEM	elle
v:aux	avoir
v-PP	demander
det&MASC&SING	le
n	secrétariat
adj-MASC	général
conj	donc
pro:subj&FEM	elle
v:exist	être
n	secrétaire
prep:art	du
n	directeur
conj	mais
det&PL	les
n	gens
pro:rel	qui
pro:obj&SING	le/la
v:aux	avoir
v-PP	remplacer
pro:subj&MASC	ils
v:exist	être
num	trois
prep	pour
v:mdllex-INF	faire
pro:int	ce+que
pro:subj&FEM	elle
v:mdl-IMPF	faire
pro:subj&FEM	elle
PCT	.
co	ah
adv:yn	ouais
co	hein
PCT	.
adj	seul
conj	et
v:exist	c'est
adv:neg	plus
pro&FEM	elle
pro:subj&FEM	elle
v:exist&IMPF	être
co	ah
co	euh
n	niveau
n:prop	C
conj	et
co	euh
det&FEM&SING	la
n	personne
pro:rel	qui
v:mdllex	aller
det	aux
n	réunion
prep	à
det&FEM&SING	la
n	préfecture
v:exist	c'est
det&MASC&SING	un
n	ingénieur
PCT	.
co	ah
adv:yn	ouais
conj	donc
co	euh
PCT	.
pro:subj&FEM	elle
v:mdl-IMPF	faire
adv	carrément
det&MASC&SING	le
n	travail
prep	de
det&MASC&SING	un
n	ingénieur
conj	et
pro:subj&MASC	ils
pro:obj&SING	le/la
v:aux	avoir
v-PP	laisser
v:mdllex-INF	faire
pro:dem	ça
adj	pendant
adv	plus
adv	de
n	dix
n	an
PCT	.
n	punaise
adj:num	dix
n	an
PCT	.
co	hum
PCT	.
pro:subj&MASC	ils
pro:refl	se
v:aux	être
v-PP	servir
prep	de
pro&FEM	elle
co	hein
PCT	.
co	eh
co	ben
adv	exactement
adv	donc
pro:subj	je
v	trouver
conj	que
v:exist	c'est
adj-MASC	normal
conj	qu'
pro:subj&FEM	elle
v:aux	être
v-PP	nommer
PCT	.
conj	et+puis
pro:subj	je
v:exist	être
adj	sûr
conj	qu'
pro:subj&MASC	ils
v:exist	être
adv:neg	plus
v-PP	payer
conj	qu'
pro:subj&FEM	elle
PCT	.
co	ah
co	ben
adv	largement
adv:yn	oui
pro:subj&FEM	elle
v:exist	être
adv:neg	pas
v-PP	payer
pro:subj&FEM	elle
v:aux	être
v-PP	payer
prep	comme
det&MASC&SING	un
n	cadre
co	euh
n:prop	C
PCT	.
co	ah
v:exist	c'est
PCT	.
pro:subj	tu
v:mdllex	savoir
prep	dans
det&FEM&SING	la
n	fonction
adj-FEM	public
v:exist	c'est
pro:subj	on
v:poss	avoir
det&PL	des
n	indice
conj	et
co	euh
prep	en+fonction+de
det&SING	le/la
n	indice
co	eh
co	ben
pro:subj	tu
v:aux	avoir
co	euh
pro:subj	tu
v:aux	avoir
co	euh
det&MASC&SING	un
pro&MASC	certain
adj	montant
det&MASC&SING	un
?	cer–
det&MASC&SING	un
adj	certain
n	salaire
det:gen&MASC	tous
det&MASC&SING	le
det&PL	les
det&SING	le/la
?	indice–là
det:gen&MASC	tout
det&MASC&SING	le
?	mon–
det:gen&MASC	tous
det&PL	les
n	gens
pro:rel	qui
v:aux	avoir
det:dem&SING	cet
?	indice–là
pro:subj	on
pro:obj&FEM&SING	la
adj	même
n	paie
PCT	.
adv:place	après
v:exist	il+y+a
v:exist	il+y+a
det&FEM&SING	une
det&FEM&SING	une
adj	composant
prep	de
det&FEM&SING	une
n	variante
prep	avec
det&MASC&SING	le
det&FEM&SING	la
n	paie
prep	avec
det&MASC&SING	le
det&MASC&SING	le
det&MASC&SING	le
adv:int	comment
det&FEM&SING	la
det&FEM&SING	la
n	prime
pro:rel	qui
v:exist	être
?	budgétisée
conj	et
pro:int	qui
v:exist	être
co	euh
?	mensualisée
conj	donc
adv:place	là
pro:dem	ça
?	c–
v:exist	il+y+a
det&FEM&SING	une
n	variante
prep	à
det:dem&MASC&SING	ce
?	niveau–là
pro:int	quoi
PCT	.
