voilà	FNO	voilà
alors	ADV	alors
c'	PRO:cls	ce
est	VER:pres	être
Cendrillon	NOM	cendrillon
oui	FNO	oui
ton	DET:pos	ton
livre	NOM	livre
de	PRP	de
princesse	NOM	princesse
mm	NOM	<unknown>
alors	ADV	alors
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
fort	ADV	fort
longtemps	ADV	longtemps
dans	PRP	dans
un	DET:ind	un
manoir	NOM	manoir
majestueux	ADJ	majestueux
vivait	VER:impf	vivre
un	DET:ind	un
gentilhomme	NOM	gentilhomme
son	DET:pos	son
épouse	NOM	épouse
c'	PRO:cls	ce
est	VER:pres	être
lui	PRO:ton	lui
et	KON	et
leur	DET:pos	leur
charmante	ADJ	charmant
petite	ADJ	petit
fille	NOM	fille
un	DET:ind	un
jour	NOM	jour
hélas	VER:simp	héler
Cendrillon	NOM	cendrillon
perdit	VER:simp	perdre
sa	DET:pos	son
maman	NOM	maman
et	KON	et
pour	PRP	pour
apaiser	VER:infi	apaiser
son	DET:pos	son
chagrin	ADJ	chagrin
son	DET:pos	son
père	NOM	père
décida	VER:simp	décider
de	PRP	de
se	PRO:clo	se
remarier	VER:infi	remarier
donc	ADV	donc
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
papa	NOM	papa
de	PRP	de
Cendrillon	NOM	cendrillon
oui	FNO	oui
elle	PRO:cls	elle
va	VER:pres	aller
.	NAM	<unknown>
elle	PRO:cls	elle
va	VER:pres	aller
se	PRO:clo	se
marier	VER:infi	marier
ils	PRO:cls	il
vont	VER:pres	aller
se	PRO:clo	se
marier	VER:infi	marier
/oui	MLT	<unknown>
mm/	MLT	<unknown>
tous	DET:pre	tout
les	DET:def	le
deux	NUM	@card@
oui	FNO	oui
et	KON	et
la	DET:def	le
femme	NOM	femme
qu'	KON	que
il	PRO:cls	il
choisit	VER:pres	choisir
avait	VER:impf	avoir
deux	NUM	@card@
filles	NOM	fille
mm	NOM	<unknown>
Javotte	NOM	javotte
et	KON	et
Anastasie	NAM	<unknown>
oui	FNO	oui
qui	PRO:rel	qui
étaient	VER:impf	être
de	DET:ind	un
véritables	ADJ	véritable
pimbêches	NOM	pimbêche
ça	PRO:cls	ça
veut	VER:pres	vouloir
dire	VER:infi	dire
quoi	INT	quoi
ça	PRO:cls	ça
.	VER:cond	<unknown>
elles	PRO:cls	elle
étaient	VER:impf	être
méchantes	ADJ	méchant
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
mm	NOM	<unknown>
la	DET:def	le
pauvre	ADJ	pauvre
Cendrillon	NOM	cendrillon
quelques	DET:ind	quelque
temps	NOM	temps
plus	ADV	plus
tard	ADV	tard
le	DET:def	le
gentilhomme	NOM	gentilhomme
mourut	VER:simp	mourir
à	PRP	à
son	DET:pos	son
tour	NOM	tour
xxx	NOM	<unknown>
Cendrillon	NOM	cendrillon
elle	PRO:cls	elle
pleure	VER:pres	pleurer
elle	PRO:cls	elle
pleure	VER:pres	pleurer
parce	TRC	parce
qu'	KON	que
elle	PRO:cls	elle
a	VER:pres	avoir
plus	ADV	plus
de	PRP	de
papa	NOM	papa
eh	INT	eh
non	FNO	non
euh	INT	euh
elle	PRO:cls	elle
a	VER:pres	avoir
plus	ADV	plus
de	PRP	de
maman	NOM	maman
non	FNO	non
plus	ADV	plus
donc	ADV	donc
elle	PRO:cls	elle
.	VER:cond	<unknown>
vit	VER:pres	vivre
euh	INT	euh
avec	PRP	avec
la	DET:def	le
méchante	NOM	méchante
belle-mère	ADJ	<unknown>
oui	FNO	oui
et	KON	et
alors	ADV	alors
là	ADV	là
les	DET:def	le
années	NOM	année
passèrent	VER:simp	passer
et	KON	et
malgré	PRP	malgré
le	DET:def	le
dur	ADJ	dur
labeur	NOM	labeur
Cendrillon	NOM	cendrillon
gardait	VER:impf	garder
toujours	ADV	toujours
le	DET:def	le
sourire	NOM	sourire
/oui	MLT	<unknown>
mm/	MLT	<unknown>
persuadée	VER:pper	persuader
qu'	KON	que
elle	PRO:cls	elle
connaîtrait	VER:cond	connaître
plus	ADV	plus
tard	ADV	tard
le	DET:def	le
mm	NOM	<unknown>
grand	ADJ	grand
bonheur	NOM	bonheur
chaque	DET:ind	chaque
jour	NOM	jour
à	PRP	à
son	DET:pos	son
réveil	NOM	réveil
elle	PRO:cls	elle
retrouvait	VER:impf	retrouver
ses	DET:pos	son
fidèles	ADJ	fidèle
amis	NOM	ami
mm	NOM	<unknown>
les	DET:def	le
oiseaux	NOM	oiseau
les	DET:def	le
souris	NOM	souris
et	KON	et
les	DET:def	le
souris	NOM	souris
très	ADV	très
tôt	ADV	tôt
un	DET:ind	un
matin	NOM	matin
alors	ADV	alors
que	KON	que
Cendrillon	NOM	cendrillon
se	PRO:clo	se
préparait	VER:impf	préparer
/oui	ADJ	<unknown>
mm/	MLT	<unknown>
pour	PRP	pour
une	DET:ind	un
longue	ADJ	long
journée	NOM	journée
de	PRP	de
travail	NOM	travail
oui	FNO	oui
Jacques	NOM	jacques
la	DET:def	le
plus	ADV	plus
dégourdie	VER:pper	dégourdir
des	DET:ind	un
souris	NOM	souris
tu	PRO:cls	tu
crois	VER:pres	croire
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
s-	TRC	s-
ça	PRO:cls	ça
doit	VER:pres	devoir
être	VER:infi	être
celui-là	PRO:dem	celui-là
Jacques	NOM	jacques
non	FNO	non
non	FNO	non
?	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
