eh	INT	eh
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
tous	DET:pre	tout
les	DET:def	le
tous	DET:pre	tout
les	DET:def	le
les	DET:def	le
colliers	NOM	collier
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
colliers	NOM	collier
sur	PRP	sur
le	DET:def	le
sur	PRP	sur
le	DET:def	le
poignet	NOM	poignet
?	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
bracelets	NOM	bracelet
tu	PRO:cls	tu
sais	VER:pres	savoir
ce	PRO:dem	ce
que	PRO:rel	que
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
bracelets	NOM	bracelet
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
les	DET:def	le
filles	NOM	fille
ben	INT	ben
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
verts	NOM	vert
ils	PRO:cls	il
sont	VER:pres	être
quelle	DET:int	quel
couleur	NOM	couleur
.	NAM	<unknown>
vert	NOM	vert
que	KON	que
vert	NOM	vert
.	NAM	<unknown>
moi	PRO:ton	moi
j'	PRO:cls	je
en	PRO:clo	en
vois	VER:pres	voir
un	DET:ind	un
vert	NOM	vert
un	DET:ind	un
orange	ADJ	orange
un	DET:ind	un
un	DET:ind	un
blanc	ADJ	blanc
blanc	ADJ	blanc
un	DET:ind	un
rose	ADJ	rose
oui	FNO	oui
un	DET:ind	un
blanc	ADJ	blanc
un	DET:ind	un
rose	ADJ	rose
et	KON	et
un	DET:ind	un
orange	NOM	orange
ouais	FNO	ouais
tu	PRO:cls	tu
sais	VER:pres	savoir
combien	PRO:int	combien
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
en	PRP	en
tout	PRO:ind	tout
.	NOM:sig	<unknown>
/un	MLT	<unknown>
hein/	MLT	<unknown>
.	NOM:sig	<unknown>
comb-	TRC	comb-
combien	PRO:int	combien
ça	PRO:cls	ça
fait	VER:pres	faire
tout	PRO:ind	tout
ça	PRO:cls	ça
.	VER:cond	<unknown>
un	NUM	@card@
deux	NUM	@card@
trois	NUM	@card@
quatre	NUM	@card@
cinq	NUM	@card@
six	NUM	@card@
sept	NUM	@card@
on	PRO:cls	on
a	VER:pres	avoir
sept	NUM	@card@
il	PRO:cls	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
sept	NUM	@card@
c'	PRO:cls	ce
est	VER:pres	être
beaucoup	ADV	beaucoup
hein	INT	hein
.	NAM	<unknown>
ben	INT	ben
oui	FNO	oui
hein	INT	hein
on	PRO:cls	on
les	PRO:clo	le
remet	VER:pres	remettre
dans	PRP	dans
la	DET:def	le
boîte	NOM	boîte
on	PRO:cls	on
ferme	VER:pres	fermer
on	PRO:cls	on
referme	VER:pres	refermer
et	KON	et
voilà	FNO	voilà
voilà	FNO	voilà
c'	PRO:cls	ce
est	VER:pres	être
tout	DET:pre	tout
le	DET:def	le
trésor	NOM	trésor
on	PRO:cls	on
le	PRO:clo	le
remet	VER:pres	remettre
dans	PRP	dans
la	DET:def	le
caisse	NOM	caisse
?	NAM	<unknown>
le	DET:def	le
trésor	NOM	trésor
.	NAM	<unknown>
oui	FNO	oui
alors	ADV	alors
et	KON	et
si	KON	si
on	PRO:cls	on
lisait	VER:impf	lire
les	DET:def	le
petits	ADJ	petit
livres	NOM	livre
du	PRP:det	du
hérisson	NOM	hérisson
maintenant	ADV	maintenant
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
mais	KON	mais
après	ADV	après
on	PRO:cls	on
joue	VER:pres	jouer
après	ADV	après
on	PRO:cls	on
joue	VER:pres	jouer
aux	PRP:det	au
avions	NOM	avion
non	FNO	non
aux	PRP:det	au
camions	NOM	camion
oui	FNO	oui
oui	FNO	oui
mais	KON	mais
euh	INT	euh
j'	PRO:cls	je
ai	VER:pres	avoir
pas	ADV	pas
d'	PRP	un
avions	NOM	avion
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
mode	NOM	mode
lumière	NOM	lumière
.	NAM	<unknown>
oui	FNO	oui
ah	INT	ah
ça	PRO:cls	ça
veut	VER:pres	vouloir
dire	VER:infi	dire
quoi	INT	quoi
.	NAM	<unknown>
ça	PRO:cls	ça
veut	VER:pres	vouloir
dire	VER:infi	dire
qu'	KON	que
on	PRO:cls	on
a	AUX:pres	avoir
mis	VER:pper	mettre
les	DET:def	le
lumières	NOM	lumière
ça	PRO:cls	ça
veut	VER:pres	vouloir
dire	VER:infi	dire
qu'	KON	que
on	PRO:cls	on
va	VER:pres	aller
hum	FNO	hum
ben	INT	ben
dis	VER:pres	dire
donc	ADV	donc
il	PRO:cls	il
a	VER:pres	avoir
des	DET:ind	un
roues	NOM	roue
aussi	ADV	aussi
ton	DET:pos	ton
mode	NOM	mode
lumière	NOM	lumière
.	NAM	<unknown>
il	PRO:cls	il
a	VER:pres	avoir
des	DET:ind	un
roues	NOM	roue
hein	INT	hein
?	NAM	<unknown>
des	PRP:det	du
roues	NOM	roue
on	PRO:cls	on
rétrécit	VER:pres	rétrécir
youhou	INT	youhou
il	PRO:cls	il
a	AUX:pres	avoir
roulé	VER:pper	rouler
vite	ADV	vite
la	DET:def	le
voiture	NOM	voiture
lancée	VER:pper	lancer
on	PRO:cls	on
xxx	NOM	<unknown>
moi	PRO:ton	moi
moi	PRO:ton	moi
j'	PRO:cls	je
ai	VER:pres	avoir
un	DET:ind	un
.	NOM:sig	<unknown>
j'	PRO:cls	je
ai	VER:pres	avoir
un	DET:ind	un
.	NOM	<unknown>
de	PRP	de
Cars	NOM	car
un	DET:ind	un
.	NOM	<unknown>
de	PRP	de
cartes	NOM	carte
.	NOM:sig	<unknown>
des	DET:ind	un
Cars	NOM	car
des	PRP:det	du
Cars	NOM	car
oui	FNO	oui
ça	PRO:cls	ça
veut	VER:pres	vouloir
dire	VER:infi	dire
quoi	INT	quoi
.	NAM	<unknown>
