alors	ADV	alors
commment	ADV	<unknown>
s'	PRO:clo	se
appelle	VER:pres	appeler
la	DET:def	le
petite	ADJ	petit
fille	NOM	fille
qui	PRO:rel	qui
parle	VER:pres	parler
.	NOM:sig	<unknown>
/Elfie	MLT	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
Elfie	VER:impe	<unknown>
.	VER:impe	<unknown>
Elfie	VER:impe	<unknown>
Elfie	VER:impe	<unknown>
Elfie	VER:impe	<unknown>
voilà	FNO	voilà
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
son	DET:pos	son
nom	NOM	nom
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
vous	PRO:cls	vous
connaissez	VER:pres	connaître
une	DET:ind	un
autre	ADJ	autre
petite	ADJ	petit
fille	NOM	fille
qui	PRO:rel	qui
s'	PRO:clo	se
appelle	VER:pres	appeler
Elfie	NAM	<unknown>
.	NAM	<unknown>
non	FNO	non
non	FNO	non
non	FNO	non
mais	KON	mais
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
vous	PRO:cls	vous
connaissez	VER:pres	connaître
une	DET:ind	un
petite	ADJ	petit
fille	NOM	fille
qui	PRO:rel	qui
s'	PRO:clo	se
appelle	VER:pres	appeler
comme	KON	comme
vous	PRO:cls	vous
.	VER:cond	<unknown>
non	FNO	non
moi	PRO:ton	moi
moi	PRO:ton	moi
mon	DET:pos	mon
nom	NOM	nom
on	PRO:cls	on
l'	PRO:clo	le
a	AUX:pres	avoir
trouvé	VER:pper	trouver
dans	PRP	dans
un	DET:ind	un
livre	NOM	livre
ouais	FNO	ouais
donc	ADV	donc
tu	PRO:cls	tu
connais	VER:pres	connaître
personne	PRO:ind	personne
qui	PRO:rel	qui
s'	PRO:clo	se
appelle	VER:pres	appeler
comme	KON	comme
toi	PRO:ton	toi
et	KON	et
toi	PRO:ton	toi
dans	PRP	dans
ta	DET:pos	ton
classe	NOM	classe
.	NAM	<unknown>
hum	FNO	hum
non	FNO	non
ou	KON	ou
dans	PRP	dans
ton	DET:pos	ton
école	NOM	école
.	NAM	<unknown>
non	FNO	non
il	PRO:cls	il
n'	ADV	ne
y	PRO:clo	y
a	VER:pres	avoir
personne	PRO:ind	personne
qui	PRO:rel	qui
s'	PRO:clo	se
appelle	VER:pres	appeler
comme	KON	comme
toi	PRO:ton	toi
.	NAM	<unknown>
non	FNO	non
personne	PRO:ind	personne
je	PRO:cls	je
connais	VER:pres	connaître
personne	PRO:ind	personne
que	KON	que
tu	PRO:cls	tu
connais	VER:pres	connaître
xxx	NOM	<unknown>
mais	KON	mais
et	KON	et
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
dans	PRP	dans
le	DET:def	le
monde	NOM	monde
vous	PRO:cls	vous
croyez	VER:pres	croire
qu'	KON	que
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
petites	ADJ	petit
filles	NOM	fille
qui	PRO:rel	qui
peuvent	VER:pres	pouvoir
s'	PRO:clo	se
appeler	VER:infi	appeler
comme	KON	comme
vous	PRO:cls	vous
.	VER:cond	<unknown>
oui	FNO	oui
oui	FNO	oui
.	NAM	<unknown>
oui	FNO	oui
ben	INT	ben
euh	INT	euh
toi	PRO:ton	toi
aussi	ADV	aussi
tu	PRO:cls	tu
crois	VER:pres	croire
.	NAM	<unknown>
tu	PRO:cls	tu
sais	VER:pres	savoir
pas	ADV	pas
et	KON	et
si	KON	si
par	PRP	par
exemple	NOM	exemple
et	KON	et
bien	ADV	bien
au	PRP:det	au
lieu	NOM	lieu
de	PRP	de
vous	PRO:cls	vous
appelez	VER:pres	appeler
comme	KON	comme
vous	PRO:cls	vous
vous	PRO:clo	vous
appelez	VER:pres	appeler
par	PRP	par
exemple	NOM	exemple
toi	PRO:ton	toi
tu	PRO:cls	tu
t'	PRO:clo	te
appellerais	VER:cond	appeler
Katia	NOM:sig	<unknown>
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
tu	PRO:cls	tu
serais	VER:cond	être
la	DET:def	le
même	ADJ	même
personne	NOM	personne
que	KON	que
maintenant	ADV	maintenant
.	VER:simp	<unknown>
euh	INT	euh
oui	FNO	oui
oui	FNO	oui
.	NAM	<unknown>
tu	PRO:cls	tu
es	VER:pres	être
d'	PRP	un
accord	NOM	accord
avec	PRP	avec
ce	PRO:dem	ce
qu'	PRO:rel	que
elle	PRO:cls	elle
dit	VER:pres	dire
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
