on	hop
conj	alors+que
?	est–ce
pro:subj	tu
v:mdllex	vouloir
prep	pour
n:prop	Noël
PCT	?
pro:subj	tu
v:mdllex	vouloir
?	,
v:mdl	pouvoir
v-INF	montrer
conj	ou
adv:neg	pas
PCT	?
pro:subj	je
v:mdllex	vouloir
co	euh
PCT	.
?	***
adv:place	ici
pro:subj	je
v:mdl	vouloir
adv	rien
adv:place	ici
PCT	.
co	oh
adv:yn	non
pro:dem	ça
v:exist	c'est
det&FEM&SING	une
n	poupée
n:prop	Barbie
pro:dem	ça
adv	aussi
PCT	.
pro:dem	ça
pro:refl	te
v	plaire
PCT	.
adv:neg	pas
det&PL	les
n	poupée
n:prop	Barbies
PCT	?
co	ah
adv:place	ici
PCT	.
pro:subj	je
v:mdl	aller
v-INF	prendre
pro:dem	ça
PCT	.
pro:subj	tu
v:mdl	vouloir
pro:rel	quoi
det&PL	les
co	euh
?	*
conj	ou
co	euh
n:prop	Spiderman
?	{previousLGen}
PCT	?
co	ben
pro:subj	je
v:mdl	vouloir
pro:dem	ça
pro:dem	ça
conj	et
pro:dem	ça
PCT	.
co	eh
co	ben
v	attendre
co	eh
co	oh
conj	mais
pro:subj	tu
v:mdl	vouloir
pro&MASC	tout
pro:dem	ça
PCT	?
co	euh
pro:subj	tu
PCT	.
conj	et
pro:dem	ça
PCT	.
v	croire
conj	que
det&MASC&SING	le
n:prop	Père
n:prop	Noël
pro:subj&MASC	il
v:mdl	aller
pro:refl	te
v-INF	apporter
PCT	.
det:gen&MASC	tout
pro:dem	ça
PCT	?
conj	et
pro:dem	ça
conj	et
pro:dem	ça
conj	et
pro:dem	ça
PCT	.
conj	et
pro:dem	ça
conj	et
pro:dem	ça
conj	et
pro:dem	ça
PCT	.
conj	et
pro:dem	ça
conj	et
pro:dem	ça
conj	et
pro:dem	ça
conj	et
pro:dem	ça
conj	et
pro:dem	ça
conj	et
pro:dem	ça
conj	et
pro:dem	ça
conj	et
pro:dem	ça
PCT	.
adv:yn	non
adv	doucement
?	douce–
adv:yn	non
adv	doucement
PCT	.
pro:dem	ça
pro:dem	ça
pro:dem	ça
pro:dem	ça
pro:dem	ça
pro:dem	ça
pro:dem	ça
pro:dem	ça
PCT	.
adv	doucement
PCT	.
adv	bon
PCT	.
conj	alors
adv:place	là
prep	comme
n	voiture
pro:subj	je
v:mdl	vouloir
pro:dem	ça
PCT	.
pro:subj	tu
v:mdllex	vouloir
?	celle–là
pro:dem&FEM	celle
prep	de
det:dem&MASC&SING	ce
PCT	.
co	oh
adv:yn	non
?	celle–là
PCT	.
?	***
PCT	.
co	ah
adv:yn	oui
conj	mais
pro:subj	tu
v:aux	avoir
pro:subj	tu
v:aux	avoir
v&PP-MASC	voir
det&PL	les
n	roue
PCT	?
pro:subj	tu
v:aux	avoir
v&PP-MASC	voir
adv:int	comment
v:exist	c'est
PCT	.
conj	que
v:exist	c'est
conj	que
v:exist	c'est
adj-MASC	cher
adv	en+plus
PCT	.
?	tiens–toi
n	droit
conj	si
pro:subj&MASC	il
pro:refl	te
v	plaire
PCT	.
pro:subj	tu
v	préférer
conj	alors
pro:subj	tu
v	préférer
