a-	TRC	a-
avant-hier	NOM	<unknown>
j'	PRO:cls	je
étais	VER:impf	être
euh	INT	euh
au	PRP:det	au
feu	NOM	feu
tranquille	ADJ	tranquille
avec	PRP	avec
mon	DET:pos	mon
titi	NOM	titi
euh	INT	euh
sur	PRP	sur
le	DET:def	le
côté	NOM	côté
passager	ADJ	passager
assis	VER:pper	asseoir
tu	PRO:cls	tu
vois	VER:pres	voir
et	KON	et
puis	KON	puis
euh	INT	euh
moi	PRO:ton	moi
j'	PRO:cls	je
attendais	VER:impf	attendre
au	PRP:det	au
feu	NOM	feu
rouge	ADJ	rouge
et	KON	et
d'	PRP	un
un	DET:ind	un
coup	NOM	coup
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
la	DET:def	le
voiture	NOM	voiture
du	PRP:det	du
gendarme	NOM	gendarme
qui	PRO:rel	qui
se	PRO:clo	se
met	VER:pres	mettre
sur	PRP	sur
la	DET:def	le
droite	NOM	droite
juste	ADV	juste
à	PRP	à
côté	NOM	côté
de	PRP	de
moi	PRO:ton	moi
je	PRO:cls	je
tourne	VER:pres	tourner
la	DET:def	le
tête	NOM	tête
et	KON	et
ils	PRO:cls	il
ont	AUX:pres	avoir
éclaté	VER:pper	éclater
de	PRP	de
rire	VER:infi	rire
parce	TRC	parce
que	KON	que
j'	PRO:cls	je
étais	VER:impf	être
avec	PRP	avec
mon	DET:pos	mon
bonnet	NOM	bonnet
de	PRP	de
chouette	NOM	chouette
tu	PRO:cls	tu
vois	VER:pres	voir
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
et	KON	et
puis	KON	puis
j'	PRO:cls	je
ai	VER:pres	avoir
mon	DET:pos	mon
titi	NOM	titi
qui	PRO:rel	qui
était	VER:impf	être
en	PRP	en
train	NOM	train
de	PRP	de
les	PRO:clo	le
regarder	VER:infi	regarder
tu	PRO:cls	tu
vois	VER:pres	voir
et	KON	et
puis	KON	puis
voilà	FNO	voilà
han	NOM	<unknown>
hier	ADV	hier
aussi	ADV	aussi
j'	PRO:cls	je
étais	VER:impf	être
à	PRP	à
l'	DET:def	le
arrêt	NOM	arrêt
de	PRP	de
bus	NOM	bus
et	KON	et
là	ADV	là
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
les	DET:def	le
gendarmes	NOM	gendarme
qui	PRO:rel	qui
me	PRO:clo	me
regardent	VER:pres	regarder
han	NOM	<unknown>
pareil	ADJ	pareil
je	PRO:cls	je
crois	VER:pres	croire
qu'	KON	que
il	PRO:cls	il
attire	VER:pres	attirer
mon	DET:pos	mon
bonnet	NOM	bonnet
bah	INT	bah
il	PRO:cls	il
est	VER:pres	être
flashy	ADJ	<unknown>
il	PRO:cls	il
est	VER:pres	être
plein	ADV	plein
de	PRP	de
trucs	NOM	truc
différents	ADJ	différent
alors	ADV	alors
le	DET:def	le
blanc	ADJ	blanc
tu	PRO:cls	tu
sais	VER:pres	savoir
tu	PRO:cls	tu
couperas	VER:futu	couper
je	PRO:cls	je
couperai	VER:futu	couper
mais	KON	mais
enfin	ADV	enfin
je	PRO:cls	je
couperai	VER:futu	couper
vous	PRO:cls	vous
avez	AUX:pres	avoir
réussi	VER:pper	réussir
à	PRP	à
lire	VER:infi	lire
l'	DET:def	le
article	NOM	article
hein	INT	hein
pardon	FNO	pardon
tu	PRO:cls	tu
veux	VER:pres	vouloir
parler	VER:infi	parler
de	PRP	de
sur	PRP	sur
l'	DET:def	le
article	NOM	article
je	PRO:cls	je
xxx	NOM	<unknown>
