voilà	FNO	voilà
c'	PRO:cls	ce
est	VER:pres	être
à	PRP	à
vous	PRO:ton	vous
deux	NUM	@card@
alors	ADV	alors
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
donc	ADV	donc
c'	PRO:cls	ce
est	VER:pres	être
Elfie	NOM	<unknown>
qui	PRO:rel	qui
parle	VER:pres	parler
là	ADV	là
une	DET:ind	un
petite	ADJ	petit
fille	NOM	fille
qui	PRO:rel	qui
a	VER:pres	avoir
votre	DET:pos	votre
âge	NOM	âge
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
vous	PRO:cls	vous
avez	VER:pres	avoir
euh	INT	euh
retenu	VER:pper	retenir
.	NAM	<unknown>
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qui	PRO:rel	qui
vous	PRO:cls	vous
a	VER:pres	avoir
le	DET:def	le
plus	ADV	plus
plu	VER:pper	plaire|pleuvoir
dans	PRP	dans
ce	PRO:dem	ce
qu'	PRO:rel	que
elle	PRO:cls	elle
dit	VER:pres	dire
.	ADJ	<unknown>
que	KON	que
elle	PRO:cls	elle
veut	VER:pres	vouloir
pas	ADV	pas
xxx	NOM	<unknown>
prendre	VER:infi	prendre
euh	INT	euh
ses	DET:pos	son
décisions	NOM	décision
de	PRP	de
plus	ADV	plus
tard	ADV	tard
d'	PRP	un
abord	NOM	abord
regarder	VER:infi	regarder
tout	DET:pre	tout
ce	PRO:dem	ce
qui	PRO:rel	qui
est	VER:pres	être
autour	ADV	autour
d'	PRP	un
elle	PRO:ton	elle
de	PRP	de
son	DET:pos	son
âge	NOM	âge
maintenant	ADV	maintenant
oui	FNO	oui
et	KON	et
aussi	ADV	aussi
euh	INT	euh
elle	PRO:ton	elle
elle	PRO:cls	elle
dit	VER:pres	dire
que	KON	que
à	PRP	à
un	DET:ind	un
certain	ADJ	certain
moment	NOM	moment
que	KON	que
elle	PRO:ton	elle
que	KON	que
elle	PRO:cls	elle
voulait	VER:impf	vouloir
pas	ADV	pas
mourir	VER:infi	mourir
a-	TRC	a-
avant	ADV	avant
d'	PRP	un
avoir	VER:infi	avoir
penser	VER:infi	penser
et	KON	et
elle	PRO:cls	elle
v-	TRC	v-
elle	PRO:cls	elle
veut	VER:pres	vouloir
penser	VER:infi	penser
certaines	DET:ind	certains
fois	NOM	fois
elle	PRO:cls	elle
s'	PRO:clo	se
interroge	VER:pres	interroger
si	KON	si
elle	PRO:cls	elle
pense	VER:pres	penser
vraiment	ADV	vraiment
ou	KON	ou
pas	ADV	pas
si	KON	si
elle	PRO:cls	elle
existe	VER:pres	exister
aussi	ADV	aussi
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
drôles	NOM	drôle
de	PRP	de
questions	NOM	question
hein	INT	hein
?	NAM	<unknown>
vous	PRO:cls	vous
vous	PRO:clo	vous
les	PRO:clo	le
posez	VER:pres	poser
parfois	ADV	parfois
.	ADJ	<unknown>
ben	INT	ben
non	FNO	non
parce	TRC	parce
qu'	KON	que
on	PRO:cls	on
sait	VER:pres	savoir
euh	INT	euh
qu'	KON	que
on	PRO:cls	on
existe	VER:pres	exister
et	KON	et
euh	INT	euh
qu'	KON	que
on	PRO:cls	on
pense	VER:pres	penser
aussi	ADV	aussi
hein	INT	hein
?	NAM	<unknown>
et	KON	et
comment	PRO:int	comment
tu	PRO:cls	tu
sais	VER:pres	savoir
que	KON	que
tu	PRO:cls	tu
existes	VER:pres	exister
toi	PRO:ton	toi
.	NAM	<unknown>
ben	INT	ben
sinon	ADV	sinon
je	PRO:cls	je
parlerai	VER:futu	parler
pas	ADV	pas
tu	PRO:cls	tu
parlerais	VER:cond	parler
pas	ADV	pas
oui	FNO	oui
exactement	ADV	exactement
donc	ADV	donc
tu	PRO:cls	tu
es	VER:pres	être
pas	ADV	pas
d'	PRP	un
accord	NOM	accord
avec	PRP	avec
Simon	NOM	<unknown>
.	NAM	<unknown>
euh	INT	euh
ben	INT	ben
Simon	NOM	<unknown>
il	PRO:cls	il
dit	VER:pres	dire
hum	FNO	hum
comme	KON	comme
elle	PRO:cls	elle
parle	VER:pres	parler
pas	ADV	pas
peut-être	ADV	peut-être
qu'	KON	que
elle	PRO:cls	elle
existe	VER:pres	exister
pas	ADV	pas
pour	PRP	pour
de	PRP	de
vrai	ADJ	vrai
ben	INT	ben
on	PRO:cls	on
sait	VER:pres	savoir
pas	ADV	pas
peut-être	ADV	peut-être
qu'	KON	que
elle	PRO:cls	elle
avait	VER:impf	avoir
un	DET:ind	un
problème	NOM	problème
à	PRP	à
la	DET:def	le
bouche	NOM	bouche
et	KON	et
qu'	KON	que
elle	PRO:cls	elle
pouvait	VER:impf	pouvoir
pas	ADV	pas
parler	VER:infi	parler
alors	ADV	alors
tu	PRO:cls	tu
crois	VER:pres	croire
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:cls	ça
.	VER:cond	<unknown>
ben	INT	ben
elle	PRO:cls	elle
est	VER:pres	être
timide	ADJ	timide
elle	PRO:cls	elle
est	VER:pres	être
timide	ADJ	timide
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qui	PRO:rel	qui
te	PRO:clo	te
fait	VER:pres	faire
dire	VER:infi	dire
ça	PRO:ton	ça
.	NAM	<unknown>
ben	INT	ben
parce	TRC	parce
qu'	KON	que
elle	PRO:cls	elle
veut	VER:pres	vouloir
pas	ADV	pas
demander	VER:infi	demander
les	DET:def	le
noms	NOM	nom
aux	PRP:det	au
autres	ADJ	autre
ouais	FNO	ouais
mais	KON	mais
elle	PRO:cls	elle
ose	VER:pres	oser
pas	ADV	pas
poser	VER:infi	poser
de	PRP	de
questions	NOM	question
elle	PRO:cls	elle
dit	VER:pres	dire
vous	PRO:cls	vous
osez	VER:pres	oser
poser	VER:infi	poser
des	DET:ind	un
questions	NOM	question
vous	PRO:cls	vous
.	VER:cond	<unknown>
non	FNO	non
xxx	NOM	<unknown>
hum	FNO	hum
non	FNO	non
non	FNO	non
mais	KON	mais
à	PRP	à
à	PRP	à
des	DET:ind	un
gens	NOM	gens
vous	PRO:cls	vous
osez	VER:pres	oser
poser	VER:infi	poser
des	DET:ind	un
questions	NOM	question
.	NAM	<unknown>
non	FNO	non
pas	ADV	pas
trop	ADV	trop
euh	INT	euh
ben	INT	ben
euh	INT	euh
toi	PRO:ton	toi
pas	ADV	pas
trop	ADV	trop
?	NAM	<unknown>
et	KON	et
toi	PRO:ton	toi
.	NAM	<unknown>
et	KON	et
ben	INT	ben
moi	PRO:ton	moi
ça	PRO:ton	ça
ça	PRO:cls	ça
dépend	VER:pres	dépendre
à	PRP	à
à	PRP	à
qui	PRO:int	qui
à	PRP	à
qui	PRO:rel	qui
c'	PRO:cls	ce
est	VER:pres	être
qui	PRO:rel	qui
c'	PRO:cls	ce
est	VER:pres	être
ah	INT	ah
ça	PRO:cls	ça
dépend	VER:pres	dépendre
à	PRP	à
qui	PRO:rel	qui
c'	PRO:cls	ce
est	VER:pres	être
alors	ADV	alors
à	PRP	à
qui	PRO:rel	qui
que	PRO:rel	que
tu	PRO:cls	tu
n'	ADV	ne
oses	VER:pres	oser
pas	ADV	pas
.	ADJ	<unknown>
ben	INT	ben
euh	INT	euh
moi	PRO:ton	moi
je	PRO:cls	je
je	PRO:cls	je
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
peut-être	ADV	peut-être
que	KON	que
je	PRO:cls	je
connais	VER:pres	connaître
pas	ADV	pas
à	PRP	à
moins	ADV	moins
ouais	FNO	ouais
à	PRP	à
moins	ADV	moins
qui	PRO:rel	qui
me	PRO:clo	me
demandent	VER:pres	demander
mais	KON	mais
je	PRO:cls	je
vais	VER:pres	aller
je	PRO:cls	je
vais	VER:pres	aller
lui	PRO:clo	lui
répondre	VER:infi	répondre
si	KON	si
si	KON	si
ils	PRO:cls	il
demandent	VER:pres	demander
si	KON	si
comment	PRO:int	comment
je	PRO:cls	je
m'	PRO:clo	me
appelle	VER:pres	appeler
et	KON	et
tout	PRO:ind	tout
d'	PRP	un
accord	NOM	accord
et	KON	et
toi	PRO:ton	toi
tu	PRO:cls	tu
as	VER:pres	avoir
tu	PRO:cls	tu
es	VER:pres	être
tu	PRO:cls	tu
es	VER:pres	être
plutôt	ADV	plutôt
timide	ADJ	timide
toi	PRO:ton	toi
.	NAM	<unknown>
oui	FNO	oui
donc	ADV	donc
tu	PRO:cls	tu
o-	TRC	o-
ah	INT	ah
tu	PRO:cls	tu
tu	PRO:cls	tu
oses	VER:pres	oser
quand	KON	quand
même	ADV	même
poser	VER:infi	poser
des	DET:ind	un
questions	NOM	question
à	PRP	à
certaines	DET:ind	certains
personnes	NOM	personne
.	NAM	<unknown>
oui	FNO	oui
à	PRP	à
qui	PRO:rel	qui
.	NAM	<unknown>
ben	INT	ben
mes	DET:pos	mon
parents	NOM	parent
et	KON	et
puis	KON	puis
à	PRP	à
tes	DET:pos	ton
copines	NOM	copine
.	NAM	<unknown>
oui	FNO	oui
ouais	FNO	ouais
et	KON	et
et	KON	et
quand	KON	quand
moi	PRO:ton	moi
mes	DET:pos	mon
parents	NOM	parent
je	PRO:cls	je
leur	PRO:clo	lui
pose	VER:pres	poser
euh	INT	euh
ben	INT	ben
beaucoup	ADV	beaucoup
et	KON	et
ben	INT	ben
ça	PRO:cls	ça
se	PRO:clo	se
dit	VER:pres	dire
ça	PRO:cls	ça
dépend	VER:pres	dépendre
d'	PRP	un
à	PRP	à
qui	PRO:rel	qui
euh	INT	euh
et	KON	et
certaines	DET:ind	certains
personnes	NOM	personne
euh	INT	euh
que	KON	que
je	PRO:cls	je
connais	VER:pres	connaître
bien	ADV	bien
j'	PRO:cls	je
en	PRO:clo	en
pose	VER:pres	poser
beaucoup	ADV	beaucoup
à	PRP	à
eux	PRO:ton	eux
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
quand	KON	quand
même	ADV	même
des	DET:ind	un
questions	NOM	question
que	KON	que
vous	PRO:cls	vous
n'	ADV	ne
osez	VER:pres	oser
pas	ADV	pas
poser	VER:infi	poser
aux	PRP:det	au
gens	NOM	gens
que	KON	que
vous	PRO:cls	vous
connaissez	VER:pres	connaître
bien	ADV	bien
.	ADJ	<unknown>
euh	INT	euh
non	FNO	non
pas	ADV	pas
vraiment	ADV	vraiment
non	FNO	non
toutes	DET:pre	tout
les	DET:def	le
questions	NOM	question
tu	PRO:cls	tu
peux	VER:pres	pouvoir
leur	PRO:clo	lui
poser	VER:infi	poser
.	VER:infi	<unknown>
euh	INT	euh
ben	INT	ben
ouais	FNO	ouais
ça	PRO:cls	ça
t'	PRO:clo	te
arrive	VER:pres	arriver
jamais	ADV	jamais
de	PRP	de
se	PRO:clo	se
d-	TRC	d-
de	PRP	de
te	PRO:clo	te
dire	VER:infi	dire
euh	INT	euh
j'	PRO:cls	je
aimerais	VER:cond	aimer
bien	ADV	bien
demander	VER:infi	demander
ça	PRO:ton	ça
mais	KON	mais
j'	PRO:cls	je
ose	VER:pres	oser
pas	ADV	pas
euh	INT	euh
ouais	FNO	ouais
non	FNO	non
?	NAM	<unknown>
non	FNO	non
?	NAM	<unknown>
et	KON	et
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
vous	PRO:cls	vous
pensez	VER:pres	penser
