en	PRP	en
deug	NOM	<unknown>
de	PRP	de
sciences	NOM	science
du	PRP:det	du
langage	NOM	langage
enregistrement	NOM	enregistrement
d'	PRP	un
un	DET:ind	un
enfant	NOM	enfant
dans	PRP	dans
le	DET:def	le
cadre	NOM	cadre
du	PRP:det	du
.	NAM	<unknown>
.	NAM	<unknown>
de	PRP	de
l'	DET:def	le
.	NAM	<unknown>
.	NAM	<unknown>
acquisition	NOM	acquisition
du	PRP:det	du
langage	NOM	langage
dirigée	VER:pper	diriger
par	PRP	par
Mademoiselle	NOM	mademoiselle
Canut	NOM	canut
.	NAM	<unknown>
alors	ADV	alors
la	DET:def	le
bergère	NOM	bergère
gardait	VER:impf	garder
ses	DET:pos	son
moutons	NOM	mouton
et	KON	et
après	ADV	après
tu	PRO:cls	tu
connais	VER:pres	connaître
plus	ADV	plus
la	DET:def	le
suite	NOM	suite
de	PRP	de
l'	DET:def	le
histoire	NOM	histoire
.	NAM	<unknown>
mais	KON	mais
si	KON	si
alors	ADV	alors
bergère	NOM	bergère
la	DET:def	le
bergère	NOM	bergère
gardait	VER:impf	garder
ses	DET:pos	son
moutons	NOM	mouton
avec	PRP	avec
son	DET:pos	son
mari	NOM	mari
et	KON	et
le	DET:def	le
loup	NOM	loup
est	VER:pres	être
ve-	TRC	<unknown>
-nu	NAM	<unknown>
-nu	NAM	<unknown>
et	KON	et
a	AUX:pres	avoir
rangé	VER:pper	ranger
a	AUX:pres	avoir
brûlé	VER:pper	brûler
la	DET:def	le
xxx	NOM	<unknown>
et	KON	et
a	AUX:pres	avoir
brûlé	VER:pper	brûler
la	DET:def	le
mai-	NOM	<unknown>
-son	NAM	<unknown>
-son	NAM	<unknown>
xxx	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
ta	DET:pos	ton
maîtresse	NOM	maîtresse
qui	PRO:rel	qui
te	PRO:clo	te
l'	PRO:clo	le
as	AUX:pres	avoir
apprise	VER:pper	apprendre
cette	DET:dem	ce
euh	INT	euh
chanson	NOM	chanson
.	NAM	<unknown>
non	FNO	non
je	PRO:cls	je
l'	PRO:clo	le
ai	AUX:pres	avoir
appris	VER:pper	apprendre
toute	ADV	tout
seule	ADJ	seul
toute	ADV	tout
seule	ADJ	seul
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
avec	PRP	avec
maman	NOM	maman
peut-être	ADV	peut-être
.	VER:simp	<unknown>
non	FNO	non
toute	ADV	tout
seule	ADJ	seul
toute	ADV	tout
seule	ADJ	seul
toute	ADV	tout
seule	ADJ	seul
toute	ADV	tout
seule	ADJ	seul
.	NAM	<unknown>
oui	FNO	oui
tu	PRO:cls	tu
es	VER:pres	être
sûre	ADJ	sûr
que	KON	que
tu	PRO:cls	tu
l'	PRO:clo	le
as	AUX:pres	avoir
pas	ADV	pas
entendue	VER:pper	entendre
quelque	ADJ	<unknown>
part	NOM	part
.	NAM	<unknown>
non	FNO	non
non	FNO	non
?	NAM	<unknown>
non	FNO	non
oh	INT	oh
ben	INT	ben
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
alors	ADV	alors
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
très	ADV	très
très	ADV	très
bien	ADV	bien
ça	PRO:ton	ça
une	DET:ind	un
autre	ADJ	autre
une	DET:ind	un
autre	ADJ	autre
.	NOM:sig	<unknown>
une	DET:ind	un
autre	ADJ	autre
ah	INT	ah
ben	INT	ben
alors	ADV	alors
une	DET:ind	un
autre	ADJ	autre
une	DET:ind	un
souris	NOM	souris
verte	ADJ	vert
qui	PRO:rel	qui
courait	VER:impf	courir
qui	PRO:rel	qui
courait	VER:impf	courir
dans	PRP	dans
l'	DET:def	le
herbe	NOM	herbe
je	PRO:cls	je
l'	PRO:clo	le
attrape	VER:pres	attraper
par	PRP	par
la	DET:def	le
queue	NOM	queue
je	PRO:cls	je
la	PRO:clo	le
montre	VER:pres	montrer
je	PRO:cls	je
la	PRO:clo	le
montre	VER:pres	montrer
à	PRP	à
ces	DET:dem	ce
messieurs	NOM	messieurs
ces	DET:dem	ce
messieurs	NOM	messieurs
me	PRO:clo	me
disent	VER:pres	dire
-la	NAM	<unknown>
trempez	VER:impe	tremper
dans	PRP	dans
l'	DET:def	le
huile	NOM	huile
-la	NAM	<unknown>
trempez	VER:impe	tremper
l'	DET:def	le
huile	NOM	huile
-la	NAM	<unknown>
trempez	VER:impe	tremper
dans	PRP	dans
l'	DET:def	le
eau	NOM	eau
ça	PRO:cls	ça
fera	VER:futu	faire
un	DET:ind	un
escargot	NOM	escargot
tout	ADV	tout
chaud	ADJ	chaud
je	PRO:cls	je
la	PRO:clo	le
mets	VER:pres	mettre
dans	PRP	dans
mon	DET:pos	mon
tiroir	NOM	tiroir
elle	PRO:cls	elle
me	PRO:clo	me
dit	VER:pres	dire
/qu'il	MLT	<unknown>
qui/	MLT	<unknown>
fait	VER:pres	faire
trop	ADV	trop
noir	ADJ	noir
je	PRO:cls	je
la	PRO:clo	le
mets	VER:pres	mettre
dans	PRP	dans
mon	DET:pos	mon
chapeau	NOM	chapeau
elle	PRO:cls	elle
me	PRO:clo	me
dit	VER:pres	dire
/qu'il	MLT	<unknown>
qui/	MLT	<unknown>
fait	VER:pres	faire
trop	ADV	trop
chaud	ADJ	chaud
je	PRO:cls	je
la	PRO:clo	le
mets	VER:pres	mettre
dans	PRP	dans
ma	DET:pos	mon
culotte	NOM	culotte
elle	PRO:cls	elle
me	PRO:clo	me
fait	VER:pres	faire
trois	NUM	@card@
petites	ADJ	petit
crottes	NOM	crotte
dis-donc	NOM	<unknown>
tu	PRO:cls	tu
es	VER:pres	être
sûre	ADJ	sûr
que	KON	que
la	DET:def	le
dernière	ADJ	dernier
phrase	NOM	phrase
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
maîtresse	NOM	maîtresse
qui	PRO:rel	qui
te	PRO:clo	te
l'	PRO:clo	le
a	AUX:pres	avoir
apprise	VER:pper	apprendre
.	NAM	<unknown>
oui	FNO	oui
tu	PRO:cls	tu
es	VER:pres	être
sûre	ADJ	sûr
sûre	ADJ	sûr
.	NOM:sig	<unknown>
parce	TRC	parce
que	KON	que
moi	PRO:ton	moi
je	PRO:cls	je
la	PRO:clo	le
connais	VER:pres	connaître
avec	PRP	avec
le	DET:def	le
chapeau	NOM	chapeau
il	PRO:cls	il
fait	VER:pres	faire
trop	ADV	trop
chaud	ADJ	chaud
le	DET:def	le
tiroir	NOM	tiroir
il	PRO:cls	il
fait	VER:pres	faire
trop	ADV	trop
noir	ADJ	noir
mais	KON	mais
je	PRO:cls	je
connaissais	VER:impf	connaître
pas	ADV	pas
avec	PRP	avec
la	DET:def	le
culotte	NOM	culotte
et	KON	et
les	DET:def	le
trois	NUM	@card@
petites	ADJ	petit
crottes	NOM	crotte
tu	PRO:cls	tu
es	VER:pres	être
sûre	ADJ	sûr
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
Marie-Hélène	NOM	<unknown>
qui	PRO:rel	qui
te	PRO:clo	te
l'	PRO:clo	le
a	AUX:pres	avoir
appris	VER:pper	apprendre
.	NAM	<unknown>
hum	FNO	hum
si	KON	si
ah	INT	ah
si	KON	si
ah	INT	ah
-moi	PRO:clo	moi
regarde	VER:impe	regarder
ce	PRO:dem	ce
que	PRO:rel	que
je	PRO:cls	je
sais	VER:pres	savoir
faire	VER:infi	faire
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
tu	PRO:cls	tu
sais	VER:pres	savoir
faire	VER:infi	faire
?	NAM	<unknown>
ouh	INT	ouh
oui	FNO	oui
un	DET:ind	un
demi-tour	NOM	<unknown>
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
Marie-	TRC	<unknown>
Hélène	NOM	<unknown>
qui	PRO:rel	qui
m'	PRO:clo	me
a	VER:pres	avoir
c'	PRO:cls	ce
est	VER:pres	être
bravo	FNO	bravo
Marie-Hélène	NOM	<unknown>
qui	PRO:rel	qui
me	PRO:clo	me
l'	PRO:clo	le
a	AUX:pres	avoir
appris	VER:pper	apprendre
Marie-Hélène	NOM	<unknown>
/quand	MLT	<unknown>
même	ADV	même
comme	KON	comme
elle/	MLT	<unknown>
qui	PRO:rel	qui
t'	PRO:clo	te
a	AUX:pres	avoir
appris	VER:pper	apprendre
/quand	NOM	<unknown>
même	ADJ	même
comme	KON	comme
elle/	MLT	<unknown>
.	NOM:sig	<unknown>
oui	FNO	oui
/quand	MLT	<unknown>
même	ADV	même
comme	KON	comme
elle/	MLT	<unknown>
elle	PRO:cls	elle
fait	VER:pres	faire
de	PRP	de
la	DET:def	le
gymnastique	ADJ	gymnastique
Marie-Hélène	NOM	<unknown>
.	NAM	<unknown>
oui	FNO	oui
euh	INT	euh
non	FNO	non
elle	PRO:cls	elle
fait	VER:pres	faire
de	PRP	de
la	DET:def	le
danse	NOM	danse
oui	FNO	oui
mais	KON	mais
aussi	ADV	aussi
à	PRP	à
son	DET:pos	son
école	NOM	école
elle	PRO:cls	elle
fait	VER:pres	faire
de	PRP	de
la	DET:def	le
gymnastique	NOM	gymnastique
ah	INT	ah
dans	PRP	dans
son	DET:pos	son
école	NOM	école
elle	PRO:cls	elle
fait	VER:pres	faire
aussi	ADV	aussi
de	PRP	de
la	DET:def	le
gymnastique	NOM	gymnastique
ouais	FNO	ouais
xxx	NOM	<unknown>
et	KON	et
puis	KON	puis
à	PRP	à
la	DET:def	le
danse	NOM	danse
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
même	ADJ	même
chose	NOM	chose
à	PRP	à
la	DET:def	le
danse	NOM	danse
elle	PRO:cls	elle
