adj:num	deux
n	lecture
prep	pour
?	***
?	"La
adj	vieil^adj|vieille
?	voiture"
v:mdl	aller
pro:subj	je
pro:refl	te
n	écoute
n:prop	Célia
PCT	.
prep	dans
det&FEM&SING	la
n	cave
v:exist	il+y+a
det&MASC&SING	un
n	balai
det&MASC&SING	un
n	ciseau
det&MASC&SING	un
n	ballon
det&FEM&SING	une
n	échelle
PCT	.
det&FEM&SING	une
n	valise
det&MASC&SING	un
n	arrosoir
det&MASC&SING	un
n-MASC	panier
det&PL	des
n	feutre
PCT	.
v:exist	il+y+a
adv	plein
prep:art	de
adj	vieil^adj|vieille
n	chose
PCT	.
conj	et
v:exist	il+y+a
det&FEM&SING	une
adj	vieil^adj|vieille
n	voiture
pro:rel	qui
v:exist&IMPF	être
det&FEM&SING	la
n	voiture
prep	de
n:prop	Ludovic
PCT	.
adv:yn	non
n:prop	Karim
PCT	.
n:prop	Karim
PCT	.
v:exist&IMPF	c'est
det&FEM&SING	la
n	voiture
prep	de
n:prop	Karim
conj	quand
pro:subj&MASC	il
v:exist&IMPF	être
n	bébé
PCT	.
v	tourner
conj	bien
prep	avec
det:poss&MASC&SING	ton
n	doigt
adv:place	voilà
PCT	.
?	*
co	euh
PCT	.
conj	et
v:aux	c'est
adj-MASC	bien^adj|bien
conj	que
pro:subj	tu
v	laisser
det&MASC&SING	le
n	livre
prep:art	à
n	plat
PCT	.
conj	parce+que
conj	sinon
pro:subj	je
v:mdl	pouvoir
adv:neg	pas
v-INF	regarder
det&PL	les
n	image
pro&SING	moi
adv:yn	non
adv:neg	plus
PCT	.
n:prop	Anaïs
n:prop	Anaïs
v	éclairer
det&PL	les
n	escalier
prep	avec
det&FEM&SING	la
n	lampe
?	,
det&SING	le/la
n	ampoule
adj	électrique
PCT	.
adv:yn	oui
PCT	.
det&PL	les
n	enfant
adv:neg	ne
v:aux	avoir
adv:neg	pas
adv	tout+de+suite
?	***
co	ça+y+est
pro:subj	je
v	voir
det:poss&SING	ma
n	voiture
PCT	.
adv:yn	oui
v:exist	c'est
n:prop	Karim
pro:rel	qui
v	crier
conj	qu'
pro:subj&MASC	il
v	voir
det:poss&FEM&SING	sa
n	voiture
prep	dans
det&FEM&SING	la
n	cave
PCT	.
pro:subj&FEM	elle
v:aux	être
v-PP	cacher
prep	par
det&FEM&SING	une
n	échelle
det&FEM&SING	une
n	valise
det&MASC&SING	un
n	arrosoir
PCT	.
adv:yn	oui
PCT	.
v	descendre
prep	de
adv:place	là
?	,
det&FEM&SING	la
?	*
n:prop	Anaïs
v-PP	dire
prep	à
n:prop	Ludo
?	qu–
conj	qu'
pro:subj&MASC	il
v:mdl	falloir
adv:neg	pas
v-INF	pousser
adv	très
adv	vite
PCT	.
conj	sinon
pro:subj	on
pro:refl	se
v	accrocher
adv	partout
PCT	.
adv:yn	oui
PCT	.
adv:place	là
pro:subj	je
?	***
PCT	.
co	ah
adv:place	là
v:exist	c'est
?	celle–là
adv	d'abord
?	vas–y
PCT	.
co	euh
PCT	.
pro:subj	on
v-PASS	finir
pro:subj	nous
co	hum
PCT	?
adv:place	là
v:exist	c'est
pro:int	qui
adv	déjà
PCT	?
v:exist	c'est
n:prop	Ludovic
PCT	.
n:prop	Ludovic
pro:refl	se
v	installer
prep:art	à
?	,
prep	dans
det&FEM&SING	la
n	voiture
PCT	.
v:mdl	aller
pro:subj	on
v-PASS	finir
PCT	.
v	attendre
pro:subj	tu
pro:refl	me
v:aux	avoir
adv:neg	pas
v-PP	raconter
det:dem&SING	cette
n	page
adv:place	là
det:dem&SING	cette
n	page
adv:place	là
PCT	.
?	***
adv:int	comment
pro:subj&MASC	il
pro:refl	se
v	appeler
PCT	?
n:prop	Ludovic
PCT	.
n:prop	Ludovic
pro:refl	se
v	installer
prep	dans
det&FEM&SING	la
n	voiture
conj	et
v	sucer
det:poss&MASC&SING	son
n	pouce
prep	pour
v:mdllex-INF	faire
prep	comme
det&MASC&SING	un
adj	vrai
adj	petit
n	bébé
PCT	.
adv:yn	oui
v:exist	c'est
?	,
adv	très
adv	bien
PCT	.
det&MASC&SING	le
n	chat
conj	aussi
prep	de
n:prop	Nicolas
PCT	.
pro:rel	qu'
?	est–ce
conj	qu'
pro:subj&MASC	il
v:mdllex	faire
det&MASC&SING	le
n	chat
PCT	?
pro:subj&MASC	il
v	grimper
prep	dans
det&FEM&SING	la
n	voiture
pro:subj&MASC	il
v-PASS	dire^v|dire
co	eh
PCT	.
conj	et
n:prop	Ludovic
PCT	.
pro:subj	tu
v	exagérer
PCT	.
adv:yn	oui
PCT	.
v:exist	c'est
n:prop	Ludovic
PCT	.
conj	et
pro:dem	ça
PCT	.
