nous	PRO:cls	nous
sommes	VER:pres	être
le	DET:def	le
sept	NUM	@card@
novembre	NOM	novembre
deux	NUM	@card@
mille	NUM	@card@
neuf	NUM	@card@
j'	PRO:cls	je
enregistre	VER:pres	enregistrer
un	DET:ind	un
dialogue	NOM	dialogue
entre	PRP	entre
Adelphe	ADJ	adelphe
et	KON	et
moi-même	PRO:ton	moi-même
¤P¤	NAM	¤P¤
c'	PRO:cls	ce
est	VER:pres	être
l'	DET:def	le
histoire	NOM	histoire
de	PRP	de
Totoche	NAM	<unknown>
et	KON	et
la	DET:def	le
petite	ADJ	petit
maison	NOM	maison
de	PRP	de
Meredith	NOM	<unknown>
de	PRP	de
alors	ADV	alors
Meredith	NOM	<unknown>
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
q-	TRC	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
Meredith	NOM	<unknown>
.	NOM:sig	<unknown>
une	DET:ind	un
petite	ADJ	petit
souris	NOM	souris
.	NOM:sig	<unknown>
une	DET:ind	un
petite	ADJ	petit
souris	NOM	souris
.	NAM	<unknown>
non	FNO	non
une	DET:ind	un
coccinelle	NOM	coccinelle
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
coccinelle	NOM	coccinelle
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
elle	PRO:cls	elle
fait	VER:pres	faire
la	DET:def	le
coccinelle	NOM	coccinelle
.	NAM	<unknown>
elle	PRO:cls	elle
se	PRO:clo	se
promène	VER:pres	promener
sur	PRP	sur
la	DET:def	le
route	NOM	route
et	KON	et
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
voitures	NOM	voiture
ouais	FNO	ouais
ben	INT	ben
non	FNO	non
là	ADV	là
on	PRO:cls	on
n'	ADV	ne
en	PRO:clo	en
voit	VER:pres	voir
pas	ADV	pas
de	PRP	de
voitures	NOM	voiture
non	FNO	non
mais	KON	mais
des	DET:ind	un
fois	NOM	fois
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
qui	PRO:rel	qui
sont	AUX:pres	être
cachées	VER:pper	cacher
des	DET:ind	un
voitures	NOM	voiture
oui	FNO	oui
faut	VER:pres	falloir
faire	VER:infi	faire
attention	INT	attention
quand	KON	quand
on	PRO:cls	on
marche	VER:pres	marcher
faut	VER:pres	falloir
pas	ADV	pas
marcher	VER:infi	marcher
sur	PRP	sur
la	DET:def	le
route	NOM	route
ben	INT	ben
oui	FNO	oui
mais	KON	mais
là	ADV	là
elle	PRO:cls	elle
a	AUX:pres	avoir
fait	VER:pper	faire
une	DET:ind	un
trace	NOM	trace
ouais	FNO	ouais
elle	PRO:cls	elle
fait	VER:pres	faire
des	DET:ind	un
