comment	PRO:int	comment
elle	PRO:cls	elle
s'	PRO:clo	se
appelle	VER:pres	appeler
cette	DET:dem	ce
petite	ADJ	petit
fille	NOM	fille
.	VER:impe	<unknown>
Elfie	VER:impe	<unknown>
Elfie	VER:impe	<unknown>
Elfie	VER:impe	<unknown>
alors	ADV	alors
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qui	PRO:rel	qui
vous	PRO:cls	vous
a	VER:pres	avoir
le	DET:def	le
plus	ADV	plus
surpris	VER:pper	surprendre
ou	KON	ou
ou	KON	ou
que	KON	que
vous	PRO:cls	vous
avez	AUX:pres	avoir
apprécié	VER:pper	apprécier
dans	PRP	dans
dans	PRP	dans
tout	DET:pre	tout
ce	PRO:dem	ce
qu'	PRO:rel	que
elle	PRO:cls	elle
raconte	VER:pres	raconter
.	NAM	<unknown>
ben	INT	ben
donc	ADV	donc
elle	PRO:cls	elle
pose	VER:pres	poser
euh	INT	euh
à	PRP	à
chaque	DET:ind	chaque
fois	NOM	fois
des	PRP:det	du
questions	NOM	question
à	PRP	à
elle-même	PRO:ton	elle-même
oui	FNO	oui
euh	INT	euh
elle	PRO:ton	elle
euh	INT	euh
elle	PRO:cls	elle
parle	VER:pres	parler
pas	ADV	pas
beaucoup	ADV	beaucoup
mais	KON	mais
euh	INT	euh
par	PRP	par
rapport	NOM	rapport
aux	PRP:det	au
autres	ADJ	autre
elle	PRO:ton	elle
elle	PRO:cls	elle
pense	VER:pres	penser
au	PRP:det	au
présent	NOM	présent
et	KON	et
aux	PRP:det	au
autres	ADJ	autre
euh	INT	euh
/plus	MLT	<unknown>
ils	PRO:cls	il
pensent	VER:pres	penser
.	NAM	<unknown>
au	PRP:det	au
futur	ADJ	futur
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
ce	PRO:dem	ce
qu'	PRO:rel	que
elle	PRO:cls	elle
dit	VER:pres	dire
et	KON	et
vous	PRO:cls	vous
vous	PRO:clo	vous
pensez	VER:pres	penser
plus	ADV	plus
au	PRP:det	au
présent	NOM	présent
ou	KON	ou
au	PRP:det	au
futur	ADJ	futur
.	NAM	<unknown>
euh	INT	euh
au	PRP:det	au
futur	NOM	futur
au	PRP:det	au
futur	ADJ	futur
?	NAM	<unknown>
et	KON	et
toi	PRO:ton	toi
.	NAM	<unknown>
moi	PRO:ton	moi
au	PRP:det	au
présent	NOM	présent
au	PRP:det	au
présent	NOM	présent
?	NAM	<unknown>
alors	ADV	alors
à	PRP	à
quoi	INT	quoi
tu	PRO:cls	tu
penses	VER:pres	penser
quand	KON	quand
tu	PRO:cls	tu
penses	VER:pres	penser
au	PRP:det	au
futur	ADJ	futur
.	NAM	<unknown>
ben	INT	ben
le	DET:def	le
métier	NOM	métier
que	KON	que
je	PRO:cls	je
vais	VER:pres	aller
faire	VER:infi	faire
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:ton	ça
que	KON	que
je	PRO:cls	je
vais	VER:pres	aller
oui	FNO	oui
bien	ADV	bien
travailler	VER:infi	travailler
à	PRP	à
l'	DET:def	le
école	NOM	école
oui	FNO	oui
et	KON	et
toi	PRO:ton	toi
pas	ADV	pas
du	PRP:det	du
tout	ADV	tout
alors	ADV	alors
.	VER:simp	<unknown>
ben	INT	ben
j'	PRO:cls	je
ai	VER:pres	avoir
pas	ADV	pas
j'	PRO:cls	je
ai	VER:pres	avoir
pas	ADV	pas
trop	ADV	trop
d'	PRP	un
idée	NOM	idée
de	PRP	de
ce	PRO:dem	ce
que	PRO:rel	que
je	PRO:cls	je
pourrais	VER:cond	pouvoir
faire	VER:infi	faire
euh	INT	euh
xxx	NOM	<unknown>
j'	PRO:cls	je
ai	VER:pres	avoir
plein	ADV	plein
d'	PRP	un
idées	NOM	idée
mais	KON	mais
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
encore	ADV	encore
et	KON	et
euh	INT	euh
moi	PRO:ton	moi
j'	PRO:cls	je
aime	VER:pres	aimer
bien	ADV	bien
ma	DET:pos	mon
vie	NOM	vie
pour	PRP	pour
l'	DET:def	le
instant	NOM	instant
oui	FNO	oui
comme	KON	comme
elle	PRO:cls	elle
est	VER:pres	être
et	KON	et
elle	PRO:cls	elle
a	VER:pres	avoir
envie	NOM	envie
de	PRP	de
découvrir	VER:infi	découvrir
découvrir	VER:infi	découvrir
quoi	INT	quoi
.	NAM	<unknown>
ben	INT	ben
des	DET:ind	un
choses	NOM	chose
de	PRP	de
la	DET:def	le
vie	NOM	vie
oui	FNO	oui
mais	KON	mais
