fichier	dossier	loc	utt	token	age	annee	FUT	CONJ	SUBJ	IMPF	prorel	conj	comme	PPRE	prep+inf	n+conj+det	n+adj	n+prep+n	cest+++que	ya+++qu	v+inf	dit+qu	plus+qu	proobj	x
./NouveauxNoms/ttg_perceo_clan/Enfants_Entretiens_Philo_6-10_ans_alexandre_lorraine_ce2_proinf.tei_corpo2.tei_corpo_ttg.tei_corpo.cha	 ./NouveauxNoms/ttg_perceo_clan/Enfants_Entretiens_Philo_6-10_ans_alexandre_lorraine_ce2_proinf.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 TRANS 	 CHI 	5	1584	9;09.17	9.75	0	1	0	2	2	62	0	0	5	0	1	3	3	0	1	1	0	16	x
./NouveauxNoms/ttg_perceo_clan/Enfants_Entretiens_Philo_6-10_ans_alexandre_tristan_cm2_proinf.tei_corpo2.tei_corpo_ttg.tei_corpo.cha	 ./NouveauxNoms/ttg_perceo_clan/Enfants_Entretiens_Philo_6-10_ans_alexandre_tristan_cm2_proinf.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 TRANS 	 CHI 	15	2158	11;	11	0	2	0	11	14	61	3	0	9	4	2	5	7	0	12	3	2	24	x
./NouveauxNoms/ttg_perceo_clan/Enfants_Entretiens_Philo_6-10_ans_amel_ophelia_cp_proinf.tei_corpo2.tei_corpo_ttg.tei_corpo.cha	 ./NouveauxNoms/ttg_perceo_clan/Enfants_Entretiens_Philo_6-10_ans_amel_ophelia_cp_proinf.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 TRANS 	 CHI 	13	1298	6;09.17	6.75	0	0	1	17	8	75	6	0	4	1	0	3	1	0	6	1	0	25	x
./NouveauxNoms/ttg_perceo_clan/Enfants_Entretiens_Philo_6-10_ans_amelie_mathieu_cm1_proinf.tei_corpo2.tei_corpo_ttg.tei_corpo.cha	 ./NouveauxNoms/ttg_perceo_clan/Enfants_Entretiens_Philo_6-10_ans_amelie_mathieu_cm1_proinf.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 TRANS 	 CHI 	3	799	10;	10	0	1	0	1	2	29	1	0	1	0	0	0	1	0	4	1	0	9	x
./NouveauxNoms/ttg_perceo_clan/Enfants_Entretiens_Philo_6-10_ans_antoine_quentin_cp_proinf.tei_corpo2.tei_corpo_ttg.tei_corpo.cha	 ./NouveauxNoms/ttg_perceo_clan/Enfants_Entretiens_Philo_6-10_ans_antoine_quentin_cp_proinf.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 TRANS 	 CHI 	12	1723	7;04.24	7.33333	1	1	0	15	9	82	7	0	5	2	2	13	1	0	1	1	1	40	x
./NouveauxNoms/ttg_perceo_clan/Enfants_Entretiens_Philo_6-10_ans_arthur_paul_ce1_proinf.tei_corpo2.tei_corpo_ttg.tei_corpo.cha	 ./NouveauxNoms/ttg_perceo_clan/Enfants_Entretiens_Philo_6-10_ans_arthur_paul_ce1_proinf.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 TRANS 	 CHI 	10	2906	7;03.17	7.25	0	2	1	51	18	228	20	0	3	1	4	13	3	0	10	2	3	87	x
./NouveauxNoms/ttg_perceo_clan/Enfants_Entretiens_Philo_6-10_ans_aurelia_lea_cp_proinf.tei_corpo2.tei_corpo_ttg.tei_corpo.cha	 ./NouveauxNoms/ttg_perceo_clan/Enfants_Entretiens_Philo_6-10_ans_aurelia_lea_cp_proinf.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 TRANS 	 CHI 	1	1014	6;02.12	6.16667	0	1	0	22	8	92	2	0	3	2	0	4	2	0	6	3	0	36	x
./NouveauxNoms/ttg_perceo_clan/Enfants_Entretiens_Philo_6-10_ans_axel_adam_cm1_proinf.tei_corpo2.tei_corpo_ttg.tei_corpo.cha	 ./NouveauxNoms/ttg_perceo_clan/Enfants_Entretiens_Philo_6-10_ans_axel_adam_cm1_proinf.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 TRANS 	 CHI 	19	2376	10;02.11	10.1667	1	3	0	3	3	63	7	0	6	1	2	3	9	0	10	0	0	12	x
./NouveauxNoms/ttg_perceo_clan/Enfants_Entretiens_Philo_6-10_ans_benjamin_valentin_ce1_proinf.tei_corpo2.tei_corpo_ttg.tei_corpo.cha	 ./NouveauxNoms/ttg_perceo_clan/Enfants_Entretiens_Philo_6-10_ans_benjamin_valentin_ce1_proinf.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 TRANS 	 CHI 	22	2587	7;09.17	7.75	1	1	1	23	15	127	15	0	5	0	2	4	10	0	7	3	1	46	x
./NouveauxNoms/ttg_perceo_clan/Enfants_Entretiens_Philo_6-10_ans_cassiope_anais_ce2_proinf.tei_corpo2.tei_corpo_ttg.tei_corpo.cha	 ./NouveauxNoms/ttg_perceo_clan/Enfants_Entretiens_Philo_6-10_ans_cassiope_anais_ce2_proinf.tei_corpo2.tei_corpo_ttg.tei_corpo.cha 	 TRANS 	 CHI 	2	1314	8;08.11	8.66667	0	5	0	24	13	117	11	0	4	2	2	6	11	0	6	3	1	51	x
