donc	ADV	donc
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
plus	ADV	plus
mal	ADV	mal
euh	INT	euh
ouais	FNO	ouais
comme	KON	comme
ça	PRO:ton	ça
j'	PRO:cls	je
ai	AUX:pres	avoir
dit	VER:pper	dire
bon	INT	bon
je	PRO:cls	je
verrai	VER:futu	voir
sinon	ADV	sinon
je	PRO:cls	je
me	PRO:clo	me
prendrai	VER:futu	prendre
encore	ADV	encore
une	DET:ind	un
autre	ADJ	autre
et	KON	et
puis	KON	puis
elle	PRO:cls	elle
est	VER:pres	être
pas	ADV	pas
salissante	ADJ	salissant
hein	INT	hein
non	FNO	non
celle	PRO:dem	celui
qu'	PRO:rel	que
on	PRO:cls	on
a	AUX:pres	avoir
prise	VER:pper	prendre
là-	ADV	<unknown>
bas	ADJ	bas
xxx	NOM	<unknown>
ouais	FNO	ouais
elle	PRO:cls	elle
est	VER:pres	être
trop	ADV	trop
belle	ADJ	beau
hein	INT	hein
moi	PRO:ton	moi
j'	PRO:cls	je
aime	VER:pres	aimer
bien	ADV	bien
ouais	FNO	ouais
je	PRO:cls	je
trouve	VER:pres	trouver
ça	PRO:cls	ça
fait	VER:pres	faire
trop	ADV	trop
joli	ADJ	joli
avec	PRP	avec
euh	INT	euh
le	DET:def	le
truc	NOM	truc
noir	ADJ	noir
et	KON	et
j'	PRO:cls	je
ai	AUX:pres	avoir
dit	VER:pper	dire
c'	PRO:cls	ce
est	VER:pres	être
quand	KON	quand
même	ADV	même
euh	INT	euh
moi	PRO:ton	moi
j'	PRO:cls	je
ai	AUX:pres	avoir
pris	VER:pper	prendre
une	DET:ind	un
corbeille	NOM	corbeille
à	PRP	à
linge	NOM	linge
euh	INT	euh
en	PRP	en
fait	NOM	fait
elle	PRO:cls	elle
est	VER:pres	être
pas	ADV	pas
si	KON	si
petite	ADJ	petit
que	KON	que
ça	PRO:ton	ça
hein	INT	hein
finalement	ADV	finalement
la	DET:def	le
corbeille	NOM	corbeille
à	PRP	à
linge	NOM	linge
hum	FNO	hum
tu	PRO:cls	tu
as	AUX:pres	avoir
regardé	VER:pper	regarder
par	PRP	par
rapport	NOM	rapport
à	PRP	à
l'	DET:def	le
autre	ADJ	autre
à	PRP	à
côté	NOM	côté
de	PRP	de
l'	DET:def	le
autre	ADJ	autre
ouais	FNO	ouais
euh	INT	euh
au	PRP:det	au
à	PRP	à
la	DET:def	le
¤S¤	NAM	<unknown>
hier	ADV	hier
c'	PRO:cls	ce
était	AUX:impf	être
marqué	VER:pper	marquer
deux	NUM	@card@
quatre-vingt	NUM	@card@
dix-neuf	NUM	@card@
du	PRP:det	du
vingt-sept	NUM	@card@
au	PRP:det	au
trente	NUM	@card@
alors	ADV	alors
j'	PRO:cls	je
y	PRO:clo	y
vais	VER:pres	aller
euh	INT	euh
je	PRO:cls	je
lui	PRO:clo	lui
demande	VER:pres	demander
le	DET:def	le
prix	NOM	prix
je	PRO:cls	je
trouvais	VER:impf	trouver
pas	ADV	pas
le	DET:def	le
prix	NOM	prix
elle	PRO:cls	elle
me	PRO:clo	me
dit	VER:pres	dire
mais	KON	mais
c'	PRO:cls	ce
est	AUX:pres	être
marqué	VER:pper	marquer
dessus	ADV	dessus
regardez	VER:impe	regarder
c'	PRO:cls	ce
est	VER:pres	être
trois	NUM	@card@
cinquante	NUM	@card@
j'	PRO:cls	je
ai	AUX:pres	avoir
dit	VER:pper	dire
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
lesquels	PRO:int	lequel
alors	ADV	alors
à	PRP	à
deux	NUM	@card@
quatre-vingt	NUM	@card@
dix-neuf	NUM	@card@
que	KON	que
vous	PRO:cls	vous
avez	VER:pres	avoir
en	PRP	en
promo	NOM:trc	promotion
hum	FNO	hum
hum	FNO	hum
ah	INT	ah
ben	INT	ben
nan	NOM	<unknown>
la	DET:def	le
promo	NOM:trc	promotion
c'	PRO:cls	ce
est	VER:pres	être
en	PRP	en
janvier	NOM	janvier
alors	ADV	alors
je	PRO:cls	je
dis	VER:pres	dire
nan	ADJ	<unknown>
la	DET:def	le
promo	NOM:trc	promotion
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
en	PRP	en
janvier	NOM	janvier
elle	PRO:cls	elle
termine	VER:pres	terminer
le	DET:def	le
samedi	NOM	samedi
hum	FNO	hum
hum	FNO	hum
alors	ADV	alors
elle	PRO:cls	elle
terminait	VER:impf	terminer
bah	INT	bah
euh	INT	euh
mais	KON	mais
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
elle	PRO:cls	elle
dit	VER:pres	dire
oh	INT	oh
nan	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
à	PRP	à
partir	VER:infi	partir
de	PRP	de
samedi	NOM	samedi
de	PRP	de
de	PRP	de
euh	INT	euh
de	PRP	de
de	PRP	de
lundi	NOM	lundi
euh	INT	euh
de	PRP	de
lundi	NOM	lundi
alors	ADV	alors
je	PRO:cls	je
dis	VER:pres	dire
nan	ADJ	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
à	PRP	à
partir	VER:infi	partir
de	PRP	de
lundi	NOM	lundi
j'	PRO:cls	je
ai	AUX:pres	avoir
dit	VER:pper	dire
elle	PRO:cls	elle
