voilà	FNO	voilà
-y	PRO:clo	y
vas	VER:impe	aller
je	PRO:cls	je
t'	PRO:clo	te
écoute	VER:pres	écouter
alors	ADV	alors
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
l'	DET:def	le
histoire	NOM	histoire
là	ADV	là
.	VER:impe	<unknown>
-y	PRO:clo	y
vas	VER:impe	aller
tu	PRO:cls	tu
y	PRO:clo	y
arrives	VER:pres	arriver
.	NAM	<unknown>
alors	ADV	alors
euh	INT	euh
il	PRO:clsi	il
alors	ADV	alors
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
il	PRO:cls	il
fait	VER:pres	faire
le	DET:def	le
le	DET:def	le
petit	ADJ	petit
chat	NOM	chat
.	NAM	<unknown>
euh	INT	euh
il	PRO:clsi	il
il	PRO:clsi	il
dort	VER:pres	dormir
il	PRO:cls	il
dort	VER:pres	dormir
il	PRO:cls	il
dort	VER:pres	dormir
et	KON	et
le	DET:def	le
petit	ADJ	petit
garçon	NOM	garçon
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
il	PRO:cls	il
va	VER:pres	aller
lui	PRO:clo	lui
faire	VER:infi	faire
.	VER:infi	<unknown>
l'	DET:def	le
oreille	NOM	oreille
il	PRO:clsi	il
lui	PRO:clo	lui
tire	VER:pres	tirer
les	DET:def	le
oreilles	NOM	oreille
han	ADJ	<unknown>
et	KON	et
où	PRO:int	où
il	PRO:cls	il
est	VER:pres	être
là	ADV	là
le	DET:def	le
chat	NOM	chat
.	NAM	<unknown>
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
on	PRO:cls	on
avait	AUX:impf	avoir
dit	VER:pper	dire
.	NAM	<unknown>
il	PRO:cls	il
est	VER:pres	être
où	PRO:int	où
.	NOM:sig	<unknown>
une	DET:ind	un
chaise	NOM	chaise
il	PRO:cls	il
est	AUX:pres	être
assis	VER:pper	asseoir
sur	PRP	sur
une	DET:ind	un
chaise	NOM	chaise
.	NAM	<unknown>
à	PRP	à
côté	NOM	côté
avec	PRP	avec
des	DET:ind	un
oreillers	NOM	oreiller
une	DET:ind	un
chaise	NOM	chaise
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
ça	PRO:cls	ça
.	VER:cond	<unknown>
et	KON	et
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
coussin	NOM	coussin
sur	PRP	sur
la	DET:def	le
chaise	NOM	chaise
ouais	FNO	ouais
ouais	FNO	ouais
.	NAM	<unknown>
euh	INT	euh
le	DET:def	le
chat	NOM	chat
euh	INT	euh
là	ADV	là
là	ADV	là
/leme/	MLT	<unknown>
griffe	NOM	griffe
han	NOM	<unknown>
qui	PRO:rel	qui
c'	PRO:cls	ce
est	VER:pres	être
qui	PRO:rel	qui
griffe	VER:pres	griffer
.	VER:infi	<unknown>
le	DET:def	le
chat	NOM	chat
le	DET:def	le
chat	NOM	chat
griffe	NOM	griffe
qui	PRO:rel	qui
.	NAM	<unknown>
Léonard	NAM	<unknown>
Léonard	NAM	<unknown>
han	NOM	<unknown>
le	DET:def	le
chat	NOM	chat
griffe	NOM	griffe
Léonard	ADJ	<unknown>
oh	INT	oh
la	DET:def	le
la	DET:def	le
le	DET:def	le
pauvre	NOM	pauvre
et	KON	et
là	ADV	là
xxx	NOM	<unknown>
il	PRO:cls	il
p-	TRC	p-
pleure	VER:pres	pleurer
et	KON	et
là	ADV	là
Léonard	NAM	<unknown>
pleure	VER:pres	pleurer
tu	PRO:cls	tu
peux	VER:pres	pouvoir
me	PRO:clo	me
dire	VER:infi	dire
pourquoi	PRO:int	pourquoi
Léonard	NAM	<unknown>
pleure	VER:pres	pleurer
.	NOM:sig	<unknown>
parce	TRC	parce
que	KON	que
il	PRO:cls	il
/été	MLT	<unknown>
est	AUX:pres	être
tout/	ADV	<unknown>
griffé	VER:pper	griffer
parce	TRC	parce
qu'	KON	que
il	PRO:cls	il
a	AUX:pres	avoir
été	AUX:pper	être
griffé	VER:pper	griffer
même	ADV	même
il	PRO:cls	il
saigne	VER:pres	saigner
et	KON	et
il	PRO:cls	il
saigne	VER:pres	saigner
Léonard	NAM	<unknown>
pleure	VER:pres	pleurer
parce	TRC	parce
qu'	KON	que
il	PRO:cls	il
a	AUX:pres	avoir
été	AUX:pper	être
griffé	VER:pper	griffer
et	KON	et
il	PRO:clsi	il
saigne	VER:subp	saigner
qui	PRO:rel	qui
c'	PRO:cls	ce
est	VER:pres	être
qui	PRO:rel	qui
l'	PRO:clo	le
a	AUX:pres	avoir
griffé	VER:pper	griffer
tu	PRO:cls	tu
te	PRO:clo	te
rappelles	VER:pres	rappeler
.	NAM	<unknown>
le	DET:def	le
chat	NOM	chat
le	DET:def	le
chat	NOM	chat
et	KON	et
lui	PRO:ton	lui
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
il	PRO:cls	il
fait	VER:pres	faire
le	DET:def	le
chat	NOM	chat
pen-	NOM	<unknown>
pendant	PRP	pendant
ce	DET:dem	ce
