étudiante	NOM	étudiant
¤N¤	NAM	¤N¤
Mélanie	NAM	<unknown>
le	DET:def	le
¤D¤	NAM	<unknown>
euh	INT	euh
enregistrement	NOM	enregistrement
de	PRP	de
Jules	NOM	jules
qui	PRO:rel	qui
a	VER:pres	avoir
¤D¤	NAM	<unknown>
alors	ADV	alors
tu	PRO:cls	tu
vas	VER:pres	aller
me	PRO:clo	me
raconter	VER:infi	raconter
quelle	PRO:int	quel
histoire	NOM	histoire
mon	DET:pos	mon
bonhomme	NOM	bonhomme
.	NAM	<unknown>
on	PRO:cls	on
va	VER:pres	aller
regarder	VER:infi	regarder
quel	DET:int	quel
livre	NOM	livre
.	NAM	<unknown>
tu	PRO:cls	tu
veux	VER:pres	vouloir
lequel	PRO:rel	lequel
.	VER:cond	<unknown>
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
un	DET:ind	un
ours	NOM	ours
ouais	FNO	ouais
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
ça	PRO:cls	ça
.	VER:cond	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
Basil	NOM	<unknown>
Alladin	NOM	<unknown>
Alladin	NOM	<unknown>
.	NAM	<unknown>
Monstres	NOM	monstre
et	KON	et
compagnie	NOM	compagnie
.	NAM	<unknown>
La	DET:def	le
Belle	ADJ	beau
et	KON	et
la	DET:def	le
Bête	ADJ	bête
.	NOM	<unknown>
Mickey	NOM	<unknown>
.	NAM	<unknown>
Bambi	NOM	<unknown>
.	NAM	<unknown>
Dumbo	NAM	<unknown>
.	NAM	<unknown>
tu	PRO:cls	tu
veux	VER:pres	vouloir
lequel	PRO:rel	lequel
.	NAM	<unknown>
bah	INT	bah
Dumbo	NAM	<unknown>
Dumbo	NAM	<unknown>
.	NAM	<unknown>
hum	FNO	hum
on	PRO:cls	on
regarde	VER:pres	regarder
tous	DET:pre	tout
les	DET:def	le
deux	NUM	@card@
le	DET:def	le
livre	NOM	livre
.	NAM	<unknown>
hum	FNO	hum
Dumb-	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
Dumbo	NAM	<unknown>
.	NAM	<unknown>
bah	INT	bah
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
bah	INT	bah
ça	PRO:cls	ça
s'	PRO:clo	se
écoute	VER:pres	écouter
ça	PRO:ton	ça
oui	FNO	oui
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
comme	KON	comme
animal	NOM	animal
.	NOM:sig	<unknown>
des	DET:ind	un
éléphants	NOM	éléphant
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
énéphants	ADJ	<unknown>
.	NOM	<unknown>
tu	PRO:cls	tu
vois	VER:pres	voir
?	NOM:sig	<unknown>
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
girafes	NOM	girafe
une	DET:ind	un
girafe	NOM	girafe
ouais	FNO	ouais
xxx	NOM	<unknown>
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
train	NOM	train
tu	PRO:cls	tu
vois	VER:pres	voir
ça	PRO:ton	ça
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
tous	DET:pre	tout
les	DET:def	le
animaux	NOM	animal
là	ADV	là
.	VER:simp	<unknown>
tu	PRO:cls	tu
connais	VER:pres	connaître
tous	DET:pre	tout
les	DET:def	le
animaux	NOM	animal
là	ADV	là
.	VER:simp	<unknown>
oui	FNO	oui
/benlà/	MLT	<unknown>
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
chameaux	NOM	chameau
ouais	FNO	ouais
et	KON	et
ça	PRO:cls	ça
.	VER:cond	<unknown>
des	DET:ind	un
léopards	NOM	léopard
des	PRP:det	du
léopards	NOM	léopard
ouais	FNO	ouais
et	KON	et
ça	PRO:ton	ça
là	ADV	là
tu	PRO:cls	tu
as	AUX:pres	avoir
oublié	VER:pper	oublier
de	PRP	de
me	PRO:clo	me
dire	VER:infi	dire
c'	PRO:cls	ce
était	VER:impf	être
quoi	INT	quoi
ça	PRO:ton	ça
des	DET:ind	un
otaries	NOM	otarie
ouais	FNO	ouais
des	DET:ind	un
éléphants	NOM	éléphant
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
Dumbo	NOM	<unknown>
avec	PRP	avec
toute	DET:pre	tout
sa	DET:pos	son
famille	NOM	famille
ouais	FNO	ouais
tu	PRO:cls	tu
vois	VER:pres	voir
i-	TRC	i-
tu	PRO:cls	tu
vois	VER:pres	voir
là	ADV	là
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
sa	DET:pos	son
maman	NOM	maman
oui	FNO	oui
puis	KON	puis
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
tous	PRO:ind	tout
=z=	NOM:sig	<unknown>
éléphants	NOM	éléphant
puis	KON	puis
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
maman	NOM	maman
de	PRP	de
Dumbo	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
sa	DET:pos	son
maman	NOM	maman
.	NAM	<unknown>
hum	FNO	hum
puis	KON	puis
là	ADV	là
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
méchants	NOM	méchant
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
méchants	ADJ	méchant
.	NOM:sig	<unknown>
hum	FNO	hum
et	KON	et
là	ADV	là
ils	PRO:cls	il
sont	VER:pres	être
dans	PRP	dans
la	DET:def	le
