ok	FNO	ok
alors	ADV	alors
de	PRP	de
quoi	INT	quoi
ça	PRO:cls	ça
parle	VER:pres	parler
.	NOM:sig	<unknown>
d'	PRP	un
une	DET:ind	un
petite	ADJ	petit
oui	FNO	oui
hum	FNO	hum
une	DET:ind	un
petite	ADJ	petit
fille	NOM	fille
qui	PRO:rel	qui
s'	PRO:clo	se
appelle	VER:pres	appeler
comment	PRO:int	comment
.	NAM	<unknown>
Elfie	NAM	<unknown>
oui	FNO	oui
alors	ADV	alors
vous	PRO:cls	vous
faites	VER:pres	faire
quoi	INT	quoi
là	ADV	là
.	VER:simp	<unknown>
vous	PRO:cls	vous
discutez	VER:pres	discuter
hein	INT	hein
.	NAM	<unknown>
levez	VER:pres	lever
pas	ADV	pas
les	DET:def	le
mains	NOM	main
on	PRO:cls	on
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
en	PRP	en
classe	NOM	classe
d'	PRP	un
accord	NOM	accord
et	KON	et
puis	KON	puis
elle	PRO:cls	elle
parle	VER:pres	parler
de	PRP	de
quoi	INT	quoi
.	NAM	<unknown>
elle	PRO:cls	elle
parle	VER:pres	parler
euh	INT	euh
hum	FNO	hum
des	DET:ind	un
euh	INT	euh
de	DET:ind	un
quelque	ADJ	<unknown>
chose	NOM	chose
que	KON	que
de	PRP	de
euh	INT	euh
elle	PRO:cls	elle
aime	VER:pres	aimer
pas	ADV	pas
trop	ADV	trop
demander	VER:infi	demander
quelque	ADJ	<unknown>
chose	NOM	chose
ouais	FNO	ouais
elle	PRO:cls	elle
aime	VER:pres	aimer
pas	ADV	pas
trop	ADV	trop
poser	VER:infi	poser
des	DET:ind	un
questions	NOM	question
c'	PRO:cls	ce
est	VER:pres	être
ce	PRO:dem	ce
qu'	PRO:rel	que
elle	PRO:cls	elle
dit	VER:pres	dire
pourquoi	PRO:int	pourquoi
.	NOM:sig	<unknown>
hum	FNO	hum
hum	FNO	hum
xxx	NOM	<unknown>
-y	PRO:clo	y
vas	VER:impe	aller
-moi	PRO:clo	moi
dis	VER:pres	dire
euh	INT	euh
parce	TRC	parce
que	KON	que
hum	FNO	hum
elle	PRO:ton	elle
elle	PRO:cls	elle
a	VER:pres	avoir
un	DET:ind	un
affreux	ADJ	affreux
secret	NOM	secret
ouais	FNO	ouais
une	DET:ind	un
chose	NOM	chose
c'	PRO:cls	ce
est-à-dire	VER:cond	<unknown>
l'	DET:def	le
un	NUM	@card@
de	PRP	de
mes	DET:pos	mon
secrets	NOM	secret
l'	DET:def	le
un	NUM	@card@
de	PRP	de
mes	DET:pos	mon
affreux	NOM	affreux
secrets	ADJ	secret
ouais	FNO	ouais
oui	FNO	oui
et	KON	et
et	KON	et
ce	DET:dem	ce
secret	NOM	secret
c'	PRO:cls	ce
est	VER:pres	être
qu'	KON	que
elle	PRO:ton	elle
qu'	KON	que
elle	PRO:cls	elle
sait	VER:pres	savoir
rien	PRO:ind	rien
elle	PRO:cls	elle
croit	VER:pres	croire
qu'	KON	que
elle	PRO:cls	elle
sait	VER:pres	savoir
rien	PRO:ind	rien
exactement	ADV	exactement
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
ça	PRO:ton	ça
qu'	KON	que
elle	PRO:cls	elle
n'	ADV	ne
ose	VER:pres	oser
pas	ADV	pas
poser	VER:infi	poser
de	PRP	de
questions	NOM	question
de	PRP	de
questions	NOM	question
et	KON	et
vous	PRO:cls	vous
vous	PRO:clo	vous
savez	VER:pres	savoir
des	DET:ind	un
choses	NOM	chose
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
oui	FNO	oui
.	NAM	<unknown>
vous	PRO:cls	vous
osez	VER:pres	oser
poser	VER:infi	poser
des	DET:ind	un
questions	NOM	question
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
quand	KON	quand
ben	INT	ben
à	PRP	à
l'	DET:def	le
école	NOM	école
à	PRP	à
ma	DET:pos	mon
à	PRP	à
à	PRP	à
ma	DET:pos	mon
mère	NOM	mère
ma	DET:pos	mon
mère	NOM	mère
euh	INT	euh
à	PRP	à
t-	TRC	t-
à	PRP	à
tout	DET:pre	tout
ma	DET:pos	mon
famille	NOM	famille
au	PRP:det	au
spectacle	NOM	spectacle
quand	KON	quand
on	PRO:cls	on
sait	VER:pres	savoir
pas	ADV	pas
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
ça	PRO:cls	ça
raconte	VER:pres	raconter
de	PRP	de
quoi	INT	quoi
ça	PRO:cls	ça
parle	VER:pres	parler
ou	KON	ou
alors	ADV	alors
quand	KON	quand
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
questions	NOM	question
qu'	KON	que
ils	PRO:cls	il
nous	PRO:clo	nous
demandent	VER:pres	demander
au	PRP:det	au
spectacle	NOM	spectacle
oui	FNO	oui
hum	FNO	hum
donc	ADV	donc
vous	PRO:cls	vous
avez	VER:pres	avoir
pas	ADV	pas
peur	NOM	peur
de	PRP	de
poser	VER:infi	poser
des	DET:ind	un
questions	NOM	question
.	NAM	<unknown>
non	FNO	non
non	FNO	non
et	KON	et
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
parfois	ADV	parfois
vous	PRO:cls	vous
posez	VER:pres	poser
des	DET:ind	un
questions	NOM	question
dont	PRO:rel	dont
vous	PRO:cls	vous
connaissez	VER:pres	connaître
déjà	ADV	déjà
la	DET:def	le
réponse	NOM	réponse
.	NAM	<unknown>
euh	INT	euh
xxx	NOM	<unknown>
que	KON	que
non	FNO	non
pas	ADV	pas
du	PRP:det	du
tout	ADV	tout
si	KON	si
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
ma	DET:pos	mon
copine	NOM	copine
Marina	NOM	marina
qui	PRO:rel	qui
avait	AUX:impf	avoir
fait	VER:pper	faire
ça	PRO:ton	ça
moi	PRO:ton	moi
aussi	ADV	aussi
une	DET:ind	un
fois	NOM	fois
je	PRO:cls	je
l'	PRO:clo	le
avais	VER:impf	avoir
