depuis	ADV	depuis
que	KON	que
j'	PRO:cls	je
ai	VER:pres	avoir
j'	PRO:cls	je
ai	VER:pres	avoir
mon	DET:pos	mon
permis	NOM	permis
oui	FNO	oui
tu	PRO:cls	tu
sais	VER:pres	savoir
que	KON	que
je	PRO:cls	je
me	PRO:clo	me
fais	VER:pres	faire
arrêter	VER:infi	arrêter
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
ah	INT	ah
ça	PRO:ton	ça
je	PRO:cls	je
savais	VER:impf	savoir
pas	ADV	pas
tu	PRO:cls	tu
sais	VER:pres	savoir
euh	INT	euh
avec	PRP	avec
les	DET:def	le
flics	NOM	flic
euh	INT	euh
moi	PRO:ton	moi
à	PRP	à
chaque	DET:ind	chaque
fois	NOM	fois
qu'	KON	que
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
un	DET:ind	un
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
moi	PRO:ton	moi
tu	PRO:cls	tu
vois	VER:pres	voir
ah	INT	ah
ouais	FNO	ouais
à	PRP	à
chaque	DET:ind	chaque
fois	NOM	fois
je	PRO:cls	je
me	PRO:clo	me
fais	VER:pres	faire
arrêter	VER:infi	arrêter
et	KON	et
tout	PRO:ind	tout
ouais	FNO	ouais
en	PRP	en
un	DET:ind	un
an	NOM	an
et	KON	et
demi	NOM	demi
de	PRP	de
permis	NOM	permis
limite	NOM	limite
je	PRO:cls	je
je	PRO:cls	je
me	PRO:clo	me
suis	AUX:pres	être
fait	VER:pper	faire
arrêter	VER:infi	arrêter
sept	NUM	@card@
huit	NUM	@card@
fois	NOM	fois
tu	PRO:cls	tu
vois	VER:pres	voir
oh	INT	oh
putain	INT	putain
non	FNO	non
mais	KON	mais
un	DET:ind	un
truc	NOM	truc
de	PRP	de
ouf	NOM	ouf
moi	PRO:ton	moi
zéro	NUM	@card@
sérieux	ADJ	sérieux
ouais	FNO	ouais
ah	INT	ah
bah	INT	bah
en	PRP	en
même	ADJ	même
temps	NOM	temps
tu	PRO:cls	tu
la	PRO:clo	le
tu	PRO:cls	tu
la	PRO:clo	le
prends	VER:pres	prendre
pas	ADV	pas
souvent	ADV	souvent
enfin	ADV	enfin
après	ADV	après
euh	INT	euh
la	DET:def	le
plupart	NOM	<unknown>
du	PRP:det	du
temps	NOM	temps
euh	INT	euh
je	PRO:cls	je
suis	VER:pres	être
à	PRP	à
Toulouse	NAM	<unknown>
donc	ADV	donc
euh	INT	euh
je	PRO:cls	je
peux	VER:pres	pouvoir
pas	ADV	pas
me	PRO:clo	me
faire	VER:infi	faire
arrêter	VER:infi	arrêter
ouais	FNO	ouais
bah	INT	bah
vendredi	NOM	vendredi
là	ADV	là
je	PRO:cls	je
reviens	VER:pres	revenir
de	PRP	de
je	PRO:cls	je
reviens	VER:pres	revenir
de	PRP	de
Nancy	NAM	Nancy
et	KON	et
euh	INT	euh
j'	PRO:cls	je
arrive	VER:pres	arriver
chez	PRP	chez
moi	PRO:ton	moi
ma	DET:pos	mon
mère	NOM	mère
elle	PRO:cls	elle
me	PRO:clo	me
sort	VER:pres	sortir
une	DET:ind	un
lettre	NOM	lettre
elle	PRO:cls	elle
me	PRO:clo	me
c'	PRO:cls	ce
était	AUX:impf	être
marqué	VER:pper	marquer
contravention	NOM	contravention
oh	INT	oh
elle	PRO:cls	elle
me	PRO:clo	me
dit	VER:pres	dire
tiens	INT	tiens
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
toi	PRO:ton	toi
ah	INT	ah
merde	INT	merde
je	PRO:cls	je
me	PRO:clo	me
suis	AUX:pres	être
dit	VER:pper	dire
putain	INT	putain
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
j'	PRO:cls	je
ai	AUX:pres	avoir
fait	VER:pper	faire
et	KON	et
tout	PRO:ind	tout
donc	ADV	donc
je	PRO:cls	je
l'	PRO:clo	le
ouvre	VER:pres	ouvrir
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
défaut	NOM	défaut
de	PRP	de
stationnement	NOM	stationnement
tu	PRO:cls	tu
vois	VER:pres	voir
et	KON	et
puis	KON	puis
je	PRO:cls	je
regarde	VER:pres	regarder
c'	PRO:cls	ce
était	AUX:impf	être
marqué	VER:pper	marquer
euh	INT	euh
bah	INT	bah
ça	PRO:cls	ça
va	VER:pres	aller
c'	PRO:cls	ce
est	VER:pres	être
onze	NUM	@card@
euros	NOM	euro
enfin	ADV	enfin
ah	INT	ah
