euh	INT	euh
Akoub	NOM	<unknown>
trente	NUM	@card@
novembre	NOM	novembre
quatre-vingt	NUM	@card@
dix	NUM	@card@
neuf	NUM	@card@
tu	PRO:cls	tu
me	PRO:clo	me
laisses	VER:pres	laisser
la	DET:def	le
place	NOM	place
s'	KON	si
il	PRO:clsi	il
te	PRO:clo	te
plait	VER:impf	<unknown>
.	VER:subi	<unknown>
j-	TRC	j-
tu	PRO:cls	tu
me	PRO:clo	me
rends	VER:pres	rendre
ma	DET:pos	mon
place	NOM	place
xxx	NOM	<unknown>
ouais	FNO	ouais
s'	KON	si
il	PRO:clsi	il
te	PRO:clo	te
plait	VER:impf	<unknown>
merci	FNO	merci
xxx	NOM	<unknown>
.	NAM	<unknown>
xxx	NOM	<unknown>
voilà	FNO	voilà
je	PRO:cls	je
pose	VER:pres	poser
les	DET:def	le
affaires	NOM	affaire
pour	PRP	pour
qu'	KON	que
on	PRO:cls	on
ait	VER:subp	avoir
de	PRP	de
la	DET:def	le
place	NOM	place
on	PRO:cls	on
va	VER:pres	aller
faire	VER:infi	faire
quoi	INT	quoi
.	VER:impe	<unknown>
ha	VER:impe	<unknown>
ha	VER:impe	<unknown>
nous	PRO:ton	nous
on	PRO:cls	on
va	VER:pres	aller
reracon-	TRC	<unknown>
oh	INT	oh
je	PRO:cls	je
t'	PRO:clo	te
ai	AUX:pres	avoir
coincé	VER:pper	coincer
le	DET:def	le
doigt	NOM	doigt
?	NAM	<unknown>
aïe	INT	aïe
aïe	INT	aïe
aïe	INT	aïe
mais	KON	mais
ça	PRO:cls	ça
fait	VER:pres	faire
rien	PRO:ind	rien
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
?	NOM:sig	<unknown>
-moi	PRO:clo	moi
excuse	VER:impe	excuser
Akoub	NOM	<unknown>
j'	PRO:cls	je
ai	VER:pres	avoir
pas	ADV	pas
mal	ADV	mal
j'	PRO:cls	je
ai	AUX:pres	avoir
pas	ADV	pas
fait	VER:pper	faire
xxx	NOM	<unknown>
j'	PRO:cls	je
ai	AUX:pres	avoir
pas	ADV	pas
fait	VER:pper	faire
attention	INT	attention
alors	ADV	alors
attends	VER:impe	attendre
les	DET:def	le
images	NOM	image
on	PRO:cls	on
va	VER:pres	aller
les	PRO:clo	le
mettre	VER:infi	mettre
de	PRP	de
côté	NOM	côté
c'	PRO:cls	ce
est	VER:pres	être
bon	INT	bon
c'	PRO:cls	ce
est	VER:pres	être
bon	INT	bon
c'	PRO:cls	ce
est	VER:pres	être
bon	INT	bon
oui	FNO	oui
ben	INT	ben
essaye	VER:impe	essayer
de	PRP	de
colorier	VER:infi	colorier
aussi	ADV	aussi
après	ADV	après
et	KON	et
j'	PRO:cls	je
écrirai	VER:futu	écrire
tu	PRO:cls	tu
écriras	VER:futu	écrire
ton	DET:pos	ton
nom	NOM	nom
aussi	ADV	aussi
en	PRP	en
t'	PRO:clo	te
appliquant	VER:ppre	appliquer
bien	ADV	bien
alors	ADV	alors
Akoub	NOM	<unknown>
Akoub	NOM	<unknown>
on	PRO:cls	on
va	VER:pres	aller
faire	VER:infi	faire
ça	PRO:ton	ça
.	NAM	<unknown>
allez	INT	allez
tu	PRO:cls	tu
me	PRO:clo	me
la	PRO:clo	le
racontes	VER:pres	raconter
une	DET:ind	un
autre	ADJ	autre
fois	NOM	fois
et	KON	et
la	DET:def	le
prochaine	ADJ	prochain
fois	NOM	fois
on	PRO:cls	on
commencera	VER:futu	commencer
à	PRP	à
écrire	VER:infi	écrire
le	DET:def	le
texte	NOM	texte
du	PRP:det	du
livre	NOM	livre
ça	PRO:cls	ça
va	VER:pres	aller
être	VER:infi	être
un	DET:ind	un
grand	ADJ	grand
travail	NOM	travail
ça	PRO:ton	ça
hein	INT	hein
d'	PRP	un
accord	NOM	accord
c'	PRO:cls	ce
est	VER:pres	être
toi	PRO:ton	toi
qui	PRO:rel	qui
me	PRO:clo	me
diras	VER:futu	dire
ce	PRO:dem	ce
que	PRO:rel	que
tu	PRO:cls	tu
veux	VER:pres	vouloir
écrire	VER:infi	écrire
comme	KON	comme
texte	NOM	texte
et	KON	et
moi	PRO:ton	moi
je	PRO:cls	je
l'	PRO:clo	le
écrirai	VER:futu	écrire
et	KON	et
si	KON	si
tu	PRO:cls	tu
as	VER:pres	avoir
envie	NOM	envie
tu	PRO:cls	tu
le	PRO:clo	le
recopieras	VER:futu	recopier
sinon	ADV	sinon
c'	PRO:cls	ce
est	VER:pres	être
moi	PRO:ton	moi
qui	PRO:rel	qui
l'	PRO:clo	le
écrirai	VER:futu	écrire
dans	PRP	dans
le	DET:def	le
petit	ADJ	petit
livre	NOM	livre
d'	PRP	un
accord	NOM	accord
Akoub	NOM	<unknown>
.	NAM	<unknown>
et	KON	et
faut	VER:pres	falloir
faire	VER:infi	faire
longtemps	ADV	longtemps
pour	PRP	pour
faire	VER:infi	faire
un	DET:ind	un
livre	NOM	livre
ah	INT	ah
ça	PRO:cls	ça
va	VER:pres	aller
prendre	VER:infi	prendre
du	PRP:det	du
temps	NOM	temps
faut	VER:pres	falloir
tout	ADV	tout
colorier	VER:infi	colorier
après	ADV	après
faudra	VER:futu	falloir
coller	VER:infi	coller
tout	PRO:ind	tout
dans	PRP	dans
le	DET:def	le
livre	NOM	livre
après	ADV	après
faudra	VER:futu	falloir
écrire	VER:infi	écrire
le	DET:def	le
texte	NOM	texte
sur	PRP	sur
le	DET:def	le
livre	NOM	livre
faudra	VER:futu	falloir
donner	VER:infi	donner
un	DET:ind	un
titre	NOM	titre
à	PRP	à
l'	DET:def	le
histoire	NOM	histoire
faudra	VER:futu	falloir
décorer	VER:infi	décorer
la	DET:def	le
p-	TRC	p-
page	NOM	page
de	PRP	de
couverture	NOM	couverture
Ouyouyouyouyou	NOM	<unknown>
xxx	NOM	<unknown>
c'	PRO:cls	ce
