,sent_id,sentence,mean_sylables,mean_sentLen,pos_counts,pollysylables_count
0,0,"oui .
donc voilà une maison avec des personnages des animaux et d'autres objets .
donc j'aimerais que vous jouiez ensemble en iimaginant une histoire donc vous avez environs vingt minutes .",1.7619047619047619,10.666666666666666,"(13, 1)",4
1,1,vous vous inquiétez pas pour le temps .,1.4,8.0,"(7, 1)",1
2,2,"je vous avertiriai quelques minutes avant la fin .
voilà vous pouvez commencer !",1.7777777777777777,7.0,"(6, 1)",2
3,3,on va commencer à mettre les les pièces ouais ?,1.5,10.0,"(7, 1)",1
4,4,ça c'est quoi à ton avis ?,1.0,7.0,"(6, 1)",0
5,5,ah ça sera sur ce lit .,2.0,7.0,"(7, 1)",0
6,6,"Nnh@o .
nan xxx !",1.0,3.5,"(4, 1)",0
7,7,soit sur le grand lit ou là ?,1.0,8.0,"(7, 1)",0
8,8,"euh .
la table à langer .
ah là y a encore regarde .",1.75,4.666666666666667,"(8, 1)",0
9,9,si ça va avec .,1.0,5.0,"(5, 1)",0
10,10,ça c'est la couette comme ça le bonhomme il va là .,1.25,12.0,"(8, 1)",0
11,11,"c'est ici .
ensuite .
vas-y met .
un petit lit .",1.5,3.0,"(9, 1)",0
12,12,"Le bébé on va le mettre où ?
bah dans son berceau .",1.5,6.5,"(8, 1)",0
13,13,ici ?,,2.0,"(2, 1)",0
14,14,il est dans son berceau là .,1.5,7.0,"(7, 1)",0
15,15,"Eh bah on va mettre la table à langer là alors .
bébé où es-tu ?",1.5,8.0,"(8, 1)",0
16,16,ah nan y en a deux en plus !,1.0,9.0,"(7, 1)",0
17,17,"oh c'est chaud ça .
oups .",1.0,3.5,"(5, 1)",0
18,18,deux bébés euh un dodo .,1.6666666666666667,6.0,"(5, 1)",0
19,19,"tiens là il y a encore une couette pour un lit on met ça là comme ça ..?
encore un petit lit .",1.4285714285714286,12.0,"(8, 1)",0
20,20,encrore un lit !,2.0,4.0,"(4, 1)",0
21,21,y en a pleins des lits !,1.0,7.0,"(6, 1)",0
22,22,"c'est des jumelles là .
ah oui .",1.5,4.0,"(7, 1)",0
23,23,"Elles ont xxx .
alors on a un landau pour mettre un bébé ...
ah tiens regarde il y a la poussette pour mettre bébé .
ah oui .",1.4166666666666667,9.666666666666666,"(9, 1)",0
24,24,"là voilà xxx pour le lit .
xxx .
voilà .",1.6666666666666667,3.6666666666666665,"(6, 1)",0
25,25,on finit de mettre en place et puis après on commence ?,1.3333333333333333,12.0,"(7, 1)",0
26,26,samuel ?,2.0,2.0,"(2, 1)",0
27,27,"oui .
tiens là il y a encore un lit .",1.5,5.5,"(7, 1)",0
28,28,"le papa il ...
c'est le papa qui va promener ou la maman ?",2.0,14.0,"(7, 1)",1
29,29,tiens la maman elle a les cheveux long la maman .,1.5,11.0,"(6, 1)",0
30,30,"le papa .
bah déjà faut savoir que le truc il roule .",1.5,6.5,"(8, 1)",0
31,31,"bah ouais c'est une poussette .
tatadata ah pardon !",2.0,5.0,"(7, 1)",1
32,32,Viens on fait on continue de mettre tout et puis après on ira faire la promenade .,1.3333333333333333,17.0,"(8, 1)",1
33,33,"mais attend xxx oh c'est chiant .
han@o !",1.2,5.5,"(7, 1)",0
34,34,comment on met les bébés là dedans ?,2.0,8.0,"(7, 1)",0
35,35,"ouais comme ça .
comment ça se met ?",1.3333333333333333,4.5,"(6, 1)",0
36,36,allez il y en a un qui est en train de tomber .,1.6666666666666667,13.0,"(6, 1)",0
37,37,"là il y a encore une petite poussette pour la petite fille .
ah le landau on le met en haut le landau ?",1.6666666666666667,12.0,"(9, 1)",0
38,38,"oui .
on mettra les deux bébés dans le même landau .",1.5,6.0,"(9, 1)",0
39,39,"nan il y en a un qui va rentrer ...
bah ouais mais ...
alors on le met dans un lit du grand le deuxième .
oh cool !",1.25,14.5,"(10, 1)",0
40,40,Il doit être plus grand .,1.0,6.0,"(6, 1)",0
41,41,"il a de la chance //.
oh nan j'ai perdu le volant !",1.5,7.0,"(9, 1)",0
42,42,oh le bébé il a sursauté il a eu peur .,2.0,11.0,"(7, 1)",1
43,43,"voilà .
tiens là ça à mon avis c'est pour une poupée ou un nounours on va mettre le nounours dedans ?",1.5,11.0,"(10, 1)",0
44,44,tiens tu continues à mettre dans la maison ?,1.4,9.0,"(6, 1)",0
45,45,"mais nan han@o ...
là c'est une chaise haute .
wahoo@o //.
oh nan elle promène les chats !",1.2222222222222223,8.0,"(13, 1)",0
46,46,garde y a pleins de chats !,1.0,7.0,"(6, 1)",0
47,47,"on peut mettre les chats sinon .
y a pleins de chats .",1.1666666666666667,6.5,"(9, 1)",0
48,48,"tiens regarde j'ai mis j'ai mis commencé à mettre la salle à manger avec la chaise pour le bébé .
ah zut elle va pas pouvoir supporter tous les chats .
et ça ..?
^ ah ça c'est un sac .",1.4444444444444444,10.5,"(11, 1)",2
49,49,"^ et ça c'est quoi ça là ?
^ Une cheminée ?",1.6666666666666667,6.0,"(7, 1)",1
50,50,"Nan .
y a déjà une cheminée regarde .",2.3333333333333335,4.5,"(8, 1)",1
