¤P¤	NAM	¤P¤
xxx	NOM	<unknown>
deux	NUM	@card@
ans	NOM	an
tu	PRO:cls	tu
as	VER:pres	avoir
deux	NUM	@card@
ans	NOM	an
.	NAM	<unknown>
ouais	FNO	ouais
et	KON	et
tu	PRO:cls	tu
as	VER:pres	avoir
envie	NOM	envie
de	PRP	de
lire	VER:infi	lire
un	DET:ind	un
livre	NOM	livre
.	NAM	<unknown>
ouais	FNO	ouais
oui	FNO	oui
?	NAM	<unknown>
il	PRO:clsi	il
s'	PRO:clo	se
appelle	VER:pres	appeler
comment	PRO:int	comment
ton	DET:pos	ton
livre	NOM	livre
.	NAM	<unknown>
euh	INT	euh
.	NAM	<unknown>
Petit	ADJ	petit
chat	NOM	chat
noir	ADJ	noir
.	NAM	<unknown>
.	NAM	<unknown>
Petit	ADJ	petit
chat	NOM	chat
noir	ADJ	noir
.	NAM	<unknown>
alors	ADV	alors
on	PRO:cls	on
va	VER:pres	aller
l-	TRC	l-
on	PRO:cls	on
va	VER:pres	aller
le	PRO:clo	le
lire	VER:infi	lire
alors	ADV	alors
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
tu	PRO:cls	tu
vois	VER:pres	voir
là	ADV	là
.	ADJ	<unknown>
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
xxx	NOM	<unknown>
là	ADV	là
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
petits	ADJ	petit
chats	NOM	chat
bleus	ADJ	bleu
hum	FNO	hum
hum	FNO	hum
et	KON	et
là	ADV	là
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
on	PRO:cls	on
voit	VER:pres	voir
.	VER:infi	<unknown>
les	DET:def	le
chats	NOM	chat
les	DET:def	le
chats	NOM	chat
ça	PRO:ton	ça
dans	PRP	dans
la	DET:def	le
nature	NOM	nature
ouais	FNO	ouais
et	KON	et
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
ils	PRO:cls	il
font	VER:pres	faire
.	NAM	<unknown>
ils	PRO:cls	il
marchent	VER:pres	marcher
ils	PRO:cls	il
marchent	VER:pres	marcher
.	NAM	<unknown>
ouais	FNO	ouais
oh	INT	oh
la	DET:def	le
la	DET:def	le
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
il	PRO:cls	il
fait	VER:pres	faire
le	DET:def	le
chat	NOM	chat
là	ADV	là
.	VER:simp	<unknown>
il	PRO:clsi	il
il	PRO:clsi	il
court	VER:pres	courir
il	PRO:cls	il
court	VER:pres	courir
.	NAM	<unknown>
ouais	FNO	ouais
et	KON	et
on	PRO:cls	on
voit	VER:pres	voir
quoi	INT	quoi
ici	ADV	ici
là	ADV	là
.	VER:simp	<unknown>
une	DET:ind	un
fleur	NOM	fleur
une	DET:ind	un
fleur	NOM	fleur
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
tournesol	NOM	tournesol
tournesol	NOM	tournesol
ouais	FNO	ouais
très	ADV	très
bien	ADV	bien
xxx	NOM	<unknown>
le	DET:def	le
menton	NOM	menton
ça	PRO:cls	ça
te	PRO:clo	te
gratte	VER:pres	gratter
sous	PRP	sous
le	DET:def	le
menton	NOM	menton
?	NAM	<unknown>
oui	FNO	oui
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
chat	NOM	chat
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
chat	NOM	chat
qui	PRO:rel	qui
se	PRO:clo	se
gratte	VER:pres	gratter
sous	PRP	sous
le	DET:def	le
menton	NOM	menton
ouais	FNO	ouais
parce	TRC	parce
que	KON	que
il	PRO:cls	il
a	VER:pres	avoir
peut-être	ADV	peut-être
des	DET:ind	un
petites	ADJ	petit
puces	NOM	puce
qui	PRO:rel	qui
le	PRO:clo	le
grattent	VER:pres	gratter
comme	KON	comme
ça	PRO:ton	ça
ouais	FNO	ouais
alors	ADV	alors
il	PRO:clsi	il
se	PRO:clo	se
gratte	VER:pres	gratter
comme	KON	comme
ça	PRO:ton	ça
ouais	FNO	ouais
comme	KON	comme
ça	PRO:cls	ça
regarde	VER:pres	regarder
et	KON	et
et	KON	et
ouais	FNO	ouais
comme	KON	comme
ça	PRO:ton	ça
avec	PRP	avec
les	DET:def	le
pattes	NOM	patte
.	NAM	<unknown>
avec	PRP	avec
ses	DET:pos	son
pattes	NOM	patte
et	KON	et
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
il	PRO:cls	il
fait	VER:pres	faire
le	DET:def	le
chat	NOM	chat
?	NAM	<unknown>
il	PRO:cls	il
est	VER:pres	être
où	PRO:int	où
là	ADV	là
.	VER:simp	<unknown>
il	PRO:cls	il
est	AUX:pres	être
assis	VER:pper	asseoir
xxx	NOM	<unknown>
là	ADV	là
il	PRO:cls	il
est	AUX:pres	être
assis	VER:pper	asseoir
sur	PRP	sur
le	DET:def	le
haut	NOM	haut
de	PRP	de
la	DET:def	le
montagne	NOM	montagne
.	NAM	<unknown>
ouais	FNO	ouais
et	KON	et
il	PRO:cls	il
fait	VER:pres	faire
quoi	INT	quoi
sur	PRP	sur
le	DET:def	le
haut	NOM	haut
de	PRP	de
la	DET:def	le
montagne	NOM	montagne
.	NAM	<unknown>
il	PRO:cls	il
est	VER:pres	être
il	PRO:clsi	il
il	PRO:clsi	il
il	PRO:clsi	il
descend	VER:pres	descendre
il	PRO:cls	il
descend	VER:pres	descendre
.	NAM	<unknown>
ouais	FNO	ouais
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
bon	ADJ	bon
et	KON	et
là	ADV	là
ils	PRO:cls	il
font	VER:pres	faire
quoi	PRO:int	quoi
les	DET:def	le
chats	NOM	chat
.	NAM	<unknown>
ils	PRO:cls	il
sautent	VER:pres	sauter
ils	PRO:cls	il
sautent	VER:pres	sauter
partout	ADV	partout
sur	PRP	sur
l'	DET:def	le
herbe	NOM	herbe
ouais	FNO	ouais
ouais	FNO	ouais
ils	PRO:cls	il
sont	VER:pres	être
jolis	ADJ	joli
hein	INT	hein
.	NAM	<unknown>
eh	INT	eh
ils	PRO:cls	il
xxx	NOM	<unknown>
/sont	MLT	<unknown>
sautent/	MLT	<unknown>
en	PRP	en
l'	DET:def	le
air	NOM	air
ils	PRO:cls	il
sont	VER:pres	être
en	PRP	en
l'	DET:def	le
air	NOM	air
.	NAM	<unknown>
hum	FNO	hum
la	DET:def	le
queue	NOM	queue
là	ADV	là
.	VER:simp	<unknown>
xxx	NOM	<unknown>
euh	INT	euh
xxx	NOM	<unknown>
euh	INT	euh
elle	PRO:cls	elle
est	VER:pres	être
en	PRP	en
l'	DET:def	le
air	NOM	air
la	DET:def	le
queue	NOM	queue
du	PRP:det	du
chat	NOM	chat
.	NAM	<unknown>
ouais	FNO	ouais
ouais	FNO	ouais
xxx	NOM	<unknown>
xxx	NOM	<unknown>
le	DET:def	le
chat	NOM	chat
xxx	NOM	<unknown>
xxx	NOM	<unknown>
est	AUX:pres	être
caché	VER:pper	cacher
les	DET:def	le
les	DET:def	le
feuilles	NOM	feuille
il	PRO:cls	il
est	AUX:pres	être
caché	VER:pper	cacher
derrière	PRP	derrière
les	DET:def	le
feuilles	NOM	feuille
.	NAM	<unknown>
ouais	FNO	ouais
et	KON	et
pourquoi	PRO:int	pourquoi
?	NAM	<unknown>
il	PRO:cls	il
a	VER:pres	avoir
peur	NOM	peur
.	NAM	<unknown>
attends	VER:impe	attendre
c'	PRO:cls	ce
est	VER:pres	être
moi	PRO:ton	moi
lâche	ADJ	lâche
xxx	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
toi	PRO:ton	toi
qui	PRO:rel	qui
tiens	VER:pres	tenir
?	NAM	<unknown>
et	KON	et
là	ADV	là
