voilà	FNO	voilà
ça	PRO:cls	ça
commence	VER:pres	commencer
bonjour	FNO	bonjour
les	DET:def	le
petits	ADJ	petit
Oui-Oui	NOM	<unknown>
tu	PRO:cls	tu
connais	VER:pres	connaître
Oui-oui	NOM	<unknown>
.	NAM	<unknown>
oui	FNO	oui
tu	PRO:cls	tu
l'	PRO:clo	le
as	AUX:pres	avoir
jamais	ADV	jamais
lu	VER:pper	lire
celui-là	PRO:dem	celui-là
.	VER:subp	<unknown>
non	FNO	non
.	NAM	<unknown>
ok	FNO	ok
xxx	NOM	<unknown>
alors	ADV	alors
.	VER:simp	<unknown>
Oui-Oui	VER:pper	<unknown>
et	KON	et
le	DET:def	le
trésor	NOM	trésor
de	PRP	de
l'	DET:def	le
arc-en-ciel	NOM	<unknown>
.	NAM	<unknown>
c'	PRO:cls	ce
était	VER:impf	être
une	DET:ind	un
journée	NOM	journée
très	ADV	très
spéciale	ADJ	spécial
à	PRP	à
Miniville	NOM	<unknown>
un	DET:ind	un
-en	ADJ	<unknown>
arc	NOM	arc
ciel	NOM	ciel
magique	ADJ	magique
est	AUX:pres	être
inscrit	VER:pper	inscrire
dans	PRP	dans
le	DET:def	le
ciel	NOM	ciel
au	PRP:det	au
dessus	ADV	dessus
du	PRP:det	du
parc	NOM	parc
de	PRP	de
la	DET:def	le
ville	NOM	ville
tout	DET:pre	tout
le	DET:def	le
monde	NOM	monde
était	AUX:impf	être
émerveillé	VER:pper	émerveiller
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
le	DET:def	le
bel	ADJ	beau
arc-en-ciel	NOM	<unknown>
.	NAM	<unknown>
tu	PRO:cls	tu
en	PRO:clo	en
as	AUX:pres	avoir
déjà	ADV	déjà
vu	VER:pper	voir
toi	PRO:ton	toi
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
.	NAM	<unknown>
qui	PRO:rel	qui
ont	AUX:pres	avoir
été	VER:pper	être
chez	PRP	chez
moi	PRO:ton	moi
là	ADV	là
b-	TRC	b-
ouais	FNO	ouais
dans	PRP	dans
le	DET:def	le
ciel	NOM	ciel
.	NAM	<unknown>
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
beau	ADJ	beau
hein	INT	hein
.	NAM	<unknown>
moi	PRO:ton	moi
je	PRO:cls	je
trouve	VER:pres	trouver
ça	PRO:ton	ça
super	ADV	super
joli	ADJ	joli
moi	PRO:ton	moi
aussi	ADV	aussi
ouais	FNO	ouais
oui	FNO	oui
joli	ADJ	joli
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
beau	ADJ	beau
s'	PRO:clo	se
exclama	VER:simp	exclamer
Nirou	NOM	<unknown>
regarde	VER:impe	regarder
le	DET:def	le
jaune	NOM	jaune
et	KON	et
l'	DET:def	le
orange	NOM	orange
miaula	VER:simp	miauler
mademoiselle	NOM	mademoiselle
