salut	FNO	salut
mon	DET:pos	mon
coeur	NOM	coeur
coucou	NOM	coucou
¤P¤	NAM	¤P¤
ça	PRO:cls	ça
va	VER:pres	aller
oui	FNO	oui
et	KON	et
toi	PRO:ton	toi
oui	FNO	oui
alors	ADV	alors
ton	DET:pos	ton
opération	NOM	opération
euh	INT	euh
pff	INT	pff
bah	INT	bah
donc	ADV	donc
il	PRO:clsi	il
m'	PRO:clo	me
a	AUX:pres	avoir
endormi	VER:pper	se endormir
euh	INT	euh
donc	ADV	donc
que	KON	que
les	DET:def	le
jambes	NOM	jambe
il	PRO:clsi	il
m'	PRO:clo	me
a	AUX:pres	avoir
fait	VER:pper	faire
une	DET:ind	un
rachi	NOM	<unknown>
ils	PRO:cls	il
appellent	VER:pres	appeler
ça	PRO:ton	ça
une	DET:ind	un
rachi	NOM	<unknown>
et	KON	et
euh	INT	euh
du	PRP:det	du
coup	NOM	coup
euh	INT	euh
donc	ADV	donc
ils	PRO:cls	il
m'	PRO:clo	me
ont	AUX:pres	avoir
fait	VER:pper	faire
la	DET:def	le
piqûre	NOM	piqûre
donc	ADV	donc
dans	PRP	dans
le	DET:def	le
bas	NOM	bas
du	PRP:det	du
dos	NOM	dos
et	KON	et
j'	PRO:cls	je
entendais	VER:impf	entendre
tout	ADV	tout
pendant	PRP	pendant
l'	DET:def	le
opération	NOM	opération
et	KON	et
tout	DET:pre	tout
les	DET:def	le
coups	NOM	coup
de	PRP	de
marteau	NOM	marteau
et	KON	et
tout	PRO:ind	tout
j'	PRO:cls	je
ai	AUX:pres	avoir
tout	PRO:ind	tout
entendu	VER:pper	entendre
et	KON	et
tout	PRO:ind	tout
oh	INT	oh
et	KON	et
euh	INT	euh
et	KON	et
puis	KON	puis
ça	PRO:cls	ça
a	AUX:pres	avoir
duré	VER:pper	durer
euh	INT	euh
ça	PRO:cls	ça
a	AUX:pres	avoir
duré	VER:pper	durer
moins	ADV	moins
longtemps	ADV	longtemps
que	ADV	que
prévu	VER:pper	prévoir
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
parce	TRC	parce
qu'	KON	que
ils	PRO:cls	il
étaient	VER:impf	être
deux	NUM	@card@
ils	PRO:cls	il
étaient	VER:impf	être
deux	NUM	@card@
sur	PRP	sur
le	DET:def	le
genou	NOM	genou
alors	ADV	alors
qu'	KON	que
au	PRP:det	au
début	NOM	début
il	PRO:cls	il
devait	VER:impf	devoir
être	VER:infi	être
tout	PRO:ind	tout
seul	ADJ	seul
donc	ADV	donc
voilà	FNO	voilà
donc	ADV	donc
ça	PRO:cls	ça
a	AUX:pres	avoir
duré	VER:pper	durer
euh	INT	euh
deux	NUM	@card@
heures	NOM	heure
et	KON	et
après	ADV	après
je	PRO:cls	je
suis	AUX:pres	être
restée	VER:pper	rester
en	PRP	en
salle	NOM	salle
de	PRP	de
réveil	NOM	réveil
pareil	ADJ	pareil
environ	ADV	environ
une	DET:ind	un
heure	NOM	heure
et	KON	et
demi	NOM	demi
deux	NUM	@card@
heures	NOM	heure
je	PRO:cls	je
suis	AUX:pres	être
revenue	VER:pper	revenir
ici	ADV	ici
puis	KON	puis
j'	PRO:cls	je
ai	AUX:pres	avoir
seulement	ADV	seulement
pu	VER:pper	pouvoir
manger	VER:infi	manger
qu'	KON	que
à	PRP	à
dix	NUM	@card@
huit	NUM	@card@
heures	NOM	heure
tu	PRO:cls	tu
devais	VER:impf	devoir
avoir	VER:infi	avoir
trop	ADV	trop
faim	NOM	faim
han	ADJ	<unknown>
nan	NOM	<unknown>
mais	KON	mais
un	DET:ind	un
truc	NOM	truc
en	PRP	en
plus	ADV	plus
j'	PRO:cls	je
étais	VER:impf	être
euh	INT	euh
à	PRP	à
jeun	NOM	<unknown>
depuis	PRP	depuis
dix	NUM	@card@
heures	NOM	heure
la	DET:def	le
veille	NOM	veille
limite	NOM	limite
euh	INT	euh
bon	INT	bon
peut	VER:pres	pouvoir
être	VER:infi	être
pas	ADV	pas
vingt	NUM	@card@
quatre	NUM	@card@
heures	NOM	heure
mais	KON	mais
enfin	ADV	enfin
horrible	ADJ	horrible
j'	PRO:cls	je
avais	VER:impf	avoir
trop	ADV	trop
faim	NOM	faim
et	KON	et
ils	PRO:cls	il
devaient	VER:impf	devoir
d'	PRP	un
ailleurs	ADV	ailleurs
oui	FNO	oui
ils	PRO:cls	il
devaient	VER:impf	devoir
pas	ADV	pas
te	PRO:clo	te
t'	PRO:clo	te
ouvrir	VER:infi	ouvrir
les	DET:def	le
deux	NUM	@card@
genoux	NOM	genou
à	PRP	à
la	DET:def	le
base	NOM	base
bah	INT	bah
au	PRP:det	au
début	NOM	début
si	KON	si
ils	PRO:cls	il
voulaient	VER:impf	vouloir
prendre	VER:infi	prendre
le	DET:def	le
le	DET:def	le
tendon	NOM	tendon
de	PRP	de
la	DET:def	le
cuisse	NOM	cuisse
de	PRP	de
l'	DET:def	le
autre	ADJ	autre
cuisse	NOM	cuisse
ah	INT	ah
oui	FNO	oui
ah	INT	ah
mais	KON	mais
en	PRP	en
fait	NOM	fait
ça	PRO:cls	ça
aurait	AUX:cond	avoir
fait	VER:pper	faire
trop	ADV	trop
de	PRP	de
rééducation	NOM	rééducation
j'	PRO:cls	je
aurais	AUX:cond	avoir
dû	VER:pper	devoir
réapprendre	VER:infi	réapprendre
à	PRP	à
marcher	VER:infi	marcher
complétement	NOM	<unknown>
et	KON	et
tout	PRO:ind	tout
euh	INT	euh
donc	ADV	donc
trop	ADV	trop
galère	NOM	galère
du	PRP:det	du
coup	NOM	coup
il	PRO:cls	il
a	AUX:pres	avoir
pris	VER:pper	prendre
euh	INT	euh
le	DET:def	le
tendon	NOM	tendon
rotulien	ADJ	rotulien
ouais	FNO	ouais
il	PRO:cls	il
a	VER:pres	avoir
euh	INT	euh
donc	ADV	donc
il	PRO:clsi	il
m'	PRO:clo	me
a	AUX:pres	avoir
expliqué	VER:pper	expliquer
il	PRO:clsi	il
m'	PRO:clo	me
a	AUX:pres	avoir
dit	VER:pper	dire
oh	INT	oh
bah	INT	bah
j'	PRO:cls	je
ai	AUX:pres	avoir
fais	VER:pres	faire
un	DET:ind	un
petit	ADJ	petit
tunnel	NOM	tunnel
euh	INT	euh
dans	PRP	dans
votre	DET:pos	votre
genou	NOM	genou
et	KON	et
tout	PRO:ind	tout
euh	INT	euh
super	ADV	super
et	KON	et
puis	KON	puis
euh	INT	euh
j'	PRO:cls	je
ai	AUX:pres	avoir
recousu	VER:pper	recoudre
euh	INT	euh
et	KON	et
puis	KON	puis
voilà	FNO	voilà
et	KON	et
tu	PRO:cls	tu
l'	PRO:clo	le
a	AUX:pres	avoir
pas	ADV	pas
vu	VER:pper	voir
ta	DET:pos	ton
cicatrice	NOM	cicatrice
nan	NOM	<unknown>
je	PRO:cls	je
l'	PRO:clo	le
ai	AUX:pres	avoir
pas	ADV	pas
vu	VER:pper	voir
elle	PRO:cls	elle
est	VER:pres	être
sous	PRP	sous
les	DET:def	le
pansements	NOM	pansement
en	PRP	en
fait	NOM	fait
