allez	INT	allez
je	PRO:cls	je
vais	VER:pres	aller
chercher	VER:infi	chercher
le	DET:def	le
jeu	NOM	jeu
bon	INT	bon
j'	PRO:cls	je
ai	VER:pres	avoir
le	DET:def	le
jeu	NOM	jeu
on	PRO:cls	on
y	PRO:clo	y
joue	VER:pres	jouer
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
alors	ADV	alors
regarde	VER:impe	regarder
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
ça	PRO:ton	ça
.	NAM	<unknown>
cet	DET:dem	ce
animal	NOM	animal
?	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
canard	NOM	canard
hein	INT	hein
.	NAM	<unknown>
xxx	NOM	<unknown>
tu	PRO:cls	tu
es	VER:pres	être
sûre	ADJ	sûr
.	NAM	<unknown>
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
poule	NOM	poule
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
poule	NOM	poule
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
oui	FNO	oui
xxx	NOM	<unknown>
je	PRO:cls	je
vois	VER:pres	voir
pas	ADV	pas
bien	ADV	bien
tu	PRO:cls	tu
vois	VER:pres	voir
pas	ADV	pas
bien	ADV	bien
.	VER:simp	<unknown>
peut-être	ADV	peut-être
une	DET:ind	un
feuille	NOM	feuille
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
ben	INT	ben
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
feuille	NOM	feuille
tu	PRO:cls	tu
vois	VER:pres	voir
pas	ADV	pas
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
feuille	NOM	feuille
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
