maintenant	ADV	maintenant
j'	PRO:cls	je
ai	VER:pres	avoir
plus	ADV	plus
qu'	KON	que
à	PRP	à
faire	VER:infi	faire
Lili	NAM	<unknown>
et	KON	et
le	DET:def	le
pinceau	NOM	pinceau
oui	FNO	oui
et	KON	et
le	DET:def	le
panneau	NOM	panneau
voilà	FNO	voilà
donc	ADV	donc
faut	VER:pres	falloir
colorier	VER:infi	colorier
Lili	NAM	<unknown>
le	DET:def	le
pinceau	NOM	pinceau
et	KON	et
le	DET:def	le
panneau	NOM	panneau
oui	FNO	oui
le	DET:def	le
panneau	NOM	panneau
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
rien	PRO:ind	rien
.	NOM:sig	<unknown>
d'	PRP	un
.	NOM:sig	<unknown>
écrit	VER:pper	écrire
dessus	ADV	dessus
d'	PRP	un
ailleurs	ADV	ailleurs
ouais	FNO	ouais
parce	TRC	parce
que	KON	que
Franklin	NOM	<unknown>
il	PRO:cls	il
a	VER:pres	avoir
pas	ADV	pas
encore	ADV	encore
peint	VER:pper	peindre
hum	FNO	hum
le	DET:def	le
panneau	NOM	panneau
est	AUX:pres	être
construit	VER:pper	construire
mais	KON	mais
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
rien	PRO:ind	rien
d'	PRP	un
écrit	NOM	écrit
hum	FNO	hum
qu'	PRO:rel	que
est	VER:pres	être
ce	PRO:dem	ce
que	PRO:rel	que
tu	PRO:cls	tu
veux	VER:pres	vouloir
comme	KON	comme
couleur	NOM	couleur
.	NAM	<unknown>
hum	FNO	hum
du	PRP:det	du
bleu	NOM	bleu
foncé	ADJ	foncé
du	PRP:det	du
bleu	NOM	bleu
foncé	ADJ	foncé
.	NAM	<unknown>
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
là	ADV	là
euh	INT	euh
tiens	INT	tiens
ça	PRO:cls	ça
s'	PRO:clo	se
en	PRO:clo	en
est	VER:pres	être
?	NAM	<unknown>
tu	PRO:cls	tu
veux	VER:pres	vouloir
celui-là	PRO:dem	celui-là
.	VER:subp	<unknown>
oui	FNO	oui
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
avait	VER:impf	avoir
là	ADV	là
ah	INT	ah
oui	FNO	oui
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
un	DET:ind	un
autre	ADJ	autre
ici	ADV	ici
tu	PRO:cls	tu
préfères	VER:pres	préférer
-ci	ADV	-ci
celui	PRO:dem	celui
.	VER:subp	<unknown>
oui	FNO	oui
ça	PRO:cls	ça
fera	VER:futu	faire
de	PRP	de
la	DET:def	le
peinture	NOM	peinture
bleue	ADJ	bleu
alors	ADV	alors
si	KON	si
tu	PRO:cls	tu
xxx	NOM	<unknown>
il	PRO:cls	il
fait	VER:pres	faire
violet	ADJ	violet
ah	INT	ah
ouais	FNO	ouais
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
bleu	NOM	bleu
violet	ADJ	violet
alors	ADV	alors
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
bleu	NOM	bleu
un	DET:ind	un
bleu	NOM	bleu
violet	ADJ	violet
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
joli	ADJ	joli
oui	FNO	oui
hum	FNO	hum
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
la	DET:def	le
couleur	NOM	couleur
prendre	VER:infi	prendre
tu	PRO:cls	tu
sais	VER:pres	savoir
pas	ADV	pas
quelle	DET:int	quel
couleur	NOM	couleur
prendre	VER:infi	prendre
.	NAM	<unknown>
non	FNO	non
bah	INT	bah
tu	PRO:cls	tu
qu'	PRO:rel	que
est	VER:pres	être
ce	PRO:dem	ce
que	PRO:rel	que
tu	PRO:cls	tu
veux	VER:pres	vouloir
colorier	VER:infi	colorier
.	NOM:sig	<unknown>
du	PRP:det	du
gris	NOM	gris
je	PRO:cls	je
veux	VER:pres	vouloir
s'	KON	si
il	PRO:clsi	il
te	PRO:clo	te
plaît	VER:pres	plaire
tu	PRO:cls	tu
veux	VER:pres	vouloir
du	DET:par	du
gris	NOM	gris
.	NAM	<unknown>
hum	FNO	hum
pour	PRP	pour
colorier	VER:infi	colorier
le	DET:def	le
manche	NOM	manche
le	DET:def	le
manche	NOM	manche
du	PRP:det	du
pinceau	NOM	pinceau
.	NAM	<unknown>
oui	FNO	oui
alors	ADV	alors
du	PRP:det	du
gris	NOM	gris
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
là	ADV	là
ça	PRO:ton	ça
c'	PRO:cls	ce
en	PRO:clo	en
est	VER:pres	être
voilà	FNO	voilà
du	PRP:det	du
gris	NOM	gris
tu	PRO:cls	tu
voulais	VER:impf	vouloir
un	DET:ind	un
autre	ADJ	autre
gris	NOM	gris
.	NAM	<unknown>
non	FNO	non
.	NAM	<unknown>
non	FNO	non
.	NAM	<unknown>
hum	FNO	hum
voilà	FNO	voilà
un	DET:ind	un
joli	ADJ	joli
pinceau	NOM	pinceau
prêt	ADJ	prêt
à	PRP	à
peindre	VER:infi	peindre
oui	FNO	oui
du	PRP:det	du
noir	ADJ	noir
?	NAM	<unknown>
qu'	PRO:rel	que
est	VER:pres	être
ce	PRO:dem	ce
que	PRO:rel	que
tu	PRO:cls	tu
colories	VER:pres	colorier
en	PRP	en
noir	ADJ	noir
.	NOM:sig	<unknown>
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
ça	PRO:cls	ça
.	VER:cond	<unknown>
bah	INT	bah
bah	INT	bah
la	DET:def	le
boîte	NOM	boîte
à	PRP	à
peinture	NOM	peinture
la	DET:def	le
boîte	NOM	boîte
de	PRP	de
peinture	NOM	peinture
en	PRP	en
noir	NOM	noir
.	NAM	<unknown>
oui	FNO	oui
ah	INT	ah
tu	PRO:cls	tu
as	AUX:pres	avoir
colorié	VER:pper	colorier
la	DET:def	le
peinture	NOM	peinture
oui	FNO	oui
l'	DET:def	le
intérieur	NOM	intérieur
en	PRP	en
noir	ADJ	noir
là	ADV	là
ça	PRO:cls	ça
dé-	TRC	dé-
ça	PRO:cls	ça
déborde	VER:pres	déborder
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
mais	KON	mais
je	PRO:cls	je
l'	PRO:clo	le
ai	AUX:pres	avoir
colorié	VER:pper	colorier
/parce	VER:impe	<unknown>
que	KON	que
que/	MLT	<unknown>
là	ADV	là
ça	PRO:cls	ça
déborde	VER:pres	déborder
ouais	FNO	ouais
tu	PRO:cls	tu
colories	VER:pres	colorier
autour	ADV	autour
alors	ADV	alors
ouais	FNO	ouais
ça	PRO:cls	ça
doit	VER:pres	devoir
déborder	VER:infi	déborder
hum	FNO	hum
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
grave	ADJ	grave
hum	FNO	hum
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
grave	ADJ	grave
si	KON	si
ça	PRO:cls	ça
déborde	VER:pres	déborder
il	PRO:cls	il
faut	VER:pres	falloir
que	KON	que
ça	PRO:cls	ça
déborde	VER:pres	déborder
ah	INT	ah
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
peinture	NOM	peinture
qui	PRO:rel	qui
déborde	VER:pres	déborder
du	DET:par	du
pot	NOM	pot
ouais	FNO	ouais
parce	TRC	parce
que	KON	que
elle	PRO:cls	elle
est	VER:pres	être
jusqu'	PRP	jusque
à	PRP	à
cette	DET:dem	ce
taille	NOM	taille
ouais	FNO	ouais
elle	PRO:cls	elle
est	VER:pres	être
juste	ADV	juste
au	PRP:det	au
bord	NOM	bord
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
ça	PRO:ton	ça
qu'	KON	que
elle	PRO:cls	elle
déborde	VER:pres	déborder
ouais	FNO	ouais
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
trop	ADV	trop
dans	PRP	dans
le	DET:def	le
pot	NOM	pot
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
du	DET:par	du
violet	NOM	violet
hum	FNO	hum
hum	FNO	hum
et	KON	et
euh	INT	euh
il	PRO:cls	il
a	AUX:pres	avoir
trempé	VER:pper	tremper
le	DET:def	le
pinceau	NOM	pinceau
dans	PRP	dans
le	DET:def	le
dans	PRP	dans
la	DET:def	le
boîte	NOM	boîte
et	KON	et
et	KON	et
c'	PRO:cls	ce
était	VER:impf	être
du	PRP:det	du
du	PRP:det	du
violet	NOM	violet
qu'	KON	que
il	PRO:cls	il
fallait	VER:impf	falloir
qu'	KON	que
il	PRO:cls	il
fallait	VER:impf	falloir
faire	VER:infi	faire
dans	PRP	dans
la	DET:def	le
boîte	NOM	boîte
ah	INT	ah
oui	FNO	oui
tant	ADV	tant
pis	ADV	pis
bah	INT	bah
tant	ADV	tant
pis	ADV	pis
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
grave	ADJ	grave
bah	INT	bah
oui	FNO	oui
ah	INT	ah
oui	FNO	oui
parce	TRC	parce
que	KON	que
si	KON	si
tu	PRO:cls	tu
as	AUX:pres	avoir
colorié	VER:pper	colorier
le	DET:def	le
pinceau	NOM	pinceau
en	PRP	en
en	PRP	en
violet	NOM	violet
il	PRO:cls	il
aurait	AUX:cond	avoir
fallu	VER:pper	falloir
que	KON	que
la	DET:def	le
peinture	NOM	peinture
dans	PRP	dans
le	DET:def	le
pot	NOM	pot
soit	KON	soit
violette	ADJ	violet
oui	FNO	oui
mais	KON	mais
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
grave	ADJ	grave
parce	TRC	parce
que	KON	que
regarde	VER:impe	regarder
là	ADV	là
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
un	DET:ind	un
deuxième	ADJ	deuxième
pot	NOM	pot
peut-être	ADV	peut-être
que	KON	que
c'	PRO:cls	ce
était	VER:impf	être
dans	PRP	dans
celui-là	PRO:dem	celui-là
le	DET:def	le
violet	NOM	violet
tu	PRO:cls	tu
vois	VER:pres	voir
là	ADV	là
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
un	DET:ind	un
tout	DET:ind	tout
petit	ADJ	petit
pot	NOM	pot
de	PRP	de
peinture	NOM	peinture
tu	PRO:cls	tu
peux	VER:pres	pouvoir
colorier	VER:infi	colorier
celui-là	PRO:dem	celui-là
en	PRP	en
violet	NOM	violet
ouais	FNO	ouais
je	PRO:cls	je
vais	VER:pres	aller
le	PRO:clo	le
colorier	VER:infi	colorier
en	PRP	en
violet	NOM	violet
voilà	FNO	voilà
comme	KON	comme
ça	PRO:ton	ça
il	PRO:clsi	il
y	PRO:clo	y
aura	VER:futu	avoir
pas	ADV	pas
d'	PRP	un
erreur	NOM	erreur
ouais	FNO	ouais
et	KON	et
ça	PRO:cls	ça
déborde	VER:pres	déborder
aussi	ADV	aussi
dans	PRP	dans
celui-là	PRO:dem	celui-là
ouais	FNO	ouais
voilà	FNO	voilà
parce	TRC	parce
que	KON	que
à	PRP	à
l'	DET:def	le
école	NOM	école
oui	FNO	oui
à	PRP	à
l'	DET:def	le
école	NOM	école
eh	INT	eh
ben	INT	ben
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
on	PRO:cls	on
a	VER:pres	avoir
plein	ADV	plein
de	PRP	de
colle	NOM	colle
à	PRP	à
l'	DET:def	le
école	NOM	école
tu	PRO:cls	tu
as	VER:pres	avoir
plein	ADV	plein
de	PRP	de
.	NAM	<unknown>
colle	NOM	colle
ah	INT	ah
de	PRP	de
la	DET:def	le
colle	NOM	colle
ouais	FNO	ouais
vous	PRO:cls	vous
faites	VER:pres	faire
des	DET:ind	un
collages	NOM	collage
.	NAM	<unknown>
euh	INT	euh
oui	FNO	oui
l'	DET:def	le
autre	ADJ	autre
jour	NOM	jour
je	PRO:cls	je
j'	PRO:cls	je
avais	AUX:impf	avoir
fait	VER:pper	faire
un	DET:ind	un
puzzle	NOM	puzzle
de	PRP	de
clown	NOM	clown
et	KON	et
j'	PRO:cls	je
ai	AUX:pres	avoir
réussi	VER:pper	réussir
tu	PRO:cls	tu
as	AUX:pres	avoir
fait	VER:pper	faire
un	DET:ind	un
puzzle	NOM	puzzle
de	PRP	de
clown	NOM	clown
.	NAM	<unknown>
oui	FNO	oui
et	KON	et
j'	PRO:cls	je
ai	AUX:pres	avoir
réussi	VER:pper	réussir
.	NOM:sig	<unknown>
à	PRP	à
le	PRO:clo	le
faire	VER:infi	faire
tu	PRO:cls	tu
l'	PRO:clo	le
as	AUX:pres	avoir
réussi	VER:pper	réussir
toute	ADV	tout
seule	ADJ	seul
.	NAM	<unknown>
ouais	FNO	ouais
et	KON	et
après	ADV	après
tu	PRO:cls	tu
as	AUX:pres	avoir
collé	VER:pper	coller
les	DET:def	le
petites	ADJ	petit
pièces	NOM	pièce
.	NAM	<unknown>
