oh	INT	oh
je	PRO:cls	je
suis	VER:pres	être
tout	ADV	tout
seule	ADJ	seul
maintenant	ADV	maintenant
alors	ADV	alors
hello	NOM	<unknown>
je	PRO:cls	je
m'	PRO:clo	me
appelle	VER:pres	appeler
Dora	VER:simp	dorer
et	KON	et
voici	VER:pper	<unknown>
mon	DET:pos	mon
ami	NOM	ami
Babouche	NOM	babouche
nous	PRO:clo	nous
partons	VER:pres	partir
à	PRP	à
la	DET:def	le
chasse	NOM	chasse
au	PRP:det	au
trésor	NOM	trésor
-tu	PRO:cls	tu
veux	VER:pres	vouloir
nous	PRO:clo	nous
aider	VER:infi	aider
à	PRP	à
trouver	VER:infi	trouver
le	DET:def	le
chemin	NOM	chemin
de	PRP	de
l'	DET:def	le
ile	NOM	<unknown>
au	PRP:det	au
trésor	NOM	trésor
.	NAM	<unknown>
pour	PRP	pour
cela	PRO:ton	cela
détache	VER:pres	détacher
les	DET:def	le
autocollants	ADJ	autocollant
et	KON	et
-les	PRO:clo	le
colle	VER:pres	coller
sur	PRP	sur
les	DET:def	le
dessins	NOM	dessin
commençons	VER:pres	commencer
par	PRP	par
la	DET:def	le
carte	NOM	carte
xxx	NOM	<unknown>
commençons	VER:pres	commencer
par	PRP	par
la	DET:def	le
carte	NOM	carte
il	PRO:cls	il
est	VER:pres	être
où	PRO:int	où
la	DET:def	le
carte	NOM	carte
.	NAM	<unknown>
là	ADV	là
hein	INT	hein
.	NAM	<unknown>
elle	PRO:cls	elle
est	VER:pres	être
xxx	NOM	<unknown>
ouais	FNO	ouais
-y	PRO:clo	y
vas	VER:impe	aller
elle	PRO:ton	elle
elle	PRO:cls	elle
est	VER:pres	être
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
là	ADV	là
là	ADV	là
carte	NOM	carte
ah	INT	ah
bon	INT	bon
.	NAM	<unknown>
ouais	FNO	ouais
donc	ADV	donc
quand	KON	quand
s-	TRC	s-
quand	PRO:int	quand
Dora	VER:simp	dorer
il	PRO:cls	il
commence	VER:pres	commencer
à	PRP	à
à	PRP	à
chercher	VER:infi	chercher
son	DET:pos	son
chemin	NOM	chemin
elle	PRO:cls	elle
appelle	VER:pres	appeler
la	DET:def	le
carte	NOM	carte
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:cls	ça
.	VER:cond	<unknown>
ouais	FNO	ouais
elle	PRO:cls	elle
fait	VER:pres	faire
alors	ADV	alors
je	PRO:cls	je
l'	PRO:clo	le
ai	AUX:pres	avoir
déjà	ADV	déjà
collée	VER:pper	coller
maintenant	ADV	maintenant
il	PRO:cls	il
faut	VER:pres	falloir
que	KON	que
je	PRO:cls	je
fasse	VER:subp	faire
le	DET:def	le
lac	NOM	lac
aux	PRP:det	au
crocodiles	NOM	crocodile
d'	PRP	un
accord	NOM	accord
le	DET:def	le
lac	NOM	lac
aux	PRP:det	au
coc-	TRC	<unknown>
aux	PRP:det	au
crocodiles	NOM	crocodile
voilà	FNO	voilà
le	DET:def	le
crocodile	NOM	crocodile
je	PRO:cls	je
le	PRO:clo	le
mettrais	VER:cond	mettre
dans	PRP	dans
l'	DET:def	le
eau	NOM	eau
plutôt	ADV	plutôt
ouais	FNO	ouais
.	NAM	<unknown>
je	PRO:cls	je
préfère	VER:pres	préférer
pourquoi	PRO:int	pourquoi
.	NOM:sig	<unknown>
parce	TRC	parce
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
pl-	TRC	pl-
c'	PRO:cls	ce
est	VER:pres	être
moins	ADV	moins
chiant	ADJ	chiant
ah	INT	ah
bon	INT	bon
.	NAM	<unknown>
mm	NOM	<unknown>
et	KON	et
puis	KON	puis
en	PRP	en
même	ADJ	même
temps	NOM	temps
les	DET:def	le
puis	KON	puis
après	ADV	après
ils	PRO:cls	il
vont	VER:pres	aller
les	DET:def	le
crocodiles	NOM	crocodile
ça	PRO:cls	ça
vit	VER:pres	vivre
dans	PRP	dans
l'	DET:def	le
eau	NOM	eau
hein	INT	hein
ouais	FNO	ouais
mais	KON	mais
c'	PRO:cls	ce
est	AUX:pres	être
.	VER:pper	<unknown>
alors	ADV	alors
après	ADV	après
le	DET:def	le
lac	NOM	lac
aux	PRP:det	au
crocodiles	NOM	crocodile
c'	PRO:cls	ce
est	AUX:pres	être
.	VER:pper	<unknown>
le	DET:def	le
bac-	TRC	<unknown>
le	DET:def	le
sable	NOM	sable
le	DET:def	le
sable	NOM	sable
gluant	ADJ	gluant
tu	PRO:cls	tu
sais	VER:pres	savoir
pourquoi	PRO:int	pourquoi
on	PRO:cls	on
appelle	VER:pres	appeler
ça	PRO:ton	ça
un	DET:ind	un
sable	NOM	sable
gluant	ADJ	gluant
.	NAM	<unknown>
oui	FNO	oui
je	PRO:cls	je
sais	VER:pres	savoir
pourquoi	PRO:int	pourquoi
pour	PRP	pour
patiner	VER:infi	patiner
ah	INT	ah
hein	INT	hein
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
parce	TRC	parce
que	KON	que
si	KON	si
tu	PRO:cls	tu
marches	VER:pres	marcher
dedans	ADV	dedans
tu	PRO:cls	tu
peux	VER:pres	pouvoir
t'	PRO:clo	te
enfoncer	VER:infi	enfoncer
voilà	FNO	voilà
en	PRP	en
plus	ADV	plus
c'	PRO:cls	ce
est	VER:pres	être
alors	ADV	alors
tout	PRO:ind	tout
d'	PRP	un
abord	NOM	abord
nous	PRO:cls	nous
