allez	INT	allez
c'	PRO:cls	ce
est	VER:pres	être
à	PRP	à
toi	PRO:ton	toi
de	PRP	de
me	PRO:clo	me
le	PRO:clo	le
raconter	VER:infi	raconter
tu	PRO:cls	tu
me	PRO:clo	me
dis	VER:pres	dire
le	DET:def	le
titre	NOM	titre
.	NAM	<unknown>
Lucie	NAM	<unknown>
et	KON	et
Bruno	NAM	<unknown>
se	PRO:clo	se
déguisent	VER:pres	déguiser
.	NAM	<unknown>
voilà	FNO	voilà
Lucie	NAM	<unknown>
Lucie	NAM	<unknown>
.	NAM	<unknown>
Lucie	NAM	<unknown>
et	KON	et
Bruno	NAM	<unknown>
se	PRO:clo	se
déguisent	VER:pres	déguiser
.	NAM	<unknown>
voilà	FNO	voilà
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
.	ADJ	<unknown>
hein	INT	hein
.	NAM	<unknown>
tu	PRO:cls	tu
tournes	VER:pres	tourner
?	NAM	<unknown>
voilà	FNO	voilà
le	DET:def	le
Bruno	NOM	<unknown>
et	KON	et
et	KON	et
Lucie	NAM	<unknown>
Lucie	NAM	<unknown>
/il	MLT	<unknown>
ils/	MLT	<unknown>
/veut	MLT	<unknown>
vont/	MLT	<unknown>
se	PRO:clo	se
déguiser	VER:infi	déguiser
oui	FNO	oui
Bruno	NAM	<unknown>
il	PRO:cls	il
veut	VER:pres	vouloir
se	PRO:clo	se
déguiser	VER:infi	déguiser
Bruno	NOM	<unknown>
il	PRO:cls	il
veut	VER:pres	vouloir
se	PRO:clo	se
déguiser	VER:infi	déguiser
en	PRP	en
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
en	PRP	en
Papi	NOM	papi
en	PRP	en
Pa-	TRC	pa-
Bruno	NAM	<unknown>
il	PRO:cls	il
veut	VER:pres	vouloir
se	PRO:clo	se
déguiser	VER:infi	déguiser
en	PRP	en
Papi	NOM	papi
et	KON	et
puis	KON	puis
et	KON	et
puis	KON	puis
Lucie	NAM	<unknown>
elle	PRO:cls	elle
elle	PRO:cls	elle
veut	VER:pres	vouloir
se	PRO:clo	se
déguiser	VER:infi	déguiser
en	PRP	en
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
en	PRP	en
Tata	NOM	tata
en	PRP	en
Tata	NOM	tata
et	KON	et
puis	KON	puis
Lucie	NAM	<unknown>
met	VER:pres	mettre
le	DET:def	le
chapeau	NOM	chapeau
de	PRP	de
de	PRP	de
.	NAM	<unknown>
de	PRP	de
Tata	NOM	tata
de	PRP	de
Tata	NOM	tata
le	DET:def	le
chapeau	NOM	chapeau
de	PRP	de
Lucie	NOM	<unknown>
de	PRP	de
Tata	NOM	tata
cache	VER:pres	cacher
le	DET:def	le
nez	NOM	nez
de	PRP	de
Lucie	NAM	<unknown>
oui	FNO	oui
je	PRO:cls	je
tourne	VER:pres	tourner
.	NAM	<unknown>
oui	FNO	oui
tu	PRO:cls	tu
tournes	VER:pres	tourner
.	ADJ	<unknown>
et	KON	et
ça	PRO:ton	ça
.	NAM	<unknown>
Bruno	NAM	<unknown>
Bruno	NAM	<unknown>
Bruno	NAM	<unknown>
il	PRO:cls	il
cache	VER:pres	cacher
les	DET:def	le
les	DET:def	le
yeux	NOM	oeil
Bruno	NAM	<unknown>
a	AUX:pres	avoir
mis	VER:pper	mettre
la	DET:def	le
casquette	NOM	casquette
de	PRP	de
Papi	NOM	papi
il	PRO:clsi	il
se	PRO:clo	se
cache	VER:pres	cacher
les	DET:def	le
yeux	NOM	oeil
il	PRO:cls	il
et	KON	et
ca-	TRC	ca-
la	DET:def	le
casquette	NOM	casquette
cache	VER:pres	cacher
les	DET:def	le
yeux	NOM	oeil
de	PRP	de
Bruno	NAM	<unknown>
et	KON	et
puis	KON	puis
il	PRO:cls	il
a	AUX:pres	avoir
mis	VER:pper	mettre
les	DET:def	le
grandes	ADJ	grand
chaussures	NOM	chaussure
de	PRP	de
Tata	NOM	tata
Lucie	NAM	<unknown>
a	AUX:pres	avoir
mis	VER:pper	mettre
les	DET:def	le
chaussures	NOM	chaussure
de	PRP	de
dame	NOM	dame
de	PRP	de
Tata	NOM	tata
je	PRO:cls	je
tourne	VER:pres	tourner
.	NAM	<unknown>
oui	FNO	oui
et	KON	et
puis	KON	puis
et	KON	et
là	ADV	là
là	ADV	là
d'	PRP	un
abord	NOM	abord
hein	INT	hein
?	NAM	<unknown>
tu	PRO:cls	tu
racontes	VER:pres	raconter
cette	DET:dem	ce
page	NOM	page
là	ADV	là
d'	PRP	un
abord	NOM	abord
ben	INT	ben
Bruno	NAM	<unknown>
il	PRO:cls	il
a	AUX:pres	avoir
mis	VER:pper	mettre
les	DET:def	le
grandes	ADJ	grand
chaussures	NOM	chaussure
de	PRP	de
Pa-	TRC	pa-
Papi	NOM	papi
oui	FNO	oui
et	KON	et
il	PRO:cls	il
dit	VER:pres	dire
tu	PRO:cls	tu
te	PRO:clo	te
souviens	VER:pres	souvenir
de	PRP	de
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:cls	il
dit	VER:pres	dire
.	NAM	<unknown>
.	NAM	<unknown>
il	PRO:cls	il
dit	VER:pres	dire
moi	PRO:ton	moi
je	PRO:cls	je
suis	VER:pres	être
un	DET:ind	un
papi	NOM	papi
avec	PRP	avec
des	DET:ind	un
grosses	ADJ	gros
pattes	NOM	patte
d'	PRP	un
ours	NOM	ours
moi	PRO:ton	moi
je	PRO:cls	je
suis	VER:pres	être
un	DET:ind	un
papi	NOM	papi
avec	PRP	avec
des	DET:ind	un
grosses	ADJ	gros
pattes	NOM	patte
d'	PRP	un
ours	NOM	ours
oui	FNO	oui
la	DET:def	le
page	NOM	page
neuf	NUM	@card@
.	NOM	<unknown>
la	DET:def	le
page	NOM	page
six	NUM	@card@
tu	PRO:cls	tu
me	PRO:clo	me
racontes	VER:pres	raconter
la	DET:def	le
page	NOM	page
six	NUM	@card@
et	KON	et
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NAM	<unknown>
tu	PRO:cls	tu
veux	VER:pres	vouloir
que	KON	que
je	PRO:cls	je
te	PRO:clo	te
relise	VER:subp	relire
.	NAM	<unknown>
Lucie	NAM	<unknown>
est	AUX:pres	être
déguisée	VER:pper	déguiser
en	PRP	en
Tata	NOM	tata
Bruno	NAM	<unknown>
est	AUX:pres	être
déguisé	VER:pper	déguiser
en	PRP	en
Papi	NOM	papi
ils	PRO:cls	il
se	PRO:clo	se
regardent	VER:pres	regarder
dans	PRP	dans
la	DET:def	le
glace	NOM	glace
bonjour	FNO	bonjour
Bruno-Papi	NAM	<unknown>
bonjour	FNO	bonjour
Lucie-Tata	NAM	<unknown>
bonjour	FNO	bonjour
Bruno-Papi	NAM	<unknown>
bonjour	FNO	bonjour
Mad-	TRC	<unknown>
Madame	NOM	Madame
Tata	NOM	tata
Lucie-Tata	NAM	<unknown>
Lucie-Tata	NAM	<unknown>
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
voilà	FNO	voilà
on	PRO:cls	on
a	AUX:pres	avoir
fini	VER:pper	finir
on	PRO:cls	on
a	AUX:pres	avoir
fini	VER:pper	finir
on	PRO:cls	on
a	AUX:pres	avoir
fini	VER:pper	finir
maintenant	ADV	maintenant
on	PRO:cls	on
va	VER:pres	aller
relire	VER:infi	relire
.	NAM	<unknown>
non	FNO	non
.	NAM	<unknown>
non	FNO	non
non	FNO	non
on	PRO:cls	on
arrête	VER:pres	arrêter
oui	FNO	oui
hein	INT	hein
.	NAM	<unknown>
