corpus	NOM	corpus
numéro	NOM	numéro
quatre	NUM	@card@
Lucie	NOM	<unknown>
allez	INT	allez
on	PRO:cls	on
enregistre	VER:pres	enregistrer
alors	ADV	alors
attends	VER:impe	attendre
je	PRO:cls	je
regarde	VER:pres	regarder
si	KON	si
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
ouais	FNO	ouais
xxx	NOM	<unknown>
allez	INT	allez
à	PRP	à
toi	PRO:ton	toi
on	PRO:cls	on
commence	VER:pres	commencer
Nicolas	NAM	<unknown>
regarde	VER:impe	regarder
par	PRP	par
la	DET:def	le
fenêtre	NOM	fenêtre
si	KON	si
.	NAM	<unknown>
copain	NOM	copain
Karim	NAM	<unknown>
est	AUX:pres	être
rentré	VER:pper	rentrer
de	PRP	de
l'	DET:def	le
école	NOM	école
oui	FNO	oui
Nicolas	NAM	<unknown>
regarde	VER:impe	regarder
par	PRP	par
la	DET:def	le
fenêtre	NOM	fenêtre
pour	PRP	pour
voir	VER:infi	voir
si	KON	si
son	DET:pos	son
copain	NOM	copain
est	AUX:pres	être
rentré	VER:pper	rentrer
de	PRP	de
l'	DET:def	le
école	NOM	école
quand	KON	quand
Karim	NAM	<unknown>
arrive	VER:pres	arriver
dans	PRP	dans
la	DET:def	le
cour	NOM	cour
Nicolas	ADJ	<unknown>
dit	VER:pper	dire
euh	INT	euh
crie	VER:pres	crier
eh	INT	eh
Karim	NAM	<unknown>
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
mon	DET:pos	mon
chat	NOM	chat
.	NAM	<unknown>
Karim	NAM	<unknown>
répond	VER:pres	répondre
non	FNO	non
alors	ADV	alors
Karim	NAM	<unknown>
demande	NOM	demande
à	PRP	à
Augustin	NOM	augustin
et	KON	et
à	PRP	à
Anaïs	NAM	<unknown>
si	KON	si
ils	PRO:cls	il
ont	AUX:pres	avoir
vu	VER:pper	voir
le	DET:def	le
chat	NOM	chat
de	PRP	de
Nicolas	NAM	<unknown>
Karim	NAM	<unknown>
et	KON	et
Karim	NAM	<unknown>
et	KON	et
Anaïs	NAM	<unknown>
Augustin	ADJ	augustin
et	KON	et
-naïs	NAM	<unknown>
Anaïs	NAM	<unknown>
crient	VER:pres	crier
de	PRP	de
toutes	DET:pre	tout
leurs	DET:pos	leur
forces	NOM	force
qu'	KON	que
ils	PRO:cls	il
n'	ADV	ne
ont	AUX:pres	avoir
pas	ADV	pas
vu	VER:pper	voir
le	DET:def	le
chat	NOM	chat
de	PRP	de
Nicolas	NAM	<unknown>
oui	FNO	oui
Augustin	ADJ	augustin
et	KON	et
Anaïs	NAM	<unknown>
crient	VER:pres	crier
très	ADV	très
fort	ADJ	fort
