pro&MASC	un
pro:rel	qui
pro:refl	se
v	poser
adv	plein
prep:art	de
n	question
PCT	.
co	ah
PCT	.
adv:yn	oui
PCT	.
co	hein
PCT	?
pro:subj&FEM	elle
v	commencer
prep	par
PCT	.
pro:refl	se
v-INF	poser
det&PL	des
n	question
prep	sur
det&PL	les
n	nom
PCT	.
prep:art	au
n	début
PCT	.
det&PL	les
n	prénom
co	hein
PCT	?
PCT	.
?	est–ce
conj	que
pro:subj	vous
PCT	.
pro:subj	vous
v	connaître
det&PL	des
PCT	.
pro:subj	vous
v:exist	être
adv:neg	plus
adj	petit
co	hein
PCT	?
adv	encore
num	deux
adj	petit
n	fille
PCT	.
pro:int	qui
v:poss	avoir
det&MASC&SING	le
adj	même
n	prénom
conj	que
pro:subj	vous
PCT	?
adv:yn	oui
PCT	.
adv:yn	oui
PCT	?
pro:subj	tu
pro:y	en
v	connaître
det&FEM&SING	une
pro&SING	toi
PCT	?
pro:subj	je
v:exist&IMPF	être
prep:art	au
n	centre
v-PP	aérer
det:dem&SING	cet
n	hiver
PCT	.
adv:yn	ouais
PCT	.
conj	et
v:exist	il+y+a
det&FEM&SING	une
n	fille
PCT	.
pro:subj&FEM	elle
v:exist	être
adv	ben
?	e–
pro:subj&FEM	elle
v:exist	être
PCT	.
pro:subj&FEM	elle
v:exist&IMPF	être
adv	plus
adj	grand
conj	que
pro&SING	moi
PCT	.
pro:subj&FEM	elle
v:poss&IMPF	avoir
adj:num	treize
n	an
PCT	.
pro:subj	je
v	croire
PCT	.
conj	et
pro:subj&FEM	elle
pro:refl	se
v-IMPF	appeler
n:prop	Roxanne
adv	aussi
PCT	.
conj	et
pro&SING	toi
pro:subj	tu
v	connaître
pro	quelqu'un
PCT	.
pro:int	qui
pro:refl	se
v	appeler
prep	comme
pro&SING	toi
PCT	?
adv:yn	non
PCT	.
n	personne
PCT	?
adv:yn	oui
PCT	.
conj	et
pro:subj	tu
v	croire
conj	que
prep	dans
det&MASC&SING	le
n	monde
PCT	.
v:exist	il+y+a
det&FEM&SING	une
adj	petit
n	fille
PCT	.
pro:int	qui
v:mdl	pouvoir
pro:refl	se
v-INF	appeler
prep	comme
pro&SING	toi
PCT	?
adv:yn	oui
PCT	.
adv:yn	oui
PCT	?
conj	et
?	est–ce
conj	que
v:exist&COND	être
det&FEM&SING	la
PCT	.
conj	et
?	est–ce
conj	que
det:dem&MASC&SING	ce
v:exist&COND	être
PCT	.
det&FEM&SING	la
pro	même
det&FEM&SING	la
det&FEM&SING	la
adj	même
n	personne
conj	que
pro&SING	toi
PCT	?
adv:yn	non
PCT	.
adv:int	pourquoi
PCT	?
co	euh
pro:subj&FEM	elle
v:aux&COND	avoir
adv:neg	pas
PCT	.
det&FEM&SING	la
adj	même
n	chose
prep	à
v-INF	dire
conj	que
pro&SING	moi
PCT	.
pro:subj&FEM	elle
v:exist&COND	être
adj	différent
PCT	.
adv:yn	ouais
PCT	.
conj	et
co	euh
pro:subj	on
v:exist&COND	être
adj	différent
PCT	.
pro:subj	on
v:poss&COND	avoir
adv:neg	pas
det&PL	les
adj-MASC	même^adj|même
n	goût
PCT	.
adv:yn	ouais
adv	exactement
PCT	.
pro:subj	vous
adv:neg	ne
v:aux&COND	avoir
adv:neg	pas
det&PL	les
adj-MASC	même^adj|même
n	goût
PCT	.
conj	et
pro&SING	toi
conj	si
pro:subj	tu
pro:refl	te
v-IMPF	appeler
adv	autrement
PCT	?
co	hum
PCT	.
?	est–ce
conj	que
pro:subj	tu
v:exist&COND	être
PCT	.
adv	toujours
pro&SING	toi
PCT	?
PCT	.
adv:yn	non
PCT	.
adv:yn	non
PCT	?
PCT	.
pro:subj	tu
v:mdl-COND	faire
adv:int	comment
adv	alors
PCT	?
pro:rel	qu'
?	est–ce
pro:rel	qui
v:exist&COND	être
adj	différent
PCT	?
PCT	.
co	ben
PCT	.
conj	et
?	***
pro:subj	je
pro:refl	me
?	appelerais
PCT	.
adv:yn	oui
PCT	.
conj	et
prep	à
n	part
pro:dem	ça
PCT	?
PCT	.
conj	et
PCT	.
conj	et
pro&SING	toi
pro:subj	tu
pro:y	en
v	penser
pro:int	quoi
PCT	?
co	ben
adv:yn	non
pro:subj	on
v:exist&COND	être
PCT	.
adv:neg	pas
adj	différent
PCT	.
pro:subj	on
v:exist&COND	être
adv	toujours
det&FEM&SING	la
pro	même
PCT	.
adv:yn	oui
pro:dem	ça
v:exist&COND	être
adj	juste
PCT	.
det&MASC&SING	le
det&MASC&SING	le
det&MASC&SING	le
n	nom
pro:rel	qui
v-COND	changer
PCT	?
adv:yn	oui
PCT	.
adv:yn	oui
PCT	.
adv:yn	ouais
PCT	?
pro:subj	tu
v:exist	être
adv	d'accord
PCT	.
prep	avec
pro:int	ce+que
PCT	.
pro:int	ce+que
pro:subj&FEM	elle
v:mdllex	venir
prep	de
v-INF	dire
PCT	?
co	hum
PCT	.
adv:yn	ouais
PCT	?
adv:yn	ouais
PCT	?
conj	et
prep	à
pro:int	qui
pro:subj	on
v	donner
det&PL	des
n	nom
PCT	?
PCT	.
