voilà	FNO	voilà
c'	PRO:cls	ce
est	AUX:pres	être
parti	VER:pper	partir
alors	ADV	alors
c'	PRO:cls	ce
est	VER:pres	être
l'	DET:def	le
histoire	NOM	histoire
c'	PRO:cls	ce
est	VER:pres	être
Elfie	NOM	<unknown>
qui	PRO:rel	qui
parle	VER:pres	parler
et	KON	et
Elfie	NAM	<unknown>
elle	PRO:cls	elle
commence	VER:pres	commencer
par	PRP	par
dire	VER:infi	dire
qu'	KON	que
elle	PRO:ton	elle
qu'	KON	que
elle	PRO:cls	elle
n'	ADV	ne
ose	VER:pres	oser
pas	ADV	pas
poser	VER:infi	poser
de	PRP	de
question	NOM	question
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
vous	PRO:cls	vous
pensez	VER:pres	penser
de	PRP	de
ça	PRO:ton	ça
.	NAM	<unknown>
vous	PRO:cls	vous
osez	VER:pres	oser
poser	VER:infi	poser
des	DET:ind	un
questions	NOM	question
vous	PRO:cls	vous
.	VER:cond	<unknown>
oui	FNO	oui
oui	FNO	oui
.	NAM	<unknown>
moi	PRO:ton	moi
je	PRO:cls	je
pose	VER:pres	poser
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
des	PRP:det	du
questions	NOM	question
et	KON	et
toi	PRO:ton	toi
.	VER:futu	<unknown>
un	DET:ind	un
peu	NOM	peu
un	DET:ind	un
peu	NOM	peu
?	NAM	<unknown>
et	KON	et
à	PRP	à
parfois	ADV	parfois
tu	PRO:cls	tu
n'	ADV	ne
oses	VER:pres	oser
pas	ADV	pas
poser	VER:infi	poser
des	DET:ind	un
questions	NOM	question
.	NAM	<unknown>
je	PRO:cls	je
sais	VER:pres	savoir
plus	ADV	plus
tu	PRO:cls	tu
sais	VER:pres	savoir
plus	ADV	plus
?	NOM:sig	<unknown>
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
tu	PRO:cls	tu
poses	VER:pres	poser
des	DET:ind	un
questions	NOM	question
à	PRP	à
tout	DET:pre	tout
le	DET:def	le
monde	NOM	monde
.	NAM	<unknown>
oui	FNO	oui
et	KON	et
à	PRP	à
p-	TRC	p-
tu	PRO:cls	tu
oses	VER:pres	oser
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
.	NAM	<unknown>
oui	FNO	oui
et	KON	et
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
jamais	ADV	jamais
des	DET:ind	un
questions	NOM	question
que	KON	que
tu	PRO:cls	tu
n'	ADV	ne
oses	VER:pres	oser
pas	ADV	pas
poser	VER:infi	poser
.	NAM	<unknown>
si	KON	si
des	DET:ind	un
fois	NOM	fois
ah	INT	ah
alors	ADV	alors
le	DET:def	le
quel	DET:int	quel
genre	NOM	genre
.	NAM	<unknown>
xxx	NOM	<unknown>
genre	NOM	genre
euh	INT	euh
hum	FNO	hum
je	PRO:cls	je
me	PRO:clo	me
rappelle	VER:pres	rappeler
plus	ADV	plus
tu	PRO:cls	tu
te	PRO:clo	te
rappelles	VER:pres	rappeler
plus	ADV	plus
.	NOM:sig	<unknown>
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
tellement	ADV	tellement
longtemps	ADV	longtemps
que	KON	que
je	PRO:cls	je
me	PRO:clo	me
rappelle	VER:pres	rappeler
plus	ADV	plus
tu	PRO:cls	tu
te	PRO:clo	te
rappelles	VER:pres	rappeler
plus	ADV	plus
et	KON	et
toi	PRO:ton	toi
?	NAM	<unknown>
-moi	PRO:clo	moi
dis	VER:pres	dire
xxx	NOM	<unknown>
parfois	ADV	parfois
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
questions	NOM	question
que	KON	que
tu	PRO:cls	tu
n'	ADV	ne
oses	VER:pres	oser
pas	ADV	pas
poser	VER:infi	poser
.	NAM	<unknown>
si	KON	si
si	KON	si
?	NAM	<unknown>
tu	PRO:cls	tu
as	VER:pres	avoir
tu	PRO:cls	tu
peux	VER:pres	pouvoir
poser	VER:infi	poser
toutes	DET:pre	tout
les	DET:def	le
questions	NOM	question
à	PRP	à
tout	DET:pre	tout
le	DET:def	le
monde	NOM	monde
.	NAM	<unknown>
hum	FNO	hum
ben	INT	ben
oui	FNO	oui
oui	FNO	oui
?	NAM	<unknown>
d'	PRP	un
accord	NOM	accord
donc	ADV	donc
vous	PRO:cls	vous
êtes	VER:pres	être
pas	ADV	pas
comme	KON	comme
Elfie	VER:impe	<unknown>
vous	PRO:clo	vous
.	NAM	<unknown>
non	FNO	non
non	FNO	non
non	FNO	non
Elfie	VER:impe	<unknown>
elle	PRO:cls	elle
est	VER:pres	être
comment	PRO:int	comment
vous	PRO:cls	vous
diriez	VER:cond	dire
qu'	KON	que
elle	PRO:cls	elle
est	VER:pres	être
.	NOM:sig	<unknown>
timide	ADJ	timide
oui	FNO	oui
hein	INT	hein
?	NAM	<unknown>
on	PRO:cls	on
peut	VER:pres	pouvoir
dire	VER:infi	dire
qu'	KON	que
elle	PRO:cls	elle
est	VER:pres	être
timide	ADJ	timide
.	NAM	<unknown>
ouais	FNO	ouais
oui	FNO	oui
?	NAM	<unknown>
elle	PRO:cls	elle
est	VER:pres	être
timide	ADJ	timide
et	KON	et
puis	KON	puis
là	ADV	là
elle	PRO:cls	elle
pense	VER:pres	penser
que	KON	que
.	NAM	<unknown>
que	KON	que
euh	INT	euh
si	KON	si
elle	PRO:cls	elle
pose	VER:pres	poser
des	DET:ind	un
questions	NOM	question
les	DET:def	le
gens	NOM	gens
vont	VER:pres	aller
penser	VER:infi	penser
qu'	KON	que
elle	PRO:cls	elle
ne	ADV	ne
sait	VER:pres	savoir
rien	PRO:ind	rien
hum	FNO	hum
alors	ADV	alors
toi	PRO:ton	toi
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
ton	DET:pos	ton
cas	NOM	cas
toi	PRO:ton	toi
.	NAM	<unknown>
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
mon	DET:pos	mon
cas	NOM	cas
non	FNO	non
quand	KON	quand
on	PRO:cls	on
pose	VER:pres	poser
des	DET:ind	un
questions	NOM	question
c'	PRO:cls	ce
est	VER:pres	être
parce	TRC	parce
qu'	KON	que
on	PRO:cls	on
ne	ADV	ne
sait	VER:pres	savoir
rien	PRO:ind	rien
.	NOM:sig	<unknown>
euh	INT	euh
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
qu'	KON	que
on	PRO:cls	on
sait	VER:pres	savoir
pas	ADV	pas
mais	KON	mais
on	PRO:cls	on
va	VER:pres	aller
apprendre	VER:infi	apprendre
des	DET:ind	un
nouvelles	ADJ	nouveau
choses	NOM	chose
ouais	FNO	ouais
tu	PRO:cls	tu
es	VER:pres	être
d'	PRP	un
accord	NOM	accord
.	NAM	<unknown>
ouais	FNO	ouais
ouais	FNO	ouais
?	NOM:sig	<unknown>
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
vous	PRO:cls	vous
posez	VER:pres	poser
des	DET:ind	un
questions	NOM	question
en	PRP	en
classe	NOM	classe
alors	ADV	alors
.	VER:simp	<unknown>
euh	INT	euh
oui	FNO	oui
et	KON	et
puis	KON	puis
à	PRP	à
qui	PRO:rel	qui
encore	ADV	encore
.	VER:simp	<unknown>
euh	INT	euh
à	PRP	à
ma	DET:pos	mon
mère	NOM	mère
à	PRP	à
mon	DET:pos	mon
père	NOM	père
à	PRP	à
mon	DET:pos	mon
cousin	NOM	cousin
à	PRP	à
ma	DET:pos	mon
cousine	NOM	cousine
oui	FNO	oui
et	KON	et
toi	PRO:ton	toi
.	NAM	<unknown>
et	KON	et
ben	INT	ben
euh	INT	euh
à	PRP	à
mon	DET:pos	mon
père	NOM	père
à	PRP	à
ma	DET:pos	mon
oui	FNO	oui
soeur	NOM	soeur
à	PRP	à
mon	DET:pos	mon
frère	NOM	frère
oui	FNO	oui
/àet/	MLT	<unknown>
ma	DET:pos	mon
mère	NOM	mère
oui	FNO	oui
à	PRP	à
ma	DET:pos	mon
cousine	NOM	cousine
à	PRP	à
ma	DET:pos	mon
cousine	NOM	cousine
ah	INT	ah
ben	INT	ben
ça	PRO:cls	ça
fait	VER:pres	faire
plein	ADV	plein
de	PRP	de
gens	NOM	gens
à	PRP	à
qui	PRO:rel	qui
tu	PRO:cls	tu
peux	VER:pres	pouvoir
poser	VER:infi	poser
des	DET:ind	un
questions	NOM	question
.	NAM	<unknown>
et	KON	et
à	PRP	à
mon	DET:pos	mon
papi	NOM	papi
et	KON	et
à	PRP	à
ton	DET:pos	ton
papi	NOM	papi
et	KON	et
tu	PRO:cls	tu
en	PRO:clo	en
poses	VER:pres	poser
souvent	ADV	souvent
des	DET:ind	un
questions	NOM	question
.	NOM:sig	<unknown>
des	DET:ind	un
fois	NOM	fois
euh	INT	euh
moi	PRO:ton	moi
je	PRO:cls	je
peux	VER:pres	pouvoir
plus	ADV	plus
à	PRP	à
mon	DET:pos	mon
papi	NOM	papi
ni	KON	ni
à	PRP	à
ma	DET:pos	mon
pourquoi	PRO:int	pourquoi
.	NAM	<unknown>
mamie	NOM	mamie
ils	PRO:cls	il
sont	VER:pres	être
plus	ADV	plus
là	ADV	là
ils	PRO:cls	il
sont	AUX:pres	être
morts	VER:pper	mourir
?	NAM	<unknown>
ouais	FNO	ouais
mon	DET:pos	mon
papi	NOM	papi
ça	PRO:cls	ça
fait	VER:pres	faire
pas	ADV	pas
longtemps	ADV	longtemps
qu'	KON	que
il	PRO:cls	il
est	AUX:pres	être
mort	VER:pper	mourir
ah	INT	ah
bon	INT	bon
.	NAM	<unknown>
hum	FNO	hum
et	KON	et
avant	ADV	avant
tu	PRO:cls	tu
lui	PRO:clo	lui
posais	VER:impf	poser
des	DET:ind	un
questions	NOM	question
.	NAM	<unknown>
oui	FNO	oui
des	DET:ind	un
fois	NOM	fois
quand	KON	quand
il	PRO:clsi	il
se	PRO:clo	se
rappelait	VER:impf	rappeler
parce	TRC	parce
qu'	KON	que
il	PRO:cls	il
avait	VER:impf	avoir
une	DET:ind	un
maladie	NOM	maladie
ouais	FNO	ouais
donc	ADV	donc
il	PRO:clsi	il
se	PRO:clo	se
rappelait	VER:impf	rappeler
plus	ADV	plus
de	PRP	de
tout	PRO:ind	tout
.	NOM:sig	<unknown>
ouais	FNO	ouais
ouais	FNO	ouais
alors	ADV	alors
Elfie	NOM	<unknown>
/doncbon/	MLT	<unknown>
elle	PRO:cls	elle
ose	VER:pres	oser
pas	ADV	pas
poser	VER:infi	poser
de	PRP	de
question	NOM	question
et	KON	et
elle	PRO:cls	elle
dit	VER:pres	dire
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
son	DET:pos	son
secret	NOM	secret
vous	PRO:cls	vous
avez	VER:pres	avoir
des	DET:ind	un
secrets	ADJ	secret
.	NOM:sig	<unknown>
/ouiouh/	MLT	<unknown>
moi	PRO:ton	moi
j'	PRO:cls	je
en	PRO:clo	en
ai	VER:pres	avoir
euh	INT	euh
trois	NUM	@card@
wouah	INT	wouah
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
et	KON	et
moi	PRO:ton	moi
j'	PRO:cls	je
en	PRO:clo	en
n'	ADV	ne
ai	VER:pres	avoir
pas	ADV	pas
tu	PRO:cls	tu
en	PRO:clo	en
n'	ADV	ne
as	VER:pres	avoir
pas	ADV	pas
?	NOM:sig	<unknown>
tu	PRO:cls	tu
en	PRO:clo	en
n'	ADV	ne
as	AUX:pres	avoir
jamais	ADV	jamais
eu	VER:pper	avoir
.	NAM	<unknown>
non	FNO	non
non	FNO	non
?	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
un	DET:ind	un
secret	ADJ	secret
.	NOM	<unknown>
je	PRO:cls	je
sais	VER:pres	savoir
c'	PRO:cls	ce
est	VER:pres	être
oui	FNO	oui
quand	KON	quand
euh	INT	euh
c-	TRC	c-
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
chose	NOM	chose
que	KON	que
tu	PRO:cls	tu
veux	VER:pres	vouloir
pas	ADV	pas
dire	VER:infi	dire
à	PRP	à
quelqu'un	PRO:ind	quelqu'un
d'	PRP	un
accord	NOM	accord
tu	PRO:cls	tu
es	VER:pres	être
d'	PRP	un
accord	NOM	accord
avec	PRP	avec
cette	DET:dem	ce
définition	NOM	définition
.	NAM	<unknown>
ouais	FNO	ouais
ouais	FNO	ouais
donc	ADV	donc
tu	PRO:cls	tu
en	PRO:clo	en
n'	ADV	ne
as	AUX:pres	avoir
jamais	ADV	jamais
eu	VER:pper	avoir
toi	PRO:ton	toi
des	DET:ind	un
secrets	ADJ	secret
.	NOM	<unknown>
xxx	NOM	<unknown>
non	FNO	non
jamais	ADV	jamais
?	NAM	<unknown>
alors	ADV	alors
tu	PRO:cls	tu
le	PRO:clo	le
dis	VER:pres	dire
à	PRP	à
personne	PRO:ind	personne
.	NOM:sig	<unknown>
non	FNO	non
je	PRO:cls	je
le	PRO:clo	le
dis	VER:pres	dire
à	PRP	à
personne	NOM	personne
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
juste	ADV	juste
pour	PRP	pour
toi	PRO:ton	toi
.	NAM	<unknown>
hum	FNO	hum
et	KON	et
parfois	ADV	parfois
un	DET:ind	un
secret	NOM	secret
on	PRO:cls	on
le	PRO:clo	le
dit	VER:pres	dire
à	PRP	à
qui	PRO:rel	qui
.	NAM	<unknown>
ben	INT	ben
à	PRP	à
la	DET:def	le
plupart	NOM	<unknown>
du	PRP:det	du
temps	NOM	temps
moi	PRO:ton	moi
je	PRO:cls	je
le	PRO:clo	le
dis	VER:pres	dire
à	PRP	à
mes	DET:pos	mon
parents	NOM	parent
et	KON	et
ou	KON	ou
ou	KON	ou
à	PRP	à
mon	DET:pos	mon
cousin	NOM	cousin
ah	INT	ah
moi	PRO:ton	moi
mes	DET:pos	mon
cousins	NOM	cousin
j'	PRO:cls	je
en	PRO:clo	en
ai	VER:pres	avoir
deux	NUM	@card@
donc	ADV	donc
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
que	KON	que
quelque	ADJ	<unknown>
chose	NOM	chose
que	KON	que
tu	PRO:cls	tu
gardes	VER:pres	garder
que	KON	que
pour	PRP	pour
toi	PRO:ton	toi
.	NAM	<unknown>
non	FNO	non
des	DET:ind	un
fois	NOM	fois
je	PRO:cls	je
leur	PRO:clo	lui
dis	VER:pres	dire
mais	KON	mais
des	DET:ind	un
fois	NOM	fois
je	PRO:cls	je
leur	PRO:clo	lui
dis	VER:pres	dire
pas	ADV	pas
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
tu	PRO:cls	tu
gardes	VER:pres	garder
des	DET:ind	un
fois	NOM	fois
des	PRP:det	du
choses	NOM	chose
pour	PRP	pour
toi	PRO:ton	toi
.	NAM	<unknown>
oui	FNO	oui
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
difficile	ADJ	difficile
de	PRP	de
de	PRP	de
garder	VER:infi	garder
un	DET:ind	un
secret	NOM	secret
comme	KON	comme
ça	PRO:cls	ça
.	VER:cond	<unknown>
si	KON	si
si	KON	si
si	KON	si
.	NAM	<unknown>
moi	PRO:ton	moi
j-	TRC	j-
j-	TRC	j-
j'	PRO:cls	je
ai	VER:pres	avoir
du	DET:par	du
mal	NOM	mal
de	PRP	de
garder	VER:infi	garder
le	DET:def	le
secret	ADJ	secret
parce	TRC	parce
que	KON	que
ma	DET:pos	mon
maman	NOM	maman
elle	PRO:cls	elle
a	AUX:pres	avoir
acheté	VER:pper	acheter
pour	PRP	pour
la	DET:def	le
fête	NOM	fête
des	PRP:det	du
pères	NOM	père
elle	PRO:cls	elle
a	AUX:pres	avoir
acheté	VER:pper	acheter
une	DET:ind	un
un	DET:ind	un
coupe-broche	NOM	<unknown>
électrique	ADJ	électrique
oui	FNO	oui
et	KON	et
j'	PRO:cls	je
ai	VER:pres	avoir
j'	PRO:cls	je
ai	VER:pres	avoir
du	DET:par	du
mal	NOM	mal
à	PRP	à
tenir	VER:infi	tenir
la	DET:def	le
mèche	NOM	mèche
mais	KON	mais
des	DET:ind	un
fois	NOM	fois
je	PRO:cls	je
la	PRO:clo	le
tiens	VER:pres	tenir
pas	ADV	pas
je	PRO:cls	je
dis	VER:pres	dire
ah	INT	ah
non	FNO	non
là	ADV	là
il	PRO:cls	il
faut	VER:pres	falloir
pas	ADV	pas
que	KON	que
tu	PRO:cls	tu
le	PRO:clo	le
dises	VER:subp	dire
à	PRP	à
