bon	INT	bon
alors	ADV	alors
du	PRP:det	du
coup	NOM	coup
on	PRO:cls	on
fait	VER:pres	faire
quoi	INT	quoi
alors	ADV	alors
soit	KON	soit
j'	PRO:cls	je
appelle	VER:pres	appeler
ma	DET:pos	mon
mère	NOM	mère
je	PRO:cls	je
lui	PRO:clo	lui
demande	VER:pres	demander
si	KON	si
elle	PRO:cls	elle
veut	VER:pres	vouloir
bien	ADV	bien
signer	VER:infi	signer
ouais	FNO	ouais
et	KON	et
elle	PRO:cls	elle
me	PRO:clo	me
dira	VER:futu	dire
oui	FNO	oui
de	PRP	de
toute	DET:ind	tout
façon	NOM	façon
et	KON	et
après	ADV	après
on	PRO:cls	on
va	VER:pres	aller
les	PRO:clo	le
voir	VER:infi	voir
on	PRO:cls	on
leur	PRO:clo	lui
dit	VER:pres	dire
que	KON	que
euh	INT	euh
elle	PRO:cls	elle
est	VER:pres	être
d'	PRP	un
accord	NOM	accord
parce	TRC	parce
qu'	KON	que
elle	PRO:cls	elle
veut	VER:pres	vouloir
pas	ADV	pas
s'	PRO:clo	se
embarasser	VER:infi	<unknown>
avec	PRP	avec
le	DET:def	le
les	DET:def	le
histoires	NOM	histoire
du	PRP:det	du
rectorat	NOM	rectorat
et	KON	et
tout	PRO:ind	tout
et	KON	et
si	KON	si
on	PRO:cls	on
se	PRO:clo	se
fait	VER:pres	faire
chopper	VER:infi	chopper
mais	KON	mais
par	PRP	par
qui	PRO:int	qui
comment	PRO:int	comment
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
moi	PRO:ton	moi
j'	PRO:cls	je
ai	VER:pres	avoir
vraiment	ADV	vraiment
peur	NOM	peur
honnêtement	ADV	honnêtement
je	PRO:cls	je
te	PRO:clo	te
jure	VER:pres	jurer
j'	PRO:cls	je
ai	VER:pres	avoir
vraiment	ADV	vraiment
peur	NOM	peur
pour	PRP	pour
l'	DET:def	le
année	NOM	année
prochaine	ADJ	prochain
que	KON	que
si	KON	si
euh	INT	euh
s'	KON	si
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
un	DET:ind	un
truc	NOM	truc
à	PRP	à
rendre	VER:infi	rendre
là-dessus	ADV	là-dessus
je	PRO:cls	je
veux	VER:pres	vouloir
dire	VER:infi	dire
on	PRO:cls	on
présente	VER:pres	présenter
quoi	INT	quoi
mais	KON	mais
hum	FNO	hum
je	PRO:cls	je
te	PRO:clo	te
dis	VER:pres	dire
de	PRP	de
toute	DET:ind	tout
façon	NOM	façon
qu'	KON	que
on	PRO:cls	on
le	PRO:clo	le
fasse	VER:subp	faire
ou	KON	ou
qu'	KON	que
on	PRO:cls	on
le	PRO:clo	le
fasse	VER:subp	faire
pas	ADV	pas
après	ADV	après
le	DET:def	le
concours	NOM	concours
on	PRO:cls	on
se	PRO:clo	se
pose	VER:pres	poser
une	DET:ind	un
après-midi	NOM	après-midi
et	KON	et
on	PRO:cls	on
fait	VER:pres	faire
un	DET:ind	un
truc	NOM	truc
on	PRO:cls	on
fait	VER:pres	faire
un	DET:ind	un
truc	NOM	truc
bidon	NOM	bidon
ouais	FNO	ouais
on	PRO:cls	on
fait	VER:pres	faire
un	DET:ind	un
truc	NOM	truc
tu	PRO:cls	tu
crois	VER:pres	croire
de	PRP	de
toute	DET:ind	tout
façon	NOM	façon
je	PRO:cls	je
demanderai	VER:futu	demander
à	PRP	à
ma	DET:pos	mon
mère	NOM	mère
comment	PRO:int	comment
ils	PRO:cls	il
sont	VER:pres	être
ses	DET:pos	son
élèves	NOM	élève
quels	PRO:int	quel
sont	VER:pres	être
les	DET:def	le
problèmes	NOM	problème
de	PRP	de
tel	DET:dem	tel
type	NOM	type
d'	PRP	un
élève	NOM	élève
tel	DET:dem	tel
type	NOM	type
d'	PRP	un
élève	NOM	élève
tu	PRO:cls	tu
te	PRO:clo	te
renseignes	VER:pres	renseigner
auprès	ADV	auprès
de	PRP	de
tout	PRO:ind	tout
oui	FNO	oui
mais	KON	mais
si	KON	si
ils	PRO:cls	il
demandent	VER:pres	demander
par	PRP	par
exemple	NOM	exemple
imagine	VER:impe	imaginer
que	KON	que
l'	DET:def	le
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
appelle	VER:pres	appeler
et	KON	et
dise	VER:subp	dire
oui	FNO	oui
euh	INT	euh
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
vos	DET:pos	votre
deux	NUM	@card@
tu	PRO:cls	tu
sais	VER:pres	savoir
ils	PRO:cls	il
appellent	VER:pres	appeler
le	DET:def	le
directeur	NOM	directeur
imagine	VER:pres	imaginer
parce	TRC	parce
qu'	KON	que
ils	PRO:cls	il
ont	VER:pres	avoir
le	DET:def	le
numéro	NOM	numéro
de	PRP	de
l'	DET:def	le
école	NOM	école
non	FNO	non
ils	PRO:cls	il
ont	VER:pres	avoir
le	DET:def	le
numéro	NOM	numéro
de	PRP	de
ma	DET:pos	mon
mère	NOM	mère
oui	FNO	oui
mais	KON	mais
ils	PRO:cls	il
auront	VER:futu	avoir
le	DET:def	le
numéro	NOM	numéro
de	PRP	de
l'	DET:def	le
école	NOM	école
par	PRP	par
la	DET:def	le
convention	NOM	convention
logiquement	ADV	logiquement
t'	PRO:clo	te
es	VER:pres	être
censé	ADJ	censé
mettre	VER:infi	mettre
euh	INT	euh
l'	DET:def	le
adresse	NOM	adresse
de	PRP	de
l'	DET:def	le
école	NOM	école
les	DET:def	le
numéros	NOM	numéro
de	PRP	de
l'	DET:def	le
école	NOM	école
et	KON	et
tout	PRO:ind	tout
hein	INT	hein
dans	PRP	dans
dans	PRP	dans
les	DET:def	le
dans	PRP	dans
les	DET:def	le
vraies	ADJ	vrai
conventions	NOM	convention
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
si	KON	si
tu	PRO:cls	tu
te	PRO:clo	te
souviens	VER:pres	souvenir
hein	INT	hein
ouais	FNO	ouais
ouais	FNO	ouais
qu'	KON	que
on	PRO:cls	on
xxx	NOM	<unknown>
et	KON	et
attends	VER:impe	attendre
normalement	ADV	normalement
il	PRO:clsi	il
nous	PRO:clo	nous
avait	AUX:impf	avoir
dit	VER:pper	dire
deux	NUM	@card@
jours	NOM	jour
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
pas	ADV	pas
de	PRP	de
convention	NOM	convention
moi	PRO:ton	moi
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
ça	PRO:ton	ça
que	KON	que
je	PRO:cls	je
me	PRO:clo	me
suis	AUX:pres	être
pas	ADV	pas
