voilà	FNO	voilà
donc	ADV	donc
l'	DET:def	le
été	NOM	été
lorsque	KON	lorsque
le	DET:def	le
soleil	NOM	soleil
brille	VER:pres	briller
très	ADV	très
fort	ADJ	fort
lorsque	KON	lorsque
la	DET:def	le
campagne	NOM	campagne
est	VER:pres	être
de	PRP	de
toutes	DET:pre	tout
les	DET:def	le
couleurs	NOM	couleur
xxx	NOM	<unknown>
un	DET:ind	un
petit	ADJ	petit
chien	NOM	chien
ici	ADV	ici
ouais	FNO	ouais
lorsque	KON	lorsque
les	DET:def	le
fruits	NOM	fruit
sont	VER:pres	être
trop	ADV	trop
mûrs	ADJ	mûr
et	KON	et
que	KON	que
les	DET:def	le
boutiques	NOM	boutique
ferment	NOM	ferment
quand	KON	quand
tout	DET:pre	tout
le	DET:def	le
monde	NOM	monde
part	NOM	part
en	PRP	en
voyage	NOM	voyage
que	KON	que
les	DET:def	le
blés	NOM	blé
sont	VER:pres	être
dorés	ADJ	doré
et	KON	et
que	KON	que
le	DET:def	le
soir	NOM	soir
le	DET:def	le
soleil	NOM	soleil
devient	VER:pres	devenir
plus	ADV	plus
rouge	ADJ	rouge
quand	KON	quand
les	DET:def	le
enfants	NOM	enfant
vont	VER:pres	aller
à	PRP	à
la	DET:def	le
plage	NOM	plage
je	PRO:cls	je
préfère	VER:pres	préférer
la	DET:def	le
piscine	NOM	piscine
et	KON	et
les	DET:def	le
bateaux	NOM	bateau
sur	PRP	sur
la	DET:def	le
mer	NOM	mer
lorsque	KON	lorsque
l'	DET:def	le
on	PRO:cls	on
a	VER:pres	avoir
très	ADV	très
soif	NOM	soif
et	KON	et
que	KON	que
l'	DET:def	le
on	PRO:cls	on
a	VER:pres	avoir
très	ADV	très
chaud	ADJ	chaud
c'	PRO:cls	ce
est	VER:pres	être
l'	DET:def	le
été	NOM	été
à	PRP	à
toi	PRO:ton	toi
.	NAM	<unknown>
ah	INT	ah
/oui	MLT	<unknown>
mais/	MLT	<unknown>
oui	FNO	oui
alors	ADV	alors
tu	PRO:cls	tu
prends	VER:pres	prendre
le	DET:def	le
livre	NOM	livre
et	KON	et
puis	KON	puis
tu	PRO:cls	tu
tournes	VER:pres	tourner
les	DET:def	le
pages	NOM	page
toute	ADV	tout
seule	ADJ	seul
l'	DET:def	le
été	NOM	été
ouais	FNO	ouais
lorsque	KON	lorsque
le	DET:def	le
soleil	NOM	soleil
brille	VER:pres	briller
je	PRO:cls	je
me	PRO:clo	me
rappelle	VER:pres	rappeler
plus	ADV	plus
très	ADV	très
bien	ADV	bien
ici	ADV	ici
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
grave	ADJ	grave
tu	PRO:cls	tu
me	PRO:clo	me
racontes	VER:pres	raconter
ce	PRO:dem	ce
que	PRO:rel	que
tu	PRO:cls	tu
vois	VER:pres	voir
sur	PRP	sur
les	DET:def	le
images	NOM	image
qu'	PRO:rel	que
est	VER:pres	être
ce	PRO:dem	ce
qu'	PRO:rel	que
il	PRO:clsi	il
se	PRO:clo	se
passe	VER:pres	passer
sur	PRP	sur
cette	DET:dem	ce
image-là	NOM	<unknown>
.	NAM	<unknown>
euh	INT	euh
ils	PRO:cls	il
sont	VER:pres	être
en	PRP	en
train	NOM	train
de	PRP	de
courir	VER:infi	courir
dans	PRP	dans
les	DET:def	le
champs	NOM	champ
ouais	FNO	ouais
exactement	ADV	exactement
et	KON	et
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
le	DET:def	le
beau	ADJ	beau
soleil	NOM	soleil
et	KON	et
le	DET:def	le
soleil	NOM	soleil
est	VER:pres	être
toujours	ADV	toujours
aussi	ADV	aussi
jaune	ADJ	jaune
et	KON	et
qui	PRO:rel	qui
-ce	PRO:dem	ce
est	VER:pres	être
qui	PRO:rel	qui
court	VER:pres	courir
là	ADV	là
sur	PRP	sur
l'	DET:def	le
image	NOM	image
.	NAM	<unknown>
les	DET:def	le
enfants	NOM	enfant
ouais	FNO	ouais
et	KON	et
ils	PRO:cls	il
ont	VER:pres	avoir
et	KON	et
le	DET:def	le
chien	NOM	chien
hum	FNO	hum
exactement	ADV	exactement
et	KON	et
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
plein	ADV	plein
plein	ADV	plein
plein	ADV	plein
de	PRP	de
couleurs	NOM	couleur
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
des	DET:ind	un
fruits	NOM	fruit
ils	PRO:cls	il
sont	VER:pres	être
en	PRP	en
train	NOM	train
de	PRP	de
cueillir	VER:infi	cueillir
des	DET:ind	un
fruits	NOM	fruit
dans	PRP	dans
les	DET:def	le
arbres	NOM	arbre
hum	FNO	hum
hum	FNO	hum
avec	PRP	avec
un	DET:ind	un
petit	ADJ	petit
panier	NOM	panier
xxx	NOM	<unknown>
qui	PRO:rel	qui
les	PRO:clo	le
attend	VER:pres	attendre
à	PRP	à
coté	NOM	coté
de	PRP	de
l'	DET:def	le
arbre	NOM	arbre
et	KON	et
le	DET:def	le
beau	ADJ	beau
soleil	NOM	soleil
qui	PRO:rel	qui
est	VER:pres	être
en	PRP	en
train	NOM	train
de	PRP	de
et	KON	et
le	DET:def	le
ciel	NOM	ciel
de-	TRC	de-
vient	VER:pres	venir
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
rouge	ADJ	rouge
ouais	FNO	ouais
alors	ADV	alors
tu	PRO:cls	tu
sais	VER:pres	savoir
pourquoi	PRO:int	pourquoi
ils	PRO:cls	il
cueillent	VER:pres	cueillir
les	DET:def	le
fruits	NOM	fruit
en	PRP	en
été	NOM	été
.	NAM	<unknown>
oui	FNO	oui
parce	TRC	parce
qu'	KON	que
ils	PRO:cls	il
sont	VER:pres	être
vraiment	ADV	vraiment
mûrs	ADJ	mûr
exactement	ADV	exactement
c'	PRO:cls	ce
est	VER:pres	être
parce	TRC	parce
qu'	KON	que
ils	PRO:cls	il
sont	VER:pres	être
vraiment	ADV	vraiment
mûrs	ADJ	mûr
tu	PRO:cls	tu
peux	VER:pres	pouvoir
tourner	VER:infi	tourner
euh	INT	euh
parce	TRC	parce
que	KON	que
les	DET:def	le
marchés	NOM	marché
ils	PRO:cls	il
sont	AUX:pres	être
fermés	VER:pper	fermer
alors	ADV	alors
ils	PRO:cls	il
sont	VER:pres	être
un	DET:ind	un
