hé	INT	hé
oui	FNO	oui
.	NAM	<unknown>
qui	PRO:rel	qui
c'	PRO:cls	ce
est	VER:pres	être
là	ADV	là
?	NOM:sig	<unknown>
moi	PRO:ton	moi
je	PRO:cls	je
veux	VER:pres	vouloir
encore	ADV	encore
xxx	NOM	<unknown>
du	PRP:det	du
coca	NOM	coca
tu	PRO:cls	tu
veux	VER:pres	vouloir
du	DET:par	du
coca	NOM	coca
oui	FNO	oui
encore	ADV	encore
.	VER:simp	<unknown>
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
plus	ADV	plus
dans	PRP	dans
ton	DET:pos	ton
verre	NOM	verre
tu	PRO:cls	tu
l'	PRO:clo	le
as	AUX:pres	avoir
renversé	VER:pper	renverser
.	NAM	<unknown>
ouais	FNO	ouais
hum	FNO	hum
comment	PRO:int	comment
on	PRO:cls	on
va	VER:pres	aller
faire	VER:infi	faire
?	NAM	<unknown>
tu	PRO:cls	tu
as	VER:pres	avoir
une	DET:ind	un
idée	NOM	idée
.	NAM	<unknown>
on	PRO:cls	on
va	VER:pres	aller
en	PRO:clo	en
remettre	VER:infi	remettre
on	PRO:cls	on
va	VER:pres	aller
quoi	PRO:int	quoi
.	NAM	<unknown>
on	PRO:cls	on
va	VER:pres	aller
en	PRO:clo	en
remettre	VER:infi	remettre
on	PRO:cls	on
va	VER:pres	aller
en	PRP	en
remettre	VER:infi	remettre
.	NAM	<unknown>
ouais	FNO	ouais
tu	PRO:cls	tu
crois	VER:pres	croire
.	ADJ	<unknown>
et	KON	et
tu	PRO:cls	tu
crois	VER:pres	croire
que	KON	que
Tata	NOM	tata
Gaëlle	NAM	<unknown>
elle	PRO:cls	elle
va	VER:pres	aller
être	VER:infi	être
d'	PRP	un
accord	NOM	accord
.	NAM	<unknown>
ouais	FNO	ouais
elle	PRO:cls	elle
est	VER:pres	être
toujours	ADV	toujours
d'	PRP	un
accord	NOM	accord
elle	PRO:cls	elle
est	VER:pres	être
toujours	ADV	toujours
xxx	NOM	<unknown>
Gaëlle	NAM	<unknown>
.	NAM	<unknown>
ouais	FNO	ouais
oui	FNO	oui
des	DET:ind	un
fois	NOM	fois
euh	INT	euh
elle	PRO:cls	elle
est	VER:pres	être
pas	ADV	pas
d'	PRP	un
accord	NOM	accord
ah	INT	ah
bon	INT	bon
?	NAM	<unknown>
et	KON	et
pourquoi	PRO:int	pourquoi
elle	PRO:cls	elle
est	VER:pres	être
