eh	INT	eh
voiture	NOM	voiture
de	PRP	de
papi	NOM	papi
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
sa	DET:pos	son
voiture	NOM	voiture
de	PRP	de
papi	NOM	papi
elle	PRO:cls	elle
est	AUX:pres	être
cassée	VER:pper	casser
regardes	VER:pres	regarder
elle	PRO:cls	elle
est	AUX:pres	être
cassée	VER:pper	casser
ah	INT	ah
bon	INT	bon
.	NAM	<unknown>
mm	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
l'	DET:def	le
histoire	NOM	histoire
du	PRP:det	du
livre	NOM	livre
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
chansons	NOM	chanson
des	PRP:det	du
chansons	NOM	chanson
?	NAM	<unknown>
ah	INT	ah
et	KON	et
tu	PRO:cls	tu
les	PRO:clo	le
connais	VER:pres	connaître
les	DET:def	le
chansons	NOM	chanson
.	NAM	<unknown>
ouais	FNO	ouais
je	PRO:cls	je
les	PRO:clo	le
connais	VER:pres	connaître
tu	PRO:cls	tu
veux	VER:pres	vouloir
me	PRO:clo	me
les	PRO:clo	le
chanter	VER:infi	chanter
.	NAM	<unknown>
oui	FNO	oui
bah	INT	bah
-y	PRO:clo	y
vas	VER:impe	aller
je	PRO:cls	je
t'	PRO:clo	te
écoute	VER:pres	écouter
souris	NOM	souris
verte	ADJ	vert
qui	PRO:rel	qui
xxx	NOM	<unknown>
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
souris	NOM	souris
verte	ADJ	vert
.	NAM	<unknown>
ouais	FNO	ouais
ah	INT	ah
tu	PRO:cls	tu
connais	VER:pres	connaître
la	DET:def	le
suite	NOM	suite
.	NAM	<unknown>
tu	PRO:cls	tu
vois	VER:pres	voir
le	DET:def	le
train	NOM	train
là	ADV	là
.	VER:simp	<unknown>
oui	FNO	oui
tu	PRO:cls	tu
as	AUX:pres	avoir
déjà	ADV	déjà
pris	VER:pper	prendre
le	DET:def	le
train	NOM	train
.	NAM	<unknown>
oui	FNO	oui
ah	INT	ah
tu	PRO:cls	tu
aimes	VER:subp	aimer
bien	ADV	bien
.	VER:simp	<unknown>
oui	FNO	oui
j'	PRO:cls	je
aime	VER:pres	aimer
bien	ADV	bien
j'	PRO:cls	je
ai	AUX:pres	avoir
pris	VER:pper	prendre
la	DET:def	le
gare	NOM	gare
j'	PRO:cls	je
ai	AUX:pres	avoir
pris	VER:pper	prendre
je	PRO:cls	je
connais	VER:pres	connaître
des	DET:ind	un
choses	NOM	chose
des	PRP:det	du
choses	NOM	chose
ah	INT	ah
bon	INT	bon
.	NAM	<unknown>
oui	FNO	oui
tu	PRO:cls	tu
connais	VER:pres	connaître
quoi	INT	quoi
par	PRP	par
exemple	NOM	exemple
.	NOM:sig	<unknown>
des	DET:ind	un
des	DET:ind	un
chansons	NOM	chanson
ah	INT	ah
et	KON	et
tu	PRO:cls	tu
connais	VER:pres	connaître
quoi	INT	quoi
comme	KON	comme
chansons	NOM	chanson
.	NOM:sig	<unknown>
des	DET:ind	un
souris	NOM	souris
vertes	ADJ	vert
et	KON	et
quoi	INT	quoi
d'	DET:ind	un
autre	ADJ	autre
.	NOM	<unknown>
des	PRP:det	du
monsieur	NOM	monsieur
pouce	NOM	pouce
ah	INT	ah
je	PRO:cls	je
connais	VER:pres	connaître
pas	ADV	pas
celle-là	PRO:dem	celui-là
ça	PRO:cls	ça
parle	VER:pres	parler
de	PRP	de
quoi	INT	quoi
comme	KON	comme
chanson	NOM	chanson
bah	INT	bah
c'	PRO:cls	ce
est	AUX:pres	être
jevais	VER:impf	<unknown>
aller	VER:infi	aller
voir	VER:infi	voir
tu	PRO:cls	tu
veux	VER:pres	vouloir
me	PRO:clo	me
la	PRO:clo	le
chanter	VER:infi	chanter
.	NAM	<unknown>
oui	FNO	oui
faut	VER:pres	falloir
que	KON	que
tu	PRO:cls	tu
ailles	VER:subp	aller
chercher	VER:infi	chercher
quelque	ADJ	<unknown>
chose	NOM	chose
.	NAM	<unknown>
je	PRO:cls	je
vais	VER:pres	aller
chercher	VER:infi	chercher
quelquechose	ADV	<unknown>
d'	PRP	un
accord	NOM	accord
viens	VER:impe	venir
avec	PRP	avec
moi	PRO:ton	moi
ça	PRO:cls	ça
y	PRO:clo	y
est	AUX:pres	être
tues	VER:pper	taire
installée	VER:pper	installer
.	NAM	<unknown>
oui	FNO	oui
je	PRO:cls	je
suis	AUX:pres	être
installée	VER:pper	installer
alors	ADV	alors
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
ça	PRO:cls	ça
.	VER:cond	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
viens	VER:impe	venir
voir	VER:infi	voir
je	PRO:cls	je
vais	VER:pres	aller
te	PRO:clo	te
montrer	VER:infi	montrer
oh	INT	oh
c'	PRO:cls	ce
est	VER:pres	être
beau	ADJ	beau
tu	PRO:cls	tu
fais	VER:pres	faire
ça	PRO:ton	ça
à	PRP	à
l'	DET:def	le
école	NOM	école
.	NAM	<unknown>
oui	FNO	oui
alors	ADV	alors
tu	PRO:cls	tu
me	PRO:clo	me
montres	VER:pres	montrer
tu	PRO:cls	tu
tournes	VER:pres	tourner
les	DET:def	le
pages	NOM	page
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
xxx	NOM	<unknown>
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
toutes	ADV	tout
des	DET:ind	un
chansons	NOM	chanson
.	NAM	<unknown>
oui	FNO	oui
toutes	ADV	tout
/desles/	MLT	<unknown>
chansons	NOM	chanson
ah	INT	ah
alors	ADV	alors
je	PRO:cls	je
vais	VER:pres	aller
te	PRO:clo	te
montrer	VER:infi	montrer
allons	VER:impe	aller
y	PRO:clo	y
à	PRP	à
l'	DET:def	le
école	NOM	école
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
chanson	NOM	chanson
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
chansons	NOM	chanson
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
chansons	NOM	chanson
bah	INT	bah
tu	PRO:cls	tu
chantes	VER:pres	chanter
bien	ADV	bien
dis	VER:pres	dire
moi	PRO:ton	moi
alors	ADV	alors
je	PRO:cls	je
tournes	VER:pres	tourner
les	DET:def	le
pages	NOM	page
vas	VER:impe	aller
y	PRO:clo	y
tourne	VER:pres	tourner
le	DET:def	le
train	NOM	train
ah	INT	ah
alors	ADV	alors
c'	PRO:cls	ce
est	VER:pres	être
tu	PRO:cls	tu
as	AUX:pres	avoir
déjà	ADV	déjà
pris	VER:pper	prendre
le	DET:def	le
train	NOM	train
c'	PRO:cls	ce
est	VER:pres	être
ça	PRO:cls	ça
.	VER:cond	<unknown>
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
cheminée	NOM	cheminée
oui	FNO	oui
et	KON	et
ça	PRO:cls	ça
fait	VER:pres	faire
quoi	INT	quoi
de	PRP	de
la	DET:def	le
cheminée	NOM	cheminée
?	NAM	<unknown>
ça	PRO:cls	ça
fait	VER:pres	faire
de	PRP	de
la	DET:def	le
fumée	NOM	fumée
hum	FNO	hum
oui	FNO	oui
et	KON	et
tu	PRO:cls	tu
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
aller	VER:infi	aller
où	PRO:int	où
que	KON	que
tu	PRO:cls	tu
as	AUX:pres	avoir
déjà	ADV	déjà
pris	VER:pper	prendre
le	DET:def	le
train	NOM	train
.	NAM	<unknown>
hum	FNO	hum
c'	PRO:cls	ce
est	VER:pres	être
à	PRP	à
la	DET:def	le
gare	NOM	gare
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
.	NAM	<unknown>
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
ça	PRO:ton	ça
oui	FNO	oui
et	KON	et
tu	PRO:cls	tu
as	AUX:pres	avoir
déjà	ADV	déjà
pris	VER:pper	prendre
l'	DET:def	le
avion	NOM	avion
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
?	NAM	<unknown>
c'	PRO:cls	ce
est	AUX:pres	être
bien	ADV	bien
.	VER:pper	<unknown>
un	DET:ind	un
hélicoptère	NOM	hélicoptère
et	KON	et
avec	PRP	avec
un	DET:ind	un
un	DET:ind	un
hélicoptère	NOM	hélicoptère
dans	PRP	dans
le	DET:def	le
garage	NOM	garage
ah	INT	ah
bon	INT	bon
.	NAM	<unknown>
oui	FNO	oui
tu	PRO:cls	tu
as	VER:pres	avoir
un	DET:ind	un
hélicoptère	NOM	hélicoptère
dans	PRP	dans
ton	DET:pos	ton
garage	NOM	garage
oui	FNO	oui
il	PRO:cls	il
est	VER:pres	être
gros	ADJ	gros
.	NAM	<unknown>
oui	FNO	oui
oh	INT	oh
/enet/	MLT	<unknown>
je	PRO:cls	je
ne	ADV	ne
sais	VER:pres	savoir
pas	ADV	pas
le	PRO:clo	le
conduire	VER:infi	conduire
oh	INT	oh
bah	INT	bah
oui	FNO	oui
tu	PRO:cls	tu
es	VER:pres	être
trop	ADV	trop
petite	ADJ	petit
bah	INT	bah
plus	ADV	plus
tard	ADV	tard
plus	ADV	plus
tard	ADV	tard
quand	KON	quand
/je	MLT	<unknown>
j'	PRO:cls	je
.	VER:cond	<unknown>
sera	VER:futu	être
grand	ADJ	grand
plus	ADV	plus
tard	ADV	tard
