-y	PRO:clo	y
allons	VER:pres	aller
alors	ADV	alors
cette	DET:dem	ce
petite	ADJ	petit
fille	NOM	fille
elle	PRO:cls	elle
s'	PRO:clo	se
appelle	VER:pres	appeler
comment	PRO:int	comment
.	NAM	<unknown>
Elfie	NAM	<unknown>
Elfie	NAM	<unknown>
oui	FNO	oui
Elfie	NAM	<unknown>
et	KON	et
au	PRP:det	au
début	NOM	début
elle	PRO:cls	elle
commence	VER:pres	commencer
par	PRP	par
parler	VER:infi	parler
de	PRP	de
son	DET:pos	son
prénom	NOM	prénom
hein	INT	hein
.	NAM	<unknown>
elle	PRO:cls	elle
dit	VER:pres	dire
si	KON	si
je	PRO:cls	je
vous	PRO:clo	vous
donne	VER:pres	donner
mon	DET:pos	mon
nom	NOM	nom
vous	PRO:cls	vous
me	PRO:clo	me
donnerez	VER:futu	donner
peut-être	ADV	peut-être
le	DET:def	le
vôtre	NOM	vôtre
vous	PRO:cls	vous
hum	FNO	hum
vous	PRO:cls	vous
m'	PRO:clo	me
avez	AUX:pres	avoir
donné	VER:pper	donner
votre	DET:pos	votre
nom	NOM	nom
tout	ADV	tout
à	PRP	à
l'	DET:def	le
heure	NOM	heure
hein	INT	hein
?	NAM	<unknown>
c'	PRO:cls	ce
était	VER:impf	être
oui	FNO	oui
quoi	INT	quoi
ton	DET:pos	ton
nom	NOM	nom
.	NAM	<unknown>
Chiara	NOM	<unknown>
Sarah	NAM	<unknown>
et	KON	et
toi	PRO:ton	toi
.	NAM	<unknown>
Chiara	NOM	<unknown>
Chiara	NOM	<unknown>
ah	INT	ah
Chiara	NOM	<unknown>
oui	FNO	oui
Chiara	NOM	<unknown>
oui	FNO	oui
oui	FNO	oui
je	PRO:cls	je
suis	VER:pres	être
pas	ADV	pas
bien	ADV	bien
réveillée	VER:pper	réveiller
et	KON	et
toi	PRO:ton	toi
.	NAM	<unknown>
Ema	NOM	<unknown>
Ema	NOM	<unknown>
alors	ADV	alors
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
vous	PRO:cls	vous
connaissez	VER:pres	connaître
d'	DET:ind	un
autres	ADJ	autre
petites	ADJ	petit
filles	NOM	fille
qui	PRO:rel	qui
s'	PRO:clo	se
appellent	VER:pres	appeler
comme	KON	comme
vous	PRO:cls	vous
.	VER:cond	<unknown>
euh	INT	euh
hum	FNO	hum
ben	INT	ben
oui	FNO	oui
moi	PRO:ton	moi
moi	PRO:ton	moi
oui	FNO	oui
elle	PRO:ton	elle
hum	FNO	hum
s'	PRO:clo	se
appelle	VER:pres	appeler
Chiara	NOM	<unknown>
xxx	NOM	<unknown>
oui	FNO	oui
et	KON	et
toi	PRO:ton	toi
.	NAM	<unknown>
j'	PRO:cls	je
en	PRO:clo	en
connais	VER:pres	connaître
une	DET:ind	un
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
soeur	NOM	soeur
de	PRP	de
Yaëlle	NAM	<unknown>
xxx	NOM	<unknown>
elle	PRO:cls	elle
est	VER:pres	être
toute	ADV	tout
petite	ADJ	petit
d'	PRP	un
accord	NOM	accord
elle	PRO:cls	elle
a	VER:pres	avoir
deux	NUM	@card@
ans	NOM	an
elle	PRO:cls	elle
a	VER:pres	avoir
deux	NUM	@card@
ans	NOM	an
.	NAM	<unknown>
non	FNO	non
je	PRO:cls	je
crois	VER:pres	croire
trois	NUM	@card@
ans	NOM	an
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
les	DET:def	le
petites	ADJ	petit
filles	NOM	fille
qui	PRO:rel	qui
s'	PRO:clo	se
appellent	VER:pres	appeler
comme	KON	comme
vous	PRO:ton	vous
elles	PRO:cls	elle
sont	VER:pres	être
pareilles	ADJ	pareil
que	KON	que
vous	PRO:cls	vous
.	VER:cond	<unknown>
non	FNO	non
non	FNO	non
non	FNO	non
.	NAM	<unknown>
.	NAM	<unknown>
et	KON	et
en	PRP	en
quoi	INT	quoi
elles	PRO:cls	elle
sont	VER:pres	être
différentes	ADJ	différent
.	NAM	<unknown>
ben	INT	ben
à	PRP	à
presque	ADV	presque
tout	PRO:ind	tout
presque	ADV	presque
tout	PRO:ind	tout
?	NOM:sig	<unknown>
c'	PRO:cls	ce
est-	VER:cond	<unknown>
xxx	NOM	<unknown>
à-dire	VER:infi	<unknown>
.	NAM	<unknown>
en	PRO:clo	en
fait	VER:pres	faire
euh	INT	euh
elle	PRO:cls	elle
les	PRO:clo	le
a	VER:pres	avoir
les	DET:def	le
hum	FNO	hum
elle	PRO:ton	elle
elle	PRO:cls	elle
est	VER:pres	être
presque	ADV	presque
pareille	ADJ	pareil
que	KON	que
Yaëlle	NAM	<unknown>
xxx	NOM	<unknown>
d'	PRP	un
accord	NOM	accord
ouais	FNO	ouais
elles	PRO:cls	elle
se	PRO:clo	se
ressemblent	VER:pres	ressembler
beaucoup	ADV	beaucoup
ouais	FNO	ouais
oui	FNO	oui
?	NAM	<unknown>
et	KON	et
elle	PRO:cls	elle
est	VER:pres	être
comment	PRO:int	comment
alors	ADV	alors
.	VER:simp	<unknown>
elle	PRO:cls	elle
a	VER:pres	avoir
elle	PRO:cls	elle
a	VER:pres	avoir
les	DET:def	le
cheveux	NOM	cheveu
blonds	ADJ	blond
oui	FNO	oui
ouais	FNO	ouais
et	KON	et
sa	DET:pos	son
soeur	NOM	soeur
des	PRP:det	du
cheveux	NOM	cheveu
un	DET:ind	un
peu	NOM	peu
roux	ADJ	roux
mais	KON	mais
oui	FNO	oui
sinon	ADV	sinon
ils	PRO:cls	il
ont	VER:pres	avoir
presque	ADV	presque
le	DET:def	le
même	ADJ	même
visage	NOM	visage
sauf	PRP	sauf
que	KON	que
xxx	NOM	<unknown>
sauf	PRP	sauf
qu'	KON	que
elle	PRO:cls	elle
a	VER:pres	avoir
des	DET:ind	un
lunettes	NOM	lunettes
elle	PRO:ton	elle
d'	PRP	un
accord	NOM	accord
et	KON	et
maintenant	ADV	maintenant
si	KON	si
vous	PRO:cls	vous
vous	PRO:clo	vous
appeliez	VER:impf	appeler
d'	PRP	un
une	DET:ind	un
autre	ADJ	autre
façon	NOM	façon
par	PRP	par
exemple	NOM	exemple
si	KON	si
toi	PRO:ton	toi
tu	PRO:cls	tu
t'	PRO:clo	te
appelais	VER:impf	appeler
Chiara	NOM	<unknown>
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
tu	PRO:cls	tu
serais	VER:cond	être
la	DET:def	le
même	ADJ	même
petite	ADJ	petit
fille	NOM	fille
euh	INT	euh
que	KON	que
t-	TRC	t-
que	KON	que
toi	PRO:ton	toi
maintenant	ADV	maintenant
.	VER:simp	<unknown>
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
tu	PRO:cls	tu
sais	VER:pres	savoir
pas	ADV	pas
.	NOM:sig	<unknown>
pas	ADV	pas
du	PRP:det	du
tout	ADV	tout
je	PRO:cls	je
crois	VER:pres	croire
pas	ADV	pas
du	DET:par	du
tout	PRO:ind	tout
?	NOM:sig	<unknown>
elle	PRO:cls	elle
serait	VER:cond	être
comment	PRO:int	comment
alors	ADV	alors
.	VER:simp	<unknown>
elle	PRO:cls	elle
serait	VER:cond	être
différente	ADJ	différent
de	PRP	de
ce	PRO:dem	ce
qu'	PRO:rel	que
elle	PRO:cls	elle
est	VER:pres	être
maintenant	ADV	maintenant
elle	PRO:cls	elle
serait	VER:cond	être
elle	PRO:cls	elle
serait	VER:cond	être
différente	ADJ	différent
de	PRP	de
ce	PRO:dem	ce
qu'	PRO:rel	que
elle	PRO:cls	elle
est	AUX:pres	être
maintenant	ADV	maintenant
.	VER:pper	<unknown>
en	PRP	en
quoi	INT	quoi
.	NAM	<unknown>
ben	INT	ben
sais	VER:pres	savoir
pas	ADV	pas
tu	PRO:cls	tu
sais	VER:pres	savoir
pas	ADV	pas
.	ADJ	<unknown>
et	KON	et
toi	PRO:ton	toi
si	KON	si
tu	PRO:cls	tu
t'	PRO:clo	te
appelais	VER:impf	appeler
euh	INT	euh
Caroline	ADJ	carolin
Chiara	NOM	<unknown>
si	KON	si
tu	PRO:cls	tu
t'	PRO:clo	te
appelais	VER:impf	appeler
Caroline	ADJ	carolin
comment	PRO:int	comment
tu	PRO:cls	tu
serais	AUX:cond	être
.	VER:pper	<unknown>
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
tu	PRO:cls	tu
sais	VER:pres	savoir
pas	ADV	pas
.	ADJ	<unknown>
mais	KON	mais
tu	PRO:cls	tu
serais	AUX:cond	être
pas	ADV	pas
la	DET:def	le
même	ADJ	même
petite	ADJ	petit
fille	NOM	fille
.	NAM	<unknown>
ben	INT	ben
si	KON	si
ah	INT	ah
toi	PRO:ton	toi
tu	PRO:cls	tu
serais	VER:cond	être
la	DET:def	le
même	ADJ	même
petite	ADJ	petit
fille	NOM	fille
.	NAM	<unknown>
oui	FNO	oui
sauf	PRP	sauf
que	KON	que
j'	PRO:cls	je
aurais	AUX:cond	avoir
p-	TRC	p-
j'	PRO:cls	je
aurais	AUX:cond	avoir
pas	ADV	pas
le	DET:def	le
même	ADJ	même
prénom	NOM	prénom
d'	PRP	un
accord	NOM	accord
et	KON	et
tout	PRO:ind	tout
à	PRP	à
l'	DET:def	le
heure	NOM	heure
tu	PRO:cls	tu
as	AUX:pres	avoir
dit	VER:pper	dire
que	KON	que
si	KON	si
elle	PRO:ton	elle
elle	PRO:cls	elle
s'	PRO:clo	se
appelait	VER:impf	appeler
Chiara	NOM	<unknown>
elle	PRO:cls	elle
serait	VER:cond	être
pas	ADV	pas
la	DET:def	le
même	ADJ	même
petite	ADJ	petit
fille	NOM	fille
.	NAM	<unknown>
ah	INT	ah
moi	PRO:ton	moi
je	PRO:cls	je
croyais	VER:impf	croire
euh	INT	euh
hum	FNO	hum
si	KON	si
elle	PRO:cls	elle
était	VER:impf	être
moi	PRO:ton	moi
d'	PRP	un
accord	NOM	accord
d'	PRP	un
accord	NOM	accord
tu	PRO:cls	tu
es	VER:pres	être
d'	PRP	un
accord	NOM	accord
avec	PRP	avec
Chiara	NOM	<unknown>
.	NAM	<unknown>
oui	FNO	oui
c'	PRO:cls	ce
est-à-dire	VER:cond	<unknown>
que	KON	que
tu	PRO:cls	tu
serais	VER:cond	être
quand	KON	quand
même	ADV	même
la	DET:def	le
même	ADJ	même
si	KON	si
tu	PRO:cls	tu
avais	VER:impf	avoir
un	DET:ind	un
autre	ADJ	autre
prénom	NOM	prénom
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
.	NAM	<unknown>
alors	ADV	alors
moi	PRO:ton	moi
je	PRO:cls	je
m'	PRO:clo	me
appelle	VER:pres	appeler
Christine	NOM	<unknown>
et	KON	et
si	KON	si
je	PRO:cls	je
m'	PRO:clo	me
appelais	VER:impf	appeler
hé	INT	hé
c'	PRO:cls	ce
est	VER:pres	être
ma	DET:pos	mon
tata	NOM	tata
qui	PRO:rel	qui
s'	PRO:clo	se
appelle	VER:pres	appeler
aussi	ADV	aussi
Christine	NOM	<unknown>
xxx	NOM	<unknown>
ah	INT	ah
d'	PRP	un
accord	NOM	accord
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
aussi	ADV	aussi
une	DET:ind	un
xxx	NOM	<unknown>
une	DET:ind	un
aide	NOM	aide
de	PRP	de
la	DET:def	le
maternelle	ADJ	maternel
qui	PRO:rel	qui
s'	PRO:clo	se
appelle	VER:pres	appeler
Christine	NOM	<unknown>
.	NAM	<unknown>
voilà	FNO	voilà
et	KON	et
mais	KON	mais
si	KON	si
je	PRO:cls	je
m'	PRO:clo	me
appelais	VER:impf	appeler
euh	INT	euh
hum	FNO	hum
Isabelle	ADJ	isabelle
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
je	PRO:cls	je
serais	VER:cond	être
la	DET:def	le
même	ADJ	même
personne	NOM	personne
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
je	PRO:cls	je
changerais	VER:cond	changer
pas	ADV	pas
du	PRP:det	du
tout	ADV	tout
.	VER:simp	<unknown>
hum	FNO	hum
juste	ADV	juste
le	DET:def	le
prénom	NOM	prénom
d'	PRP	un
accord	NOM	accord
d'	PRP	un
accord	NOM	accord
alors	ADV	alors
à	PRP	à
qui	PRO:rel	qui
on	PRO:cls	on
donne	VER:pres	donner
des	DET:ind	un
petits	ADJ	petit
noms	NOM	nom
comme	KON	comme
ça	PRO:cls	ça
.	VER:cond	<unknown>
comme	KON	comme
des	DET:ind	un
prénoms	NOM	prénom
ou	KON	ou
des	DET:ind	un
petits	ADJ	petit
noms	NOM	nom
.	NAM	<unknown>
qui	PRO:rel	qui
c'	PRO:cls	ce
est	VER:pres	être
qui	PRO:rel	qui
a	VER:pres	avoir
des	DET:ind	un
prénoms	NOM	prénom
.	NAM	<unknown>
ben	INT	ben
nous	PRO:ton	nous
ouais	FNO	ouais
/nous	MLT	<unknown>
hum/	MLT	<unknown>
oui	FNO	oui
et	KON	et
part	NOM	part
ça	PRO:cls	ça
.	VER:cond	<unknown>
on	PRO:cls	on
a	VER:pres	avoir
des	DET:ind	un
noms	NOM	nom
aussi	ADV	aussi
oui	FNO	oui
on	PRO:cls	on
a	VER:pres	avoir
des	DET:ind	un
noms	NOM	nom
et	KON	et
des	DET:ind	un
prénoms	NOM	prénom
moi	PRO:ton	moi
j'	PRO:cls	je
en	PRO:clo	en
ai	VER:pres	avoir
un	DET:ind	un
des	DET:ind	un
un	DET:ind	un
prénom	NOM	prénom
c'	PRO:cls	ce
est	VER:pres	être
euh	INT	euh
un	DET:ind	un
autre	ADJ	autre
prénom	NOM	prénom
euh	INT	euh
je	PRO:cls	je
m'	PRO:clo	me
appelle	VER:pres	appeler
Amélia	NOM	<unknown>
moi	PRO:ton	moi
j'	PRO:cls	je
ai	VER:pres	avoir
deux	NUM	@card@
autres	ADJ	autre
prénoms	NOM	prénom
ah	INT	ah
bon	INT	bon
tu	PRO:cls	tu
en	PRO:clo	en
as	VER:pres	avoir
trois	NUM	@card@
.	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
Nina	ADJ	<unknown>
et	KON	et
euh	INT	euh
Marie	VER:pres	marier
d'	PRP	un
accord	NOM	accord
donc	ADV	donc
on	PRO:cls	on
les	PRO:clo	le
donne	VER:pres	donner
aux	PRP:det	au
enfants	NOM	enfant
tu	PRO:cls	tu
veux	VER:pres	vouloir
dire	VER:infi	dire
qu'	KON	que
on	PRO:cls	on
