voilà	FNO	voilà
alors	ADV	alors
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qui	PRO:rel	qui
vous	PRO:cls	vous
a	VER:pres	avoir
le	DET:def	le
plus	ADV	plus
euh	INT	euh
plu	VER:pper	plaire|pleuvoir
dans	PRP	dans
ce	PRO:dem	ce
que	KON	que
raconte	VER:impe	raconter
Elfie	VER:impe	<unknown>
.	VER:impe	<unknown>
moi	PRO:ton	moi
j'	PRO:cls	je
ai	VER:pres	avoir
quand	KON	quand
les	DET:def	le
personnes	NOM	personne
ils	PRO:cls	il
ont	AUX:pres	avoir
dit	VER:pper	dire
ce	PRO:dem	ce
qu'	PRO:rel	que
i-	TRC	i-
ils	PRO:cls	il
voulaient	VER:impf	vouloir
devenir	VER:infi	devenir
quand	KON	quand
ils	PRO:cls	il
étaient	VER:impf	être
grands	ADJ	grand
ouais	FNO	ouais
hum	FNO	hum
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
moi	PRO:ton	moi
tu	PRO:cls	tu
sais	VER:pres	savoir
pas	ADV	pas
toi	PRO:ton	toi
?	NAM	<unknown>
alors	ADV	alors
pourquoi	PRO:int	pourquoi
ça	PRO:cls	ça
te	PRO:clo	te
plaît	VER:pres	plaire
quand	KON	quand
on	PRO:cls	on
explique	VER:pres	expliquer
euh	INT	euh
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
veut	VER:pres	vouloir
faire	VER:infi	faire
quand	KON	quand
on	PRO:cls	on
est	VER:pres	être
grands	ADJ	grand
.	NAM	<unknown>
ben	INT	ben
parce	TRC	parce
que	KON	que
après	ADV	après
ça	PRO:cls	ça
va	VER:pres	aller
être	VER:infi	être
ouais	FNO	ouais
pour	PRP	pour
savoir	VER:infi	savoir
ce	PRO:dem	ce
que	PRO:rel	que
je	PRO:cls	je
ferais	VER:cond	faire
plus	ADV	plus
tard	ADV	tard
ouais	FNO	ouais
ben	INT	ben
oui	FNO	oui
moi	PRO:ton	moi
je	PRO:cls	je
sais	VER:pres	savoir
déjà	ADV	déjà
ce	PRO:dem	ce
que	PRO:rel	que
je	PRO:cls	je
ferais	VER:cond	faire
plus	ADV	plus
tard	ADV	tard
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
tu	PRO:cls	tu
veux	VER:pres	vouloir
faire	VER:infi	faire
.	NOM:sig	<unknown>
médecin	NOM	médecin
médecin	NOM	médecin
?	NAM	<unknown>
et	KON	et
toi	PRO:ton	toi
.	NAM	<unknown>
ben	INT	ben
moi	PRO:ton	moi
pendant	PRP	pendant
ce	DET:dem	ce
temps-là	NOM	<unknown>
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
entre	PRP	entre
pompier	NOM	pompier
ou	KON	ou
docteur	NOM	docteur
d'	PRP	un
animaux	NOM	animal
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
vétérinaire	ADJ	vétérinaire
alors	ADV	alors
vétérinaire	ADJ	vétérinaire
ouais	FNO	ouais
et	KON	et
donc	ADV	donc
vous	PRO:cls	vous
vous	PRO:clo	vous
vous	PRO:clo	vous
êtes	VER:pres	être
pas	ADV	pas
comme	KON	comme
Elfie	NAM	<unknown>
?	NAM	<unknown>
Elfie	NAM	<unknown>
elle	PRO:cls	elle
dit	VER:pres	dire
hum	FNO	hum
que	KON	que
.	NAM	<unknown>
euh	INT	euh
elle	PRO:ton	elle
elle	PRO:cls	elle
elle	PRO:cls	elle
ne	ADV	ne
sait	VER:pres	savoir
rien	PRO:ind	rien
oui	FNO	oui
elle	PRO:cls	elle
ne	ADV	ne
sait	VER:pres	savoir
rien	PRO:ind	rien
vous	PRO:ton	vous
vous	PRO:cls	vous
ne	ADV	ne
savez	VER:pres	savoir
rien	PRO:ind	rien
vous	PRO:cls	vous
.	VER:cond	<unknown>
si	KON	si
on	PRO:cls	on
sait	VER:pres	savoir
hum	FNO	hum
on	PRO:cls	on
sait	VER:pres	savoir
des	DET:ind	un
choses	NOM	chose
bien	ADV	bien
sûr	ADJ	sûr
et	KON	et
surtout	ADV	surtout
pas	ADV	pas
elle	PRO:cls	elle
dit	VER:pres	dire
qu'	KON	que
elle	PRO:cls	elle
ne	ADV	ne
sait	VER:pres	savoir
rien	PRO:ind	rien
et	KON	et
puis	KON	puis
qu'	KON	que
elle	PRO:cls	elle
n'	ADV	ne
ose	VER:pres	oser
pas	ADV	pas
poser	VER:infi	poser
de	PRP	de
questions	NOM	question
ben	INT	ben
oui	FNO	oui
elle	PRO:cls	elle
pense	VER:pres	penser
dans	PRP	dans
sa	DET:pos	son
tête	NOM	tête
elle	PRO:cls	elle
pense	VER:pres	penser
dans	PRP	dans
