ben	INT	ben
ça	PRO:cls	ça
fait	VER:pres	faire
vu	VER:pper	voir
qu'	KON	que
on	PRO:cls	on
doit	VER:pres	devoir
parler	VER:infi	parler
du	PRP:det	du
géniteur	NOM	géniteur
ça	PRO:cls	ça
fait	VER:pres	faire
combien	PRO:int	combien
de	PRP	de
temps	NOM	temps
que	KON	que
j'	PRO:cls	je
ai	VER:pres	avoir
pas	ADV	pas
que	KON	que
j'	PRO:cls	je
ai	AUX:pres	avoir
pas	ADV	pas
vu	VER:pper	voir
le	DET:def	le
bonhomme	NOM	bonhomme
là	ADV	là
première	ADJ	premier
année	NOM	année
à	PRP	à
Nancy	NAM	Nancy
quand	KON	quand
j'	PRO:cls	je
étais	VER:impf	être
en	PRP	en
apprentissage	NOM	apprentissage
donc	ADV	donc
euh	INT	euh
une	NUM	@card@
deux	NUM	@card@
trois	NUM	@card@
quatre	NUM	@card@
quatre	NUM	@card@
ans	NOM	an
ouais	FNO	ouais
quatre	NUM	@card@
ans	NOM	an
que	KON	que
j'	PRO:cls	je
ai	AUX:pres	avoir
pas	ADV	pas
vu	VER:pper	voir
le	DET:def	le
bonhomme	NOM	bonhomme
eh	INT	eh
ouais	FNO	ouais
donc	ADV	donc
j'	PRO:cls	je
avais	VER:impf	avoir
vingt	NUM	@card@
ans	NOM	an
donc	ADV	donc
euh	INT	euh
ça	PRO:cls	ça
date	VER:pres	dater
un	DET:ind	un
peu	NOM	peu
quand	KON	quand
même	ADV	même
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
pour	PRP	pour
ce	PRO:dem	ce
que	PRO:rel	que
je	PRO:cls	je
l'	PRO:clo	le
ai	AUX:pres	avoir
vu	VER:pper	voir
quand	KON	quand
j'	PRO:cls	je
étais	VER:impf	être
petit	ADJ	petit
non	FNO	non
plus	ADV	plus
mais	KON	mais
euh	INT	euh
mais	KON	mais
mais	KON	mais
ça	PRO:cls	ça
fait	VER:pres	faire
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
que	KON	que
quatre	NUM	@card@
ans	NOM	an
ça	PRO:cls	ça
fait	VER:pres	faire
putain	INT	putain
ouais	FNO	ouais
quatre	NUM	@card@
ans	NOM	an
quand	KON	quand
même	ADV	même
enfin	ADV	enfin
j'	PRO:cls	je
ai	VER:pres	avoir
envie	NOM	envie
de	PRP	de
dire	VER:infi	dire
-ce	PRO:dem	ce
est	VER:pres	être
que	KON	que
ça	PRO:cls	ça
change	VER:pres	changer
quelque	ADJ	<unknown>
chose	NOM	chose
j'	PRO:cls	je
ai	VER:pres	avoir
pas	ADV	pas
vraiment	ADV	vraiment
vécu	VER:pper	vivre
avec	PRP	avec
lui	PRO:ton	lui
non	FNO	non
plus	ADV	plus
j'	PRO:cls	je
ai	AUX:pres	avoir
passé	VER:pper	passer
mon	DET:pos	mon
enfance	NOM	enfance
avec	PRP	avec
lui	PRO:ton	lui
mais	KON	mais
bon	INT	bon
il	PRO:cls	il
bossait	VER:impf	bosser
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
à	PRP	à
la	DET:def	le
station	NOM	station
donc	ADV	donc
euh	INT	euh
je	PRO:cls	je
le	PRO:clo	le
voyais	VER:impf	voir
que	KON	que
les	DET:def	le
soirs	NOM	soir
vu	VER:pper	voir
qu'	KON	que
il	PRO:cls	il
finissait	VER:impf	finir
tard	ADV	tard
aussi	ADV	aussi
donc	ADV	donc
euh	INT	euh
bah	INT	bah
je	PRO:cls	je
peux	VER:pres	pouvoir
pas	ADV	pas
dire	VER:infi	dire
que	KON	que
quand	KON	quand
j'	PRO:cls	je
étais	VER:impf	être
tout	ADV	tout
petit	ADJ	petit
euh	INT	euh
avant	ADV	avant
