Conversation	NOM	conversation
avec	PRP	avec
Baptiste	NOM	baptiste
né	VER:pper	naître
le	DET:def	le
¤D¤	NAM	<unknown>
enregistrement	NOM	enregistrement
du	PRP:det	du
¤D¤	NAM	<unknown>
par	PRP	par
Melissa	NAM	<unknown>
¤N¤	NAM	¤N¤
hein	INT	hein
ah	INT	ah
c'	PRO:cls	ce
est	AUX:pres	être
bloqué	VER:pper	bloquer
tu	PRO:cls	tu
l'	PRO:clo	le
as	AUX:pres	avoir
déjà	ADV	déjà
lu	VER:pper	lire
ça	PRO:ton	ça
elles	PRO:cls	elle
xxx	NOM	<unknown>
oui	FNO	oui
et	KON	et
ça	PRO:cls	ça
parle	VER:pres	parler
de	PRP	de
quoi	INT	quoi
bah	INT	bah
des	DET:ind	un
croc-	TRC	<unknown>
des	DET:ind	un
crocodiles	NOM	crocodile
ils	PRO:cls	il
font	VER:pres	faire
quoi	PRO:int	quoi
les	DET:def	le
crocodiles	NOM	crocodile
en	PRP	en
fait	NOM	fait
bah	INT	bah
la	DET:def	le
maman	NOM	maman
elle	PRO:cls	elle
pond	VER:pres	pondre
les	DET:def	le
oeufs	NOM	oeuf
et	KON	et
puis	KON	puis
euh	INT	euh
mm	NOM	<unknown>
elle	PRO:cls	elle
les	PRO:clo	le
recouvre	VER:pres	recouvrir
euh	INT	euh
de	PRP	de
ce	DET:dem	ce
que-	NOM	<unknown>
ça	PRO:ton	ça
et	KON	et
pour	PRP	pour
leur	PRO:clo	lui
prendre	VER:infi	prendre
un	DET:ind	un
bain	NOM	bain
elle	PRO:cls	elle
les	PRO:clo	le
prend	VER:pres	prendre
un	DET:ind	un
par	PRP	par
un	NUM	@card@
et	KON	et
puis	KON	puis
elle	PRO:cls	elle
la	PRO:clo	le
met	VER:pres	mettre
dans	PRP	dans
leur-	TRC	<unknown>
dans	PRP	dans
sa	DET:pos	son
bouche	NOM	bouche
et	KON	et
puis	KON	puis
après	ADV	après
elle	PRO:cls	elle
le	PRO:clo	le
baigne	VER:pres	baigner
et	KON	et
puis	KON	puis
apres	NOM	<unknown>
elle	PRO:cls	elle
le	PRO:clo	le
rentre	VER:pres	rentrer
elle	PRO:cls	elle
prend	VER:pres	prendre
le	DET:def	le
bébé	NOM	bébé
et	KON	et
puis	KON	puis
tu	PRO:cls	tu
es	AUX:pres	être
stressé	VER:pper	stresser
ils	PRO:cls	il
font	VER:pres	faire
quoi	INT	quoi
ils	PRO:cls	il
nagent	VER:pres	nager
euh	INT	euh
oui	FNO	oui
et	KON	et
puis	KON	puis
euh	INT	euh
mm	NOM	<unknown>
le	DET:def	le
bébé	NOM	bébé
il	PRO:cls	il
veut	VER:pres	vouloir
attraper	VER:infi	attraper
une	DET:ind	un
grenouille	NOM	grenouille
il	PRO:cls	il
veut	VER:pres	vouloir
attraper	VER:infi	attraper
une	DET:ind	un
grenouille	NOM	grenouille
oui	FNO	oui
pour	PRP	pour
la	PRO:clo	le
manger	VER:infi	manger
oui	FNO	oui
et	KON	et
puis	KON	puis
euh	INT	euh
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
un	DET:ind	un
papillon	NOM	papillon
qui	PRO:rel	qui
se	PRO:clo	se
pose	VER:pres	poser
sur	PRP	sur
le	DET:def	le
nez	NOM	nez
du	PRP:det	du
crocodile	NOM	crocodile
et	KON	et
puis	KON	puis
euh	INT	euh
le	DET:def	le
crocodile	NOM	crocodile
il	PRO:cls	il
veut	VER:pres	vouloir
manger	VER:infi	manger
une	DET:ind	un
bête	ADJ	bête
et	KON	et
puis	KON	puis
euh	INT	euh
le	DET:def	le
but	NOM	but
c'	PRO:cls	ce
est	VER:pres	être
que	KON	que
pour	PRP	pour
qui-	NOM	<unknown>
pour	PRP	pour
que	KON	que
la	DET:def	le
bête	ADJ	bête
elle	PRO:cls	elle
s'	PRO:clo	se
en	PRO:clo	en
aille	VER:subp	aller
et	KON	et
puis	KON	puis
euh	INT	euh
elle	PRO:cls	elle
s'	PRO:clo	se
est	VER:pres	être
en	PRP	en
allée	NOM	allée
et	KON	et
puis	KON	puis
euh	INT	euh
donc	ADV	donc
voila	VER:simp	voiler
c'	PRO:cls	ce
est-	TRC	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
le	DET:def	le
crocodile	NOM	crocodile
qui-	NOM	<unknown>
qui	PRO:rel	qui
refait	VER:pres	refaire
un	DET:ind	un
saut	NOM	saut
en	PRP	en
avant	NOM	avant
quand	KON	quand
il	PRO:cls	il
est	VER:pres	être
sous	PRP	sous
l'	DET:def	le
eau	NOM	eau
il	PRO:cls	il
referme	VER:pres	refermer
ses	DET:pos	son
narines	NOM	narine
quand	KON	quand
il	PRO:cls	il
est	VER:pres	être
sous	PRP	sous
l'	DET:def	le
eau	NOM	eau
non	FNO	non
non	FNO	non
il	PRO:cls	il
fait	VER:pres	faire
pas	ADV	pas
ça	PRO:ton	ça
mais	KON	mais
ses	DET:pos	son
narines	NOM	narine
elles	PRO:cls	elle
sont	AUX:pres	être
cachées	VER:pper	cacher
ah	INT	ah
bon	INT	bon
je	PRO:cls	je
savais	VER:impf	savoir
pas	ADV	pas
moi	PRO:ton	moi
je	PRO:cls	je
mélange	VER:pres	mélanger
toujours	ADV	toujours
des	DET:ind	un
choses	NOM	chose
mm	NOM	<unknown>
et	KON	et
puis	KON	puis
il	PRO:cls	il
y	PRO:clo	y
a-	TRC	a-
un	DET:ind	un
oiseau	NOM	oiseau
qui	PRO:rel	qui
lui	PRO:clo	lui
sert	VER:pres	servir
de	PRP	de
brosse	NOM	brosse
à	PRP	à
dents	NOM	dent
l'	DET:def	le
oiseau	NOM	oiseau
il	PRO:cls	il
sert	VER:pres	servir
de	PRP	de
brosse	NOM	brosse
à	PRP	à
dents	NOM	dent
oui	FNO	oui
comment	PRO:int	comment
il	PRO:cls	il
fait	VER:pres	faire
l'	DET:def	le
oiseau	NOM	oiseau
ah	INT	ah
bah	INT	bah
il	PRO:cls	il
frotte	VER:pres	frotter
son	DET:pos	son
bec	NOM	bec
et	KON	et
puis	KON	puis
euh	INT	euh
le	DET:def	le
crocodile	NOM	crocodile
il	PRO:cls	il
peut	VER:pres	pouvoir
ils	PRO:cls	il
peuvent	VER:pres	pouvoir
euh	INT	euh
mm	NOM	<unknown>
ils	PRO:cls	il
peuvent	VER:pres	pouvoir
manger	VER:infi	manger
très	ADV	très
très	ADV	très
vite	ADV	vite
et	KON	et
puis	KON	puis
euh	INT	euh
tu	PRO:cls	tu
en	PRO:clo	en
as	AUX:pres	avoir
déjà	ADV	déjà
vu	VER:pper	voir
des	DET:ind	un
crocodiles	NOM	crocodile
mm	NOM	<unknown>
tu	PRO:cls	tu
sais	VER:pres	savoir
pas	ADV	pas
non	FNO	non
ça	PRO:cls	ça
te	PRO:clo	te
fait	VER:pres	faire
peur	NOM	peur
bah	INT	bah
un	DET:ind	un
peu	NOM	peu
parce	TRC	parce
que	KON	que
xxx	NOM	<unknown>
manger	VER:infi	manger
hum	FNO	hum
bah	INT	bah
en	PRP	en
plus	ADV	plus
ils	PRO:cls	il
ils	PRO:cls	il
ont	VER:pres	avoir
une	DET:ind	un
grande	ADJ	grand
bouche	NOM	bouche
hum	FNO	hum
avec	PRP	avec
des	DET:ind	un
grandes	ADJ	grand
dents	NOM	dent
et	KON	et
tout	PRO:ind	tout
hum	FNO	hum
hum	FNO	hum
les	DET:def	le
crocodiles	NOM	crocodile
euh	INT	euh
là	ADV	là
euh	INT	euh
quand	KON	quand
ils	PRO:cls	il
euh	INT	euh
