hop	INT	hop
alors	ADV	alors
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
tu	PRO:cls	tu
veux	VER:pres	vouloir
pour	PRP	pour
Noël	NAM	Noël
.	NAM	<unknown>
tu	PRO:cls	tu
/veux	MLT	<unknown>
peux/	MLT	<unknown>
montrer	VER:infi	montrer
ou	KON	ou
pas	ADV	pas
.	VER:simp	<unknown>
je	PRO:cls	je
veux	VER:pres	vouloir
euh	INT	euh
xxx	NOM	<unknown>
ici	ADV	ici
je	PRO:cls	je
veux	VER:pres	vouloir
rien	PRO:ind	rien
ici	ADV	ici
oh	INT	oh
non	FNO	non
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
poupée	NOM	poupée
Barbie	VER:pper	<unknown>
ça	PRO:ton	ça
aussi	ADV	aussi
ça	PRO:cls	ça
te	PRO:clo	te
plaît	VER:pres	plaire
pas	ADV	pas
les	DET:def	le
poupées	NOM	poupée
Barbies	VER:pper	<unknown>
.	NAM	<unknown>
ah	INT	ah
ici	ADV	ici
je	PRO:cls	je
vais	VER:pres	aller
prendre	VER:infi	prendre
ça	PRO:ton	ça
tu	PRO:cls	tu
veux	VER:pres	vouloir
quoi	PRO:int	quoi
les	DET:def	le
euh	INT	euh
.	NAM	<unknown>
ou	KON	ou
euh	INT	euh
Spiderman	NAM	<unknown>
.	NAM	<unknown>
ben	INT	ben
je	PRO:cls	je
veux	VER:pres	vouloir
ça	PRO:ton	ça
ça	PRO:ton	ça
et	KON	et
ça	PRO:ton	ça
eh	INT	eh
ben	INT	ben
attends	VER:impe	attendre
eh	INT	eh
oh	INT	oh
mais	KON	mais
tu	PRO:cls	tu
veux	VER:pres	vouloir
tout	DET:pre	tout
ça	PRO:ton	ça
.	NAM	<unknown>
euh	INT	euh
tu	PRO:cls	tu
et	KON	et
ça	PRO:cls	ça
crois	VER:pres	croire
que	KON	que
le	DET:def	le
Père	NOM	père
Noël	NAM	Noël
il	PRO:cls	il
va	VER:pres	aller
t'	PRO:clo	te
apporter	VER:infi	apporter
tout	DET:pre	tout
ça	PRO:ton	ça
.	NAM	<unknown>
et	KON	et
ça	PRO:ton	ça
et	KON	et
ça	PRO:ton	ça
et	KON	et
ça	PRO:ton	ça
et	KON	et
ça	PRO:ton	ça
et	KON	et
ça	PRO:ton	ça
et	KON	et
ça	PRO:ton	ça
et	KON	et
ça	PRO:ton	ça
et	KON	et
ça	PRO:ton	ça
et	KON	et
ça	PRO:ton	ça
et	KON	et
ça	PRO:ton	ça
et	KON	et
ça	PRO:ton	ça
et	KON	et
ça	PRO:ton	ça
et	KON	et
ça	PRO:ton	ça
et	KON	et
ça	PRO:ton	ça
non	FNO	non
doucement	ADV	doucement
douce-	TRC	<unknown>
non	FNO	non
doucement	ADV	doucement
ça	PRO:ton	ça
ça	PRO:ton	ça
ça	PRO:ton	ça
ça	PRO:ton	ça
ça	PRO:ton	ça
ça	PRO:ton	ça
ça	PRO:ton	ça
ça	PRO:ton	ça
doucement	ADV	doucement
bon	INT	bon
alors	ADV	alors
là	ADV	là
comme	KON	comme
voiture	NOM	voiture
je	PRO:cls	je
veux	VER:pres	vouloir
ça	PRO:ton	ça
tu	PRO:cls	tu
veux	VER:pres	vouloir
celle-là	PRO:dem	celui-là
celle	PRO:dem	celui
de	PRP	de
ce	DET:dem	ce
oh	INT	oh
non	FNO	non
celle-là	PRO:dem	celui-là
xxx	NOM	<unknown>
ah	INT	ah
oui	FNO	oui
mais	KON	mais
tu	PRO:cls	tu
as	VER:pres	avoir
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
les	DET:def	le
roues	NOM	roue
.	NAM	<unknown>
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
comment	PRO:int	comment
c'	PRO:cls	ce
est	VER:pres	être
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
cher	ADJ	cher
en	PRP	en
plus	ADV	plus
-toi	PRO:clo	toi
tiens	VER:pres	tenir
droit	NOM	droit
s'	KON	si
il	PRO:clsi	il
te	PRO:clo	te
plaît	VER:pres	plaire
tu	PRO:cls	tu
préfères	VER:pres	préférer
alors	ADV	alors
tu	PRO:cls	tu
préfères	VER:pres	préférer
laquelle	PRO:int	lequel
alors	ADV	alors
des	PRP:det	du
deux	NUM	@card@
.	NOM	<unknown>
les	DET:def	le
là	ADV	là
là	ADV	là
dans	PRP	dans
toutes	DET:pre	tout
tu	PRO:cls	tu
les	PRO:clo	le
veux	VER:pres	vouloir
toutes	ADV	tout
encore	ADV	encore
mais	KON	mais
tu	PRO:cls	tu
es	VER:pres	être
