par	PRP	par
contre	ADV	contre
si	KON	si
vous	PRO:cls	vous
pouviez	VER:impf	pouvoir
parler	VER:infi	parler
un	DET:ind	un
peu	NOM	peu
plus	ADV	plus
il	PRO:cls	il
faut	VER:pres	falloir
que	KON	que
ça	PRO:cls	ça
fasse	VER:subp	faire
un	DET:ind	un
quart	NOM	quart
d'	PRP	un
heure	NOM	heure
ah	INT	ah
bon	INT	bon
ah	INT	ah
oui	FNO	oui
ah	INT	ah
oui	FNO	oui
alors	ADV	alors
enchainez	VER:impe	<unknown>
là	ADV	là
d'	PRP	un
habitude	NOM	habitude
tu	PRO:cls	tu
jactes	VER:pres	jacter
tout	DET:pre	tout
le	DET:def	le
temps	NOM	temps
alors	ADV	alors
vas	VER:impe	aller
y	PRO:clo	y
ouais	FNO	ouais
d'	PRP	un
habitude	NOM	habitude
tu	PRO:cls	tu
as	VER:pres	avoir
toujours	ADV	toujours
quelque	ADJ	<unknown>
chose	NOM	chose
à	PRP	à
dire	VER:infi	dire
toi	PRO:ton	toi
xxx	NOM	<unknown>
mais	KON	mais
vous	PRO:cls	vous
êtes	VER:pres	être
vraiment	ADV	vraiment
nuls	ADJ	nul
hein	INT	hein
je	PRO:cls	je
te	PRO:clo	te
jure	VER:pres	jurer
bah	INT	bah
non	FNO	non
qu'	PRO:rel	que
est	VER:pres	être
ce	PRO:dem	ce
que	PRO:rel	que
tu	PRO:cls	tu
veux	VER:pres	vouloir
que	KON	que
je	PRO:cls	je
te	PRO:clo	te
dise	VER:subp	dire
euh	INT	euh
il	PRO:cls	il
suffit	VER:pres	suffire
que	KON	que
euh	INT	euh
on	PRO:cls	on
demande	VER:pres	demander
pour	PRP	pour
un	DET:ind	un
un	DET:ind	un
truc	NOM	truc
pour	PRP	pour
qu'	KON	que
on	PRO:cls	on
on	PRO:cls	on
le	PRO:clo	le
fasse	VER:subp	faire
pas	ADV	pas
bah	INT	bah
oui	FNO	oui
mais	KON	mais
vous	PRO:cls	vous
êtes	VER:pres	être
nuls	ADJ	nul
qu'	PRO:rel	que
est	VER:pres	être
ce	PRO:dem	ce
que	PRO:rel	que
