alors	ADV	alors
donc	ADV	donc
euh	INT	euh
tu	PRO:cls	tu
voulais	VER:impf	vouloir
me	PRO:clo	me
faire	VER:infi	faire
part	NOM	part
d'	PRP	un
un	DET:ind	un
évènement	NOM	<unknown>
marquant	ADJ	marquant
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
souvenir	NOM	souvenir
d'	PRP	un
enfance	NOM	enfance
hum	FNO	hum
hum	FNO	hum
quand	KON	quand
je	PRO:cls	je
devais	VER:impf	devoir
avoir	VER:infi	avoir
huit	NUM	@card@
ou	KON	ou
dix	NUM	@card@
ans	NOM	an
hum	FNO	hum
avec	PRP	avec
euh	INT	euh
ma	DET:pos	mon
famille	NOM	famille
on	PRO:cls	on
avait	VER:impf	avoir
l'	DET:def	le
habitude	NOM	habitude
de	PRP	de
partir	VER:infi	partir
euh	INT	euh
chaque	DET:ind	chaque
année	NOM	année
un	DET:ind	un
mois	NOM	mois
entier	NOM	entier
quelque	ADJ	<unknown>
part	NOM	part
euh	INT	euh
en	PRP	en
France	NAM	France
d'	PRP	un
accord	NOM	accord
en	PRP	en
camping	NOM	camping
car	NOM	car
et	KON	et
euh	INT	euh
mes	DET:pos	mon
parents	NOM	parent
ont	AUX:pres	avoir
décidé	VER:pper	décider
de	PRP	de
faire	VER:infi	faire
un	DET:ind	un
voyage	NOM	voyage
dans	PRP	dans
le	DET:def	le
sud	NOM	sud
de	PRP	de
la	DET:def	le
France	NAM	France
quand	KON	quand
je	PRO:cls	je
dis	VER:pres	dire
sud	NOM	sud
c'	PRO:cls	ce
est	VER:pres	être
vraiment	ADV	vraiment
la	DET:def	le
moitié	NOM	moitié
euh	INT	euh
sud	NOM	sud
de	PRP	de
la	DET:def	le
France	NAM	France
hein	INT	hein
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
hum	FNO	hum
hum	FNO	hum
que	KON	que
la	DET:def	le
région	NOM	région
.	NAM	<unknown>
l'	DET:def	le
histoire	NOM	histoire
se	PRO:clo	se
passe	VER:pres	passer
plutôt	ADV	plutôt
vers	PRP	vers
euh	INT	euh
le	DET:def	le
Languedoc-Roussillon	NOM	<unknown>
hum	FNO	hum
hum	FNO	hum
et	KON	et
euh	INT	euh
mes	DET:pos	mon
parents	NOM	parent
aimaient	VER:impf	aimer
beaucoup	ADV	beaucoup
visiter	VER:infi	visiter
euh	INT	euh
des	DET:ind	un
châteaux	NOM	château
des	PRP:det	du
églises	NOM	église
en	PRP	en
clair	ADJ	clair
le	DET:def	le
le	DET:def	le
patrimoine	NOM	patrimoine
bâti	VER:pper	bâtir
hum	FNO	hum
hum	FNO	hum
et	KON	et
euh	INT	euh
ça	PRO:cls	ça
a	AUX:pres	avoir
eu	VER:pper	avoir
euh	INT	euh
beaucoup	ADV	beaucoup
de	PRP	de
conséquences	NOM	conséquence
sur	PRP	sur
euh	INT	euh
sur	PRP	sur
ma	DET:pos	mon
vie	NOM	vie
notamment	ADV	notamment
parce	TRC	parce
que	KON	que
j'	PRO:cls	je
ai	AUX:pres	avoir
choisi	VER:pper	choisir
de	PRP	de
travailler	VER:infi	travailler
dans	PRP	dans
la	DET:def	le
promotion	NOM	promotion
du	PRP:det	du
patrimoine	NOM	patrimoine
d'	PRP	un
accord	NOM	accord
comme	KON	comme
guide	NOM	guide
euh	INT	euh
touristique	ADJ	touristique
et	KON	et
comme	KON	comme
animateur	NOM	animateur
du	PRP:det	du
patrimoine	NOM	patrimoine
hum	FNO	hum
hum	FNO	hum
et	KON	et
ce	PRO:dem	ce
qui	PRO:rel	qui
m'	PRO:clo	me
a	AUX:pres	avoir
amené	VER:pper	amener
à	PRP	à
à	PRP	à
être	VER:infi	être
euh	INT	euh
guide	NOM	guide
c'	PRO:cls	ce
est	VER:pres	être
notamment	ADV	notamment
la	DET:def	le
visite	NOM	visite
euh	INT	euh
d'	PRP	un
un	DET:ind	un
lieu	NOM	lieu
en	PRP	en
particulier	ADJ	particulier
hum	FNO	hum
hum	FNO	hum
un	DET:ind	un
lieu	NOM	lieu
que	KON	que
je	PRO:cls	je
pense	VER:pres	penser
qui	PRO:rel	qui
est	VER:pres	être
parmi	ADV	parmi
l-	TRC	l-
l'	DET:def	le
un	DET:ind	un
des	DET:ind	un
lieux	NOM	lieu
les	DET:def	le
plus	ADV	plus
magiques	ADJ	magique
qui	PRO:rel	qui
soit	AUX:subp	être
en	PRP	en
France	NAM	France
magique	ADJ	magique
magique	ADJ	magique
même	ADV	même
si	KON	si
ce	PRO:cls	ce
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
celui	PRO:dem	celui
euh	INT	euh
hum	FNO	hum
dont	PRO:rel	dont
on	PRO:cls	on
parle	VER:pres	parler
le	DET:def	le
plus	ADV	plus
magique	ADJ	magique
parce	TRC	parce
que	KON	que
magnifique	ADJ	magnifique
hum	FNO	hum
hum	FNO	hum
et	KON	et
parce	TRC	parce
que	KON	que
on	PRO:cls	on
sent	VER:pres	sentir
vraiment	ADV	vraiment
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
lieu	NOM	lieu
qui	PRO:rel	qui
a	VER:pres	avoir
qui	PRO:rel	qui
a	VER:pres	avoir
une	DET:ind	un
âme	NOM	âme
d'	PRP	un
accord	NOM	accord
et	KON	et
il	PRO:clsi	il
s'	PRO:clo	se
agit	VER:pres	agir
d'	PRP	un
une	DET:ind	un
cathédrale	NOM	cathédrale
ah	INT	ah
oui	FNO	oui
ça	PRO:cls	ça
s'	PRO:clo	se
appelle	VER:pres	appeler
la	DET:def	le
la	DET:def	le
cathédrale	NOM	cathédrale
d'	PRP	un
Albi	NOM	<unknown>
hum	FNO	hum
et	KON	et
ce	PRO:dem	ce
qu'	PRO:rel	que
elle	PRO:cls	elle
a	VER:pres	avoir
de	PRP	de
particulier	ADJ	particulier
déjà	ADV	déjà
c'	PRO:cls	ce
est	VER:pres	être
qu'	KON	que
elle	PRO:cls	elle
est	VER:pres	être
euh	INT	euh
fortifiée	VER:pper	fortifier
et	KON	et
je	PRO:cls	je
me	PRO:clo	me
souviens	VER:pres	souvenir
qu'	KON	que
il	PRO:cls	il
faut	VER:pres	falloir
euh	INT	euh
dans	PRP	dans
mon	DET:pos	mon
souvenir	NOM	souvenir
d'	PRP	un
enfance	NOM	enfance
hein	INT	hein
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
si	KON	si
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
réalité	NOM	réalité
ou	KON	ou
mais	KON	mais
dans	PRP	dans
mon	DET:pos	mon
souvenir	NOM	souvenir
c'	PRO:cls	ce
est	VER:pres	être
qu'	KON	que
il	PRO:cls	il
fallait	VER:impf	falloir
marcher	VER:infi	marcher
beaucoup	ADV	beaucoup
je	PRO:cls	je
pense	VER:pres	penser
qu'	KON	que
on	PRO:cls	on
a	VER:pres	avoir
des	DET:ind	un
petites	ADJ	petit
jambes	NOM	jambe
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
évident	ADJ	évident
il	PRO:cls	il
fallait	VER:impf	falloir
marcher	VER:infi	marcher
beaucoup	ADV	beaucoup
c'	PRO:cls	ce
était	VER:impf	être
en	PRP	en
un	DET:ind	un
peu	NOM	peu
en	PRP	en
pente	NOM	pente
je	PRO:cls	je
me	PRO:clo	me
souviens	VER:pres	souvenir
que	KON	que
la	DET:def	le
cathédrale	NOM	cathédrale
était	VER:impf	être
sur	PRP	sur
une	DET:ind	un
coline	NOM	<unknown>
et	KON	et
