eh	INT	eh
ben	INT	ben
écoute	VER:impe	écouter
je	PRO:cls	je
t'	PRO:clo	te
écoute	VER:pres	écouter
alors	ADV	alors
si	KON	si
tu	PRO:cls	tu
veux	VER:pres	vouloir
le	PRO:clo	le
raconter	VER:infi	raconter
c'	PRO:cls	ce
est	VER:pres	être
bon	INT	bon
tu	PRO:cls	tu
arrives	VER:pres	arriver
à	PRP	à
le	PRO:clo	le
prendre	VER:infi	prendre
?	NAM	<unknown>
voilà	FNO	voilà
Pamela	NAM	<unknown>
elle	PRO:cls	elle
a	VER:pres	avoir
faim	NOM	faim
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
page	NOM	page
un	DET:ind	un
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
page	NOM	page
oui	FNO	oui
page	NOM	page
deux	NUM	@card@
oui	FNO	oui
tu	PRO:cls	tu
me	PRO:clo	me
racontes	VER:pres	raconter
la	DET:def	le
page	NOM	page
un	DET:ind	un
alors	ADV	alors
.	VER:simp	<unknown>
oui	FNO	oui
Pamela	NAM	<unknown>
elle	PRO:cls	elle
a	VER:pres	avoir
faim	NOM	faim
oui	FNO	oui
et	KON	et
et	KON	et
et	KON	et
elle	PRO:cls	elle
veut	VER:pres	vouloir
elle	PRO:cls	elle
veut	VER:pres	vouloir
du	DET:par	du
pain	NOM	pain
avec	PRP	avec
le	DET:def	le
beurre	NOM	beurre
et	KON	et
le	DET:def	le
miel	NOM	miel
oui	FNO	oui
elle	PRO:ton	elle
elle	PRO:cls	elle
elle	PRO:cls	elle
a	AUX:pres	avoir
trouvé	VER:pper	trouver
le	DET:def	le
pain	NOM	pain
elle	PRO:cls	elle
prend	VER:pres	prendre
un	DET:ind	un
oui	FNO	oui
elle	PRO:cls	elle
a	AUX:pres	avoir
trouvé	VER:pper	trouver
du	PRP:det	du
pain	NOM	pain
et	KON	et
elle	PRO:cls	elle
va	VER:pres	aller
le	PRO:clo	le
prendre	VER:infi	prendre
dans	PRP	dans
la	DET:def	le
corbeille	NOM	corbeille
elle	PRO:cls	elle
pr-	TRC	<unknown>
elle	PRO:cls	elle
prend	VER:pres	prendre
le	DET:def	le
beurre	NOM	beurre
dans	PRP	dans
le	DET:def	le
frigidaire	NOM	frigidaire
oui	FNO	oui
elle	PRO:cls	elle
prend	VER:pres	prendre
le	DET:def	le
le	DET:def	le
beurre	NOM	beurre
dans	PRP	dans
le	DET:def	le
frigidaire	NOM	frigidaire
elle	PRO:cls	elle
prend	VER:pres	prendre
le	DET:def	le
miel	NOM	miel
dans	PRP	dans
dans	PRP	dans
le	DET:def	le
placard	NOM	placard
oui	FNO	oui
tourne	VER:pres	tourner
la	DET:def	le
page	NOM	page
ouais	FNO	ouais
elle	PRO:cls	elle
s'	PRO:clo	se
appelle	VER:pres	appeler
qui	PRO:rel	qui
déjà	ADV	déjà
.	NAM	<unknown>
Pamela	NAM	<unknown>
Pamela	NAM	<unknown>
elle	PRO:cls	elle
prend	VER:pres	prendre
le	DET:def	le
miel	NOM	miel
et	KON	et
elle	PRO:cls	elle
prend	VER:pres	prendre
avec	PRP	avec
son	DET:pos	son
couteau	NOM	couteau
elle	PRO:cls	elle
prend	VER:pres	prendre
du	DET:par	du
beurre	NOM	beurre
et	KON	et
puis	KON	puis
beurre	NOM	beurre
sur	PRP	sur
avec	PRP	avec
son	DET:pos	son
couteau	NOM	couteau
oui	FNO	oui
avec	PRP	avec
son	DET:pos	son
cout-	NOM	<unknown>
couteau	NOM	couteau
elle	PRO:cls	elle
étale	VER:pres	étaler
le	DET:def	le
beurre	NOM	beurre
puis	KON	puis
le	DET:def	le
miel	NOM	miel
oui	FNO	oui
et	KON	et
puis	KON	puis
dit	VER:pper	dire
miam	NOM	<unknown>
miam	NOM	<unknown>
miam	NOM	<unknown>
oui	FNO	oui
elle	PRO:cls	elle
est	VER:pres	être
bonne	ADJ	bon
ma	DET:pos	mon
tartine	NOM	tartine
du	PRP:det	du
goûter	NOM	goûter
Pamela	NOM	<unknown>
dit	VER:pper	dire
miam	NOM	<unknown>
miam	NOM	<unknown>
miam	NOM	<unknown>
elle	PRO:cls	elle
est	VER:pres	être
bonne	ADJ	bon
ma	DET:pos	mon
tartine	NOM	tartine
du	PRP:det	du
goûter	NOM	goûter
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
Vincent	NAM	<unknown>
on	PRO:cls	on
arrête	VER:pres	arrêter
là	ADV	là
.	NOM:sig	<unknown>
