bon	INT	bon
¤Pren¤	NAM	<unknown>
comment	PRO:int	comment
euh	INT	euh
t'	PRO:clo	te
as	AUX:pres	avoir
eu	VER:pper	avoir
l'	DET:def	le
idée	NOM	idée
de	PRP	de
devenir	VER:infi	devenir
conducteur	ADJ	conducteur
de	PRP	de
train	NOM	train
hé	INT	hé
ben	INT	ben
c'	PRO:cls	ce
était	VER:impf	être
l'	DET:def	le
année	NOM	année
dernière	ADJ	dernier
en	PRP	en
fait	NOM	fait
euh	INT	euh
j'	PRO:cls	je
ai	AUX:pres	avoir
décidé	VER:pper	décider
de	PRP	de
euh	INT	euh
de	PRP	de
euh	INT	euh
vouloir	VER:infi	vouloir
travailler	VER:infi	travailler
à	PRP	à
la	DET:def	le
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
en	PRO:clo	en
fait	VER:pres	faire
hum	FNO	hum
hum	FNO	hum
et	KON	et
donc	ADV	donc
il	PRO:clsi	il
y	PRO:clo	y
a	AUX:pres	avoir
eu	VER:pper	avoir
des	DET:ind	un
donc	ADV	donc
une	DET:ind	un
opportunité	NOM	opportunité
un	DET:ind	un
petit	ADJ	petit
peu	NOM	peu
de	PRP	de
pouvoir	VER:infi	pouvoir
euh	INT	euh
ben	INT	ben
s'	PRO:clo	se
inscrire	VER:infi	inscrire
sur	PRP	sur
le	DET:def	le
sur	PRP	sur
le	DET:def	le
site	NOM	site
de	PRP	de
recrutement	NOM	recrutement
de	PRP	de
la	DET:def	le
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
donc	ADV	donc
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
parce	TRC	parce
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
tout	PRO:ind	tout
en	PRP	en
ligne	NOM	ligne
c'	PRO:cls	ce
est	VER:pres	être
tout	PRO:ind	tout
sur	PRP	sur
internet	NOM	Internet
maintenant	ADV	maintenant
et	KON	et
donc	ADV	donc
euh	INT	euh
donc	ADV	donc
j'	PRO:cls	je
ai	AUX:pres	avoir
constitué	VER:pper	constituer
un	DET:ind	un
dossier	NOM	dossier
sur	PRP	sur
le	DET:def	le
site	NOM	site
et	KON	et
puis	KON	puis
euh	INT	euh
donc	ADV	donc
j'	PRO:cls	je
ai	AUX:pres	avoir
rempli	VER:pper	remplir
mes	DET:pos	mon
informations	NOM	information
mon	DET:pos	mon
niveau	NOM	niveau
d'	PRP	un
étude	NOM	étude
tout	DET:pre	tout
ça	PRO:ton	ça
et	KON	et
j'	PRO:cls	je
ai	AUX:pres	avoir
coché	VER:pper	cocher
les	DET:def	le
les	DET:def	le
types	NOM	type
de	PRP	de
métiers	NOM	métier
et	KON	et
les	DET:def	le
et	KON	et
les	DET:def	le
les	DET:def	le
comment	PRO:int	comment
dire	VER:infi	dire
les	DET:def	le
filières	NOM	filière
c'	PRO:cls	ce
est	VER:pres	être
à	PRP	à
dire	VER:infi	dire
