¤P¤	NAM	¤P¤
Tania	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
module	NOM	module
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
de	PRP	de
l'	DET:def	le
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
.	NAM	<unknown>
année	NOM	année
quatre-vingt-dix-huit	NUM	<unknown>
quatre-vingt-dix-neuf	NUM	@card@
enfant	NOM	enfant
Gabriel	ADJ	<unknown>
âgé	ADJ	âgé
de	PRP	de
¤C¤	NAM	<unknown>
.	NAM	<unknown>
tu	PRO:cls	tu
as	AUX:pres	avoir
commandé	VER:pper	commander
déjà	ADV	déjà
.	VER:simp	<unknown>
et	KON	et
moi	PRO:ton	moi
j'	PRO:cls	je
ai	VER:pres	avoir
pas	ADV	pas
tout	PRO:ind	tout
commandé	VER:pper	commander
dé-	TRC	dé-
dé-	TRC	dé-
déjà	ADV	déjà
j'	PRO:cls	je
en	PRO:clo	en
ai	AUX:pres	avoir
commandé	VER:pper	commander
deux	NUM	@card@
j'	PRO:cls	je
en	PRO:clo	en
ai	AUX:pres	avoir
déjà	ADV	déjà
commandé	VER:pper	commander
tous	DET:pre	tout
les	DET:def	le
jours	NOM	jour
alors	ADV	alors
j'	PRO:cls	je
en	PRO:clo	en
ai	AUX:pres	avoir
commandé	VER:pper	commander
tous	DET:pre	tout
les	DET:def	le
jours	NOM	jour
là	ADV	là
aujour-	VER:simp	<unknown>
.	NOM:sig	<unknown>
où	PRO:rel	où
c'	PRO:cls	ce
était	VER:impf	être
pas	ADV	pas
Noël	NAM	Noël
hum	FNO	hum
alors	ADV	alors
hum	FNO	hum
alors	ADV	alors
c'	PRO:cls	ce
est	VER:pres	être
et	KON	et
alors	ADV	alors
maintenant	ADV	maintenant
j'	PRO:cls	je
en	PRO:clo	en
ai	AUX:pres	avoir
commandé	VER:pper	commander
beaucoup	ADV	beaucoup
.	VER:simp	<unknown>
presque	ADV	presque
jusqu'	PRP	jusque
à	PRP	à
maintenant	ADV	maintenant
ben	INT	ben
alors	ADV	alors
et	KON	et
ben	INT	ben
dis	VER:pres	dire
donc	ADV	donc
et	KON	et
.	NAM	<unknown>
et	KON	et
tu	PRO:cls	tu
as	AUX:pres	avoir
pris	VER:pper	prendre
quoi	INT	quoi
.	NAM	<unknown>
tu	PRO:cls	tu
as	AUX:pres	avoir
pris	VER:pper	prendre
des	DET:ind	un
des	DET:ind	un
nounours	NOM	<unknown>
des	PRP:det	du
puzzles	NOM	puzzle
.	NAM	<unknown>
et	KON	et
après	ADV	après
j'	PRO:cls	je
ai	AUX:pres	avoir
commandé	VER:pper	commander
ma	DET:pos	mon
lampe	NOM	lampe
ta	DET:pos	ton
lampe	NOM	lampe
.	NAM	<unknown>
oui	FNO	oui
une	DET:ind	un
lampe	NOM	lampe
de	PRP	de
quoi	INT	quoi
.	VER:impe	<unknown>
une	DET:ind	un
lampe	NOM	lampe
euh	INT	euh
de	PRP	de
garçon	NOM	garçon
une	DET:ind	un
lampe	NOM	lampe
de	PRP	de
garçon	NOM	garçon
.	NAM	<unknown>
oui	FNO	oui
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
une	DET:ind	un
lampe	NOM	lampe
pour	PRP	pour
les	DET:def	le
garçons	NOM	garçon
et	KON	et
une	DET:ind	un
lampe	NOM	lampe
pour	PRP	pour
les	DET:def	le
filles	NOM	fille
.	NAM	<unknown>
oui	FNO	oui
mais	KON	mais
ma	DET:pos	mon
petite	ADJ	petit
soeur	NOM	soeur
elle	PRO:cls	elle
a	VER:pres	avoir
déjà	ADV	déjà
une	DET:ind	un
lampe	NOM	lampe
mais	KON	mais
pas	ADV	pas
.	VER:simp	<unknown>
euh	INT	euh
.	NAM	<unknown>
/eu	MLT	<unknown>
mais/	MLT	<unknown>
par	PRP	par
le	DET:def	le
Père	NOM	père
Noël	NAM	Noël
elle	PRO:cls	elle
s'	PRO:clo	se
est	AUX:pres	être
eu	VER:pper	avoir
elle	PRO:cls	elle
s'	PRO:clo	se
est	AUX:pres	être
eu	VER:pper	avoir
euh	INT	euh
par	PRP	par
le	DET:def	le
m-	TRC	m-
magasin	NOM	magasin
mais	KON	mais
moi	PRO:ton	moi
je	PRO:cls	je
l'	PRO:clo	le
ai	AUX:pres	avoir
pas	ADV	pas
vu	VER:pper	voir
acheter	VER:infi	acheter
hein	INT	hein
.	NAM	<unknown>
hum	FNO	hum
hum	FNO	hum
ben	INT	ben
oui	FNO	oui
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
lampe	NOM	lampe
pour	PRP	pour
mettre	VER:infi	mettre
euh	INT	euh
à	PRP	à
ton	DET:pos	ton
lit	NOM	lit
.	NAM	<unknown>
non	FNO	non
non	FNO	non
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
lampe	NOM	lampe
pour	PRP	pour
quoi	INT	quoi
faire	VER:infi	faire
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
pour	PRP	pour
une	DET:ind	un
lampe	NOM	lampe
parce	TRC	parce
que	KON	que
j'	PRO:cls	je
ai	AUX:pres	avoir
.	VER:pper	<unknown>
peur	NOM	peur
du	PRP:det	du
noir	ADJ	noir
ah	INT	ah
parce	TRC	parce
que	KON	que
tu	PRO:cls	tu
as	VER:pres	avoir
peur	NOM	peur
du	PRP:det	du
noir	ADJ	noir
oui	FNO	oui
mais	KON	mais
j'	PRO:cls	je
ai	VER:pres	avoir
déjà	ADV	déjà
une	DET:ind	un
épée	NOM	épée
euh	INT	euh
qui	PRO:rel	qui
s'	PRO:clo	se
allume	VER:pres	allumer
avec	PRP	avec
de	PRP	de
la	DET:def	le
lumière	NOM	lumière
ah	INT	ah
et	KON	et
tu	PRO:cls	tu
l'	PRO:clo	le
allumes	VER:pres	allumer
la	DET:def	le
nuit	NOM	nuit
.	NAM	<unknown>
euh	INT	euh
xxx	NOM	<unknown>
ben	INT	ben
non	FNO	non
parce	TRC	parce
que	KON	que
euh	INT	euh
j'	PRO:cls	je
ai	VER:pres	avoir
pas	ADV	pas
le	DET:def	le
droit	NOM	droit
tu	PRO:cls	tu
as	VER:pres	avoir
pas	ADV	pas
le	DET:def	le
droit	NOM	droit
.	NAM	<unknown>
hum	FNO	hum
ah	INT	ah
ben	INT	ben
dis	VER:pres	dire
donc	ADV	donc
ma	DET:pos	mon
maman	NOM	maman
elle	PRO:cls	elle
me	PRO:clo	me
dit	VER:pres	dire
que	KON	que
j'	PRO:cls	je
ai	VER:pres	avoir
pas	ADV	pas
le	DET:def	le
droit	NOM	droit
pourquoi	PRO:int	pourquoi
.	NAM	<unknown>
xxx	NOM	<unknown>
troisième	ADJ	troisième
fois	NOM	fois
Maman	NOM	maman
d-	TRC	d-
allumer	VER:infi	allumer
les	DET:def	le
lumières	NOM	lumière
de	PRP	de
mon	DET:pos	mon
épée	NOM	épée
dans	PRP	dans
le	DET:def	le
la	DET:def	le
nuit	NOM	nuit
elle	PRO:cls	elle
me	PRO:clo	me
dit	VER:pres	dire
non	FNO	non
tu	PRO:cls	tu
as	VER:pres	avoir
pas	ADV	pas
le	DET:def	le
droit	NOM	droit
d'	PRP	un
allumer	VER:infi	allumer
ton	DET:pos	ton
épée	NOM	épée
dans	PRP	dans
la	DET:def	le
nuit	NOM	nuit
.	NAM	<unknown>
oui	FNO	oui
hum	FNO	hum
et	KON	et
ben	INT	ben
je	PRO:cls	je
dors	VER:pres	dormir
je	PRO:cls	je
tant	ADV	tant
xxx	NOM	<unknown>
pendant	PRP	pendant
que	KON	que
j'	PRO:cls	je
ai	VER:pres	avoir
pas	ADV	pas
ma	DET:pos	mon
lampe	NOM	lampe
je	PRO:cls	je
dors	VER:pres	dormir
pas	ADV	pas
hein	INT	hein
.	NAM	<unknown>
tant	ADV	tant
que	KON	que
tu	PRO:cls	tu
as	VER:pres	avoir
pas	ADV	pas
ta	DET:pos	ton
lampe	NOM	lampe
tu	PRO:cls	tu
dors	VER:pres	dormir
pas	ADV	pas
.	NOM:sig	<unknown>
oui	FNO	oui
avant	ADV	avant
j'	PRO:cls	je
aimais	VER:impf	aimer
le	DET:def	le
noir	ADJ	noir
maintenant	ADV	maintenant
j'	PRO:cls	je
aime	VER:pres	aimer
plus	ADV	plus
.	ADJ	<unknown>
et	KON	et
avant	ADV	avant
j'	PRO:cls	je
aimais	VER:impf	aimer
pas	ADV	pas
le	DET:def	le
noir	ADJ	noir
après	ADV	après
j'	PRO:cls	je
aimais	VER:impf	aimer
le	DET:def	le
noir	ADJ	noir
maintenant	ADV	maintenant
j'	PRO:cls	je
aime	VER:pres	aimer
plus	ADV	plus
le	DET:def	le
noir	ADJ	noir
tu	PRO:cls	tu
as	AUX:pres	avoir
vu	VER:pper	voir
.	NAM	<unknown>
hum	FNO	hum
hum	FNO	hum
je	PRO:cls	je
je	PRO:cls	je
change	VER:pres	changer
toujours	ADV	toujours
d'	PRP	un
avis	NOM	avis
moi	PRO:ton	moi
ben	INT	ben
oui	FNO	oui
hein	INT	hein
?	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
parce	TRC	parce
que	KON	que
c'	PRO:cls	ce
est	VER:pres	être
normal	ADJ	normal
hein	INT	hein
?	NAM	<unknown>
ça	PRO:cls	ça
arrive	VER:pres	arriver
hein	INT	hein
.	NAM	<unknown>
mais	KON	mais
aujourd'hui	ADV	aujourd'hui
j'	PRO:cls	je
ai	AUX:pres	avoir
pas	ADV	pas
changé	VER:pper	changer
d'	PRP	un
avis	NOM	avis
tous	DET:pre	tout
les	DET:def	le
jours	NOM	jour
euh	INT	euh
maintenant	ADV	maintenant
j'	PRO:cls	je
ai	AUX:pres	avoir
changé	VER:pper	changer
d'	PRP	un
avis	NOM	avis
alors	ADV	alors
et	KON	et
tu	PRO:cls	tu
as	AUX:pres	avoir
commandé	VER:pper	commander
quoi	INT	quoi
pour	PRP	pour
l'	DET:def	le
instant	NOM	instant
.	NAM	<unknown>
ben	INT	ben
la	DET:def	le
avant	NOM	avant
la	DET:def	le
lampe	NOM	lampe
et	KON	et
après	ADV	après
euh	INT	euh
des	DET:ind	un
petits	ADJ	petit
trains	NOM	train
comme	KON	comme
ça	PRO:cls	ça
.	VER:cond	<unknown>
euh	INT	euh
non	FNO	non
non	FNO	non
.	NAM	<unknown>
j'	PRO:cls	je
ai	VER:pres	avoir
comman-	TRC	<unknown>
j-	TRC	j-
j'	PRO:cls	je
en	PRO:clo	en
ai	AUX:pres	avoir
déjà	ADV	déjà
trois	NUM	@card@
paires	NOM	paire
de	PRP	de
trains	NOM	train
tu	PRO:cls	tu
as	VER:pres	avoir
trois	NUM	@card@
paires	NOM	paire
de	PRP	de
trains	NOM	train
.	NAM	<unknown>
oui	FNO	oui
un	DET:ind	un
un	DET:ind	un
xxx	NOM	<unknown>
un	DET:ind	un
train	NOM	train
que	KON	que
Lisa	NAM	<unknown>
elle	PRO:cls	elle
a	VER:pres	avoir
j'	PRO:cls	je
ai	AUX:pres	avoir
p-	TRC	p-
pas	ADV	pas
le	DET:def	le
droit	NOM	droit
de	PRP	de
faire	VER:infi	faire
quand	KON	quand
Lisa	NAM	<unknown>
est	VER:pres	être
là	ADV	là
parce	TRC	parce
que	KON	que
il	PRO:cls	il
fait	VER:pres	faire
trop	ADV	trop
fort	ADJ	fort
hum	FNO	hum
hum	FNO	hum
ah	INT	ah
ouais	FNO	ouais
parce	TRC	parce
oui	FNO	oui
que	KON	que
elle	PRO:cls	elle
fait	VER:pres	faire
la	DET:def	le
sieste	NOM	sieste
ça	PRO:cls	ça
la	PRO:clo	le
réveille	VER:pres	réveiller
.	NAM	<unknown>
oui	FNO	oui
mais	KON	mais
xxx	NOM	<unknown>
même	ADJ	même
xxx	NOM	<unknown>
/elle	MLT	<unknown>
est	VER:pres	être
aller/	ADJ	<unknown>
debout	ADV	debout
ça	PRO:cls	ça
ç-	TRC	ç-
elle	PRO:cls	elle
xxx	NOM	<unknown>
elle	PRO:cls	elle
pleure	VER:pres	pleurer
hein	INT	hein
?	NAM	<unknown>
ce	DET:dem	ce
.	NOM:sig	<unknown>
gros	ADJ	gros
train	NOM	train
là	ADV	là
ah	INT	ah
même	ADV	même
quand	KON	quand
elle	PRO:cls	elle
fait	VER:pres	faire
pas	ADV	pas
la	DET:def	le
sieste	NOM	sieste
elle	PRO:cls	elle
pleure	VER:pres	pleurer
si	KON	si
tu	PRO:cls	tu
mets	VER:pres	mettre
ton	DET:pos	ton
oui	FNO	oui
gros	ADJ	gros
train	NOM	train
.	NAM	<unknown>
oui	FNO	oui
et	KON	et
même	ADV	même
si	KON	si
e-	TRC	e-
même	ADV	même
si	KON	si
elle	PRO:cls	elle
fait	VER:pres	faire
pas	ADV	pas
dodo	NOM	dodo
elle	PRO:cls	elle
p-	TRC	p-
elle	PRO:cls	elle
pleure	VER:pres	pleurer
hum	FNO	hum
hum	FNO	hum
et	KON	et
même	ADV	même
si	KON	si
elle	PRO:cls	elle
fait	VER:pres	faire
dodo	NOM	dodo
elle	PRO:cls	elle
pleure	VER:pres	pleurer
ma	DET:pos	mon
soeur	NOM	soeur
ben	INT	ben
ouais	FNO	ouais
parce	TRC	parce
que	KON	que
ça	PRO:cls	ça
la	PRO:clo	le
réveille	VER:pres	réveiller
et	KON	et
puis	KON	puis
xxx	NOM	<unknown>
est	VER:pres	être
à	PRP	à
la	DET:def	le
crèche	NOM	crèche
j'	PRO:cls	je
ai	VER:pres	avoir
le	DET:def	le
droit	NOM	droit
de	PRP	de
le	PRO:clo	le
faire	VER:infi	faire
ce	DET:dem	ce
train-là	NOM	<unknown>
ah	INT	ah
oui	FNO	oui
.	NAM	<unknown>
oui	FNO	oui
à	PRP	à
la	DET:def	le
crèche	NOM	crèche
.	NAM	<unknown>
mais	KON	mais
maintenant	ADV	maintenant
j'	PRO:cls	je
ai	VER:pres	avoir
per-	TRC	per-
j'	PRO:cls	je
ai	AUX:pres	avoir
perdu	VER:pper	perdre
mais	KON	mais
mais	KON	mais
je	PRO:cls	je
vais	VER:pres	aller
en	PRP	en
je	PRO:cls	je
vais	VER:pres	aller
en	PRO:clo	en
commander	VER:infi	commander
un	DET:ind	un
autre	ADJ	autre
jusqu'	PRP	jusque
au	PRP:det	au
bout	NOM	bout
de	PRP	de
mon	DET:pos	mon
tour	NOM	tour
de	PRP	de
ma	DET:pos	mon
chambre	NOM	chambre
mais	KON	mais
mais	KON	mais
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
une	DET:ind	un
autre	ADJ	autre
maison	NOM	maison
au-dessus	ADV	au-dessus
de	PRP	de
ma	DET:pos	mon
maison	NOM	maison
hein	INT	hein
.	NAM	<unknown>
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
une	DET:ind	un
autre	ADJ	autre
maison	NOM	maison
xxx	NOM	<unknown>
au-dessus	ADV	au-dessus
de	PRP	de
ta	DET:pos	ton
maison	NOM	maison
.	NAM	<unknown>
oui	FNO	oui
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
plein	ADV	plein
de	PRP	de
maisons	NOM	maison
au-dessus	ADV	au-dessus
de	PRP	de
notre	DET:pos	notre
des	DET:ind	un
maisons	NOM	maison
et	KON	et
tu	PRO:cls	tu
les	PRO:clo	le
connais	VER:pres	connaître
tous	DET:pre	tout
les	DET:def	le
gens	NOM	gens
qui	PRO:rel	qui
sont	VER:pres	être
au-dessus	ADV	au-dessus
de	PRP	de
ta	DET:pos	ton
maison	NOM	maison
.	NAM	<unknown>
non	FNO	non
non	FNO	non
.	NAM	<unknown>
mais	KON	mais
il	PRO:clsi	il
y	PRO:clo	y
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
quatre	NUM	@card@
mais	KON	mais
mais	KON	mais
il	PRO:clsi	il
y	PRO:clo	y
en	PRO:clo	en
a	VER:pres	avoir
