bonjour	FNO	bonjour
ça	PRO:cls	ça
va	VER:pres	aller
.	NAM	<unknown>
oui	FNO	oui
alors	ADV	alors
on	PRO:cls	on
va	VER:pres	aller
lire	VER:infi	lire
une	DET:ind	un
petite	ADJ	petit
histoire	NOM	histoire
ensemble	ADV	ensemble
.	VER:simp	<unknown>
oui	FNO	oui
d'	PRP	un
accord	NOM	accord
.	NAM	<unknown>
et	KON	et
pourquoi	PRO:int	pourquoi
ça	PRO:cls	ça
enregistre	VER:pres	enregistrer
pas	ADV	pas
ma	DET:pos	mon
voix-là	NOM	<unknown>
.	NAM	<unknown>
si	KON	si
ça	PRO:cls	ça
enregistre	VER:pres	enregistrer
là	ADV	là
mais	KON	mais
euh	INT	euh
on	PRO:cls	on
réécoutera	VER:futu	<unknown>
après	ADV	après
ensemble	ADV	ensemble
d'	PRP	un
accord	NOM	accord
?	NAM	<unknown>
comme	KON	comme
ça	PRO:ton	ça
tu	PRO:cls	tu
entendras	VER:futu	entendre
ta	DET:pos	ton
voix	NOM	voix
alors	ADV	alors
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
là	ADV	là
l'	DET:def	le
histoire	NOM	histoire
qu'	KON	que
on	PRO:cls	on
que	KON	que
je	PRO:cls	je
vais	VER:pres	aller
te	PRO:clo	te
raconter	VER:infi	raconter
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
petite	ADJ	petit
souris	NOM	souris
qui	PRO:rel	qui
attrape	VER:pres	attraper
qui	PRO:rel	qui
attrape	VER:pres	attraper
les	DET:def	le
dents	NOM	dent
de	PRP	de
lapin	NOM	lapin
qui	PRO:rel	qui
attrape	VER:pres	attraper
les	DET:def	le
dents	NOM	dent
de	PRP	de
lapin	NOM	lapin
.	NAM	<unknown>
oui	FNO	oui
xxx	NOM	<unknown>
elles	PRO:cls	elle
se	PRO:clo	se
alors	ADV	alors
elles	PRO:cls	elle
sont	AUX:pres	être
tombées	VER:pper	tomber
elles	PRO:cls	elle
sont	AUX:pres	être
tombées	VER:pper	tomber
.	NAM	<unknown>
oui	FNO	oui
à	PRP	à
cause	NOM	cause
de	PRP	de
quoi	INT	quoi
.	NAM	<unknown>
eh	INT	eh
ben	INT	ben
tu	PRO:cls	tu
vas	VER:pres	aller
voir	VER:infi	voir
ah	INT	ah
bon	INT	bon
?	NAM	<unknown>
alors	ADV	alors
c'	PRO:cls	ce
était	VER:impf	être
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
très	ADV	très
longtemps	ADV	longtemps
hum	FNO	hum
lorsque	KON	lorsque
les	DET:def	le
petits	ADJ	petit
lapins	NOM	lapin
comme	KON	comme
les	DET:def	le
petits	ADJ	petit
enfants	NOM	enfant
perdaient	VER:impf	perdre
leurs	DET:pos	leur
dents	NOM	dent
de	PRP	de
lait	NOM	lait
alors	ADV	alors
qu'	KON	que
-ce	PRO:dem	ce
est	VER:pres	être
qu'	KON	que
ils	PRO:cls	il
font	VER:pres	faire
là	ADV	là
Antoine	NAM	<unknown>
.	NAM	<unknown>
eh	INT	eh
ben	INT	ben
ils	PRO:cls	il
eh	INT	eh
ben	INT	ben
ils	PRO:cls	il
vont	VER:pres	aller
s'	PRO:clo	se
endormir	VER:infi	se endormir
ils	PRO:cls	il
vont	VER:pres	aller
s'	PRO:clo	se
endormir	VER:infi	se endormir
oui	FNO	oui
mais	KON	mais
ils	PRO:cls	il
sont	VER:pres	être
beaucoup	ADV	beaucoup
dans	PRP	dans
ce	DET:dem	ce
lit	NOM	lit
.	NAM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
lit	NOM	lit
par	PRP	par
chacun	PRO:ind	chacun
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
