alors	ADV	alors
j'	PRO:cls	je
aimerais	VER:cond	aimer
bien	ADV	bien
que	KON	que
tu	PRO:cls	tu
me	PRO:clo	me
parles	VER:pres	parler
de	PRP	de
ta	DET:pos	ton
passion	NOM	passion
pour	PRP	pour
le	DET:def	le
deltaplane	NOM	deltaplane
un	DET:ind	un
peu	NOM	peu
comment	PRO:int	comment
comment	PRO:int	comment
ça	PRO:cls	ça
t'	PRO:clo	te
est	AUX:pres	être
venu	VER:pper	venir
et	KON	et
puis	KON	puis
comment	PRO:int	comment
tu	PRO:cls	tu
la	PRO:clo	le
vis	VER:pres	vivre
aujourd'hui	ADV	aujourd'hui
ben	INT	ben
ça	PRO:cls	ça
m'	PRO:clo	me
est	AUX:pres	être
venu	VER:pper	venir
euh	INT	euh
par	PRP	par
le	DET:def	le
fait	NOM	fait
que	KON	que
j'	PRO:cls	je
ai	AUX:pres	avoir
toujours	ADV	toujours
eu	VER:pper	avoir
en-	TRC	en-
toujours	ADV	toujours
rêvé	VER:pper	rêver
de	PRP	de
voler	VER:infi	voler
toujours	ADV	toujours
rêvé	VER:pper	rêver
de	PRP	de
voler	VER:infi	voler
euh	INT	euh
depuis	ADV	depuis
que	KON	que
je	PRO:cls	je
suis	VER:pres	être
tout	ADV	tout
petit	ADJ	petit
je	PRO:cls	je
me	PRO:clo	me
rappelle	VER:pres	rappeler
quand	KON	quand
j'	PRO:cls	je
étais	VER:impf	être
en	PRP	en
colonie	NOM	colonie
de	PRP	de
vacances	NOM	vacances
quand	KON	quand
j'	PRO:cls	je
avais	VER:impf	avoir
six	NUM	@card@
ans	NOM	an
sept	NUM	@card@
ans	NOM	an
je	PRO:cls	je
mentais	VER:impf	mentir
à	PRP	à
mes	DET:pos	mon
copains	NOM	copain
je	PRO:cls	je
leur	PRO:clo	lui
disais	VER:impf	dire
que	KON	que
j'	PRO:cls	je
avais	AUX:impf	avoir
inventé	VER:pper	inventer
un	DET:ind	un
avion	NOM	avion
en	PRP	en
balsa	NOM	balsa
avec	PRP	avec
une	DET:ind	un
hélice	NOM	hélice
euh	INT	euh
qui	PRO:rel	qui
tournait	VER:impf	tourner
grâce	ADV	grâce
à	PRP	à
un	DET:ind	un
gros	ADJ	gros
élastique	NOM	élastique
que	KON	que
je	PRO:cls	je
que	KON	que
je	PRO:cls	je
remontais	VER:impf	remonter
euh	INT	euh
manuellement	ADV	manuellement
et	KON	et
que	KON	que
une	DET:ind	un
fois	NOM	fois
l'	DET:def	le
élastique	NOM	élastique
euh	INT	euh
enfin	ADV	enfin
remonté	VER:pper	remonter
euh	INT	euh
je	PRO:cls	je
réussissais	VER:impf	réussir
à	PRP	à
faire	VER:infi	faire
des	DET:ind	un
petits	ADJ	petit
vols	NOM	vol
avec	PRP	avec
mon	DET:pos	mon
avion	NOM	avion
en	PRP	en
balsa	NOM	balsa
mais	KON	mais
bon	INT	bon
donc	ADV	donc
là	ADV	là
j'	PRO:cls	je
avais	VER:impf	avoir
six	NUM	@card@
ans	NOM	an
et	KON	et
puis	KON	puis
dès	PRP	dès
s-	TRC	s-
dans	PRP	dans
la	DET:def	le
dans	PRP	dans
la	DET:def	le
suite	NOM	suite
de	PRP	de
ça	PRO:ton	ça
je	PRO:cls	je
je	PRO:cls	je
fabriquais	VER:impf	fabriquer
des	DET:ind	un
parachutes	NOM	parachute
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
à	PRP	à
sept	NUM	@card@
huit	NUM	@card@
ans	NOM	an
je	PRO:cls	je
montais	VER:impf	monter
tout	ADV	tout
en	PRP	en
haut	NOM	haut
du	PRP:det	du
grand	ADJ	grand
poirier	NOM	poirier
euh	INT	euh
je	PRO:cls	je
me	PRO:clo	me
jetais	VER:impf	jeter
d'	PRP	un
en	PRP	en
haut	NOM	haut
du	PRP:det	du
poirier	NOM	poirier
avec	PRP	avec
un	DET:ind	un
parachute	NOM	parachute
que	KON	que
j'	PRO:cls	je
avais	AUX:impf	avoir
fabriqué	VER:pper	fabriquer
en	PRP	en
p-	TRC	p-
en	PRP	en
toile	NOM	toile
et	KON	et
qui	PRO:rel	qui
euh	INT	euh
heureusement	ADV	heureusement
m'	PRO:clo	me
a	AUX:pres	avoir
sauvé	VER:pper	sauver
la	DET:def	le
vie	NOM	vie
c'	PRO:cls	ce
est	VER:pres	être
que	KON	que
ce	PRO:dem	ce
qui	PRO:rel	qui
m'	PRO:clo	me
a	AUX:pres	avoir
sauvé	VER:pper	sauver
la	DET:def	le
vie	NOM	vie
c'	PRO:cls	ce
est	VER:pres	être
que	KON	que
je	PRO:cls	je
me	PRO:clo	me
suis	AUX:pres	être
raccroché	VER:pper	raccrocher
par	PRP	par
mon	DET:pos	mon
short	NOM	short
euh	INT	euh
par	PRP	par
mon	DET:pos	mon
ma	DET:pos	mon
ceinture	NOM	ceinture
à	PRP	à
la	DET:def	le
branche	NOM	branche
mais	KON	mais
sinon	ADV	sinon
j'	PRO:cls	je
aurai	AUX:futu	avoir
pu	VER:pper	pouvoir
me	PRO:clo	me
tuer	VER:infi	tuer
en	PRP	en
il	PRO:cls	il
serait	VER:cond	être
jamais	ADV	jamais
ouvert	VER:pper	ouvrir
quoi	INT	quoi
enfin	ADV	enfin
bon	INT	bon
j'	PRO:cls	je
ai	VER:pres	avoir
j'	PRO:cls	je
ai	AUX:pres	avoir
toujours	ADV	toujours
rêvé	VER:pper	rêver
de	PRP	de
voler	VER:infi	voler
euh	INT	euh
j'	PRO:cls	je
ai	AUX:pres	avoir
fabriqué	VER:pper	fabriquer
très	ADV	très
très	ADV	très
tôt	ADV	tôt
des	DET:ind	un
enfin	ADV	enfin
bon	INT	bon
adolescent	NOM	adolescent
quoi	INT	quoi
euh	INT	euh
des	DET:ind	un
des	DET:ind	un
des	DET:ind	un
téléphériques	NOM	téléphérique
de-	TRC	de-
depuis	PRP	depuis
des	DET:ind	un
grands	ADJ	grand
arbres	NOM	arbre
euh	INT	euh
et	KON	et
je	PRO:cls	je
me	PRO:clo	me
jetais	VER:impf	jeter
dans	PRP	dans
le	DET:def	le
vide	NOM	vide
enfin	ADV	enfin
en-	TRC	en-
accroché	VER:pper	accrocher
à	PRP	à
mon	DET:pos	mon
à	PRP	à
mon	DET:pos	mon
té-	TRC	té-
à	PRP	à
la	DET:def	le
roulette	NOM	roulette
après	ADV	après
une	DET:ind	un
roulette	NOM	roulette
et	KON	et
donc	ADV	donc
j'	PRO:cls	je
en	PRO:clo	en
ai	AUX:pres	avoir
fait	VER:pper	faire
des	DET:ind	un
de	PRP	de
plus	ADV	plus
en	PRP	en
plus	ADV	plus
grands	ADJ	grand
et	KON	et
même	ADV	même
avec	PRP	avec
un	DET:ind	un
copain	NOM	copain
une	DET:ind	un
fois	NOM	fois
on	PRO:cls	on
en	PRO:clo	en
a	AUX:pres	avoir
fait	VER:pper	faire
un	DET:ind	un
qui	PRO:rel	qui
faisait	VER:impf	faire
plus	ADV	plus
de	PRP	de
deux	NUM	@card@
trois	NUM	@card@
deux	NUM	@card@
ou	KON	ou
trois	NUM	@card@
cent	NUM	@card@
mètres	NOM	mètre
qui	PRO:rel	qui
partait	VER:impf	partir
de	PRP	de
très	ADV	très
haut	ADJ	haut
enfin	ADV	enfin
bon	INT	bon
on	PRO:cls	on
avait	VER:impf	avoir
c'	PRO:cls	ce
était	VER:impf	être
très	ADV	très
intéressant	ADJ	intéressant
j'	PRO:cls	je
ai	AUX:pres	avoir
toujours	ADV	toujours
eu	VER:pper	avoir
beaucoup	ADV	beaucoup
de	PRP	de
plaisir	NOM	plaisir
à	PRP	à
à	PRP	à
me	PRO:clo	me
lancer	VER:infi	lancer
dans	PRP	dans
le	DET:def	le
vide	NOM	vide
à	PRP	à
et	KON	et
même	ADV	même
dans	PRP	dans
mes	DET:pos	mon
rêves	NOM	rêve
je	PRO:cls	je
je	PRO:cls	je
rêvais	VER:impf	rêver
souvent	ADV	souvent
que	KON	que
je	PRO:cls	je
volais	VER:impf	voler
donc	ADV	donc
bon	INT	bon
j'	PRO:cls	je
ai	AUX:pres	avoir
toujours	ADV	toujours
eu	VER:pper	avoir
envie	NOM	envie
de	PRP	de
voler	VER:infi	voler
quoi	INT	quoi
enfin	ADV	enfin
c'	PRO:cls	ce
est	VER:pres	être
je	PRO:cls	je
voulais	VER:impf	vouloir
être	VER:infi	être
pilote	NOM	pilote
bon	INT	bon
de	PRP	de
de	PRP	de
d'	DET:ind	un
avion	NOM	avion
bon	INT	bon
malheureusement	ADV	malheureusement
j'	PRO:cls	je
avais	VER:impf	avoir
pas	ADV	pas
une	DET:ind	un
bonne	ADJ	bon
vue	NOM	vue
donc	ADV	donc
j'	PRO:cls	je
ai	AUX:pres	avoir
pas	ADV	pas
pu	VER:pper	pouvoir
et	KON	et
puis	KON	puis
j'	PRO:cls	je
étais	VER:impf	être
pas	ADV	pas
bon	INT	bon
en	PRP	en
maths	NOM:trc	mathématique
à	PRP	à
l'	DET:def	le
école	NOM	école
en	PRP	en
bon	INT	bon
j'	PRO:cls	je
ai	VER:pres	avoir
pas	ADV	pas
j'	PRO:cls	je
ai	AUX:pres	avoir
abandonné	VER:pper	abandonner
ce	DET:dem	ce
projet	NOM	projet
d'	PRP	un
être	VER:infi	être
pilote	NOM	pilote
euh	INT	euh
je	PRO:cls	je
voulais	VER:impf	vouloir
être	VER:infi	être
pilote	NOM	pilote
euh	INT	euh
de	PRP	de
d'	DET:ind	un
avion	NOM	avion
de	PRP	de
ligne	NOM	ligne
mais	KON	mais
enfin	ADV	enfin
bon	INT	bon
voilà	FNO	voilà
donc	ADV	donc
ça	PRO:cls	ça
m'	PRO:clo	me
est	AUX:pres	être
venu	VER:pper	venir
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
euh	INT	euh
un	DET:ind	un
désir	NOM	désir
que	KON	que
j'	PRO:cls	je
ai	AUX:pres	avoir
toujours	ADV	toujours
eu	VER:pper	avoir
alors	ADV	alors
bon	INT	bon
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
vrai	ADJ	vrai
qu'	KON	que
on	PRO:cls	on
avait	AUX:impf	avoir
inventé	VER:pper	inventer
aussi	ADV	aussi
un	DET:ind	un
grand	ADJ	grand
cerf-volant	NOM	cerf-volant
euh	INT	euh
enfin	ADV	enfin
j'	PRO:cls	je
avais	AUX:impf	avoir
construit	VER:pper	construire
un	DET:ind	un
plusieurs	DET:ind	plusieurs
fois	NOM	fois
des	DET:ind	un
grands	ADJ	grand
cerfs-volants	NOM	cerf-volant
de	PRP	de
dix	NUM	@card@
mètres	NOM	mètre
d'	PRP	un
envergure	NOM	envergure
euh	INT	euh
et	KON	et
je	PRO:cls	je
me	PRO:clo	me
s-	TRC	s-
je	PRO:cls	je
sautais	VER:impf	sauter
d'	PRP	un
en	PRP	en
haut	NOM	haut
des	PRP:det	du
dunes	NOM	dune
euh	INT	euh
et	KON	et
le	DET:def	le
le	DET:def	le
cerf-volant	NOM	cerf-volant
me	PRO:clo	me
freinait	VER:impf	freiner
quoi	INT	quoi
je	PRO:cls	je
j'	PRO:cls	je
arrivais	VER:impf	arriver
à	PRP	à
à	PRP	à
faire	VER:infi	faire
des	DET:ind	un
pas	ADV	pas
de	PRP	de
géants	NOM	géant
enfin	ADV	enfin
je	PRO:cls	je
m'	PRO:clo	me
accrochais	VER:impf	accrocher
avec	PRP	avec
une	DET:ind	un
charrette	NOM	charrette
j'	PRO:cls	je
arrivais	VER:impf	arriver
à	PRP	à
à	PRP	à
faire	VER:infi	faire
des	DET:ind	un
sauts	NOM	saut
ou	KON	ou
à	PRP	à
me	PRO:clo	me
laisser	VER:infi	laisser
tirer	VER:infi	tirer
dans	PRP	dans
l-	TRC	l-
dans	PRP	dans
la	DET:def	le
mer	NOM	mer
euh	INT	euh
pendant	PRP	pendant
des	DET:ind	un
kilomètres	NOM	kilomètre
enfin	ADV	enfin
bon	INT	bon
là	ADV	là
c'	PRO:cls	ce
est	VER:pres	être
pas	ADV	pas
du	PRP:det	du
vol	NOM	vol
mais	KON	mais
enfin	ADV	enfin
c'	PRO:cls	ce
était	VER:impf	être
déjà	ADV	déjà
un	DET:ind	un
objet	NOM	objet
volant	ADJ	volant
quand	KON	quand
même	ADV	même
qui	PRO:rel	qui
me	PRO:clo	me
tirait	VER:impf	tirer
quoi	INT	quoi
donc	ADV	donc
les	DET:def	le
objets	NOM	objet
volants	ADJ	volant
m'	PRO:clo	me
ont	AUX:pres	avoir
toujours	ADV	toujours
fasciné	VER:pper	fasciner
ce	PRO:dem	ce
qui	PRO:rel	qui
fait	VER:pres	faire
que	KON	que
à	PRP	à
l'	DET:def	le
âge	NOM	âge
