hein	INT	hein
-moi	PRO:clo	moi
montre	VER:pres	montrer
voir	VER:infi	voir
tes	DET:pos	ton
jeux	NOM	jeu
des	PRP:det	du
jeux	NOM	jeu
ouais	FNO	ouais
des	DET:ind	un
jeux	NOM	jeu
mm	NOM	<unknown>
-moi	PRO:clo	moi
montre	VER:pres	montrer
voir	VER:infi	voir
ils	PRO:cls	il
sont	VER:pres	être
où	PRO:int	où
tes	DET:pos	ton
jeux	NOM	jeu
.	NAM	<unknown>
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
ton	DET:pos	ton
jeu	NOM	jeu
.	NAM	<unknown>
alors	ADV	alors
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
comme	KON	comme
jeu	NOM	jeu
.	NAM	<unknown>
qu'	PRO:rel	que
est	VER:pres	être
qu'	KON	que
on	PRO:cls	on
fait	VER:pres	faire
avec	PRP	avec
ce	DET:dem	ce
jeu	NOM	jeu
.	NAM	<unknown>
on	PRO:cls	on
on	PRO:cls	on
utilise	VER:pres	utiliser
ça	PRO:cls	ça
.	VER:cond	<unknown>
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
lettres	NOM	lettre
.	NAM	<unknown>
ouais	FNO	ouais
des	DET:ind	un
lettres	NOM	lettre
des	PRP:det	du
lettres	NOM	lettre
ouais	FNO	ouais
allez	VER:impe	aller
viens	VER:impe	venir
on	PRO:cls	on
joue	VER:pres	jouer
alors	ADV	alors
je	PRO:cls	je
me	PRO:clo	me
mets	VER:pres	mettre
là	ADV	là
ou	KON	ou
je	PRO:cls	je
me-	VER:cond	<unknown>
viens	VER:impe	venir
-toi	PRO:clo	toi
assieds	VER:impe	asseoir
je	PRO:cls	je
vais	VER:pres	aller
me	PRO:clo	me
mettre	VER:infi	mettre
à	PRP	à
côté	NOM	côté
de	PRP	de
toi	PRO:ton	toi
hop	INT	hop
là	ADV	là
tu	PRO:cls	tu
te	PRO:clo	te
mets	VER:pres	mettre
assise	VER:pper	asseoir
là	ADV	là
moi	PRO:ton	moi
je	PRO:cls	je
me	PRO:clo	me
mets	VER:pres	mettre
assise	VER:pper	asseoir
là	ADV	là
ok	FNO	ok
.	NAM	<unknown>
mm	NOM	<unknown>
tu	PRO:cls	tu
es	VER:pres	être
d'	PRP	un
accord	NOM	accord
.	NAM	<unknown>
mm	NOM	<unknown>
ouais	FNO	ouais
alors	ADV	alors
-moi	PRO:clo	moi
dis	VER:pres	dire
tout	PRO:ind	tout
on	PRO:cls	on
fait	VER:pres	faire
comment	PRO:int	comment
pour	PRP	pour
jouer	VER:infi	jouer
.	NOM:sig	<unknown>
ça	PRO:ton	ça
ouais	FNO	ouais
ça	PRO:ton	ça
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
lettre	NOM	lettre
.	NAM	<unknown>
ouais	FNO	ouais
ouais	FNO	ouais
xxx	NOM	<unknown>
et	KON	et
on	PRO:cls	on
la	PRO:clo	le
met	VER:pres	mettre
où	PRO:int	où
la	DET:def	le
lettre	NOM	lettre
.	NAM	<unknown>
on	PRO:cls	on
la	PRO:clo	le
met	VER:pres	mettre
ouais	FNO	ouais
d'	PRP	un
accord	NOM	accord
on	PRO:cls	on
la	PRO:clo	le
met	VER:pres	mettre
dessus	ADV	dessus
.	NOM:sig	<unknown>
oui	FNO	oui
.	NAM	<unknown>
on	PRO:cls	on
met	VER:pres	mettre
là	ADV	là
on	PRO:cls	on
la	PRO:clo	le
met	VER:pres	mettre
là	ADV	là
d'	PRP	un
accord	NOM	accord
eh	INT	eh
dis	VER:pres	dire
voir	VER:infi	voir
c'	PRO:cls	ce
est	VER:pres	être
des	DET:ind	un
animaux	NOM	animal
là	ADV	là
.	VER:simp	<unknown>
mm	NOM	<unknown>
tu	PRO:cls	tu
sais	VER:pres	savoir
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
comme	KON	comme
animaux	NOM	animal
.	NAM	<unknown>
xxx	NOM	<unknown>
ça	PRO:ton	ça
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
quoi	INT	quoi
comme	KON	comme
animal	NOM	animal
.	NAM	<unknown>
Némo	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
Némo	NOM	<unknown>
oui	FNO	oui
comme	KON	comme
dans	PRP	dans
le	DET:def	le
dessin	NOM	dessin
animé	VER:pper	animer
.	VER:subi	<unknown>
ou-	TRC	ou-
non	FNO	non
non	FNO	non
ça	PRO:ton	ça
xxx	NOM	<unknown>
Némo	NOM	<unknown>
ça	PRO:cls	ça
.	VER:cond	<unknown>
oui	FNO	oui
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
baleine	NOM	baleine
ouais	FNO	ouais
c'	PRO:cls	ce
est	VER:pres	être
une	DET:ind	un
baleine	NOM	baleine
une	DET:ind	un
baleine	NOM	baleine
ouais	FNO	ouais
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
.	NOM:sig	<unknown>
le	DET:def	le
chat	NOM	chat
le	DET:def	le
chat	NOM	chat
ouais	FNO	ouais
le	DET:def	le
chat	NOM	chat
ça	PRO:ton	ça
c'	PRO:cls	ce
est	VER:pres	être
quoi	PRO:int	quoi
