alors	ADV	alors
tu	PRO:cls	tu
veux	VER:pres	vouloir
me	PRO:clo	me
faire	VER:infi	faire
de	PRP	de
la	DET:def	le
corde	NOM	corde
à	PRP	à
sauter	VER:infi	sauter
.	NAM	<unknown>
oui	FNO	oui
oui	FNO	oui
et	KON	et
qui	PRO:rel	qui
-ce	PRO:dem	ce
est	VER:pres	être
qui	PRO:rel	qui
te	PRO:clo	te
l'	PRO:clo	le
a	AUX:pres	avoir
offert	VER:pper	offrir
.	NAM	<unknown>
euh	INT	euh
c'	PRO:cls	ce
est	VER:pres	être
Maya	ADJ	maya
c'	PRO:cls	ce
est	VER:pres	être
Maya	ADJ	maya
wouah	INT	wouah
elle	PRO:cls	elle
te	PRO:clo	te
l'	PRO:clo	le
a	AUX:pres	avoir
offert	VER:pper	offrir
pour	PRP	pour
quoi	INT	quoi
.	NAM	<unknown>
dis-donc	NOM	<unknown>
elle	PRO:cls	elle
est	VER:pres	être
gentille	ADJ	gentil
pour	PRP	pour
l'	DET:def	le
anniversaire	NOM	anniversaire
pour	PRP	pour
ton	DET:pos	ton
anniversaire	NOM	anniversaire
.	NAM	<unknown>
non	FNO	non
pour	PRP	pour
l'	DET:def	le
anniversaire	NOM	anniversaire
de	PRP	de
Maya	NOM	maya
ah	INT	ah
pour	PRP	pour
l'	DET:def	le
anniversaire	NOM	anniversaire
de	PRP	de
Maya	NOM	maya
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
qui	PRO:int	qui
Maya	ADJ	maya
.	NAM	<unknown>
et	KON	et
Maya	ADJ	maya
xxx	NOM	<unknown>
la	DET:def	le
soeur	NOM	soeur
avec	PRP	avec
xxx	NOM	<unknown>
et	KON	et
Fanfan	NOM	fanfan
ah	INT	ah
c'	PRO:cls	ce
est	VER:pres	être
la	DET:def	le
soeur	NOM	soeur
de	PRP	de
Didi	NAM	<unknown>
et	KON	et
Fanfan	NOM	fanfan
.	NAM	<unknown>
eh	INT	eh
ben	INT	ben
oui	FNO	oui
ah	INT	ah
ben	INT	ben
oui	FNO	oui
ben	INT	ben
bien	ADV	bien
sûr	ADJ	sûr
et	KON	et
tu	PRO:cls	tu
me	PRO:clo	me
montres	VER:pres	montrer
comment	PRO:int	comment
tu	PRO:cls	tu
sais	VER:pres	savoir
faire	VER:infi	faire
de	PRP	de
la	DET:def	le
corde	NOM	corde
à	PRP	à
sauter	VER:infi	sauter
.	NAM	<unknown>
comme	KON	comme
ça	PRO:ton	ça
xxx	NOM	<unknown>
comme	KON	comme
ça	PRO:ton	ça
ouah	INT	ouah
dis-donc	NOM	<unknown>
c'	PRO:cls	ce
est	VER:pres	être
bien	ADV	bien
ça	PRO:ton	ça
Casimir	NOM	casimir
une	DET:ind	un
petite	ADJ	petit
tortue	NOM	tortue
comme	KON	comme
ça	PRO:ton	ça
comme	KON	comme
ça	PRO:ton	ça
il	PRO:cls	il
fait	VER:pres	faire
quoi	INT	quoi
Pierre	NOM	pierre
Casimir	NOM	casimir
.	NOM:sig	<unknown>
/ah	MLT	<unknown>
mais	KON	mais
lui	PRO:ton	lui
Casimir	NOM	casimir
.	NAM	<unknown>
il	PRO:cls	il
dit	VER:pres	dire
xxx	NOM	<unknown>
comme	KON	comme
ça	PRO:ton	ça
comme	KON	comme
ça	PRO:ton	ça
une	DET:ind	un
petite	ADJ	petit
tortue	NOM	tortue
Casimir	NOM	casimir
il	PRO:cls	il
fait	VER:pres	faire
une	DET:ind	un
petite	ADJ	petit
tortue	NOM	tortue
avec	PRP	avec
la	DET:def	le
corde	NOM	corde
à	PRP	à
sauter	VER:infi	sauter
.	NAM	<unknown>
ouais	FNO	ouais
Casimir	NOM	casimir
